Mixture	Malignant	B	Endothelial	Mono	CD4Tconv	Myofibroblasts	Fibroblasts	Plasma	CD8Tex	Tprolif	Mast	P-value	Correlation	RMSE	Absolute score (sig.score)
spot_1	0.541295548808681	0	0	2.45039173667435e-05	0.0995624258209102	0.109324252617825	0.615980905479491	0	0.00414986494306914	0	0.0170260445588686	0	0.949272162858793	0.321332220852801	1.38736354614621
spot_2	0.316648072608014	0	0.0641608778265078	0.0202606414444168	0.0477166941304812	0.151179003221981	0.5255743032341	0	0	0.0700556199380581	0.0538258924591599	0	0.452196948299782	0.984780268887155	1.24942110486272
spot_3	0.559224783485178	0.135879566657118	0.0087882536035288	0.00912964737862444	0.0437251742445624	0.0199613179990059	0.0261473888843807	0	0.00947900607317012	0.0302160704903234	0.0353846165231748	0	0.419030985718509	0.908863660413275	0.877935825339067
spot_4	0.772354005096618	0	0.0245783349441231	0	0.000404720450402408	0	0	0	0	0.0011608667871379	0	0	0.856066817039787	0.656940210769244	0.798497927278282
spot_5	0	0.194840435154586	0	0.248095901232205	0.201302383855825	0	0.69514540651076	0.00912821740742265	0.0471320780752273	0.0023703753376255	0	0	0.886709961658046	0.477081886618776	1.39801479757365
spot_6	0.18503676846382	0	0	0	0.042126161934564	0	1.52627302318538	0	0	0.014013599839988	0	0	0.970557827659924	0.691790396026998	1.76744955342375
spot_7	0.554146063516007	0.028377393566005	0.102654082387821	0.000355985641252838	0.123598268948486	7.84942269542283e-05	0	0	0.0457450747236151	0	0.00147864294420878	0	0.853552946191342	0.735855557043487	0.85643400595435
spot_8	0.0256634283271222	0.12749638909086	0.131924343697625	0.00418236242299104	0	0.0200568714924416	0	0	0.494331918369234	0.167998285445151	0.00155182622900481	0	0.599113707031647	0.831494197460335	0.97320542507443
spot_9	0.317960754214749	0	0.387665296576527	0	0.107311206157369	0	0	0	0	0	0.0170329713014368	0	0.581400772776455	0.849698022101989	0.829970228250083
spot_10	0.260424280941077	0.0286499849668578	0.00789616033516881	0.0142378341776622	0.0231283244863834	0	0.002785579582831	0.308650180228796	0.0958400447136971	0	0.0307991223108284	0	0.850317287099405	0.530623187696405	0.772411511743301
spot_11	0.35869087109277	0	0.00501532127463807	0	0.289358934647007	0	0.00696339357143919	0.0192660863541377	0	0.0828621909429059	0	0	0.668035054596663	0.842642928241001	0.762156797882898
spot_12	0.0671018937267899	0.391395218835721	0.00675081003199154	0.00737614058049038	0.201386114335223	0	0	0	0	0.16462219002887	0.0315429894153336	0	0.402148588306171	0.933536013244256	0.870175356954419
spot_13	0.734691282834552	0	0	0	0.0192726782241026	0	0	0	0	0	0	0	0.826851401616756	0.675914354524865	0.753963961058654
spot_14	0	0.103204808332135	0.0862381517967925	0.620487034692667	0	0.0713163006310335	0.343313623833774	0	0.0562869216001348	0	0	0	0.934552464369658	0.374399306463353	1.28084684088654
spot_15	0.375030336035885	0	2.07122542850526e-05	0	0.313222400222706	0	0	0	0	0	0.000777163461983151	0	0.683680525082086	0.83055099103982	0.689050611974859
spot_16	0.35319894802508	0.0742768532697166	0	0.00877127508405119	0.122430955203195	0	0.0373809271449715	0.0277554797330198	0.000839920617410908	0.0992114899196401	0.0396141377710262	0	0.721118638648003	0.796118010128957	0.763479986768111
spot_17	0	0.252132258685204	0	0	0.286124676738127	0	1.15634983511167	0	0	0.0275235635701953	0	0	0.970997832447155	0.384095946642733	1.72213033410519
spot_18	0.489686221672896	0.00256992907807385	0.167326848867916	0.010996000476991	0.0244384862987692	0.0183453215338997	0.013378906245578	0.00104487283307512	0	0.0121498885850705	0.167771099664098	0	0.730479206168599	0.794079176093953	0.907707575256368
spot_19	0	0	0.30182281130809	0	0.349040321054317	0	0.00626466767004613	0	0.260882348902	0	0.0220991619762759	0	0.582955534419859	0.863544824100683	0.940109310910729
spot_20	0.00460614078419908	0	0.402654722111154	0.00514168392916678	0.312471580016009	0	0	0	0.12218567241394	0.0976108067860989	0.00438662187871728	0	0.743624073708364	0.796223187729265	0.949057227919285
