B	CD4Tconv	CD8Tex	Endothelial	Fibroblasts	Malignant	Mast	Mono.Macro	Myofibroblasts	Plasma	Tprolif
spot_1	3.87729076008797e-05	0.0748702548920866	3.87729075979816e-05	3.87729075984989e-05	0.637893264193199	0.286869054185874	3.87729075971882e-05	3.87729098608671e-05	9.6016373495428e-05	3.87729074908714e-05	3.87729075984992e-05
spot_2	9.93176789959291e-05	0.0446905399294231	9.93176790210604e-05	0.00941422645308206	0.609968931387803	0.317087806952732	9.93176790118767e-05	9.93176790010101e-05	0.0182425892026795	9.93176792501446e-05	9.93176790010102e-05
spot_3	0.0583668651585707	0.068902764918346	0.0276997369299395	0.000293238755075736	0.117739149437801	0.715432601832686	8.85826707345958e-05	0.0112113122846489	8.8582670739097e-05	8.85826707190852e-05	8.85826707390953e-05
spot_4	3.25906181628934e-05	3.25906181557685e-05	3.25906199118355e-05	0.0863678936084406	3.25906858571504e-05	0.890698845476383	3.25906238252966e-05	3.25905732237476e-05	3.25905997366194e-05	3.25907102453037e-05	0.0226725358660573
spot_5	9.35310712253645e-05	0.303408391105182	9.35310712253585e-05	9.35310712253765e-05	0.56396037967033	9.35310712119272e-05	9.35310712032649e-05	0.126254735688325	9.35310712253172e-05	0.00572177603762218	9.35310712253718e-05
spot_6	5.06477567458368e-05	5.06477608856999e-05	5.0647761066966e-05	5.06477608120967e-05	0.855017958570491	0.144526211586031	5.06477608945575e-05	5.06477608865078e-05	5.06477608859402e-05	5.06477604142195e-05	5.0647760885943e-05
spot_7	6.20894580337824e-05	0.176644759884018	0.0283370226739508	0.150682156838862	6.20894581259548e-05	0.643901434394453	6.20894606890409e-05	6.20894580234592e-05	6.2089458033797e-05	6.20894577762579e-05	6.20894580337926e-05
spot_8	8.32090360491353e-05	0.000159453188358552	0.651456314326518	0.187056362175364	8.32090362476857e-05	0.160745407056182	8.32090370942707e-05	8.32090360657324e-05	8.32090360491362e-05	8.32090360215802e-05	8.32090360491344e-05
spot_9	9.05789565544098e-05	0.0777516397175348	9.05789565560997e-05	0.339198506278354	9.05789565901417e-05	0.582325222352011	9.05789561352277e-05	9.05789565579278e-05	9.0578956555449e-05	9.05789565963706e-05	9.05789565554418e-05
spot_10	0.0250416228703955	0.000249133158846496	0.215378640387427	0.00182428473263931	0.000935528766063191	0.461483829229485	0.000249133158773227	0.0379590550200479	0.000249133157646834	0.256380506359832	0.000249133158843493
spot_11	0.000191015210742134	0.344784711779056	0.000191015210742121	0.00157306444449718	0.0278767082963997	0.43788338001112	0.000191015210776372	0.000191015210720662	0.000191015210735084	0.0643689733372939	0.122558086077916
spot_12	0.0212028559036232	0.000135941562746509	0.502174259564937	0.0283468840982452	0.000124606165740482	0.18103928274978	0.00012460616667562	0.005259350593187	0.00012460616582663	0.00880052163908489	0.252667085390154
spot_13	6.42744055756019e-05	0.234619320664196	6.42744055724737e-05	6.42744055596135e-05	6.42743960140866e-05	0.7640599635642	0.000806520538024931	6.42744055771112e-05	6.42744055991968e-05	6.42744041055853e-05	6.4274405575607e-05
spot_14	9.33770432315791e-05	0.0416802392992237	0.0243092627985802	0.103611649976122	0.301189642092917	9.33770432211719e-05	9.3377042391665e-05	0.493612753144244	0.0351295674735528	9.337704328469e-05	9.3377043231573e-05
spot_15	6.28954044967751e-05	0.373821612874259	6.28954044989236e-05	6.28954044894152e-05	6.28954043781597e-05	0.625612328487019	6.28954042134154e-05	6.28954045367351e-05	6.28954043839844e-05	6.2895403225857e-05	6.28954044989564e-05
