Topic	umass_coherence	cv_coherence	nmi	Raw_accuracy	Norm_accuracy	NormBySD_accuracy	Bayes_accuracy	BayesNorm_accuracy
10	-0.848437155	0.577756959	0.737847313	0.764186061	0.776775716	0.773174349	0.81678419	0.83209757
12	-0.703502721	0.573934431	0.75796347	0.82562116	0.824682989	0.828375148	0.807372212	0.822231638
14	-0.82685079	0.575340789	0.726720218	0.831825197	0.834881821	0.830281754	0.816088128	0.822746119
16	-0.879592108	0.569682443	0.723320011	0.818660533	0.833368641	0.844293799	0.801440547	0.85558212
18	-0.886979799	0.565745665	0.766109581	0.855400539	0.861846685	0.863420392	0.848439912	0.865902006
20	-0.897610591	0.563032214	0.723268938	0.81829737	0.831613352	0.831673879	0.8367279	0.857337409
22	-0.84443965	0.561377869	0.726380504	0.856762401	0.875737675	0.876131102	0.841842448	0.860424296
24	-0.852536126	0.557216234	0.731029175	0.872317889	0.877825863	0.874527131	0.853191296	0.869352056
26	-0.947245355	0.55641959	0.718806272	0.862663802	0.87240868	0.869291529	0.855097903	0.869170475
28	-0.914451985	0.549036155	0.650069216	0.861604576	0.871349454	0.870350755	0.852707079	0.869563902
30	-0.854258734	0.561455308	0.697823219	0.856247919	0.867505977	0.866749387	0.850497836	0.864994099
32	-0.900135536	0.552826891	0.701358206	0.860575614	0.87434555	0.872378416	0.846351724	0.862784856
34	-0.730493892	0.556169674	0.728396703	0.86980601	0.874678449	0.87585873	0	0
