	0	1	2	3	4	5	6	7	8	9
B	0.006683679455901972	0.010704192455723226	0.004991942705586958	0.0011393179421234653	0.4774372883366215	0.006408551221489977	0.007347337702832551	0.0009067850881142847	0.0017454392702942192	0.0008485053580718068
CD4Tconv	0.3131147811244255	0.009497425691110875	0.004358191313134782	0.007691082496712984	0.020590786948650592	0.3118305020260285	1.3607564188223853	0.013266799702099853	0.01727147993108574	0.0050874964430335165
CD8Tex	0.24324796529836792	0.0043556650704162985	0.0011324183155473225	0.0021164993077566895	0.008063462465777676	0.5121502676940516	0.5560535181148677	0.0020562556019053774	0.004290869518671667	0.0014953197089250477
Endothelial	0.005901900184827191	0.00344039514132178	0.00042177016733497543	0.5322624714902545	0.002649800016468351	0.004639703706255355	0.014288218062904189	0.004820340374725091	0.011669680754010398	0.006961280837923051
Fibroblasts	0.01104494312055283	0.008680278718233785	0.0011837514086304802	0.00860673724933455	0.0020391439525333233	0.0059515094427456065	0.01788801323973175	1.1683312850150818	0.02705165436941397	0.17335554243898402
Malignant	0.04734532165093674	0.022622319737474327	0.008014483774081939	0.039382771629918926	0.010687259081125012	0.02549085549873013	0.031665163418356	0.07480665513855542	1.9442292472459235	0.09047235164262489
Mast	0.07053354397495665	0.01730903167096503	0.00016535510800014591	8.568759298064672e-05	0.006095332896349016	0.001097487744928776	0.0034058393643602255	0.00023173556957689515	0.0007526329892499141	0.025641636894177238
Mono/Macro	0.007681565068593577	0.6477288297374946	0.0006237302345656623	0.002652841272210272	0.027271626239754484	0.013252438533904455	0.014614605998473099	0.0035350305082780683	0.011416220043508871	0.001437845162006678
Myofibroblasts	0.0012836001121058723	0.0006438194919785475	0.0012731995628547993	0.0027988912145068853	0.0004157674141025846	0.002279307435893691	0.001973553817477481	0.03286194153082969	0.0026192254511327893	0.18229311570984685
Plasma	0.004460184230846835	0.0010734839073775237	0.3118935906971359	0.0007558111859718036	0.004704702031834983	0.004355616432243948	0.006956652489687503	0.0011089616408805779	0.0023740085239821736	0.000326227252342926
Tprolif	0.0011264698532048333	0.001483365852926633	0.008065988941125405	0.0004209103210947604	0.003935215199584128	0.08873491211460124	0.0017613044157700469	0.0015112937111450351	0.015246152493124677	0.0008902734601860538
