	0	1	2	3	4	5	6	7	8	9	10	11	12	13
B	0.0017200895565911856	0.2413506062906469	0.0016822431501653393	0.004233441268496518	0.0039563319210323585	0.006040460896650007	0.016939812027816296	0.010964918499689313	0.03693260584737797	0.5272868982270973	0.0005944568547777672	0.001944939799041647	0.004810565587046701	0.0009455374256623039
CD4Tconv	0.016961661993099772	0.04849278506790762	0.004974685589103868	0.02871413087754543	0.004584089668817535	0.41107384293385696	1.2338179878032525	0.019479312770342663	0.9270357719201032	0.016951282069032875	0.008152953202478929	0.008044429432528628	1.1398932745547845	0.006384932628015379
CD8Tex	0.0043205802280811886	0.04057015489445287	0.0027228738665264116	0.02934190766087223	0.001277102483188973	0.746065086232223	0.40109993091288043	0.009767391909819588	0.3664214022590031	0.005452263428390356	0.0016511293302912985	0.003681502882982331	0.7137262777865124	0.0019967249576996657
Endothelial	0.008221268287160865	0.006106744133818019	0.0006843214302473072	0.008728000811971672	0.00039764199981321866	0.003926663196455044	0.024244401054897204	0.016503310736805426	0.02177182480167656	0.0015417340623617621	0.005109857516350755	0.0034519041534848065	0.006587117328942062	0.5215262283328883
Fibroblasts	0.02634080913905129	0.01298254837825939	0.0026274758303725344	0.0066693426145424325	0.001369381199328783	0.006038703088430544	0.04384352633445753	0.013775033466879813	0.06307927909805919	0.001554046442066878	0.6710835099935536	0.009906540321676278	0.004761907613907675	0.00872218803832677
Malignant	2.1269584494790346	0.05200855046862004	0.011161555860557162	0.2284501531192127	0.008809055398711355	0.011149750634768146	0.0751728023646075	0.03389860589938614	0.1487591701161779	0.005225657046276793	0.08153953274930018	0.02331210108021061	0.007205167106334105	0.04259332404842776
Mast	0.0005632731417815563	0.007234328355044497	0.10468348132200801	0.0012915444715789666	4.1556867014547e-05	0.0012902663190429995	0.004735797750083074	0.00814052550614094	0.005086952756297813	0.0003465392770426607	0.00022720017906361582	0.0030293756297641405	0.0024906258274374356	9.690246300463194e-05
Mono/Macro	0.005856000506740145	0.28248348404003376	0.000904941390038807	0.023144554402213365	0.0006372794934093377	0.006734718765726939	0.011765125647915767	0.5227131694132917	0.03496219788734195	0.002875678917150529	0.0018558390398895701	0.7743469799260541	0.0055847570137618685	0.0023210372324724963
Myofibroblasts	0.008834481904283827	0.0027224484965258744	0.0002831237650205553	0.0035731245142698338	0.0013522103076484605	0.0025775012949051336	0.010837194542933401	0.002099279405599912	0.00869826926712337	0.0005158789920384116	0.1453622151051002	0.0008633172779265534	0.0009416385980603622	0.008412798149551488
Plasma	0.002022433460934265	0.00590979144943574	0.003009486839644408	0.0028673466892040903	0.3113666025269933	0.00508837141867838	0.0074870928226554515	0.051733244653097255	0.018299227720160717	0.004535851355307849	0.000732173679223185	0.00091489247860035	0.006017315675649835	0.0007159839831489476
Tprolif	0.000705849818802347	0.009171939886719422	0.0004271032969876704	0.13923813089426923	0.008511108911169558	0.0595987478533236	0.006639807391914498	0.0083737718817411	0.007707654972308961	0.004024865061456113	0.0013218896284157371	0.00045718461602689835	0.011699851449195614	0.0004545124421219687
