	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
B	0.0005196539267265648	0.5058105151327796	0.002446182511604074	0.0008293893937082429	0.002086454396863845	0.04389602507452161	0.012488152363282861	0.006238763328170607	0.001459545312747782	0.09448281833273908	0.006630147606032712	0.004477435395135128	0.004392005655113635	0.0054690842485904416	0.002770928791354743	0.007258862651063398	0.015311240749931641	0.0005221925271292118
CD4Tconv	0.003887126187071319	0.020633220276679694	0.014645834809972346	0.004963350486320619	0.007297032590577938	0.9075440230157222	0.008858360257237446	1.4652154261033405	0.013647124312906272	0.6190597486160498	0.6768288969667521	0.027771232034900534	0.037232669707068955	0.04167409853863403	0.008409555527936497	0.42184375058385987	0.004227506142941457	0.009158112320222477
CD8Tex	0.0011230571449577641	0.0074916795447320305	0.0037720207878731054	0.0015559115803223922	0.0038628819086362694	0.14861373705964528	0.0033857001538046784	0.505443579109951	0.0026664518369994374	0.29540987957484804	0.8977443239746752	0.026463059151637335	0.01547141845174885	0.018377785697036665	0.0027782629494119324	0.6737392921947459	0.0010935059153582818	0.001384498192219814
Endothelial	0.006216821216284093	0.0022716664700783585	0.02518469354697771	0.5391963947855725	0.0009253133048159917	0.03580249440004699	0.0035435734599543883	0.009588954924860973	0.006508157496212156	0.046302310659330013	0.005301677300199397	0.009450539358974714	0.047751565361227155	0.03955541864556046	0.00011425281284489121	0.0038919420382759005	0.0005027058325872678	0.0037231597623201148
Fibroblasts	0.028692563210342324	0.0014011686446995838	1.03570393119018	0.0053544088730783975	0.0020669625013685403	0.09703970646939224	0.007518705983038121	0.005874385077477197	0.010971367531033036	0.08020110451726944	0.0035332232584942606	0.006706547164565127	0.4217047788531292	0.05953313002967429	0.001397734418131105	0.006415713474252041	0.0009924535550285534	1.2265604003548707
Malignant	0.05710122733062643	0.005371890264363314	0.15996183476287507	0.0300444373032796	0.010137264030702937	0.22436105132614334	0.02020881269465794	0.012128112117319886	2.243424803487683	0.0819861466585429	0.006614499165772126	0.26687316685620227	0.14394454826992034	1.7347995108143048	0.001004869411298523	0.01035803883310084	0.004951705164742993	0.07699723706567069
Mast	3.4512435181312404e-05	0.0007138824152069816	0.000676350693623527	6.317081733673771e-05	0.10524929783846726	0.003908533529193652	0.0033260689988372258	0.0033825797215700374	9.80896272469485e-05	0.008914157557704618	0.0021587740139258254	0.0013048520293706325	0.002412609793783181	0.002634893182521548	0.0001737097236690318	0.0012943800740989545	5.118449388512946e-05	0.0002785935083587337
Mono/Macro	0.0010539160690967737	0.028343289376710507	0.0050632491420031685	0.0022097889609184245	0.0015792200206638065	0.04850653648390126	0.7514268319488256	0.012005600657243857	0.003531348901640725	0.033644148564279996	0.010085394374147696	0.02544530378271409	0.02308279566714977	0.023060129951996203	0.00084037183128015	0.010838924369573268	0.0007090140733926139	0.0024627379406658633
Myofibroblasts	0.2944001785854113	0.000423073187881034	0.03770589190670518	0.001368649709113138	0.00021576089431101872	0.016772873372281765	0.0008163296773672519	0.0021050727739295146	0.002173491992292058	0.016078167451973855	0.0017291992136383235	0.0032588290303646548	0.14253994046676194	0.013137878200042433	7.7257836899667e-05	0.0016663962164832175	0.0015251653909687326	0.02077907685124503
Plasma	0.00021884048798003668	0.0031533442060410217	0.0011171229368096447	0.0006935663504846447	0.000280686849674036	0.021387601246235826	0.0015450462840140202	0.006891172835393723	0.000677731039878506	0.012181978341849819	0.004552351703872583	0.002964484972861866	0.0027076937208989093	0.004914572177534158	0.32092065040749285	0.005379881874512452	0.30461186593643574	0.0010686491333562317
Tprolif	0.0012533176802034657	0.004816080779542185	0.0005365269529667016	0.0003773898836390786	0.0004520576853671981	0.0076839978230847875	0.0016473172134258392	0.0049240492165924955	0.0005516771097311435	0.006096147789489537	0.024399164580475915	0.1359602226496173	0.002225097340332617	0.0007025825539035251	0.004487513872959826	0.0653614893993497	0.00867507582526113	0.0015174739242363729
