	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
B	0.001957389316031846	0.0013072296441040934	0.017982976700570207	0.007774624914558	0.47382533601110355	0.002482995189398488	0.000774861077907182	0.05928113389106122	0.0034686693901229324	0.012504455050831266	0.028163008461922795	0.0006361486408212264	0.002885879378985235	0.005019596119193984	0.0033921260395865737	0.011069581333479786	0.04127203456381176	0.01064471328241097	0.0006676577383107034	0.0007173118052201892
CD4Tconv	0.0061162875387793525	0.015590586574494145	0.3877334367922384	1.5439754379601136	0.01532503972536704	0.013026199197487837	0.006524564006181565	0.6909952740240767	0.038103245506978606	0.2901509094673123	0.1018375409333729	0.00992922800631864	0.009817446888356098	0.8415546639385586	0.019577517488535787	0.007688107049011208	0.07306966458062573	0.3223693171071907	0.005825623221328416	0.004195180285622838
CD8Tex	0.0031267889172809375	0.0033101160942155313	0.052344045761336534	0.46986924922514184	0.004948001366496834	0.002705799086998122	0.0012784577188832483	0.3361385169934265	0.011868334199046142	0.5444176508176095	0.03947557471951001	0.0014061220245140502	0.006516528678703966	0.8077816709184215	0.004818286718754821	0.002997974165274557	0.06966191891222558	0.6092901784466724	0.0016328078655663354	0.0013591352140460066
Endothelial	0.0016596277501021045	0.005931737942527691	0.0133376061851106	0.006933985681707325	0.0016630908528233802	0.012816954751444986	0.007855412741598036	0.04649842842307356	0.0192131337330428	0.0022771474507786286	0.00908982717741495	0.0035211364196145174	0.0030718211616308183	0.005658549692935089	0.49799071252768723	0.0031390569806798675	0.045758958700242505	0.003547846965299129	0.006784811703101599	0.543766509752831
Fibroblasts	0.003037178301365953	0.007348093519360342	0.030648640043968486	0.006167527755358302	0.0012232431046368683	1.0393665053045824	0.08047224072386944	0.04873667692717498	0.13231433580045834	0.003710440081503075	0.10034102407703532	1.2768579096399004	0.0022032152900702154	0.0042726778907325414	0.02601091738443511	0.006460411725723562	0.12151814280997093	0.007282763194262437	0.02890785022016923	0.004439641046315443
Malignant	0.22612702724026304	2.248198476488159	0.08971928978818204	0.012678358015391609	0.004097202031094796	0.04194112037834681	0.027466592911722636	0.12877106888117668	1.7372908198449801	0.005381382674850163	0.0352759187455075	0.026584946437265673	0.047629131004110835	0.007457145020022136	0.08803778804533474	0.011801133433037991	0.44020645710362466	0.009582627746711288	0.050928885825826095	0.014203449882758627
Mast	0.09413281726742138	8.238463677574608e-05	0.0669714897443879	0.0027034676542421437	0.0019297708814162869	0.000581391858336747	6.164890634194917e-05	0.00712808801126926	0.0008585694030917946	0.05055277595955516	0.06296125713849066	0.00026838245220165086	4.407868505797172e-05	0.0017887344995180395	0.0004632394870620407	0.01406332338251593	0.0035569993189657387	0.0010791837091627878	8.066588291655713e-05	0.00010989604275342732
Mono/Macro	0.0015864290616835585	0.0035817316115340984	0.0193384790484294	0.008352572139889013	0.01844987231411039	0.003614083308450065	0.0015207815145355053	0.0538039243073546	0.021395741784474384	0.009154462345304112	0.008532870161947084	0.0028555517549262513	0.008356663993798037	0.006537245832398589	0.006383417474928765	0.676323135584607	0.08008119281037003	0.010204814418376926	0.0010335608451998836	0.0019932635278562087
Myofibroblasts	0.0004924805533097098	0.0018116414258842093	0.0024603070863718646	0.001950445423109686	0.00039977732166385585	0.05906909122905706	0.2835509225924973	0.012071943840534059	0.01183139121237657	0.001132240919269278	0.023652907497620668	0.015937575070243726	0.0015939462584028674	0.0012854713689195644	0.003124922377026507	0.000681584420091863	0.022626108128083616	0.0018836661563500427	0.29439742312838785	0.001269212166230201
Plasma	0.0004599357445456897	0.001171465957679082	0.012702439667615351	0.007709958995920391	0.025430592328247296	0.00311415325432092	0.0004316345549788734	0.026744636321744404	0.009060483971889709	0.006565152883770593	0.03818440185380872	0.0011559465964897516	0.20953481090831932	0.00598750856103326	0.0030170960884638026	0.0015867679970765893	0.03265801125744575	0.004610971364967854	0.0005100652952881146	0.0004515052498337361
Tprolif	0.0019889681882637057	0.0005595965629108684	0.002084480122665876	0.004937540807126226	0.004090362949187043	0.0004572440867966862	0.0019123213872858458	0.0015548783660343185	0.001094297682795386	0.006271842772633991	0.0	0.0014762247393881065	0.05606101398902866	0.02338063270150939	0.000512750973896655	0.0014337206179140215	0.035856200994350225	0.0784908483266711	0.0009775529651229783	0.00041821634565242233
