	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
B	0.5113999055534879	0.013772363601632453	0.003384074692594373	0.0010780332290968196	0.0012255292871009113	0.004596853501076913	0.01393838379415173	0.007847489945857544	0.005812410615901902	0.0030091653858402042	0.0010808508906028625	0.0019370157239399952	0.00041338481983074424	0.0019524510637656679	0.012566384736880341	0.01434549014171701	0.001989020130537678	0.02632917101353342	0.010333229500040952	0.0005999840981144684	0.04321466898603248	0.006418398942226237	0.011038841213191417	0.008655314300843167
CD4Tconv	0.014981356457544871	1.572481010286922	0.027268013998795936	0.013069250823782358	0.0066710407312930535	0.8538262747207858	0.1703913170162148	0.45231235791924823	0.003591846866141893	0.02809569021861487	0.007846735258295021	0.0051183521230369535	0.010989147873226822	0.016534009635416288	0.008389477890804246	1.5297455706863452	0.01098166943766547	0.5764304866248657	1.0197466904855703	0.004580656684766939	0.4362472911511165	0.028318248927198975	0.18759755519244872	0.5753712916130642
CD8Tex	0.004968331598099844	0.39620719847093205	0.02890747906626946	0.0023174813663412635	0.001824643551472667	0.7954977359974801	0.08608929658187404	0.6738740217721253	0.0009161506653447765	0.007403088124002213	0.0018812468126499589	0.002381205037508488	0.0013857633875533706	0.0033681044271731925	0.0032562894248239164	0.4713209450356937	0.0018860932512218614	0.34413729266191295	0.5684754037615551	0.001130207063785903	0.2853903469712876	0.004348462917548018	0.7494423289102321	1.052051367944409
Endothelial	0.0017324328240197607	0.01226586747366319	0.008819794354906424	0.0034360282213943	0.5374184728504172	0.005575302883921468	0.03649594458413444	0.004857774421859544	0.0003899324294093497	0.010825765380369588	0.5323639254296315	0.0007700843229948487	0.0032129817095345177	0.0068436182637043675	0.0033640064716534287	0.006278523155288785	0.010663229189238368	0.0076413904204480415	0.005111925571667508	0.006062552767346396	0.04204610774869964	0.030815499414111127	0.003703527236856718	0.002747742902109275
Fibroblasts	0.0013334662801052694	0.010206408184680969	0.005679365581331093	1.2768825509381017	0.00393876842238801	0.00367789108514174	0.021782679242129944	0.012729502527837543	0.0009789193933117286	0.02492525226795296	0.00793351407135036	0.0021979730281911293	1.194931425755165	0.007968081903188793	0.007146385791076979	0.006394608115773391	0.9777213520157758	0.0146428963273718	0.005346899490945235	0.02528960945219717	0.07535891271557145	0.7056061749376245	0.006003808710807978	0.004568939741525093
Malignant	0.00979189043087184	0.022316742184403413	0.19431566850748486	0.010238078521411198	0.031418953466290325	0.006386708998657328	0.056039582065923896	0.02084335878766921	0.003901426509303977	2.0758084474214136	0.03314937440648897	0.010312799498207063	0.08496433149171342	2.234829292901801	0.017493650961887434	0.02024245391135157	0.18118576089712315	0.05586429393250373	0.012790711331537011	0.040472890102507465	0.10531973875254358	0.250815712664138	0.017261766028613998	0.006185933767185337
Mast	0.0008123856961700056	0.003216716538015564	0.0010516757543228817	0.0007488574964918288	0.00013158064274697127	0.001792702529442052	0.005931058575625576	0.001830786966067521	4.398628127792967e-05	0.0009241381698827455	5.473340630720363e-05	0.10536389389720871	0.00026374179700649786	0.00016126211292703905	0.0034093689259169823	0.004074107438264678	0.00031617398816516503	0.005276502812927526	0.0017807957586986325	4.869524220343502e-05	0.009466561651052106	0.00048725043846756407	0.0014703630718039225	0.004276969868332805
Mono/Macro	0.020982232445326175	0.010338077032020838	0.023668114676750715	0.004983522573074903	0.0022701872954046867	0.005261125933572383	0.025688162422560105	0.03409261158901726	0.0005796360368114311	0.010701962779579514	0.0028122147600130936	0.0012235151400571609	0.002548255870642282	0.003835000947603239	0.7522741960124402	0.01149190544884725	0.0033195634618826907	0.02093802604730611	0.011405112185811538	0.0011389985614708557	0.08244073982147841	0.016004386088958093	0.01093369417009127	0.007973378970451741
Myofibroblasts	0.00040065281764180093	0.0017942722104977557	0.0030522859088235473	0.015867705194671563	0.0017547792365145158	0.0006605022301051745	0.004479071453073725	0.0007361551547907507	0.0013277471380969653	0.006874958518702205	0.0021272812007988267	0.0002498724314551676	0.025697006446789065	0.0021454745821862086	0.0008122141983768117	0.0025851997410011136	0.058541368530019074	0.0015565067394353988	0.0009781321168105188	0.2965667632781423	0.024520506910141897	0.08511463686985278	0.003433474369432069	0.0017659990540490474
Plasma	0.003910138132679941	0.007745125264584195	0.0025023840866548862	0.0012073291309720442	0.0003739541571620257	0.005933125602506561	0.18679611117407888	0.004400529383663616	0.31152990665882757	0.003277976030986273	0.0013599671321357517	0.0002459627219472567	0.0010839845552483086	0.0006862203219998889	0.0011156765753512008	0.005370015121771923	0.0008371452306633301	0.07524032404527031	0.008478792332949113	0.00019036837884851962	0.012839495317598497	0.003912258144807556	0.004105875981985501	0.003245344016957639
Tprolif	0.004304114003822315	0.004362644004855588	0.14276689505502144	0.0008660647909076655	0.00031311484738518266	0.024577364935678917	0.016567191622305476	0.056131244334094256	0.008074895273643827	0.0009133083666459789	0.0005241169236689436	0.0004457254103576436	0.001950734135453688	0.0006254641307364709	0.0016269769888940704	0.0010801635535874529	0.0006164976026643377	0.031142258882465072	0.03139084098682587	0.001406707184901158	0.019382253907553503	0.0008881197113785134	0.07113729142511806	0.012934189678933465
