	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
B	0.0	0.004087140281742531	0.00295833969242847	0.0053813841126953334	0.0036487533868827904	0.003071072900761788	0.00042400955363676473	0.0031897801732313517	0.5284813450658753	0.009562599564408794	0.051005200605233614	0.0007108009354919208	0.0014036096455506942	0.0037289524487083827	0.003616772672631357	0.009963455547408151	0.0016413332803458369	0.003875202158703406	0.000507676064987496	0.02583240072221487	0.0012022317452073195	0.01763328533850991	0.3569551527534394	0.0898760720771167	0.029851416280053153	0.00500681810988912
CD4Tconv	0.007887426593990898	0.024029719324200623	0.020083245727988475	1.558137633850568	0.035620539116800666	0.0036411434172990984	0.004055506776205663	0.008134101971380035	0.018609608886490183	0.45856099750230184	0.5265722068382487	0.004772869917001039	0.010953391079056608	0.563222919803368	0.051380122657494406	1.1235494176394185	0.005378602176828591	0.06509068833876651	0.009613823984953494	0.2512211668600053	0.015001738291826727	1.3404403613828482	0.018228849656029267	0.46805794465746575	0.23684824587986952	0.5794106190257807
CD8Tex	0.002436413153565544	0.026318859311355698	0.00778759384246813	0.4267816274551	0.012705474953926198	0.0007952801495810954	0.0009880077959543096	0.003224090799669767	0.005700070378481583	0.6471182788520058	0.25231515171943725	0.001164993916795709	0.001824415466493927	1.0261028531139118	0.01174907493173585	0.6060679654544716	0.0025948394830375265	0.025038798110787387	0.0012318297397699955	0.047476200504807296	0.0028226523225578512	0.46965702473204046	0.008053054895732851	0.19658499369013038	0.034084930286317594	0.7693853612254171
Endothelial	0.0005671819820818322	0.008310973872967286	0.34186344860233386	0.008292816764169429	0.005469623498736889	0.0003136541711529592	0.006330721068190782	0.0032114948368771705	0.0013258213214340892	0.004355798078736907	0.0194156903725678	0.5404280891583609	0.007004179820605117	0.0037122078686117024	0.12442546680077732	0.006635891771710732	0.0007995854771995597	0.00619529203405336	0.0035416272295552944	0.27708453363238683	0.005930920134274448	0.014249000632756047	0.0044886865204278184	0.047138680778702154	0.05240782025291614	0.004328908953884164
Fibroblasts	0.01879231239837527	0.005441642471720536	0.18455931399625564	0.007066743081655827	0.06603647567843066	0.0009010909421730488	0.023135431435323966	0.006883843320495487	0.0011065549119436545	0.00955462750816178	0.09793300453865848	0.004660313183322295	1.1221573727538632	0.004399849624046926	0.06638432472729693	0.005929905007181077	0.0019197286432980118	0.0032539520814879913	1.205846951374151	0.11611257383238224	0.006685071753375089	0.012882289191876006	0.003915262794550165	0.10123723480733895	0.21100949550209336	0.0035675873987235226
Malignant	0.01015417827860404	0.18907923104461868	0.1550224332262259	0.014612598635585707	1.882421836267628	0.0015103133128944511	0.016838587444927194	0.014288191941051945	0.002489939212189521	0.014377453061132354	0.25172290171842254	0.023587803437683203	0.0994157244889422	0.006827152645999645	0.07170789443044577	0.010920832202981639	0.008033597263600322	0.003997282069949452	0.02745866813219428	0.2853912819343357	2.239891158123233	0.01930349988787064	0.0213341554531946	0.10661240094093144	0.6797081644602015	0.007503118223425547
Mast	0.01975826568166391	0.0014138952024701037	0.001488594995342121	0.0035321386836132647	0.001138630810983453	2.8213170965448246e-05	3.631875990761971e-05	0.0031938355757362424	0.00040515643018653466	0.0016963975029512112	0.009743058561161175	7.716132204794788e-05	0.00018511519650059595	0.0034765365239715195	0.004240627696057839	0.0026510490423960727	0.10547071800613754	0.0008810835263249196	0.0002921739258888865	0.005302580800915084	0.00030898537580302743	0.0044727343990983316	0.00467336742870325	0.00991521176702577	0.0038991564000225593	0.0016803594779556332
Mono/Macro	0.033425051127133995	0.02412313790507228	0.012654048201361668	0.008709500168883774	0.018646274290179964	0.0005694798026039282	0.0008482637089083395	0.7704563371657027	0.002443395638319883	0.012078883810122796	0.0665267409607765	0.00204046396392338	0.0025632925067285927	0.00620944355183624	0.01421246722510737	0.009636526253423348	0.0012008935016078895	0.006242244457869326	0.002530872506931194	0.012035771808609543	0.004010163348607398	0.01449511613402346	0.18874269463137958	0.024245319883188902	0.04390238643921082	0.008253976692887605
Myofibroblasts	0.026703420659364867	0.003101393306990958	0.04024564207710564	0.0020383745276676287	0.017059492919426822	0.0012677600588902442	0.300484563305594	0.0008623416142520146	0.0003746414792448099	0.0017898314840783477	0.021996375879051663	0.0013275642711915367	0.04029820654987612	0.0015180841172127862	0.007811067291650624	0.001195514412536165	0.0002714439891721725	0.0014115028687850246	0.031300144850681465	0.014054010710746502	0.0019204760405447479	0.0026345908246456205	0.0004986054274945713	0.046345558467831775	0.0393337668801774	0.001872059152204512
Plasma	0.22281293345597983	0.0029898224678876952	0.0018263241404307118	0.012780004576116982	0.006209845765042418	0.3132872510767711	0.00016233493574299227	0.0011596779005220307	0.004004388307638764	0.006306144829527468	0.016073780911247063	0.0007187073530558214	0.0009278736597279338	0.003565106406610767	0.18870835802124775	0.010497011921855313	0.00021758621519783476	0.2864227993814439	0.0010681103495080112	0.0027475299918843453	0.0013345241640683233	0.00688635828123537	0.004621031857565647	0.01852995223095089	0.02335746835543218	0.005263603304917012
Tprolif	0.0	0.14258825816564205	0.0014648060858340772	0.004055617490441049	0.0013739104974520961	0.008240868428078965	0.0013273740172751237	0.0013048655470591182	0.0038308344394740426	0.06221568318971766	0.010055010509745659	0.0003588264614253684	0.0004416895609073918	0.01926223301762727	0.0032215313389282996	0.017819583162787228	0.00047576839634660837	0.010464225928312502	0.001654835337436149	0.001737129940798079	0.0005434732014884501	0.0077301491006017435	0.007835977467299443	0.003031478185034513	0.0029949910352302517	0.045426112733401164
