	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
B	0.0025298470167350335	0.004862371103313591	0.0008053369235925392	0.0005726077882699608	0.004182667309501991	0.007541015894101438	0.013950941119463947	0.36472578992722393	0.006740570451870766	0.001896788137658436	0.0014882035843084094	0.0012543516789367403	0.018986901446934674	0.004610418068247098	0.015409021046541444	0.01331485186836136	0.0004973458655654656	0.002672631204113965	0.011574604156812654	0.008401603710858203	0.5264500465420655	0.005021074404164198	0.001309912405961038	0.012761120064719179	0.028463454183197415	0.001160206304810199	0.002013206688739876	0.001620330751062834
CD4Tconv	0.003616114002329884	0.9136460514816932	0.005552126381123986	0.010333734261506777	0.0050356138968992705	0.05993281996923457	0.018611158847246907	0.03450996539590152	0.7636772200548203	0.009003162766220096	0.007650872828654242	0.015553756805858762	1.509513196135707	0.027887269875914444	0.366986641227829	0.12186817381855888	0.004502121711975573	0.007317949796294844	1.5099968107775879	0.341541756507217	0.01574842562613523	0.032223358584486925	0.010386778875544712	0.5568441021116705	0.10253909833665426	0.0015288977780657147	0.014004301952360947	0.004789220659061959
CD8Tex	0.0008404384094686256	0.7504351200501757	0.0015750839758337171	0.0014203421440915156	0.0012773609505678395	0.009009325459975261	0.009452816401719072	0.014658658304551103	0.9210652402651353	0.0009733494529601198	0.0020645442735309216	0.0027973812606154917	0.34022377625142	0.031196496693816005	1.0160682572871482	0.03914585450665836	0.0010670923871928838	0.002565370417353636	0.4955825926290631	0.7973591626837397	0.004424922754029635	0.011998468066830926	0.0015436564760430665	0.6405059109401146	0.058355004969999034	0.00018206301773339718	0.006233408853219579	0.0023311901740530544
Endothelial	0.0002475368947118865	0.005894513817148619	0.5347760591304555	0.0036089650933277626	0.00033814530343640646	0.014551974457048889	0.003976065569002893	0.005378678360776139	0.0033328007352941332	0.00407931925178802	0.5375487021973289	0.005658760730587643	0.013399360778713953	0.0084775804033768	0.008452208074629097	0.008374074454370025	0.005495851243811613	0.003351904315024127	0.006058684616124507	0.0036757015117508903	0.001342986819327553	0.017204092683240364	0.008440549081640556	0.005337347691700817	0.05521022379540674	0.00029133596770744216	0.5098119798440843	0.0007087946473867859
Fibroblasts	0.0011004654567440557	0.004545273832480202	0.008741600383655998	1.184225895239123	0.0014027590148833829	0.8205816681799057	0.007067516972438741	0.004805948263675497	0.007613301246769162	0.001797050926464578	0.005104106098938338	0.007825907739458859	0.015142643626142678	0.005744808590198287	0.013319515185606628	0.10654395305728553	0.02636235447887639	0.008629589964012342	0.0060304724107632345	0.0035941274784429384	0.0013140279461477228	0.06409116544004141	1.1104228224077684	0.013156486920905604	0.18691977388905004	0.00025051332442072326	0.010559889729185612	0.002254802199600858
Malignant	0.0027781801351002182	0.006972276378621582	0.02545718019269225	0.07341224575382845	0.012759967924704019	0.1308346765296101	0.02335491574826149	0.02077088875714336	0.011970332110100524	0.0022609578915956316	0.027102962652758893	2.2372007569900556	0.039864241812405964	0.20063085750229134	0.023548574078668075	0.06277410401489485	0.02882747513284031	0.02211581715002868	0.011029772986570244	0.008910967992370204	0.006492911586338507	1.5884928106876959	0.07115348534949573	0.018779956182667562	0.7489473051286861	0.0	0.030405197942178854	0.009346870210254718
Mast	3.077564319314408e-05	0.002284190388491188	7.591519150148591e-05	0.0003728705044979331	0.00012234153768330753	0.0	0.01035039118398562	0.0053333131166695205	0.006315560647726315	0.00014668578197471317	0.00016245442179104404	0.0002957138467131078	0.003147945109829697	0.0014292703614671178	0.004374163641579296	0.0036131329191599992	5.708593731542256e-05	0.002846943722761253	0.003621282188490731	0.0011541670491314238	0.00045960907314455165	0.0005827215192308047	0.00027702977946915126	0.001974243923489113	0.008265549565441075	0.0	0.00021218213332910285	0.10546046935228748
Mono/Macro	0.00048319559692315214	0.007197487150526474	0.0023484187458089035	0.00291316485951849	0.0009364697273949529	0.011321665883199095	0.6571659264016821	0.16371472050192803	0.006951006068784292	0.001417165121733903	0.0017291980969381044	0.00396040389677437	0.014256653642322469	0.02338193975843364	0.03455092301746032	0.00978067720241828	0.0010227873188829524	0.7741479726515966	0.005598966422703965	0.007627687936353322	0.00396164768536602	0.00556980658492447	0.002445576030442217	0.014853978335099233	0.03728142394675515	0.0	0.01604869086040443	0.0011282551884654502
Myofibroblasts	0.00041889959676194154	0.0006707225539303926	0.002291439425878725	0.029267193277310987	0.0009196981738165776	0.08206684654655375	0.0008778090015859025	0.0011106907043609822	0.002421227569022227	0.001955814534917728	0.0018372368236782763	0.001879792110946632	0.002990330903943396	0.0029930478696423035	0.002809606982576164	0.0923563892402864	0.298282461664431	0.0010660369012435054	0.0018782894300749717	0.003003166782508659	0.00041668547698493037	0.058326920911423316	0.045651699911550485	0.0019825051940229555	0.04213863344765246	0.019414798315525426	0.006897727667156548	0.00029771026112392535
Plasma	0.3218845407578036	0.006389919453921941	0.0011522671705891364	0.0011983702459904173	0.3051699242540279	0.001632360803733654	0.001633392804308046	0.005434849681249561	0.004125268785758013	0.318744004511128	0.0003954383770680992	0.001572538625603697	0.009930451047226315	0.00285972019207386	0.003627260424729035	0.1502138069018003	0.00020487219089196043	0.001198178448666111	0.006225532830874074	0.0045415780617442695	0.004351639026021749	0.00555704107371491	0.0009947127954472621	0.008507418165970579	0.011719172399499857	0.30762978349992265	0.0009483026228980663	0.0002875408215272835
