	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
B	0.003033208560618027	0.0015925490454681912	0.0009993439803866059	0.0	0.015368116930606857	0.0008704874663964107	0.008343347928280231	0.009522105799162815	0.0035783481469073408	0.04690729644327297	0.001300020316380093	0.029763241465914553	0.013384167646550245	0.013086924323145663	0.4057782598433611	0.026974388487718055	0.000488787625109301	0.03758843966105132	0.009522379970665426	0.5215343794598314	0.0016275947707905638	0.0005807410979256332	0.0036772974905526705	0.0	0.0	0.0014644791738705075	0.004285826396940929	0.002671746016653593	0.0323047452433429	0.003184101310806258
CD4Tconv	0.008148232216220177	0.01682895155622101	0.010637046090705368	0.035368633179478005	0.017279480063048133	0.0055650406538176765	0.03941321392070192	0.3654734076681814	0.7170109032093084	0.4732201218412666	0.010832527482798154	0.1173802274146354	0.11768376999873811	1.4846212606928135	0.04775628323855905	1.3221869663005468	0.012254071954906277	0.35224259585444423	1.440937425113281	0.01650267176907562	0.006381247554948899	0.0046983814249171515	0.001184416672464148	0.0	0.01967299528043787	0.0018765580629511252	0.0281052344096189	0.0470015372785636	0.08273165747063119	0.004349489156274367
CD8Tex	0.0035900593308144228	0.004005579543458888	0.0015659020013052253	0.004111989252470666	0.013920549724189553	0.0015631839551029693	0.021135183049616896	0.6867978927671977	0.8913451091676966	0.1095083690409049	0.001691839646078471	0.09422603413912853	0.023955603513612218	0.39288521940982024	0.0316316975440519	0.46243981392642736	0.0020902314331536537	0.16316263017831023	0.5178706270182966	0.006079054955993447	0.003844023637642266	0.001424461913667642	0.0	0.0	0.018007552047635843	0.0	0.027982654804629272	0.0168771262742006	0.05796515803418683	0.0012610180440105455
Endothelial	0.0035035908119821673	0.0069692643559918525	0.01493272627998681	0.025126222426992917	0.017033365453223127	0.5384729258128392	0.10134246195389501	0.0038264691520182802	0.004977566053836506	0.034625002893158736	0.009037254682841786	0.0380306016260452	0.018790981375784326	0.00913346313123118	0.006371691613306856	0.012546727020124541	0.0027058422745625016	0.053721869259100954	0.008440156970869214	0.001371081520615598	0.0008760941682416959	0.007145085398949024	0.0	0.003753676003595556	0.1811925809456532	0.0	0.009025815168771049	0.4618122682044192	0.005743524244188871	0.0003340251884229516
Fibroblasts	0.0075815495990449	0.007629787924684182	0.6083478510762824	0.09626371476258785	0.004665177071146912	0.0045123415144736	0.28916441012461375	0.006653155762742087	0.003740675273026112	0.04912095180058628	1.164272004932941	0.028503209237155533	0.457338629209468	0.008376152202291178	0.007288818624279528	0.004605584717603159	1.2862305256051156	0.05523198256568312	0.008658370389454077	0.0012839645993761887	0.00217651525733851	0.013909728476710207	0.0001453587750287926	0.0006199874417964239	0.11345383093561982	0.0004288969248661314	0.0057937245473007	0.054196181527331196	0.05709248859908285	0.0011000190593228863
Malignant	0.020796849972121473	2.221225110025422	0.08070777062195988	0.0815202931465162	0.014069934487984007	0.030000945846481844	0.643743188964665	0.013852742846731741	0.006181971606815448	0.7906228530988352	0.08167960302470229	0.03160198499179423	0.09152696049351831	0.014877541972384894	0.033461399648421083	0.033480295874786646	0.08147189102425031	0.03237863177401329	0.018509364510440024	0.0041014981275297015	0.011288010044651412	0.06850767973028116	0.0	0.0	0.08555617426499018	0.0005027157403170596	0.2490927095807982	0.08467707433237276	0.07588006908110947	0.006391815170093408
Mast	0.0028253220618420904	0.0004360580956727236	0.00019035049112795918	0.0037443196469275583	0.013488248538961365	7.531857264803886e-05	0.005634876450271412	0.0015257144016244584	0.002226987561687419	0.004729162126622168	0.00015290677237496104	0.003144681484189751	0.0	0.002731316275730025	0.005390093782433414	0.004602752255686669	0.0003426374760912184	0.052335036677736355	0.0034405043248644084	0.00047551649505323267	0.10513055209736129	7.827753423943968e-05	0.0	0.0	0.02115626968126414	0.0	0.0014501881301925976	0.0	0.0036788403220209013	5.449692779101276e-05
Mono/Macro	0.7739330300360187	0.00471820999660747	0.003363864663768066	0.003979060122998442	0.610393374026937	0.002109585694582049	0.03799239485934237	0.009386535703872477	0.00477450304207961	0.04787837722230318	0.0021286593408874795	0.003837113355560563	0.006400113194425675	0.012643428647700036	0.07628758274386518	0.006657980764668556	0.0024759223654734425	0.018891003207172234	0.006532445145321045	0.003571675136445854	0.0012064596676095547	0.0010033167103891839	0.0013866283274617318	0.0	0.0	0.0	0.02443796296543087	0.0	0.34204386351863736	0.0006109669963355385
Myofibroblasts	0.0008618618795620067	0.0019077413418969527	0.15062354974717856	0.03733728095151443	0.0005587068524940287	0.0012515507701259575	0.05094192001880734	0.0020388754061298163	0.0013845815093692173	0.00948135274570876	0.0321496593163099	0.0016203496498700238	0.1552251325115634	0.001784773531659475	0.0013437374527214064	0.0026966935130149894	0.0061372497963245055	0.003944996948728693	0.0014555356667216768	0.00035723585506617614	0.0002417008200828027	0.2949717882661061	0.003944059230867124	0.0	0.1045965042574965	0.0	0.003082615318043918	0.01166303448473367	0.015242296539867058	0.0009958499550168118
Plasma	0.0011795913968148566	0.0018540034579556035	0.0012270443110538307	0.2182684317180382	0.0019207799443978863	0.0007418866197166791	0.00592874537108782	0.005798961662570787	0.004709943268516914	0.025505988742645848	0.0011371974307387348	0.23521433655664198	0.0019367199799540033	0.009257845687002466	0.0057182311723435	0.009350947290624526	0.0010796264754198916	0.0014468746069280264	0.006056402427740988	0.006325400905030031	0.0003166634290738858	0.0002694222323802201	0.32418300863689364	0.3240317215466987	0.0034261320586190147	0.322025348278067	0.003251099303087581	0.0	0.08758315855512427	0.3116370355990006
