	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
B	0.5204191109139585	0.006930197783417229	0.03406518471900804	0.0012797350375333004	0.04832043597969224	0.0013635101250177614	0.01635308845398295	0.0004728639607602884	0.022596779550648836	0.0033887906971653468	0.020648489325586678	0.0038106668193390297	0.003781896245845014	0.004223052052587013	0.0015945894430070043	0.0004980238631866285	0.0047954839172947876	0.0016847908329392512	0.0035941656257706275	0.000704841484864924	0.00819790674779942	0.004450433341995341	0.0012652848466266691	0.014836492278657389	0.016969612114903995	0.007478751395570393	0.0018191773581435543	0.06223872448590551	0.0030806204317824107	0.00420119956846669	0.18907733711523037	0.004617334940651031
CD4Tconv	0.016626397972083495	0.6081833474216868	0.3308653622925281	0.016548659304134322	1.164787767554706	0.0005758831263804693	0.2549443124347508	0.0042291704660068	0.2683601120623992	0.019601076395550726	0.5792756620637766	0.5958642839917542	0.008318655820326114	0.020541665507169512	0.012329736039840035	0.010773278577029923	0.8464133770292178	0.0050949316101354895	0.0038073221883724436	0.004423814275594257	1.6150096719058666	0.03736714342775244	0.010254995712062868	0.19927750225871274	1.3462397955467178	0.07809258456775443	0.011819050265646305	0.34338079558180634	0.002062996178452613	0.023715403247000992	0.02458823644072916	0.004536590952736679
CD8Tex	0.00513763982205318	0.6690493686088493	0.12932285498782223	0.003980251204039684	0.2621346904594585	0.00031908225783049474	0.10616873677872521	0.0011116205234918397	0.1002148046003071	0.008278292124219669	0.4387980658034727	1.0488287720650944	0.0030778649269938138	0.0031773209460003306	0.002194987154230239	0.0017916723130553776	0.7815504048372978	0.0025953232043055227	0.0007149413910187618	0.0012208889736957343	0.41691501614450177	0.013645950847606376	0.0017845862600098035	0.6844895914717873	0.4974896621734787	0.04673240883858319	0.0011555714997699628	0.05902133247667267	0.0	0.02355882841152641	0.01040456362427157	0.0013107049214859836
Endothelial	0.001408737686075974	0.004530342657225644	0.04786528189237576	0.006102508297971528	0.019904783774463475	0.0	0.09830474010147222	0.006315287454704123	0.014839496648080848	0.47490990711696246	0.008288450821211494	0.0035623534524418287	0.0034275806792783844	0.012642177138747648	0.00794282735383897	0.002803867974595505	0.00500874081764237	0.0007154148126109683	8.943818887530687e-05	0.540813396861395	0.009074147314558498	0.010006108483646609	0.011548052219529639	0.004255411826004728	0.005574858501200921	0.005716869048568503	0.007189643235060246	0.11548081103205071	0.0	0.008725637762341492	0.0037157669991901158	0.00037084647928453343
Fibroblasts	0.0013592416900009645	0.008759757732328727	0.057685543969536374	0.006498520445925368	0.018201481238149627	0.0	0.2463292565340708	0.017216165753944662	0.26926017398117436	0.02714050524143372	0.012416013264133838	0.0045416130556674645	0.007683591767325453	0.03374733558630407	1.0871719983507435	1.2865945290484875	0.0028649876682311894	0.002129439858051406	0.002758071085648792	0.0054206814548473465	0.00842780187772547	0.057530276373013264	0.655596467437794	0.009238765230151923	0.011166923331425658	0.034111354324737525	0.0021221537397367557	0.18243129534478772	0.0	0.00585556358546217	0.007289506231979998	0.0010479287794283136
Malignant	0.00836757811065513	0.01074801707349524	0.10866807769602435	2.242712127929184	0.04658130180702905	0.0010893837204349528	0.25673543054885306	0.0473158888218977	0.20756887754821596	0.1375783812905993	0.028834453692798676	0.005393920924106544	0.018774726966627957	2.092809323260318	0.10091581521749363	0.06048057190739342	0.00720645977703428	0.008817852305043916	0.0002982176880049362	0.018275471803518704	0.016019952061933004	1.9008316413432997	0.08537360038414762	0.019697970906879088	0.023599859917938146	0.08025264186854572	0.002781066174986892	0.3734714176276149	0.0	0.20251542399069442	0.01608134664479929	0.00522513654953811
Mast	0.000613047778351376	0.0016961224414190452	0.043584658429073136	0.00028685025478316967	0.0051755886762684545	0.0	0.005264061228124796	6.218422208497298e-05	0.030117185935147874	0.0007478437596607799	0.0038313181280859874	0.0038726300999558545	0.0031759932273009222	0.0004048934890174672	0.00034276121080845475	0.0004168847331193982	0.0016342338890147972	0.10536290318146929	0.0	6.488258948267466e-05	0.0029297400162664904	0.002567731183364185	0.00028447947345640274	0.0019774378203489904	0.004724341187541251	0.0025535113752600293	0.00019759880688829465	0.0	0.0	0.0013414696597661736	0.015340221873165718	7.9136706030871e-05
Mono/Macro	0.007029857597339126	0.013097060881307099	0.042947673608039375	0.0030979136685182628	0.03542814022062538	0.0011169979783253131	0.047663860442384014	0.00101535899301217	0.022908061554512325	0.004134797568642485	0.018839638202395467	0.005950986400007393	0.7685310238272938	0.0074716324427318796	0.00313555745070523	0.002873510604024673	0.004475940077180204	0.0010783279856255682	0.0010015142592843733	0.002300091726751085	0.009783978278681148	0.016767443477066983	0.0040870993278494284	0.017076896080150398	0.01333435486815163	0.00448856955072002	0.0008412603088561903	0.0823169957988718	0.0	0.02392079967946867	0.343122683951157	0.0006350470666193785
Myofibroblasts	0.0004066947981073914	0.0011280687302612584	0.005785315295805291	0.001766668344684529	0.0031429736772119205	0.0045881982787154664	0.06033153814996954	0.2973466252947724	0.04670182352358969	0.0093974788017567	0.002252274114770901	0.0014817977273192215	0.000819780999301228	0.006480044426285628	0.045671907258424634	0.008516880599039782	0.0012449628417746156	0.00025100846132329136	0.00012987037978812643	0.0012468229220692262	0.0020085083230586124	0.009980674952030876	0.14012334475715643	0.003573898941381714	0.0041047031187641395	0.02403728526481179	0.004920338635607418	0.023168759265797298	0.0	0.0032131308764181653	0.0007743860255225474	0.0013697017653444357
Plasma	0.004216320337841066	0.00659674107220736	0.003320590197579193	0.0008649138139575589	0.020265003004591914	0.32153349290314026	0.009413459488695597	0.00023235709812433194	0.009175712389073684	0.00139605066506133	0.005745399446023483	0.003323318079859474	0.0012039305587719954	0.0020216699069616826	0.0011196563657144497	0.001052527281353673	0.005974656118411231	0.0002840445590700419	0.32512617500400937	0.0008405467834229214	0.007009302888607548	0.005624416280688544	0.001451689598575971	0.005332552879815001	0.007801548465014254	0.20359325693690347	0.31351331939838156	0.006796281171138177	0.32739672747360504	0.002884960613118278	0.005079104996521396	0.30900118765785556
