Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10
PRIM2	0.0005192720564082265	7.890124834375456e-05	6.119554018368945e-05	5.0777423894032836e-05	0.0002229170931968838	0.00019769112986978143	0.00018347449076827615	8.230133244069293e-05	0.00010099782230099663	0.00012350516044534743
TYROBP	0.000687378051225096	0.0026890868321061134	9.92466084426269e-06	1.7600815453988616e-06	2.5382540115970187e-05	9.054444490175229e-06	4.644349701266037e-06	2.3766815502312966e-06	1.0143151030206354e-06	1.4668552239527344e-06
KIF26A	2.2317694003959332e-07	5.722308671352039e-08	1.000177121568413e-06	0.0010698417900130153	1.4370382928063918e-07	1.0459422128406004e-07	1.4648489354840422e-07	6.2002960476093e-05	8.572256774641573e-06	2.968294393213e-05
PKIG	1.7554704754729755e-05	1.2679006431426387e-05	6.0106769524281844e-05	0.0005219400045461953	0.0010989205911755562	2.4747498628130415e-06	2.979754526677425e-06	0.0004373428819235414	0.00038873322773724794	0.0008986968314275146
IGHG4	1.5254913705575746e-05	2.6820316634257324e-06	0.004414320457726717	2.587812105048215e-06	1.8018739865510724e-05	1.0004675459640566e-05	1.2840161616622936e-05	7.858563435547694e-07	1.8093437574862037e-06	3.2171117254620185e-06
TIMP2	1.3857894373359159e-05	0.0002174175315303728	2.5386847482877783e-05	0.00017360936908517033	7.322602414205903e-06	8.572591468691826e-06	5.126807536726119e-06	0.002098354045301676	8.738391443330329e-06	0.00024384005519095808
CERCAM	3.130180266452953e-05	1.9487970348563977e-05	0.0002710830303840339	5.1148268539691344e-05	2.502725919839577e-06	3.3622252431086963e-06	2.1357423065637704e-06	0.001722373766824603	8.801337389741093e-05	0.0001886835234472528
GRN	7.312144589377567e-05	0.00197990657761693	0.000400632357923314	0.0004789993981830776	0.0002515647793188691	5.957174289505929e-05	4.8793532187119126e-05	0.0005217530997470021	0.00031425317865796387	0.0002347414701944217
MMP9	1.1012162985934992e-06	0.00017372309230268002	1.1179647572134854e-06	6.950419901841087e-07	7.729318554083875e-07	1.3977384014651761e-06	6.143706627881329e-07	0.00016997706552501768	3.685680098897137e-07	1.801291205083544e-06
ATG3	0.00018824980361387134	0.0008126954780891538	0.000384865008527413	0.0003066587378270924	0.00030634994618594646	0.0004555978230200708	0.0003876162809319794	0.00016673284699209034	0.0003941518079955131	0.0002855446364264935
CLEC4A	2.3114021132641938e-06	0.0012600322952494025	1.657716347835958e-05	2.9816472306265496e-05	7.677041867282242e-05	7.914285902188567e-07	1.790831674952642e-06	1.3687483260582667e-05	2.207602847192902e-06	1.2817398555853288e-06
FAM111B	4.3409863792476244e-06	3.975203526351834e-06	5.031996010984585e-07	2.187815198340104e-06	0.00013448407116811723	0.00010087400733027607	1.5486696156585822e-06	3.2404916510131443e-06	0.00010835054126800969	3.2185610621127125e-07
LAIR2	8.804343815427274e-05	9.299531029682839e-07	3.923827307517058e-07	9.624825025866812e-08	4.2157039388257544e-06	0.0011303045321255922	9.556142322253436e-05	7.166093496380199e-08	1.1644108788289032e-08	7.54065041519425e-08
IGHV4-61	3.6312673046268173e-07	9.124265432092216e-08	0.00144298339728266	8.540895350961364e-07	5.28394184584613e-06	5.1237648790447565e-08	4.5329019826567674e-07	9.027535696759514e-08	6.2184875027071485e-09	1.7987086948778597e-06
NUDT14	0.0007702664588578045	0.00038004203815944493	5.494190554600209e-05	0.000605837325565517	0.00011857420031446964	0.00036417722003534436	0.0002360570797463879	4.074528987985104e-05	0.000719601521268487	0.00014222858590073884
PLAU	3.591744098230265e-05	0.000435136811574921	4.0420413824904244e-06	0.00010261619900120422	2.315838628419442e-06	9.35276420932496e-06	6.797260994062526e-07	0.0011786414543166757	1.0064954949484672e-06	9.289606532547623e-05
AIF1L	2.1757539343525423e-06	1.8399897498966311e-06	5.020827302359976e-05	0.0007065777317620814	1.312086965299386e-06	5.518403440873954e-07	3.427293506774731e-07	2.124986849594279e-06	0.00019971074652858078	5.3957664931658655e-05
FBLN1	3.9113997445383575e-06	1.050253672474355e-06	8.414664989686571e-06	9.474121611674491e-07	2.1381395072239684e-06	1.850529315561289e-06	1.3663237723449129e-06	0.0013134533073753119	4.1239100028178655e-06	0.00041678169509395957
DNM3OS	1.0178447382713784e-06	4.934822186442034e-07	6.967952685954515e-06	9.938498988049105e-05	5.755915708505199e-07	4.690656965067319e-07	5.496842732100049e-07	0.0011045454302802682	4.051324822285096e-07	8.449965389445424e-05
MAP1A	4.355179407866672e-05	4.354559678176884e-06	3.630747232818976e-05	5.5785494623705745e-06	0.00025696816737763584	4.397115844767541e-06	1.2762367077812087e-05	0.0007224726723507047	2.1641784769599326e-05	0.0006678371573798358
MS4A4A	3.054447006434202e-07	0.0012978686718270183	4.1103758121607825e-06	8.195821692424943e-07	1.2518349876700086e-06	9.407447691955895e-07	7.792043987819852e-08	6.022431193741795e-07	3.010805755820911e-07	2.1184860088396817e-07
KIF4A	4.476420087939914e-07	2.2850374534755247e-06	1.3042797490925295e-06	7.223007287393557e-06	9.443609769732575e-07	2.0544610379147343e-05	1.5318391888285987e-07	2.0513780896180833e-07	0.00013419358583632857	1.0098196980834473e-05
CPNE5	3.71598002857354e-06	2.5101435312535614e-06	0.002363098319619894	0.0005721371271647513	0.001169490977190435	1.491771172368317e-06	2.402194922979106e-06	1.2521298913270584e-06	1.114944552682573e-06	5.796950517833466e-06
FAM92B	1.4009302162776294e-07	2.2391586185221968e-07	0.0031347658950835466	6.790195925532316e-07	2.247189740955946e-07	5.1642263798612476e-08	4.85660400784127e-08	5.6145641025295845e-08	7.901087784034644e-09	3.207077554634452e-07
TNFRSF17	3.276702500443207e-07	5.28662781107414e-07	0.005534730385988951	2.8983055244680145e-07	0.0003499475715216249	2.1024533225499908e-07	2.721393173032993e-07	3.4474277299523237e-07	2.1044030518169166e-08	8.106659379336634e-07
IGLV3-10	1.0068782074768023e-07	4.198677316935573e-08	0.0015246550319716334	5.019320070687172e-08	2.5711357011459768e-05	2.9978056659274444e-07	2.358787241973914e-06	3.943858217780871e-08	5.168458105941909e-09	5.4208694422186454e-08
