Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12
PRIM2	0.0002581438166089356	7.655523950234056e-05	0.00011178510612808168	0.00027032074285671115	0.00018620857736095786	5.2552117267623544e-05	6.817655958002433e-05	9.08943111426197e-05	6.61761368974112e-05	8.864475967129692e-05	0.00022621627431362867	0.00012070196680724621
TYROBP	4.729881311504869e-06	1.6158854805325973e-06	1.0548507134444662e-06	1.2437710211088415e-05	1.992852730836603e-06	4.891464413958602e-06	8.23286063678097e-06	0.002729058964177966	1.842248593675322e-06	1.632699081710598e-06	9.418465924682096e-05	2.1416361050796695e-05
KIF26A	1.2150010775258124e-07	5.341874930309132e-05	2.7801261239801534e-06	1.7570565660207649e-06	2.1400173011443258e-07	0.0008945708395913243	8.356366834050277e-07	9.306727832836259e-08	0.0012449865462258458	5.274632258078782e-06	8.694998143710109e-08	5.613348719180067e-08
PKIG	2.8428998120944016e-05	0.0004899670602753758	0.00040320464177057147	3.126078809145838e-06	0.0013586214045062661	0.000582164793740958	7.89654950494878e-05	3.730511889443733e-05	0.00041676408727653325	0.0008852561586536467	1.49295908613567e-06	1.31125925690867e-05
IGHG4	2.8106564059271477e-05	1.7478531617598492e-06	1.5500186236749869e-06	8.432774848188274e-06	1.4192942217050586e-05	4.36097025158233e-06	0.004313901532441378	3.4574147775856545e-06	5.312562052495196e-07	6.282587037276244e-07	8.631249329482671e-06	1.2912992133351509e-05
TIMP2	9.662987395131495e-06	0.0019337492994964123	7.3366759352211375e-06	6.608707280975068e-06	9.27367636904819e-06	0.00021885483874939382	2.5955883756978437e-05	0.00021729090076405555	0.00013738662528339773	0.00017997625400312245	5.537930064747343e-06	7.593275768158492e-06
CERCAM	3.0343014714162564e-06	0.0015803384594619274	8.94987242645584e-05	4.78603396913968e-06	4.246028765919618e-06	8.496334339724854e-05	0.0002647465153131634	2.24669165618252e-05	5.6190910981968045e-05	0.00015355221694335341	5.2646082622231916e-06	2.7571979899221333e-06
GRN	8.30232966109179e-05	0.0004712424415629357	0.00031825792393647134	5.5583386711077765e-05	0.00021877401741221547	0.0005616864073090255	0.00040494624408893287	0.001934362342581153	0.00035974691854789853	0.0003220023645553738	3.4418757422827184e-05	7.118751818779856e-05
MMP9	1.5017130863270722e-06	2.9044842449366115e-05	6.234893135115271e-08	1.6760513972258195e-06	1.9322772004670696e-07	3.9993842619878706e-06	1.8315976149096969e-06	0.00017714155546855181	3.948520657104382e-07	0.00026976989465765655	4.633376136098377e-07	1.2193243037472712e-06
ATG3	0.0003948616795241833	0.00019593698380049318	0.00038982165278866887	0.0004794762935489416	0.00027776602655649185	0.00021399509569164366	0.0003775684745050967	0.0007870653062127531	0.0004218453250359744	0.000276376522378996	0.0003768510650843382	0.000398537638830021
CLEC4A	1.0512981134525035e-06	9.740158020576928e-06	1.1207139323232695e-06	1.6276844689855352e-05	3.058062065974809e-05	5.9171707107452676e-05	1.4060299690754618e-05	0.0012335410574451089	2.6904451715381583e-06	7.628395337633265e-07	2.5625035959819797e-06	8.806723599263933e-06
FAM111B	4.448413164936937e-06	5.511496965482365e-07	2.9710761737078428e-05	0.0013977333437651396	0.00012273907486815006	9.047456842381507e-06	1.09401298686862e-06	6.946243502170546e-06	4.1264868855250825e-07	2.204783413617406e-06	1.7955771625111083e-07	7.412485274471692e-07
LAIR2	0.0017195354448631406	1.2776281721471605e-07	3.191530595358927e-07	0.00012781471014022827	4.947806928612408e-07	1.7065990220999083e-07	1.5526447896263562e-06	2.0998579941533535e-07	2.28531561674572e-07	1.4075504850552534e-07	6.415036477847025e-05	8.281038026325405e-05
IGHV4-61	1.6496504429142078e-07	3.328845536998415e-07	2.4205142779010203e-08	1.5390443195428816e-06	5.750452601205325e-06	1.1594915605428469e-07	0.0014184105675667524	8.780451139500656e-07	4.268259488071635e-07	1.4172034923376486e-07	3.015713332388259e-07	3.23999188367452e-07
NUDT14	0.00029579372494481504	5.9878104366362095e-05	0.0007498037884943187	0.000334884796757251	0.00011000963422702625	0.0004885703092440963	5.245145075605251e-05	0.00037235667696222663	0.0007486855029128492	4.806356082553975e-05	0.0003488724760245532	0.00020800162747036666
PLAU	6.463059435191099e-06	0.001048078527674079	5.53665529423597e-07	7.808860573277343e-06	2.3069142116582952e-06	0.0001826670195441693	3.174828179908218e-06	0.0004347251378931105	1.9784396499744616e-05	0.00010446432861499488	3.6736107631440973e-06	1.5101825283636572e-06
AIF1L	5.858788085788547e-07	1.0779282320072525e-06	0.0002015543432207778	6.049090643500676e-06	4.110316695005167e-06	0.0006137067684903741	5.914823486818932e-05	2.0754725937877083e-06	0.0007501267245970666	6.948245572857559e-05	3.014331468875753e-07	1.1686955758705153e-06
FBLN1	1.2154114301665686e-06	0.0014250081731006503	3.6495330277830362e-06	5.0332132559560705e-06	5.067229722044431e-06	4.997436008125078e-06	1.1060162250942085e-05	3.387399146959069e-06	9.500649866822641e-06	3.0527091439580545e-05	1.4642165524492157e-06	1.8791448610500083e-06
