Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14
PRIM2	9.468994539929554e-05	0.0001775400451151654	0.0006788086029700935	0.0002831363526638597	5.836928903590888e-05	0.000175355831743218	0.00013026867236476392	4.0522663766751066e-05	0.0003631719446275383	0.0001850548869697377	7.691592327319086e-05	6.013540405547246e-05	0.0002483594580553472	4.9993810534942895e-05
TYROBP	4.832795639231335e-07	0.000945999170653522	0.0005451230681501329	7.931900654511992e-06	7.221140549518168e-06	2.4235399905592203e-05	1.2947583627465065e-06	0.0007295624818652868	0.0007241278071887791	9.035164111992344e-06	1.735211412778881e-06	0.003010885324329138	2.2130894649308175e-05	1.2306981034271303e-06
KIF26A	5.162327852303861e-06	3.304273548110359e-07	3.130827792574564e-07	7.927173442112689e-07	1.1995193744951393e-06	7.669552104516697e-08	4.534683171186771e-07	5.109475296194432e-07	2.0191529870317027e-07	1.5305337797144603e-07	5.651433457387611e-05	8.488703429065936e-08	1.948758949765761e-07	0.0010813550325110555
PKIG	0.00041656644316390157	0.00012608975521288812	0.0005658926093019545	9.624887752579525e-06	4.5512933866120875e-05	3.892917447956279e-06	8.038552550715394e-06	5.022514233132824e-05	1.6834788766573183e-05	0.0012816229136660695	0.0005925715086050332	1.4155169083096553e-05	2.1856681087228935e-06	0.0005290984991006553
IGHG4	1.623222601665475e-06	5.681337370333495e-06	2.5844892661552876e-05	4.9621107791608665e-06	0.00466696685180068	7.922471922938712e-06	1.6630287063890137e-05	7.206953887362033e-05	7.83035829954315e-06	2.8603746613953263e-05	8.489686251778039e-07	8.526162105226831e-07	1.0930676580755971e-05	2.348373982385965e-06
TIMP2	9.168622455035802e-06	1.6700929336366244e-05	8.987136425275821e-06	1.2140754733991344e-05	1.9627021174528636e-05	9.477285857428797e-06	6.5846811594383325e-06	1.7807931726565585e-05	3.17368539981544e-05	8.633273864688817e-06	0.0015036817640066147	0.00027381390100345016	3.289652340754401e-06	0.00017782165377866477
CERCAM	9.486483031651005e-05	7.029787411738653e-06	1.9118959244224243e-05	1.5246659131662454e-05	0.00028433193801902235	3.9302249206230044e-06	2.8505714908533264e-06	1.641974813537672e-05	5.785601751995273e-05	2.5670115064713173e-06	0.0012106560170650482	2.53220132435672e-05	2.7898133794224123e-06	6.106404180172831e-05
GRN	0.00033034902298823	0.0011257987935096025	0.00012512813555076718	5.448082083603367e-05	0.0003931807877961546	5.882242112420499e-05	5.8050500229001045e-05	0.0008472829940728843	0.00011381181684555486	0.00022496601741295308	0.0004386031359899789	0.002198684262111783	3.859949720208533e-05	0.00047674711095169187
MMP9	1.0435084618620749e-07	1.220094691234408e-05	4.517522143032693e-07	1.520000523669296e-06	4.241393867232546e-07	1.1402496511436766e-06	9.097800557356095e-07	2.46471745413146e-06	2.9089414965710603e-06	5.875765509699704e-07	0.00011106618330813944	0.00022424272901844233	5.389551347434463e-07	7.024260639809654e-07
ATG3	0.0003954646235797554	0.0009547814261168242	0.00019362046441528946	0.0004519401991274208	0.00038036712794564664	0.0004335874691605568	0.0004244411538820714	0.0011981404386460781	0.00018452396034263074	0.00026986090233549476	0.00020908645819872618	0.0007440171902999282	0.00034147643600590527	0.0003086852957494557
CLEC4A	8.367314876522869e-07	0.0006211495492607355	1.4725810615345836e-06	1.6411323713327874e-06	9.600091289030388e-06	4.962775506101025e-07	2.3000117721494462e-07	0.0038808940444141626	6.780975127185229e-06	5.3227089665597305e-05	8.438450095127337e-06	0.001011572778224945	2.269221113238018e-06	1.537660318717826e-05
FAM111B	8.477350093016867e-06	4.454675581655465e-05	2.4467803427796753e-07	0.0020132046192884445	5.804157012789801e-07	1.7643545788814663e-06	2.2140254429814377e-07	1.682759716459259e-06	3.1533986089016253e-07	0.00012930062075611204	9.626270411899895e-07	1.2651155429921346e-06	2.4740984372328967e-07	4.148375410295557e-06
LAIR2	8.05943844994772e-09	2.2530661226483062e-05	1.6604511188234028e-07	3.548967288224958e-05	1.5150069430092117e-06	0.0012612852733582258	0.0001595616777194664	1.65753272085567e-06	3.560595723683946e-05	8.637023256596876e-07	3.574396245653588e-08	8.98328238463364e-08	6.608145667996723e-06	6.151143594479436e-08
IGHV4-61	1.2103882340852579e-07	7.097187335602939e-07	0.00010022461356129497	7.013453284798743e-08	0.0013448498211801052	5.693441096354945e-08	8.520391361344082e-07	7.732440963081899e-07	9.113266514759744e-07	7.297463071154198e-06	1.4188123031999567e-07	5.5749822536199645e-08	5.170758754502458e-08	1.972863827859328e-07
NUDT14	0.0007451868732459843	0.0003630548308137804	0.000733200169634074	0.0003432889934629202	4.058898048242554e-05	0.0004224772856105119	0.00023717903241049498	0.00024707679403945804	0.00036396391806192696	9.119422611547634e-05	5.316412716638297e-05	0.0003480850427877158	0.00022444156638812274	0.0006099226884543896
PLAU	8.027354283512977e-07	6.588899850612506e-05	1.26886570797069e-05	6.443567599490052e-06	1.7629417925490998e-06	1.2190701454528607e-05	1.0242367807222763e-06	7.085003289830638e-06	3.588087929529138e-05	1.7890149592858506e-06	0.000823838054202497	0.000540580484084785	1.4949240494388505e-06	0.00010642665438354015
AIF1L	0.0002091044734697789	2.2678316327073844e-06	1.2119484154027305e-06	5.6252829381264746e-05	5.9236917877569795e-05	3.256398315443221e-07	8.959340220826562e-07	1.5427202697537723e-06	4.3739558464039874e-07	1.5374811255242093e-06	8.464416168862954e-06	2.683991169760702e-06	5.605061232927255e-07	0.0007064850069582462
FBLN1	4.058719696331536e-06	3.6001260923512746e-06	4.006913968623849e-06	1.2111854630347807e-05	3.340221837788704e-06	1.950924115590169e-06	1.8565630170996883e-06	8.188798346964177e-06	9.595523806638084e-06	2.015034397118143e-06	0.0010725168976932764	1.4169345377013087e-06	8.576885193178896e-07	2.5960987386497436e-06
DNM3OS	5.185963232179347e-07	1.6590252016612794e-06	2.2033420918887714e-06	1.9053330788665335e-06	5.215908913669409e-06	7.712559977335331e-07	8.877543677954236e-07	3.5931109323428245e-06	4.308117695472902e-06	6.028865868756839e-07	0.0007741229492239654	1.2463658549677348e-06	4.7190789587148174e-07	9.719522495288402e-05
MAP1A	2.515606684028171e-05	0.0007964099640958011	0.00021190203551668674	1.2048523785779253e-05	1.4985938832978718e-05	3.2180971629713895e-06	2.3087004592525773e-05	4.342375177657232e-06	4.911143332719803e-05	5.6297874834854156e-05	0.0007504285895265639	3.852834652207093e-06	3.314477453386644e-06	6.433951512008207e-06
MS4A4A	1.519624071022463e-08	0.00010911541903624311	5.402448550739791e-06	4.882634812020115e-07	3.228323976145475e-06	5.00446503792773e-07	1.1797009591418828e-07	1.1130513485113624e-05	6.776785994588863e-07	2.5220722363883397e-06	1.3975409274280537e-07	0.001618243521079421	1.3245205821021955e-07	5.974675900688453e-07
KIF4A	8.672397910913787e-08	4.099955276615219e-06	2.039854507529526e-07	0.0023742306511849165	1.4802654959567008e-06	7.033598876660108e-07	7.333284202104551e-08	1.2516003380369511e-06	1.8825281244971848e-07	3.089107565301674e-07	1.946364591276506e-06	7.056102617752913e-07	2.7153134851687355e-07	5.561052603297867e-06
CPNE5	4.82479777019762e-07	0.00012103072367608547	0.0002897121012210846	2.1234700398053974e-06	0.0025635696947574615	1.241062136614346e-06	2.9473496852006065e-06	3.130052573396824e-05	1.4988092971179867e-06	0.0012669131392613053	1.1788324627559632e-06	6.457860308728414e-07	7.475481652363669e-06	0.0005600675358437002
FAM92B	1.7225410431365162e-08	7.138404498618911e-07	3.2249452033283887e-06	7.52105293599925e-08	0.0033489991910755634	5.8250609669130426e-08	3.654447482404066e-07	2.2053967768442817e-05	1.3182726377181098e-07	7.761507845316373e-07	7.88821949981866e-08	1.2301440222017845e-07	5.2993211596685796e-08	9.029206182731286e-08
TNFRSF17	1.6190073282018602e-08	1.4494636161543895e-05	8.373674063477665e-06	1.6192851148844056e-07	0.0059263817965984344	3.0878067036610446e-07	2.3633674572920427e-07	2.5901688786689192e-05	4.5797264647262637e-07	0.00045159878209233284	1.8319009598144476e-07	2.747965481830761e-07	2.2657673071080353e-07	9.722852922777747e-08
IGLV3-10	3.876879262065813e-09	2.0019923852032662e-07	9.339399298369244e-08	6.347639214254741e-08	0.0017487171571701765	2.967041190515829e-08	2.1828626017850183e-08	2.8006684260617476e-07	1.1910484687405187e-07	7.065033713615776e-08	1.873681299002783e-08	3.753478594603621e-08	3.419459972064942e-06	3.511262747224464e-08
CDCA2	1.1417444511607755e-05	7.508671387768118e-06	1.9209630863770144e-07	0.002672538161277771	2.60033925769676e-06	9.726990128910984e-07	1.555805795305787e-07	1.2978987797396258e-05	9.79094011199777e-07	2.504350788967713e-07	2.5508954877295764e-06	5.882553750780062e-07	2.615425671592675e-07	1.623711796128191e-06
IRAK3	1.9956489722972037e-06	0.00023256047279573977	0.00018859546980820596	6.716355073876912e-06	2.8457791358960094e-06	6.8969438871135935e-06	1.061922375811264e-05	0.0007503495435230434	1.3565517292590812e-05	4.2984851461369544e-05	0.00018448819173499942	0.0004834682622458786	1.2858674836024875e-06	0.00037867680657655
SLC44A1	0.0003238637000322342	8.733960567042232e-05	0.0009284145780839026	5.7189816288882867e-05	0.000869087758474052	4.132898538955487e-05	0.00013842458429280668	0.0002597218262962997	0.000432862201705575	5.8144556533079594e-05	0.0008170322980731726	0.00018908990023192018	6.842218135716394e-05	0.0002592837845440954
TRAF4	0.00028662849217653275	0.0010456122690811753	0.00020687586220446974	0.00014375822502188385	0.00014061354158911854	0.00013230627519078553	0.00011390841973479837	1.4862505850032903e-05	3.474905315670185e-05	0.0006272656610235572	9.920624870574102e-05	1.0633005331328604e-05	7.701091817580163e-05	0.00010623623529681936
