Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16
PRIM2	0.00022892553533893079	0.00032388753606937826	0.0001250099012395367	5.405348929343745e-05	3.449912037467584e-05	0.00038615483208559453	0.00021039544662926346	4.560072557069361e-05	5.213150870986283e-05	7.323057798203081e-05	8.945889567257836e-05	5.914255962125026e-05	0.00030724468524567783	4.2611554817995057e-05	6.849512283224612e-05	0.00018267607083544135
TYROBP	1.551978812130983e-06	7.947454832901713e-06	5.8956784414476715e-06	0.002944770036265254	9.258033969672397e-05	0.00045983120799064636	7.015757091721753e-06	1.0776055887617986e-06	8.373728633159772e-06	7.004327926551923e-07	2.0343411506473785e-06	1.18099819701456e-06	1.9582355434977217e-06	1.2817799870390445e-05	2.3977393084351206e-06	0.00017200957518070936
KIF26A	3.2308108188772167e-07	1.444148551854596e-07	1.7767894178177812e-07	5.399648728143802e-08	1.0465666491654702e-05	5.4095337986836967e-08	2.6417865228722803e-07	0.001097207423299551	7.561411621281877e-07	1.0026985364675056e-05	2.988871585785091e-07	0.00019199689268134534	2.459882466609997e-07	5.387415058066836e-06	4.371139220893383e-05	1.2915285196868354e-07
PKIG	2.2194699340616353e-06	0.00048168550711125135	3.162865687045269e-05	8.509226063324604e-06	0.0005005743587389588	0.0008344511734321713	1.9693718513735803e-06	0.0005229235393926501	5.474992940435186e-05	0.000410502718295902	0.0008823608513921499	0.00048686054651625454	0.00032531426404602826	9.278996003558859e-05	0.0005242110346443951	3.464580458967248e-06
IGHG4	1.1439033187343739e-05	1.8575812646304257e-05	2.533277211114182e-06	7.869475666666403e-06	1.0992038369295187e-05	4.639664439309854e-06	2.1636322344420478e-05	1.7202052049469785e-06	0.004294827580451965	4.4515425656754815e-07	1.3878021491109394e-05	2.6903347816187306e-07	8.511409760103561e-06	0.005272516515105963	4.339725364843616e-06	1.5050895854074042e-05
TIMP2	8.171080480678938e-06	4.695055849879282e-06	9.046193554240745e-06	0.00025624214322306216	0.00019070658890996128	6.752541594323702e-06	4.4750158849637955e-06	0.00017941405531018972	1.922382762131747e-05	5.682517439709045e-06	0.0001597246155142784	0.0006782618584111333	6.22817242401652e-05	5.182212407817133e-05	0.0021954604890197515	7.278625162143726e-06
CERCAM	2.0266745650587836e-06	2.1236307929939358e-06	4.154676844336791e-06	2.2472799173556268e-05	9.120861068367958e-05	2.361463430133881e-06	4.03959211325855e-06	5.1941638957941905e-05	0.0002627735084388405	5.5019743740558624e-05	0.00011853501928271726	0.00030752093880437315	0.0003998648899141699	0.000308040325762704	0.001829677727073431	6.359709004755132e-06
GRN	8.955683006206527e-05	6.709404988214374e-05	4.605379581335001e-05	0.002160745207220316	0.00012105955102015287	0.0004125891427975148	4.2194817069685087e-05	0.0004845372459385544	0.0003954034182243049	0.0003406143805477768	0.00032834376906976104	0.0002577584236860275	0.0002191144012613222	0.0004480967181734741	0.0005270972033031285	4.3765561713371426e-05
MMP9	1.6009022374419146e-06	7.013894105512009e-07	1.0174978797294898e-06	0.0002083910658257082	1.269509994017426e-05	8.929879982133571e-07	1.9056716382692684e-07	3.9831135723034095e-07	7.849173471186077e-07	5.847934048119896e-08	0.0001268763153348118	6.640570404670143e-07	7.679253940295894e-06	5.140506345924223e-06	0.0001256768446182832	1.074423721547646e-06
ATG3	0.00039454823127016425	0.00033592162071727216	0.0004226267628837377	0.0008382262894883752	0.0004061415384057909	0.0003559013130143285	0.00032087587169371545	0.00030639697797596455	0.0003910475643351674	0.00044370468822307885	0.00029690234805457294	0.0002532517537474632	4.562111644190736e-05	0.0003096215077675879	0.0001928811107063666	0.0004246844910085201
