Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18
PRIM2	8.438441000180319e-05	0.0001834973954828456	5.400135341915302e-05	4.8908990720519796e-05	0.0006461248267441988	0.00026643837918527424	6.238173227757215e-05	0.0001962084206752479	0.0001492918818257749	0.0002863902482204139	0.000147195445606485	0.0002228407101938501	0.0001260514691239223	4.836375592276454e-05	2.3487071302952245e-05	0.00019659165991470218	8.114630327327177e-05	7.762153109069914e-05
TYROBP	1.257216013073048e-06	6.304720045591239e-06	1.2665312851822819e-06	3.994588496425422e-06	0.0005728287505917251	5.8323025768913794e-06	0.0028117874171584845	2.1541532078117598e-06	8.792735002316476e-07	6.3368133851327e-05	0.0003483194741420448	6.67181120661553e-06	2.172619861084968e-05	8.04669809895131e-07	1.473015800002031e-05	3.8032153497624677e-06	1.5797930245753378e-05	1.743319785418862e-06
KIF26A	3.15817760565551e-06	1.317471856054908e-07	8.855361375026405e-05	0.0011272933334112167	2.0031050951274665e-07	5.46833746284392e-07	6.56441869750779e-08	2.273654757800614e-07	1.1804984751506709e-05	6.517531801364385e-06	1.1093079166357711e-07	1.2150291695434134e-05	7.105541612872912e-07	2.4470750759064686e-06	1.92757579497993e-06	8.574647836212534e-08	4.2937190869452024e-07	6.775509973522276e-05
PKIG	0.0008662603795528412	0.0011217143619433045	0.0005422685644589365	0.0005211763200350106	0.0005326626705937088	1.4862618627375923e-05	1.1725715921784285e-05	1.3449468951876042e-06	0.000372769427485764	0.0003561024786904454	6.196655249368632e-06	2.5381832529092208e-05	0.0007005039951764047	0.00045390010927803814	4.825239011552185e-05	1.675381440691126e-06	5.860465171281248e-05	0.0004870938719250262
IGHG4	7.574788014608203e-07	1.1899398487003054e-05	7.211668844320229e-07	2.3258626242750324e-06	1.0537891284911893e-05	3.989110700786114e-05	2.3677596345805796e-06	1.159530074801296e-05	2.9445016025420045e-06	1.4295258552010637e-05	1.2144982974859886e-05	1.1154805179103278e-05	4.3959286699646327e-07	9.266144616049132e-07	0.003274209564551711	1.5415060261148028e-05	0.004245426040142775	1.3891361732021323e-06
TIMP2	0.000194824009668082	7.249815553223016e-06	0.0004241025308147073	0.00018126641225535423	6.751097771484638e-06	5.235154094407335e-05	0.0002394969342276454	4.463857749215094e-06	1.7308655515080318e-05	6.202694930834696e-05	1.1800649190263357e-05	1.3387367289396934e-05	0.0003945198259316385	4.135538347327383e-06	3.148868927382864e-05	7.447694770235103e-06	1.6926411262829788e-05	0.002215250162407756
CERCAM	0.00015012104995548725	2.471331526976428e-06	0.00016824473277665675	5.1911665650550276e-05	1.5193332728813402e-05	2.7980797312920913e-05	1.9839402739307843e-05	1.4386519069375936e-06	0.00016393001715186983	5.269027315080166e-05	1.2242630873515736e-05	1.788981717254501e-05	0.00027442243299447	2.7040568966185674e-05	0.0002754300949163735	2.5596154955565e-06	0.00024677443434484303	0.0018372278427705169
GRN	0.0003284307604189962	0.00023012659221421927	0.00017061577818822116	0.0004898831248283386	0.0001268610794795677	0.0001768275978974998	0.0021166622173041105	4.444326623342931e-05	0.0004319807339925319	0.0001248023472726345	7.95084924902767e-05	8.845254342304543e-05	0.00030188163509592414	0.00022660840477328748	0.00032575696241110563	5.4530279157916084e-05	0.0004733834066428244	0.0005281049525365233
MMP9	1.256978157471167e-05	5.516936880667345e-07	3.9722408473608084e-07	6.751449177500035e-07	2.283275932768447e-07	6.620869612561364e-07	0.00011874899064423516	5.928626478635124e-07	3.273192135111458e-07	2.839310127455974e-06	2.113486061716685e-06	1.723134687381389e-06	0.0033086114563047886	3.378525548214384e-08	2.1325145098671783e-06	7.691619430261198e-07	8.356264515896328e-07	8.912904377211817e-06
ATG3	0.000276829901849851	0.00031202248646877706	0.00031028519151732326	0.00029993668431416154	0.00023116206284612417	0.00013052202120888978	0.0008353610755875707	0.00037798224366270006	0.0002490188053343445	0.000215277133975178	0.0004773551772814244	0.0004980629892088473	0.0005462924600578845	0.0005384813412092626	0.0003916280111297965	0.0003875081310980022	0.000377154239686206	0.00016961817163974047
CLEC4A	1.748103954923863e-07	7.43299096939154e-05	2.836473868228495e-06	3.443547757342458e-05	3.4635201018318185e-07	6.019682132318849e-06	0.0013373865513131022	8.896532222024689e-07	1.0013754945248365e-05	1.3722587937081698e-05	2.9578157409559935e-05	1.3918419426772743e-05	1.609376704436727e-05	3.0501479386657593e-07	1.105773299059365e-05	2.392111184690293e-07	2.5542110961396247e-05	1.2398419130477123e-05
FAM111B	1.3062240213912446e-06	0.00011435069609433413	2.092291282451697e-07	7.459100288542686e-07	3.9689842878942727e-07	5.150648689777881e-07	1.4925600453352672e-06	2.2837303959022393e-07	1.5973242625477724e-05	1.7887009562400635e-06	2.5999972876888933e-06	0.0017657586140558124	1.258071620213741e-06	2.988575943163596e-06	1.8567061488283798e-06	6.759001735190395e-06	1.126422489505785e-06	7.283696277227136e-07
LAIR2	7.997133621984176e-08	4.891826847597258e-06	1.5423668742187147e-07	4.322651037114156e-08	1.0006001502915751e-06	7.277583790710196e-05	4.7001887537589937e-07	9.796223457669839e-05	7.643385480093912e-09	5.3626504268322606e-06	0.00029907686985097826	1.1943868230446242e-05	8.590437232669501e-07	9.914923992937474e-08	4.724061000160873e-06	0.0014268149388954043	1.0525334346311865e-06	4.718881285725729e-08
IGHV4-61	9.870617390106418e-08	4.475467449083226e-06	1.9891708689101506e-06	9.11065356490326e-08	1.1892709039784677e-07	1.3371026170716505e-06	3.8818189551648175e-08	4.775673119183921e-07	5.148481818650907e-07	5.993410468363436e-06	4.282862064997062e-08	5.457046086121409e-07	4.358916214641795e-07	5.212532627751898e-08	4.0144245758710895e-06	7.917653732647523e-08	0.0015381447738036513	2.905168727806995e-08
NUDT14	4.0946506487671286e-05	0.0001086941992980428	0.0002485488075762987	0.0006054568802937865	0.0007312878151424229	0.00014758241013623774	0.000342939660185948	0.00019303342560306191	0.00038764759665355086	0.00037474618875421584	0.0005506009911186993	0.0004096541670151055	0.000152326058014296	0.0011126840254291892	0.00015514025290030986	0.00031128767295740545	3.955680222134106e-05	3.839014971163124e-05
PLAU	0.0001193818825413473	1.863709030658356e-06	3.471853779046796e-05	0.00011148307385155931	1.5178113244473934e-05	5.748139301431365e-06	0.0004726080223917961	5.134637603987358e-07	4.774447006639093e-06	1.3001200386497658e-05	2.880843385355547e-05	4.354731572675519e-06	0.0001335782726528123	1.591178744320132e-07	3.5625146210804814e-06	7.151025783969089e-06	8.201748755709559e-07	0.0012595875887200236
AIF1L	7.819336315151304e-05	8.887138278623752e-07	3.6267312680138275e-05	0.000727040518540889	4.3233831092948094e-07	2.43567719735438e-05	2.0257512005628087e-06	3.306543305825471e-07	8.737691132409964e-06	6.230211511137895e-06	6.00600401412521e-07	0.0003380886628292501	1.3790332786811632e-06	0.00037448471994139254	2.3657785277464427e-05	1.5425996480189497e-07	4.338918370194733e-05	3.3515941595396725e-06
FBLN1	4.779856317327358e-05	1.8609587186801946e-06	0.0010958159109577537	7.289028758350469e-07	1.851934939622879e-06	2.1814290448674e-05	1.348893988506461e-06	1.2636392057174817e-06	7.697526598349214e-06	4.160976823186502e-05	1.6835974747664295e-06	1.4739180187461898e-05	2.9696135243284516e-05	1.6776020856923424e-06	1.9540811990736984e-05	2.469758783263387e-06	2.5908830139087513e-06	0.00143275479786098
DNM3OS	6.186355312820524e-05	2.636819829149317e-07	0.00019897639867849648	0.00010439115430926904	5.336798949429067e-07	3.155856393277645e-05	4.338512269441708e-07	7.561906159025966e-07	1.5971696711858385e-06	8.27141684567323e-06	2.5877093889903335e-07	8.210395208152477e-07	6.268460128922015e-05	1.5320033242005593e-07	2.8289494366617873e-05	7.5878165262111e-07	2.044234406639589e-06	0.0011690675746649504
MAP1A	0.0005940096452832222	1.2812331988243386e-05	0.0008769105188548565	5.520273134607123e-06	0.0002161284355679527	3.568355168681592e-05	4.505006018007407e-06	1.0661779015208595e-05	4.3019765143981203e-05	0.0017551337368786335	2.1511254999495577e-06	1.434101886843564e-05	0.00026590030756779015	2.695740704439231e-06	9.684558790468145e-06	2.7915996270166943e-06	0.0007859215256758034	0.000756101100705564
MS4A4A	1.417174786411124e-07	4.910415327685769e-07	4.207124391086836e-07	3.2241816825262504e-06	1.5966734281391837e-06	7.98924702394288e-07	0.001426143804565072	1.0526849791858695e-07	1.695312761285095e-07	6.0247416513448115e-06	1.6153160231624497e-06	8.648997322779906e-07	1.5592544286846532e-06	2.633248641359387e-08	5.28487043993664e-06	7.265684303092712e-07	5.854658411408309e-06	4.5628689804289024e-07
KIF4A	2.3035654521663673e-05	3.3426960044380394e-07	1.2807670657366543e-07	3.0331966627272777e-06	2.5705884354465525e-07	7.301716209440201e-07	1.465063803607336e-07	1.2968514795375086e-07	2.936096962002921e-06	1.7677131154414383e-06	8.293833388961502e-07	0.002070044633001089	1.3460961781674996e-05	1.4134944770205493e-08	2.1515420485229697e-06	9.497605901742645e-07	1.528919142401719e-06	6.827257692521016e-08
CPNE5	3.739231146937527e-07	0.0010974181350320578	3.061366214751615e-06	0.0005984412273392081	0.0002534246305003762	1.5542423170700204e-06	1.4846009435132146e-06	1.296993218602438e-06	8.445857702099602e-07	2.6464496841072105e-05	3.4260760912729893e-06	1.799911115085706e-05	2.3035248887026682e-05	1.9638368939922657e-06	0.0004670974740292877	1.8599623672344023e-06	0.0025199134834110737	9.957768725143978e-07
FAM92B	8.227200964938675e-08	6.148500375502408e-08	1.1777044051086705e-07	3.756925082143425e-08	7.935857837537696e-08	3.4707107943177107e-07	4.682735266214877e-08	1.311940156512037e-08	1.0612345135996293e-07	1.7918139292305568e-06	3.9166444310012594e-08	1.4249774267227622e-06	3.3936549925783766e-07	1.3832826439852397e-08	0.0005690096295438707	3.310207219442418e-08	0.0032662295270711184	3.420482386218282e-08
TNFRSF17	1.0973651143331153e-07	0.000290476658847183	3.031960886801244e-07	1.3525003339509567e-07	2.539495369546785e-07	6.06401897584874e-07	2.454500531712256e-07	6.51786535854626e-08	1.406678080684287e-07	4.6614718485216144e-06	2.1454779641771893e-07	2.738566081461613e-06	5.048460707257618e-07	3.130813297502755e-08	0.0024172887206077576	3.561444543720427e-07	0.00589241785928607	1.1088770435208062e-07
