Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20
PRIM2	0.0002634402771946043	0.00010561950330156833	0.001049197860993445	0.00018222910875920206	0.000203709103516303	6.673427560599521e-05	8.162020822055638e-05	6.404692976502702e-05	5.152259109308943e-05	0.0003143956419080496	0.0003413337981328368	7.473828736692667e-05	0.0001640782575123012	0.0002123547747032717	9.752888581715524e-05	6.701079837512225e-05	5.034701825934462e-05	0.000194178253877908	0.0001109824952436611	4.736370829050429e-05
TYROBP	5.069921371614328e-06	1.6294362126245687e-07	9.176888852380216e-06	2.050048578894348e-06	6.6494271777628455e-06	3.0470466754195513e-06	1.2878349480160978e-06	3.3253270430577686e-06	9.960575653167325e-07	0.0017778838519006968	2.0665573174483143e-05	1.5279167655535275e-06	3.8026744277885882e-06	1.5670722859795205e-05	3.1607130495103775e-06	0.0028524608351290226	2.072473034786526e-05	6.596052116947249e-06	2.422817033220781e-06	1.1022628996215644e-06
KIF26A	3.832869424513774e-06	5.674571639247006e-06	2.1047853238087555e-07	2.754478316546738e-07	9.389722777086718e-08	9.408312325831503e-05	3.058187212445773e-05	3.9392753592437657e-07	0.00011738527973648161	3.0353820079653815e-07	3.5684975046024192e-06	5.876179784536362e-05	1.957391049245416e-07	1.4770061795843503e-07	0.0007630109321326017	6.21809306267096e-08	6.749500869318581e-08	9.494115715824591e-08	2.9737898898929416e-07	0.0012374165235087276
PKIG	0.00030028188484720886	0.0004328822542447597	4.9718586524249986e-05	1.816454755498853e-06	0.0012824498116970062	0.0006106860237196088	0.0005226635839790106	7.412498234771192e-05	0.0003736262151505798	1.3301246326591354e-05	0.000571560813114047	0.0005039689713157713	1.4441617167904042e-05	1.4356111250890535e-06	0.0009301564423367381	1.4124188965070061e-05	0.0002615690464153886	5.778595550509635e-06	0.0011929166503250599	0.0004070152062922716
IGHG4	2.743688014561485e-07	5.791142143607431e-07	7.644978722964879e-06	2.1392685084720142e-05	1.9514118321239948e-05	1.2950503105457756e-06	2.166795411540079e-06	8.325330895786465e-07	3.2159107377083274e-07	1.4747328350495081e-05	3.9029164327075705e-06	9.197300983032619e-07	0.001757096964865923	1.2579132089740597e-05	4.84386328025721e-06	1.9028271935894736e-06	1.7630154616199434e-05	5.1514784900064114e-06	4.44786564912647e-06	1.7709510302665876e-06
TIMP2	1.1392188753234223e-05	7.713021659583319e-06	2.5853993065538816e-05	3.159274911013199e-06	5.277734544506529e-06	0.0001488765119574964	0.0002900929539464414	1.8796414224198088e-05	7.471046410501003e-05	1.742922540870495e-05	6.295937782851979e-05	0.0021861065179109573	1.5059706129250117e-05	4.460350737645058e-06	0.0002222123002866283	0.00022918374452274293	1.926152799569536e-05	8.074771358224098e-06	0.00016501781647093594	0.0001784355699783191
CERCAM	3.2107393053593114e-05	0.00010100424697156996	2.6218142011202872e-05	1.5200757843558677e-06	1.8691848708840553e-06	4.236588574713096e-05	0.0002988154301419854	7.925921636342537e-06	0.0001707912888377905	2.945275991805829e-05	0.00017166176985483617	0.0017549500335007906	0.00014225520135369152	4.575778802973218e-06	4.185419311397709e-05	1.9213528503314592e-05	3.571727211237885e-05	3.406806399652851e-06	0.00010929399286396801	6.314860365819186e-05
GRN	6.11508367001079e-05	0.0003513036062940955	0.00011950760381296277	5.311890708981082e-05	0.0002576426195446402	0.00013796353596262634	0.0004977651406079531	6.267738353926688e-05	0.0003066570498049259	5.309738116920926e-05	0.00011204480688320473	0.0004962909151799977	0.00024059892166405916	3.264824044890702e-05	0.00046553596621379256	0.0020632671657949686	0.00021665864915121347	7.850664405850694e-05	0.00017773393483366817	0.0004818711313419044
MMP9	3.6000133718516736e-07	5.282423831687311e-09	5.855155791323341e-07	4.224965834964678e-07	2.0009521506381134e-07	5.311180188982689e-07	0.0006790688494220376	1.3482175518220174e-06	1.9774510292336345e-05	5.161526246411086e-07	6.1029900280118454e-06	4.93340030516265e-06	4.258051262695517e-07	9.966244078896125e-07	1.436516754438344e-07	0.00017919317178893834	5.1396946219028905e-06	1.5673733742005425e-06	3.1121719530347036e-06	3.2241277381217515e-07
ATG3	0.0004175958747509867	0.00034932998823933303	0.0001167804075521417	0.00038119166856631637	0.0002671837864909321	0.00022728648036718369	0.00013386900536715984	0.0004931705188937485	0.000292461016215384	0.0002779874193947762	0.00033456305391155183	0.0001825187064241618	0.0003307320876047015	0.000349013862432912	0.00016778448480181396	0.0008025799761526287	0.0009758663363754749	0.00046262305113486946	0.00036896459641866386	0.0003184286179021001
CLEC4A	2.8476438274083193e-07	3.4475156098778825e-06	1.5113561175894574e-06	8.75887849360879e-07	8.313196303788573e-05	4.551065558189293e-06	7.205107067420613e-06	6.184186986502027e-06	1.7074931975002983e-06	2.909845306930947e-06	2.7197835152037442e-05	1.0395594472356606e-05	8.075066034507472e-06	2.2266092400968773e-06	0.00010864692012546584	0.0013200076064094901	1.0319465218344703e-05	2.6511270334594883e-06	3.9686128161520173e-07	8.901939509087242e-06
FAM111B	0.00029336698935367167	1.675629937381018e-05	7.402507549159054e-07	2.783232844194572e-07	0.00011592199007282034	2.6705075129029865e-07	3.1766819574841065e-06	9.569752279503518e-08	3.260429002693854e-05	2.0696987235169217e-07	4.444700152816949e-06	5.375114824346383e-07	0.0016581581439822912	6.763951319044281e-07	2.9949060262879357e-06	3.7992238048900617e-06	0.00010213894711341709	3.4343614970566705e-05	2.2519234335049987e-06	1.754102498807697e-07
LAIR2	4.543627767361613e-07	1.1808658051393195e-08	4.3248569454590324e-06	0.00017603572632651776	7.514617550441471e-07	1.9710677179318736e-07	1.1798498178450245e-07	4.900693966192193e-05	1.8721067363003385e-07	0.0003624701639637351	1.3966374353913125e-05	4.3148151718241934e-08	1.817452471186698e-06	3.5106251743854955e-05	2.6282984322278935e-07	2.1353999102302623e-07	1.486934706917964e-06	0.001893426408059895	1.4496735900593194e-07	4.975038692123235e-08
IGHV4-61	1.394972457546828e-07	9.311750481799663e-09	1.8334478113501973e-07	2.6935872483591083e-06	6.036019385646796e-06	4.727135660687054e-07	1.8331227238377323e-06	8.172028742592374e-08	1.6519339851583936e-06	3.223671853902488e-07	5.262490503810113e-06	7.362978493574701e-08	0.0005715454462915659	3.5207300186357315e-08	1.6450022144454124e-07	3.375512491743393e-08	3.186683628086939e-08	4.780006790383595e-08	3.271129287440999e-07	3.6332028940933014e-08
NUDT14	0.0007978887879289687	0.0007501019863411784	0.00022434339916799217	0.00013818396837450564	8.33089288789779e-05	0.00023404120292980224	4.765951234730892e-05	0.0006021688459441066	0.0005377025809139013	0.00048611522652208805	0.00022126791009213775	4.704349339590408e-05	0.00010050662240246311	0.0003607491380535066	0.0005204674089327455	0.0003512327966745943	0.000638894853182137	0.00038816939922980964	2.956320531666279e-05	0.000622331746853888
PLAU	1.7258109892281936e-06	6.51513744287513e-07	1.6218613154705963e-06	4.67424996486443e-07	1.2852345889768912e-06	1.3977238268125802e-05	0.0001480432547396049	1.7549622270962573e-06	2.3396703909384087e-05	8.835972403176129e-05	2.9176741008996032e-05	0.0012013573432341218	2.7122489427711116e-06	3.6801818623644067e-06	0.0002720749762374908	0.0004615405632648617	3.5147245398547966e-06	1.3248907634988427e-05	0.000128219006001018	6.659252539975569e-05
AIF1L	0.0013193502090871334	0.00015018050908111036	4.868020369031001e-07	1.8717945238222455e-07	1.0734792112998548e-06	3.6626215660362504e-06	2.1013586319895694e-06	8.427061857219087e-07	0.000280598207609728	7.833967856640811e-07	1.0431213922856841e-05	4.511149654717883e-06	3.1402996683027595e-05	4.63425919861038e-07	0.00015659879136364907	1.5581916841256316e-06	2.6444213290233165e-05	4.07400676749603e-07	0.00020387460244819522	0.0009151234989985824
FBLN1	2.887911250581965e-05	2.5107449346251087e-06	8.654012162878644e-06	1.1988671531071304e-06	1.6687831703166012e-06	0.00044210473424755037	8.644331683171913e-05	2.892022848755005e-06	9.043861064128578e-05	4.854311100643827e-06	9.96176095213741e-05	0.0015572186093777418	5.469013103720499e-06	2.0270181266823784e-06	1.7355575891997432e-06	6.859306722617475e-07	3.3831456676125526e-06	1.4781124946239288e-06	7.3408973548794165e-06	9.117190984397894e-07
DNM3OS	5.616070666292217e-07	2.0621156693323428e-07	5.867147137905704e-06	7.93890990280488e-07	5.408016932051396e-07	6.134267459856346e-05	0.0001416735613020137	5.827751579090545e-07	1.2729986337944865e-05	1.113381244977063e-06	0.00018760243256110698	0.0011394518660381436	2.244362576675485e-06	5.208432867220836e-07	0.00023101047554519027	3.338923590945342e-07	2.065120270344778e-06	5.781948289040884e-07	1.690427598077804e-05	6.686612323392183e-05
MAP1A	0.000104992461274378	1.7650008885539137e-06	9.741801477503031e-05	4.433995400177082e-06	0.00013581138045992702	0.000854732352308929	0.0004962125094607472	7.560555968666449e-05	4.195632936898619e-05	3.5180368286091834e-05	9.440448775421828e-05	0.0007877750904299319	7.211915999505436e-06	2.1165160433156416e-06	6.996256161073688e-06	7.4985705396102276e-06	0.0003628814301919192	3.214847538401955e-06	0.0005999836139380932	5.960101589153055e-06
MS4A4A	1.7601547597223544e-07	1.7605465529868525e-08	6.303963573373039e-07	2.872917832519306e-07	7.892518851804198e-07	4.077903213328682e-06	1.8899901021995902e-07	3.1763127594786056e-07	6.666359126938914e-07	4.3619596112876025e-07	5.8557416195981205e-06	6.984667493270535e-07	8.790566994321125e-07	1.5442839185197954e-07	5.102762088426971e-07	0.0013764908071607351	1.6926165926633985e-06	1.6202216102101374e-06	5.818973249915871e-07	5.89735407174885e-07
KIF4A	0.00024325396225322038	7.942244337755255e-07	2.2267818167165387e-07	1.7163453946977825e-07	7.469793672498781e-08	3.319282484426367e-07	2.4660650524310768e-05	5.662944602136122e-08	1.268353753403062e-05	1.6970491856227454e-07	3.2452815048600314e-06	1.2864627763065073e-07	0.002372716786339879	3.4252616387675516e-07	1.7160454035547446e-06	1.315466761298012e-06	3.3041866117855534e-05	2.813532319123624e-06	7.17331568012014e-06	2.1477217160281725e-06
CPNE5	2.648174086061772e-05	1.608823225751621e-07	2.567823457866325e-06	7.130518952180864e-06	0.0013330415822565556	4.724939572042786e-06	2.2371057184500387e-06	1.1107507589258603e-06	2.7782141842180863e-05	2.371612936258316e-06	7.273537903529359e-06	5.644163252327417e-07	0.0008852789760567248	2.541554295021342e-06	0.0020723240450024605	1.8727545239016763e-06	8.01428632257739e-06	3.527265334923868e-06	3.954319254262373e-06	0.00013140428927727044
FAM92B	7.475283325675264e-08	3.9469734147701274e-09	1.8446438332375692e-07	6.260628282461767e-08	5.962218807553654e-08	2.344549159261078e-07	4.246841172061977e-07	4.375035445036701e-08	1.3290788558606437e-07	1.6422903570401104e-07	2.6746904495666968e-06	1.358320673716662e-07	0.0012478402350097895	3.330982565330487e-07	1.756093581661844e-07	1.315741400276238e-07	2.923466979609657e-07	4.368025230405692e-08	2.558073447289644e-06	1.604054631343388e-07
TNFRSF17	1.4470845144387567e-07	1.0885200296684161e-08	2.6190514290647116e-07	6.163927537272684e-07	0.0004764205659739673	1.5328898825828219e-06	3.873896616823913e-07	1.5809953879397654e-07	2.3761060674587497e-07	6.448786962209851e-07	3.725220039996202e-06	3.1417371815223305e-07	0.00212868582457304	6.777198109375604e-07	1.921869397847331e-06	3.803735921792395e-07	4.397377779241651e-06	2.841761954641697e-07	5.314938789524604e-06	5.746262488059983e-08
IGLV3-10	5.117933810083741e-08	3.096141121261553e-09	1.2192219855933217e-07	1.5628591754079935e-08	4.520495622273302e-08	1.3798100439998962e-07	8.003651430499303e-08	3.28717568720549e-08	1.2489815048866149e-07	1.3247922936443501e-07	2.2874664864502847e-06	2.0260237931779557e-08	5.0305946075468455e-08	2.165740831117091e-08	9.966798586447112e-08	2.2072637051451238e-08	2.9036229420853488e-08	3.322822905715839e-08	1.1243893283108264e-07	3.462736231085728e-08
CDCA2	9.061807213583961e-05	1.706527291389648e-05	7.430913910866366e-07	1.2841088903314812e-07	2.475765654708084e-07	3.0759591140849807e-07	1.7883359078041394e-06	1.0183973131461244e-07	1.643913310545031e-05	2.342859204418346e-07	3.617977881731349e-06	5.843477310918388e-07	0.0028604650869965553	6.173876272441703e-07	2.226053084086743e-06	2.316185373274493e-06	9.782897905097343e-06	2.6790803531184793e-06	3.042655862373067e-06	3.624450357619935e-07
IRAK3	7.967344572534785e-06	1.787295559552149e-06	2.245189534733072e-05	1.3264300832815934e-05	5.149467688170262e-05	0.00040653342148289084	0.0002951615897472948	6.184984158608131e-06	1.767990761436522e-05	3.550373367033899e-05	6.040606240276247e-05	0.00016487058019265532	4.372941930341767e-06	1.0265918035656796e-06	8.726560918148607e-05	0.000556101615075022	3.742461558431387e-06	1.4374992133525666e-05	2.6654804969439283e-05	0.0004839217581320554
SLC44A1	0.00019922583305742592	0.0003527990193106234	0.0015318476362153888	9.978905291063711e-05	6.302541441982612e-05	0.000255154533078894	0.00022636621724814177	0.00017536222003400326	9.628300904296339e-05	0.00020034093176946044	0.0006653698510490358	0.0011358268093317747	0.000522570451721549	6.246765406103805e-05	0.0001794157869881019	0.0002100960846291855	5.593225432676263e-05	2.509625664970372e-05	0.0001805426727514714	0.00028406281489878893
TRAF4	0.0007750779041089118	0.0002443393168505281	6.730308814439923e-05	0.00011910224566236138	0.000663120299577713	7.661627023480833e-05	8.628905197838321e-05	4.161590550211258e-05	0.0003959696623496711	1.5467972843907773e-05	7.59823014959693e-05	9.819582191994414e-05	7.026511593721807e-05	4.157855437370017e-05	0.0002895327052101493	1.9695720766321756e-05	0.0006405430031009018	0.00015664121019653976	4.5225428038975224e-05	4.804936543223448e-05
EDIL3	2.480563352946774e-06	2.828585934366856e-07	2.7384938221075572e-05	2.978094357786176e-07	8.695345741216443e-07	4.554342467599781e-06	0.00027852304629050195	3.3950034321605926e-06	8.264215284725651e-05	1.2628489685084787e-06	0.0005676493747159839	0.0013821208849549294	6.494663011835655e-07	6.792923272769258e-07	0.0006965246284380555	6.09428809639212e-07	3.7047007026558276e-06	2.3182353459105798e-07	0.0006420031422749162	1.9579278159653768e-05
RPL10	0.001172237447462976	0.0011407063575461507	0.0006470601656474173	0.0028703613206744194	0.0023090895265340805	0.0020377186592668295	0.00032082965481095016	0.007045230828225613	0.0020657868590205908	0.0020214521791785955	0.002011871198192239	0.0008024920825846493	0.0006460977019742131	0.0013978154165670276	0.00017832493176683784	0.0005626948550343513	0.002628349931910634	0.0006341282278299332	0.001441452419385314	0.0007957457564771175
CST7	4.7415460358024575e-06	4.656689256421487e-08	4.913579687126912e-05	0.00016882462659850717	3.216932327632094e-06	2.266992623844999e-06	5.366613891055749e-07	0.00010556609777268022	1.7137906525022117e-06	0.0018074024701490998	0.0002221769973402843	2.2408596123568714e-05	6.8286572059150785e-06	0.0025991471484303474	4.199384420644492e-06	1.504622105130693e-05	2.644189771672245e-05	0.0007129434961825609	2.499165930203162e-06	5.369749374040111e-07
HIGD1B	4.868550718128972e-07	1.6178996986582206e-07	4.7051665319486347e-07	7.601154550229694e-08	4.05683636017784e-07	8.163508937286679e-06	0.0036393438931554556	2.6723117230176285e-07	8.395180088882626e-07	5.787825330116902e-07	1.8257032934343442e-05	4.4352208306008833e-07	1.917029095466205e-07	2.2413935596432566e-07	6.298087100731209e-07	9.578787540931444e-08	1.8932425405182585e-07	1.7004909125262202e-07	0.001692092278972268	3.649001882877201e-06
PPP3CC	1.6112970115500502e-05	0.0001290868385694921	0.0009219332132488489	0.0005880937678739429	0.0006251801387406886	0.00015091041859705	0.0002718890318647027	0.00035890465369448066	3.427484989515506e-05	0.0005509437178261578	0.00020931461767759174	0.00013374209811445326	0.0002086310851154849	0.0007248390465974808	0.000338070560246706	7.5479008955881e-05	8.067432645475492e-05	0.0003807078755926341	0.00013802210742142051	0.00015619742043782026
NTRK2	4.999767497793073e-06	1.9889883333235048e-05	6.103339728724677e-06	1.6624653653707355e-06	8.714343948668102e-07	0.00011704275675583631	0.0002829566365107894	1.8854605059459573e-06	0.00039871723856776953	1.1866336535604205e-05	7.670374179724604e-05	3.8863909139763564e-05	1.922901446960168e-06	2.110833293045289e-06	7.98330916040868e-07	3.805747894602973e-07	3.2689977160771377e-06	3.772526906686835e-05	0.0022868416272103786	1.944379846463562e-06
SIL1	0.00021731985907536	0.000544646754860878	0.0002827585267368704	0.0001051181461662054	3.8508263969561085e-05	0.0003540853504091501	0.0003139518667012453	8.402961248066276e-05	0.00036737939808517694	0.0002790793660096824	0.00019373490067664534	0.0003315050562378019	0.0007239034748636186	0.000117111238068901	0.00018395065853837878	0.0003680963418446481	0.00015276366320904344	0.00015948280633892864	0.00010800362360896543	0.00020749898976646364
ARPC5	0.0007207345333881676	0.00038323889020830393	0.00028218168881721795	0.000670790090225637	0.000533603539224714	0.00026745605282485485	0.0006174761219881475	0.0005353045416995883	0.0004924518289044499	0.0005434037884697318	0.0005022860132157803	0.0003174286975990981	0.00043245404958724976	0.0006782530108466744	0.0003170755517203361	0.000996581045910716	0.0013363437028601766	0.0007447145180776715	0.0012156139127910137	0.00029189386987127364
MBP	4.414650902617723e-05	8.971139322966337e-05	0.0010611654724925756	0.0009454451501369476	0.0004747762577608228	0.000142500561196357	5.8714022088679485e-06	0.00041890967986546457	4.430549597600475e-05	0.0018093795515596867	0.0009983933996409178	8.780287316767499e-05	4.5550033973995596e-05	0.0012093260884284973	2.0730467440444045e-05	0.00021276067127473652	5.8805329899769276e-05	0.0003475587291177362	7.470473065041006e-06	8.415840397901775e-07
LEPROTL1	0.00010420964827062562	0.00015067010826896876	0.0006578580942004919	0.0015317635843530297	0.00010390819807071239	9.595551091479138e-05	0.00010696977551560849	0.0006487725768238306	7.061352516757324e-05	0.00048400627565570176	0.0006277799257077277	6.326628499664366e-05	0.00012641950161196291	0.0009145569638349116	0.00017083862621802837	0.00019038835307583213	0.00016574292385485023	0.0005057865055277944	0.00010583765833871439	0.00017136710812337697
MPEG1	1.3055107217496698e-07	9.850832149993494e-09	1.176563955596066e-06	1.6040849004639313e-07	0.0006423979648388922	1.6392203860959853e-06	1.648325138603468e-07	2.114152408694281e-07	2.8143230679233966e-07	1.2672891216425342e-06	7.458268100890564e-06	1.333184798113507e-07	3.148847724787629e-07	1.0059161326125832e-07	1.7373298533129855e-06	0.0012015297543257475	4.384930434753187e-05	1.5313023595808772e-06	4.53262941846333e-07	1.1836733193604232e-07
ELN	7.653391548956279e-06	2.668557272045291e-06	3.3011472169164335e-06	3.0673211881548923e-07	1.7304697621511878e-06	7.754055695841089e-05	3.552876296453178e-05	2.8667534479609458e-06	0.00016382518515456468	1.92796051123878e-06	6.63454775349237e-05	0.001271599205210805	8.92287880560616e-06	3.4708619978118804e-07	0.00013958131603430957	5.499267103914462e-07	4.647038622351829e-06	1.3840312931279186e-06	0.0003827328619081527	0.00028600156656466424
SELP	2.837454928794614e-07	8.425978137438506e-08	1.2101645552320406e-05	4.5430111640598625e-05	1.3849319657310843e-05	1.034487695505959e-06	1.5177178056546836e-06	7.884056685725227e-06	2.3278639673662838e-06	1.7243828551727347e-06	2.2984808310866356e-05	6.279426543187583e-07	3.4194218301308865e-07	1.1879424164362717e-06	2.6621868528309278e-05	1.8243814281504456e-07	3.743272145584342e-07	3.3349173463648185e-05	3.730513071786845e-07	0.001116603729315102
C1orf21	0.00023924715060275048	0.0008423642721027136	1.8615151930134743e-05	7.84945677878568e-06	2.4166517960111378e-06	0.0007651775376871228	0.00017824061797000468	5.510292248800397e-05	0.000505222356878221	0.0010506879771128297	0.0001822317426558584	0.00013933477748651057	1.520582281955285e-05	0.0002450980828143656	3.584249861887656e-05	6.995505100348964e-05	0.00010460460180183873	5.999969744152622e-06	8.837104542180896e-05	0.0003634560271166265
STX7	7.705660391366109e-05	0.00022153955069370568	0.00043516859295777977	0.0001467451365897432	0.0015236645704135299	0.00012397179671097547	0.00014936858497094363	9.469540236750618e-05	0.00011657329741865396	0.00030581903411075473	0.00019188359146937728	0.0003614728047978133	0.0001260117714991793	0.00017192827363032848	0.00034325633896514773	0.0005893687484785914	0.0002569519856479019	0.00017903572006616741	0.0002099023840855807	0.00014898439985699952
PFN1	0.0011171642690896988	0.0003340993425808847	0.00017221477173734456	0.001305042882449925	0.0007237419486045837	0.00018168386304751039	0.0001971575547941029	0.0009135319851338863	0.0005392999737523496	0.0010520836804062128	0.0007740638684481382	0.00028701461269520223	0.0006467039347626269	0.001769222435541451	0.00030708819394931197	0.0010460676858201623	0.003222348168492317	0.002539790701121092	0.000589922012295574	0.0002882030385080725
TIAM1	8.575311949243769e-05	2.1241537979221903e-05	0.0016830612439662218	0.000476670335046947	1.829039888434636e-06	8.187023013306316e-06	1.6565812757107778e-06	0.0001244291488546878	4.622021151590161e-05	6.0312919231364504e-05	0.0003177352191414684	3.669389843707904e-05	2.1041867512394674e-05	8.857805369189009e-05	3.852653026115149e-05	0.00016326770128216594	1.4015645319886971e-05	0.0005799868376925588	2.384843355685007e-06	0.00010434336581965908
PPIF	0.0003803840954788029	0.00016427146329078823	9.73765563685447e-05	0.00016087018593680114	0.00015425868332386017	0.00010496272443560883	8.538929978385568e-05	0.00010056705650640652	0.00019945217354688793	8.201340097002685e-05	5.4104057198856026e-05	7.875726441852748e-05	0.0002460337127558887	0.0003498589794617146	2.4888451662263833e-05	0.0006097402074374259	0.00029632277437485754	0.00041889591375365853	4.643806823878549e-05	2.5058663595700637e-05
SGCB	0.0001396453008055687	0.00011530370829859748	0.00017938358359970152	0.00010249608749290928	9.827134635997936e-05	0.0005530979833565652	0.0009048140491358936	5.9409303503343835e-05	0.00040774684748612344	1.8548686057329178e-05	0.00092015799600631	0.0007019407930783927	6.909918010933325e-05	0.0001484629901824519	0.00024218109319917858	2.665377678567893e-06	7.027098763501272e-05	0.00018606430967338383	0.0007753860554657876	0.0002825484552886337
SGCD	2.7311803023621906e-06	9.1379382638479e-07	2.011666765611153e-06	2.6325977842134307e-07	6.170502615532314e-07	2.9905244446126744e-05	2.4284223400172777e-05	1.984924438147573e-06	1.0100645340571646e-05	2.1474893401318695e-06	2.3983953724382445e-05	0.001260235090740025	6.74636282838037e-07	1.0572338169367868e-06	6.210609626577934e-06	2.3748802391310164e-07	1.343682242804789e-06	1.575429138256368e-07	1.4220233424566686e-05	1.072156351256126e-06
