Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22
PRIM2	9.193369623972103e-05	4.9567341193323955e-05	6.194973684614524e-05	2.86470622086199e-05	0.00011877515498781577	5.454200436361134e-05	5.006197534385137e-05	5.3616644436260685e-05	0.00019017756858374923	6.368379399646074e-05	5.803989552077837e-05	0.00017139136616606265	0.0006253566243685782	4.2039959225803614e-05	0.00023306113143917173	0.00015214073937386274	2.18411187233869e-05	0.00020613509695976973	0.0001867065002443269	0.0002834855404216796	0.00010587979340925813	0.0002519799454603344
TYROBP	1.7524564555060351e-06	2.411776904409635e-06	1.562803731758322e-06	1.8514466546548647e-06	2.0096429409477423e-07	2.7595415303949267e-06	2.9940447348053567e-05	3.2659903808962554e-05	6.299980213952949e-06	0.00280662695877254	1.157013116426242e-06	1.8712948985921685e-06	0.0005778810009360313	2.9377208193182014e-05	0.0013146543642506003	2.460915857227519e-05	1.128089934354648e-05	5.794430308014853e-06	1.0665240552043542e-05	3.212065166735556e-06	2.3156578663474647e-06	6.282430149440188e-06
KIF26A	4.374310719867935e-06	0.0011389462742954493	8.773230547376443e-06	4.9432368541602045e-05	7.062250517719804e-08	3.8824404327897355e-05	6.703408416797174e-06	1.0090081559610553e-05	1.341221320672048e-07	6.481706549266164e-08	0.00017171993386000395	6.679645991880534e-08	4.965224889019737e-07	1.3135009794496e-05	3.1921854315442033e-07	1.9251083926974388e-07	1.2723177178486367e-06	2.69683653186803e-07	8.759072755992747e-08	2.223016792868293e-07	2.876204962376505e-05	7.321311841224087e-06
PKIG	0.0008631438831798732	0.0005321280332282186	0.0002135725662810728	0.001122883171774447	0.0004721787408925593	0.00028118680347688496	4.382398765301332e-05	6.868261698400602e-05	1.0960335430354462e-06	1.1225990419916343e-05	0.0003038302529603243	0.0012431758223101497	0.0005041208933107555	7.373181142611429e-05	1.350911861663917e-05	0.000251718913204968	8.883156624506228e-06	1.7442536091039074e-06	3.3522583180456422e-06	4.4823796088167e-06	0.0002473635249771178	1.363132287224289e-05
IGHG4	8.825775239529321e-07	2.6807636004377855e-06	4.3173940866836347e-07	8.838601388561074e-07	2.2099884517956525e-06	1.608205835168519e-08	4.447505489224568e-05	0.000416033057263121	1.4211762390914373e-05	2.6399486614536727e-06	6.714528353768401e-06	1.0538906280999072e-06	1.022637115966063e-05	4.6784563892288134e-05	1.7781538019789878e-07	0.0034879804588854313	0.0015081333694979548	2.913904063461814e-05	7.747006748104468e-06	3.368529064573522e-07	1.4395373000297695e-06	1.4285627912613563e-05
TIMP2	0.00013301605940796435	0.0001873104483820498	1.3070889508526307e-05	0.0017524827271699905	4.617406375473365e-06	2.7833735657623038e-05	8.115387754514813e-05	4.6034183469600976e-05	1.7530579725644202e-06	0.00023404552484862506	0.0008286384399980307	5.7240226851718035e-06	5.713998234568862e-06	0.00023347587557509542	1.682329093455337e-05	7.53143922338495e-06	5.262009653961286e-05	1.0177928743360098e-05	6.800966275477549e-06	3.222514351364225e-05	0.0022750284988433123	1.1602479389694054e-05
CERCAM	9.734577179187909e-05	6.0286296502454206e-05	3.866907718474977e-05	0.0011760140769183636	0.0001193270436488092	2.07758948818082e-05	0.00021949059737380594	0.0003643510863184929	1.0517381952013238e-06	1.8790620742947794e-05	0.0004502022929955274	1.998349034693092e-06	1.8036105757346377e-05	0.00032866428955458105	2.550148929003626e-05	8.835129847284406e-05	0.0008149610948748887	4.354723841970554e-06	5.335404239303898e-06	2.227976256108377e-05	0.0020975449588149786	1.4009521692059934e-05
GRN	0.0003229907597415149	0.0004985452978871763	0.00028791860677301884	0.0003310452157165855	0.00038837926695123315	6.786143057979643e-05	0.0002346031687920913	0.00015513558173552155	4.424487269716337e-05	0.0021209341939538717	0.0003769726608879864	0.00020983883587177843	9.377595415571705e-05	0.00012204821541672572	4.652136703953147e-05	0.000506142619997263	0.00032841323991306126	0.00010716624092310667	4.122750760870986e-05	0.0001486080582253635	0.0005876487703062594	6.074222983443178e-05
MMP9	0.00011750343401217833	1.6963585949270055e-06	3.211074783848744e-07	1.2383418834360782e-05	6.954655518143227e-09	8.317923061440524e-07	8.11005611467408e-06	3.878425104630878e-06	3.539290105436521e-07	0.000195080297999084	5.948080342932371e-06	2.3703343288161705e-07	9.301705858888454e-07	1.1822334272437729e-05	2.5045392249012366e-06	2.6117569973393984e-07	1.6389675465688924e-06	3.2035907224781113e-06	5.728089718104457e-07	3.219557811462437e-07	0.0001983747206395492	5.21782396845083e-07
ATG3	0.0002762610965874046	0.00029095608624629676	0.0005021141842007637	0.00026317767333239317	0.00032817275496199727	0.0005946551100350916	0.00042281983769498765	0.000416941154981032	0.0003950732934754342	0.0008390451548621058	0.00020212102390360087	0.0002937635872513056	0.00022597254428546876	0.0004405100189615041	0.0003310900938231498	0.00036465757875703275	0.00030518529820255935	0.00040062644984573126	0.00041160217369906604	0.00011463343253126368	0.0001525215047877282	0.00044097015052102506
