Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24
PRIM2	0.00019712693756446242	0.00028875216958113015	0.0002888700691983104	5.342825534171425e-05	6.157884490676224e-05	0.000245603354414925	0.00020683313778135926	0.00015133823035284877	5.7648710935609415e-05	5.291196794132702e-05	4.1710431105457246e-05	0.0006875886465422809	7.892307621659711e-05	0.00014803970407228917	6.414265226339921e-05	0.000161546136951074	4.789003651239909e-05	0.0001712466182652861	0.0002464423596393317	8.224182238336653e-05	4.72839928988833e-05	0.00022762775188311934	0.00013263399887364358	0.00016826704086270183
TYROBP	8.352137228939682e-06	5.022433924750658e-06	7.738694876024965e-06	2.249124690933968e-06	3.471928494036547e-06	2.2156682462082244e-05	2.8829552320530638e-05	4.7590328904334456e-06	1.0321434274374042e-05	7.249625468830345e-07	5.296903395901609e-07	0.0005749993724748492	2.5159495180560043e-06	7.218873179226648e-07	0.002845527371391654	1.4800760936850565e-06	9.76048340817215e-07	1.5870553397689946e-05	1.8981010043717106e-06	1.5097880350367632e-06	3.073681000387296e-06	2.759881908787065e-06	5.989885721646715e-06	0.001070384751074016
KIF26A	5.714815287660713e-08	1.0394305860472741e-07	5.350854621610779e-07	8.18786611489486e-06	0.0008143992745317519	8.593394795752829e-08	1.222707396664191e-05	2.3192032472252322e-07	6.275433293012611e-07	8.40438406157773e-06	0.0013538224156945944	4.4289819811638154e-07	3.197565456503071e-05	7.733047624469691e-08	6.851516332062602e-08	6.445338840421755e-08	6.812025822000578e-05	5.947167096564954e-07	2.346701108990601e-07	2.840596607711632e-06	2.0113265009058523e-07	0.0006542659830302	8.522508920805194e-08	1.5657977314731397e-07
PKIG	0.0011913225753232837	1.3337003110791557e-06	5.282981874188408e-06	0.000921590777579695	0.0002750829153228551	2.978950078613707e-06	6.421095167752355e-05	9.874028364720289e-06	5.7385521358810365e-05	0.0004153429181315005	0.0007478047627955675	0.0005687412340193987	0.00040131653076969087	0.0004159992968197912	1.2366194823698606e-05	6.359264261845965e-06	0.00040085616637952626	9.811928975977935e-06	9.114637009588478e-07	0.0008987917099148035	4.9680758820613846e-05	0.0001519894867669791	4.3387749428802636e-06	4.618212642526487e-06
IGHG4	1.4122445463726763e-05	1.2488209904404357e-05	5.28596820004168e-06	1.3555511202412163e-07	1.2585760487127118e-06	2.0573457732098177e-05	4.630905095837079e-06	4.4307955249678344e-05	0.004631485790014267	3.6595015444618184e-06	2.6235925361106638e-06	1.3536818244119786e-07	2.155694346583914e-06	6.033154864582002e-09	2.646367420311435e-06	1.2058204447384924e-05	1.9089118268311722e-06	0.00012223761586938053	1.9893590433639474e-05	4.308020038479299e-07	4.0410647272892675e-08	6.543357926602766e-07	1.0567304116193554e-06	1.087828422896564e-05
TIMP2	5.5139153118943796e-06	5.180111656954978e-06	8.82172207639087e-06	0.0018168414244428277	0.00012732591130770743	3.382855538802687e-06	2.977540498250164e-05	8.301636626129039e-06	1.8611561245052144e-05	1.131732642534189e-05	0.00023951494949869812	6.41500855635968e-06	0.0022570930887013674	5.112611688673496e-06	0.00023878294450696558	3.5172524803783745e-06	0.0006018385756760836	1.408384650858352e-05	1.0190002285526134e-05	0.00017153170483652502	1.3207968549977522e-05	0.0006527946679852903	7.549204838142032e-06	1.9411036191741005e-05
CERCAM	1.8785308384394739e-06	3.964909410569817e-06	7.599950549774803e-06	0.001118399202823639	7.880709745222703e-05	3.5195614600525005e-06	1.7054222553269938e-05	8.361080290342215e-06	0.000275412923656404	5.115756357554346e-05	4.80531198263634e-05	1.4929374628991354e-05	0.002069865819066763	0.00013992302410770208	1.9434253772487864e-05	1.2761295238306047e-06	0.00030791779863648117	1.9237531887483783e-05	1.24935797884973e-06	0.00013185998250264674	7.794293196639046e-06	0.0004317274724598974	5.751408025389537e-06	2.0606994439731352e-05
GRN	0.00026776723098009825	4.754740439238958e-05	5.863561818841845e-05	0.00030914490344002843	0.000464745273347944	4.098307908861898e-05	0.00016894117288757116	0.00014674787234980613	0.00042010648758150637	0.0003509963280521333	0.00050993642071262	0.00012888296623714268	0.0005977770197205245	0.0003171907737851143	0.002147146500647068	4.84461743326392e-05	0.0002710450207814574	0.00011840122897410765	8.360789797734469e-05	0.000333089818013832	6.306137947831303e-05	0.00032966386061161757	3.942047987948172e-05	5.138736742082983e-05
MMP9	5.000136980015668e-07	3.873184368785587e-07	9.695789913166664e-07	4.5389961655928346e-07	8.420174140155723e-07	1.113788016482431e-06	3.9141073102655355e-06	7.744356480543502e-06	5.858367444488977e-07	1.511363620920747e-07	1.362727061859914e-06	1.8447285299316718e-07	9.37554650590755e-05	1.1710715952517603e-08	0.00019731477368623018	6.50886875064316e-07	3.23624306020065e-07	7.2167208600149024e-06	7.232707730508992e-07	0.00029911514138802886	7.523771046180627e-07	1.797582081053406e-05	3.884320562974608e-07	6.546845270349877e-07
ATG3	0.00027928518829867244	0.00031654417398385704	0.0004665105079766363	0.00028066354570910335	0.0003582281351555139	0.0003203247324563563	0.00043732274207286537	0.00029580167029052973	0.0003749776806216687	0.0005460575339384377	0.00022940973576623946	0.0002144123282050714	0.0001580512325745076	0.00021615327568724751	0.000827812182251364	0.00035494266194291413	0.00025198119692504406	0.0004608488525263965	0.000367736560292542	0.00028646556893363595	0.0007939239148981869	7.15069254511036e-05	0.0004185668658465147	0.00037716914084739983
