Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26
PRIM2	3.3326708944514394e-05	0.00027383159613236785	4.890795753453858e-05	0.00022780198196414858	6.72109963488765e-05	5.8654033637139946e-05	8.513004286214709e-05	5.618203795165755e-05	0.00016934252926148474	0.0001624847500352189	6.141067569842562e-05	4.9129324906971306e-05	6.071881216485053e-05	0.00015854655066505075	8.496268856106326e-05	0.00019253238860983402	0.0007006467785686255	3.4376738767605275e-05	7.952938904054463e-05	1.6087151379906572e-05	9.850948117673397e-05	0.00015074177645146847	0.00026501479442231357	0.00022413778060581535	0.00038758479058742523	0.0002259073080495
TYROBP	8.430827438132837e-05	6.099820438976167e-06	5.2130317271803506e-06	1.165297135230503e-06	1.287303120989236e-06	7.683958756388165e-06	1.6948255279203295e-06	0.0028750193305313587	5.069776761956746e-06	2.8990516511839814e-06	2.061319491986069e-06	9.40972427088127e-07	7.31751697458094e-07	0.0007579029770568013	6.246821612876374e-06	8.149104360199999e-06	0.0005986352916806936	2.027879781962838e-05	2.27294390242605e-06	9.305347703048028e-06	6.349957288875885e-07	2.660360678419238e-06	0.0005520959384739399	1.6532314475625753e-05	2.9191639896453125e-06	5.7933989410230424e-06
KIF26A	1.1430673112045042e-05	4.487391720431333e-07	3.157396349706687e-05	1.5427170296788972e-07	2.4414110157522373e-05	5.523161803466792e-07	2.0809910949992627e-07	9.460929817350916e-08	8.593742251150616e-08	6.656143369809797e-08	1.2654534486955527e-07	0.0012404114240780473	0.0001809434761526063	1.9043488919123774e-07	6.547623343067244e-05	8.041153023441439e-07	1.1171408687005169e-07	1.2935696759086568e-05	4.457247632672079e-05	2.229839446954429e-05	9.143319402937777e-06	3.495346163617796e-07	2.7835091032102355e-07	1.0203793863183819e-05	3.1127285637921887e-07	1.8269820145633275e-07
PKIG	0.0001944909308804199	1.169068127637729e-05	0.0009554717689752579	8.933328103921667e-07	0.00028793333331122994	5.445125134428963e-05	0.0009308187291026115	1.0525299330765847e-05	0.0013087254483252764	1.2712624766209046e-06	5.0306221965001896e-05	0.0005134654929861426	0.00045023058191873133	4.248845016263658e-06	0.0010219276882708073	3.7004479054303374e-06	0.0005765598616562784	5.461218461277895e-05	0.0005037931841798127	0.00013953879533801228	0.00043683560215868056	3.445893889875151e-05	0.0005102721625007689	0.00024697199114598334	6.139355537015945e-05	1.8541702502261614e-06
IGHG4	1.183182484965073e-05	3.5045436561631504e-06	9.444490842724917e-07	9.707268873171415e-06	1.9716869701369433e-06	0.004864940419793129	5.678530783370661e-07	2.4874827886378625e-06	1.4638801076216623e-05	1.3598099030787125e-05	3.283688329247525e-06	2.220915803263779e-06	4.6885006099728344e-07	1.6617412939012866e-06	4.339976385381306e-06	8.53269302751869e-05	7.847909728297964e-06	5.627256541629322e-05	1.2772098898494733e-06	2.3875502392911585e-06	2.1738724171882495e-06	8.706570042704698e-06	1.0281506547471508e-05	2.971230742332409e-06	1.217743346160205e-07	7.70374208514113e-06
TIMP2	0.00028527260292321444	1.1514257494127378e-05	0.00016680077533237636	4.11642758990638e-06	4.511022416409105e-05	1.6795262126834132e-05	0.00013899800251238048	0.00024585460778325796	4.832807917409809e-06	1.0605422176013235e-05	9.506147762294859e-06	0.0001825454382924363	0.0003601030621211976	1.5679019270464778e-05	0.00022651567996945232	3.550286237441469e-06	6.86258181303856e-06	7.66065131756477e-05	0.0021661974024027586	8.887895819498226e-05	6.438176569645293e-06	1.0387923794041853e-05	1.6804293409222737e-05	0.00017793307779356837	3.736409416887909e-05	4.786159479408525e-06
CERCAM	0.00015900697326287627	1.2410755516611971e-05	0.00014919787645339966	1.4244271824281896e-06	0.0001150475291069597	0.0002828640572261065	0.00010577831562841311	2.0196617697365582e-05	1.4664013860965497e-06	3.6883748180116527e-06	7.714023013249971e-06	4.423165592015721e-05	0.00013984018005430698	1.634786167414859e-05	0.00015337397053372115	6.76661693432834e-06	1.5847184840822592e-05	9.074448462342843e-05	0.0018070751102641225	0.0001872010325314477	9.573843999532983e-05	1.768611946317833e-05	6.927498816367006e-06	3.069752347073518e-05	0.00011014478513970971	3.009098008988076e-06
GRN	0.000378346856450662	4.842053022002801e-05	0.00034747578320093453	4.899100895272568e-05	0.00022442701447289437	0.0004103418323211372	0.0003132187994197011	0.0021268539130687714	0.00014581649156752974	0.00010031551937572658	5.3159015806159005e-05	0.0004983156686648726	0.00023103735293261707	4.595351856551133e-05	0.00024741978268139064	8.678753511048853e-05	0.00013023459177929908	0.0001326203637290746	0.0005243563209660351	9.862270962912589e-05	0.00035582261625677347	0.00010187867155764252	0.0012256174813956022	0.00015198870096355677	0.00015496178821194917	3.1441562896361575e-05
MMP9	0.09757406264543533	6.129026814960525e-07	7.732061931164935e-06	3.474435459338565e-07	2.869536001526285e-05	1.9869490586188476e-07	2.450831289024791e-07	8.6645879491698e-05	5.569425525209226e-07	2.811215153997182e-06	4.177166488261719e-07	3.113768514140247e-07	9.322207574768981e-07	8.521324730281776e-07	2.5380836632393766e-06	2.9395168894552626e-06	2.864773023247835e-07	5.585232429439202e-06	1.4961174201744143e-05	3.088909124926431e-06	6.041803946033042e-09	2.2992676349531393e-06	1.93457049135759e-06	2.867250032068114e-06	7.34177490357979e-07	4.7272632741623966e-07
ATG3	0.0002098221448250115	0.00047031952999532223	0.0005149100325070322	0.00035246097831986845	0.0002994087990373373	0.0003882487362716347	0.0002821115485858172	0.0008462659898214042	0.00028998349444009364	0.00046730609028600156	0.0005309857660904527	0.00027648283867165446	0.0002568182535469532	0.00041934402543120086	0.0002182004536734894	0.0002955168311018497	0.00021715305047109723	0.0003148046089336276	0.0001718545245239511	0.00019212989718653262	0.0003930287784896791	0.00036912181531079113	0.000352737057255581	0.00042375901830382645	6.560927431564778e-05	0.0003637310292106122
CLEC4A	2.6603900550981052e-05	4.156134764343733e-06	4.521516075328691e-06	3.1786365184416354e-07	6.176252327350085e-07	1.6660942492308095e-05	2.645358847530588e-07	0.0013973332243040204	3.0919036362320185e-05	4.860170861320512e-07	5.86277678849001e-07	2.2880305550643243e-05	3.667315695565776e-06	9.477749927100376e-07	3.579407120923861e-06	9.469519682170358e-06	1.7339483804335032e-07	2.5132707378361374e-05	1.1602915947150905e-05	3.549997472873656e-06	3.143189587717643e-06	3.955378997488879e-05	0.00045827298890799284	5.269105713523459e-06	9.503842738922685e-05	1.4127573422229034e-06
FAM111B	1.0307770935469307e-05	0.0021566024515777826	1.1930819709959906e-06	4.4494623097079966e-08	2.0494826458161697e-05	2.9117808253431576e-07	1.0344731435907306e-06	1.7642233842707356e-06	7.096339686540887e-05	1.2739918702209252e-06	5.3869889882207644e-08	1.9305137755054602e-07	1.118260229304724e-06	7.905038614808291e-07	2.8451795515138656e-06	3.1701119951321743e-07	7.586893246980253e-08	8.082628482952714e-06	6.428087999665877e-07	2.7249218419456156e-06	9.723100447445177e-06	1.1201184406672837e-06	0.00014571040810551494	3.953274699597387e-06	1.312456561208819e-07	7.073669507917657e-07
LAIR2	7.237941190396668e-06	7.546330834884429e-06	1.4650575508312613e-07	3.7594556488329545e-05	1.2542972172013833e-07	1.3743442650593352e-07	6.686875764216893e-08	2.4912321805459214e-07	1.2305523569011712e-06	0.002570608165115118	1.1584028470679186e-05	1.0036781361577596e-07	8.74064127742713e-08	0.00029645790345966816	1.6752694591559703e-06	1.775313648977317e-05	1.293678195679604e-07	5.629596671496984e-06	3.291361494461853e-08	2.8637196010095067e-06	4.836930855844912e-09	6.912795925018145e-06	4.0232316678157076e-07	3.3417097711208044e-06	1.3224725137206406e-07	3.779534745262936e-05
IGHV4-61	8.045797585509717e-06	4.6438653811264885e-08	1.0717204190768825e-07	1.460810850062444e-08	3.2955034612314194e-07	0.0015855239471420646	5.915719611948589e-07	5.1385327992647944e-08	3.9405704228556715e-06	3.7134775254799024e-08	1.496639967513147e-08	9.429143688066688e-08	6.276958970374835e-07	7.834977111542685e-08	1.0237253263767343e-05	3.864854534185724e-06	9.637692244268692e-08	3.0020810299902223e-05	1.4498026246201334e-07	2.3140660232456867e-06	3.3481424566161877e-07	1.97703769799773e-07	1.0885260053328238e-05	7.03578280081274e-06	9.755174090742003e-08	7.050749104564602e-07
NUDT14	0.00013312249211594462	0.00033849169267341495	0.0006094764685258269	0.00013629143359139562	0.0002736827591434121	4.693989467341453e-05	3.660772927105427e-05	0.0003528473898768425	9.375949593959376e-05	0.0002982971491292119	0.00038313615368679166	0.0006116270087659359	0.00023245603370014578	0.0005257675074972212	0.0003327806480228901	0.0004412242560647428	0.0007517020567320287	0.0002204578777309507	3.693827966344543e-05	0.0013600458623841405	0.0007892973371781409	0.00020998144464101642	9.98565083136782e-05	0.00014706794172525406	8.180998702300712e-05	0.00037248319131322205
PLAU	3.169906995026395e-05	6.285930339799961e-06	2.3578004402224906e-05	2.9605007512145676e-07	5.4867473409103695e-06	6.801569725212175e-07	9.942465112544596e-05	0.0004921021172776818	1.2956788850715384e-06	6.015508006385062e-06	5.81758911266661e-07	0.00011921486293431371	7.321794691961259e-05	6.346443115035072e-05	4.510753933573142e-05	2.139943035217584e-06	1.295638139708899e-05	1.9954000890720636e-05	0.001209125854074955	1.2387946298986208e-05	3.1867449479250354e-07	1.6796991531009553e-06	2.3309341486310586e-05	1.1338075637468137e-05	1.1892374459421262e-05	3.2445652777823852e-06
AIF1L	1.7769625628716312e-05	7.946963887661695e-05	6.091529212426394e-05	2.638246314745629e-07	0.00027280085487291217	5.558897464652546e-05	8.894138591131195e-05	2.7360999865777558e-06	3.8326029994095734e-07	9.362788659927901e-07	3.5789753383141942e-06	0.0008007741416804492	5.075458830106072e-05	2.2160013486427488e-06	3.5765628126682714e-05	3.673654589420039e-07	2.3994618914002785e-07	2.8809405193896964e-05	3.7934869396849535e-06	3.0168617740855552e-05	0.00022236740915104747	1.429497046956385e-06	9.64999117059051e-07	5.854226856172318e-06	2.2362544314091792e-06	1.6398654167915083e-07
