Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28
PRIM2	5.080344999441877e-05	0.0002696885203476995	4.003979847766459e-05	8.464194979751483e-05	5.652964682667516e-05	9.475129627389833e-05	4.057484329678118e-05	0.0002167586935684085	0.00021858977561350912	5.71118071093224e-05	7.317780546145514e-05	9.99251933535561e-05	0.0002403376711299643	0.0002915220393333584	9.474909893469885e-05	5.8160152548225597e-05	8.024281851248816e-05	6.320911052171141e-05	0.00015905775944702327	0.000122560013551265	0.00018671118596103042	0.00014545251906383783	4.476821413845755e-05	0.00019715295638889074	6.895821570651606e-05	0.00020205331384204328	6.287304131546989e-05	0.0007122582755982876
TYROBP	2.746638529060874e-06	1.4852496860839892e-05	3.7204793557066296e-07	2.033084001595853e-06	1.1709656973835081e-05	7.895253656897694e-05	0.0012339866952970624	0.0010662802960723639	0.0008185108308680356	2.3190747015178204e-05	3.1808510811970336e-06	3.6535840308715706e-07	1.8656803604244487e-06	9.129232239502016e-06	0.0018044946482405066	4.0457405702909455e-05	1.2511595741671044e-06	0.0030275825411081314	1.997205572479288e-06	7.802367690601386e-06	2.2341953354043653e-06	4.955518761562416e-06	6.130589440545009e-07	2.019784687945503e-06	1.2464040537452092e-06	1.2379758118186146e-05	4.156644536124077e-06	0.000580347201321274
KIF26A	7.727091997367097e-07	7.513091304645059e-08	0.0013092018198221922	5.3879895858699456e-05	3.329483035940939e-07	2.6001719106716337e-06	1.5589380097935646e-07	2.480761907008855e-07	1.5226555660774466e-07	9.071350177691784e-06	0.0006890215445309877	5.687019438482821e-06	2.2792008280703158e-07	2.549022326547856e-07	4.607524886068859e-07	9.605471859686077e-06	2.8119397939008195e-06	1.4880498611091753e-07	1.3252653729978192e-07	8.835605314061468e-08	6.631069737750295e-08	1.6318255802616477e-05	9.590087574906647e-05	6.673607799712045e-08	4.147411527810618e-05	6.042369932401925e-06	0.0005864485283382237	9.942284577846294e-07
PKIG	3.324563294881955e-05	2.146274255210301e-06	0.0006656271289102733	0.0004894396406598389	5.4741754865972325e-05	0.00048086544848047197	2.2734750018571503e-05	8.85077242855914e-05	7.5120688052265905e-06	0.0001326860801782459	0.00015420562704093754	0.00035993001074530184	1.6191780787266907e-06	6.129822850198252e-06	3.8538642002095e-06	0.00025715891388244927	0.0009063139441423118	1.2115803656342905e-05	3.4245422284584492e-06	2.480678176652873e-06	0.0012971159303560853	0.0001476449251640588	0.0005022648256272078	2.6440236524649663e-06	0.0008811922161839902	0.00016951792349573225	0.00033379957312718034	0.0005671620019711554
IGHG4	0.011139115318655968	8.898708983906545e-06	6.877087912471325e-07	1.1264389740972547e-06	0.0019340742146596313	2.2847250420454657e-06	1.1521285614435328e-06	3.459849267528625e-06	7.752151759632397e-06	0.00014122447464615107	4.97798464493826e-06	1.491493435423763e-06	2.6787342903844547e-06	7.475670372514287e-06	3.3729941151250387e-07	9.321137440565508e-06	3.9867182977104676e-07	2.3976463126018643e-06	1.2669787793129217e-05	2.1748797735199332e-05	1.6046729797380976e-05	2.7071226327279874e-07	3.851823294098722e-06	2.520652014936786e-05	1.2749470670314622e-06	0.00047903673839755356	4.458210867142043e-07	1.2802117055343842e-07
TIMP2	2.519962981750723e-05	3.7878476177866105e-06	0.00022113618615549058	0.002222880721092224	1.501147107774159e-05	0.00044242144213058054	3.587417450034991e-05	1.721880107652396e-05	2.1846080926479772e-05	8.811030420474708e-05	0.00011950738553423434	6.803802989452379e-06	7.92741593613755e-06	6.910581305419328e-06	2.298446634085849e-05	0.00033007829915732145	0.00014259300951380283	0.00028015364659950137	4.354145403340226e-06	6.922645752638346e-06	5.765002242696937e-06	0.00012786380830220878	0.0006656332989223301	1.3204885362938512e-05	2.6905761842499487e-05	6.842151924502105e-05	0.00013453391147777438	5.312635039445013e-06
CERCAM	0.00024264483363367617	5.672971838066587e-06	4.068720227223821e-05	0.001883031683973968	0.00027681273058988154	0.00017879300867207348	8.318809705087915e-06	7.65672120905947e-06	4.076355253346264e-06	0.00040563626680523157	9.357248927699402e-05	9.73626010818407e-05	3.2280154300678987e-06	7.2470365921617486e-06	6.115886208135635e-05	0.00023020899971015751	0.00011624742910498753	2.3332875571213663e-05	1.5335525631599012e-06	5.2304471864772495e-06	1.869844481916516e-06	7.750277291052043e-05	0.0003260148223489523	3.7559123029495822e-06	5.065723598818295e-05	0.00020095551735721529	6.594778096769005e-05	1.1672754226310644e-05
GRN	0.0004576979554258287	2.8274496798985638e-05	0.0005153298261575401	0.0005362089141272008	0.0003747561713680625	0.00012798023817595094	0.001287447172217071	0.0014705724315717816	6.561497139045969e-05	0.0001287448249058798	0.0004908650880679488	0.0003531300462782383	8.244487980846316e-05	5.906751539441757e-05	0.0001233836665051058	0.00010669187031453475	0.0003336382214911282	0.0021887256298214197	4.989187800674699e-05	4.001325214630924e-05	0.0002143285673810169	0.0003973758139181882	0.0002522307331673801	0.00011351966531947255	7.898934563854709e-05	0.0002842199755832553	0.0001909000420710072	0.0001219045152538456
MMP9	6.604223585782165e-07	4.780573021889722e-07	1.04103526155086e-06	0.00011217223800485954	1.5022867501102155e-06	5.027864062867593e-06	8.697134035173804e-05	7.937904911159421e-07	3.0067394618527032e-06	7.529555205110228e-06	4.183048361028341e-07	2.60227679405034e-08	4.62657339994621e-07	1.3842607131664408e-06	1.6554282638026052e-06	9.195838174491655e-06	0.00019792230159509927	0.00021758816728834063	6.092060971241153e-07	4.797192900696245e-07	3.4705394114098453e-07	6.7952887548017316e-06	4.334223717705754e-07	3.5562520679377485e-06	8.713468560017645e-07	3.260116045566974e-06	6.499706159956986e-07	1.1627758311760772e-07
ATG3	0.0002426525898044929	0.00033059954876080155	0.00026695680571720004	0.00017322295752819628	0.0004592506738845259	0.0004795260902028531	0.001355919986963272	0.0004155007191002369	0.0003740590764209628	0.0003352625935804099	0.00031050186953507364	0.00038475662586279213	0.00033104544854722917	0.00046635218313895166	0.00042072555515915155	0.000223521186853759	0.0002691333065740764	0.0007430413970723748	0.000392483314499259	0.00044404034269973636	0.0002819288056343794	0.0003942995681427419	0.000247196905547753	0.00046428345376625657	0.0004902223008684814	0.00018823960272129625	0.0005149149801582098	0.0001929104037117213
