Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28	Topic29	Topic30
PRIM2	5.712631536880508e-05	8.208220970118418e-05	0.0001346410863334313	3.228343848604709e-05	7.036574970697984e-05	4.875126978731714e-05	3.8869449781486765e-05	0.00018337606161367148	0.00018213655857834965	0.00045641965698450804	5.188422801438719e-05	3.720066524692811e-05	1.4226568055164535e-05	0.00033173905103467405	0.00018000973796006292	0.0001492059964220971	6.162433419376612e-05	9.029216016642749e-05	7.501566142309457e-05	0.00018289317085873336	0.0006917211576364934	8.87796632014215e-05	0.00010647891031112522	0.0001451623538741842	0.00011119075497845188	0.00010685449524316937	0.00026639067800715566	1.7008607755997218e-05	6.0992180806351826e-05	5.3690360800828785e-05
TYROBP	0.00301346555352211	2.720585143833887e-07	1.9251594949309947e-06	1.4955248843762092e-05	0.0008548559853807092	6.383781965269009e-07	2.0823538307013223e-06	5.7719903452380095e-06	0.00025605977862142026	7.38472408556845e-06	3.935325310067128e-07	2.4474627934978344e-05	2.401716119493358e-05	2.5031545192177873e-06	0.001273621921427548	2.16287935472792e-06	2.8969704999326495e-06	2.7431527996668592e-05	1.7613239151614835e-06	1.8552474330135738e-06	0.0005977533874101937	1.466658545723476e-06	5.586007682722993e-05	5.497391248354688e-05	2.4308972569997422e-05	1.9697879906743765e-05	1.1365062164259143e-05	5.498135578818619e-05	0.0005080049159005284	6.671185019513359e-06
KIF26A	2.3904618728920468e-08	9.156546184385661e-06	0.00014842029486317188	4.464259291125927e-06	3.2113609904627083e-07	0.0011292892741039395	2.7160665922565386e-05	5.999137187018277e-08	1.816789421127396e-07	5.126864266458142e-08	0.0001194766373373568	1.7948754248209298e-05	4.45450359620736e-06	1.3432219247988542e-07	3.609503096413391e-07	5.7528076524704375e-08	1.3414462046057452e-05	4.126078238186892e-06	8.20944649149169e-07	7.864413475999754e-08	1.1676782918357276e-07	2.6426562271808507e-07	8.095982593658846e-06	1.248425087396754e-05	1.673709812166635e-05	5.6582071010780055e-06	6.777290764148347e-06	1.0454560651851352e-05	1.1717119150489452e-06	2.501585640857229e-07
PKIG	1.159625480795512e-05	0.00041957327630370855	0.00023204798344522715	0.0007448598043993115	3.4050703106913716e-05	0.000498674635309726	0.001591592445038259	2.3255065570992883e-06	2.2121137135400204e-06	3.6404373531695455e-05	0.0004427852400112897	0.0001744047476677224	0.00041432015132158995	3.1717572710476816e-06	8.841286762617528e-05	7.0575692916463595e-06	0.0005377699853852391	0.00011530860501807183	2.8026483960275073e-06	0.0012784458231180906	0.0005596368573606014	0.0009746357100084424	8.98943399079144e-05	0.00011673272820189595	0.00033196501317434013	5.618851355393417e-05	9.948482329491526e-06	0.0002332008007215336	6.688058056170121e-05	4.32830820500385e-05
IGHG4	3.138329475405044e-06	1.7874442619358888e-06	1.080603738046193e-06	6.2592293943453114e-06	1.2363554446892522e-07	2.046395593424677e-06	1.1663860277622007e-07	2.1272806407068856e-05	4.54093742519035e-06	9.077872675788967e-08	2.7220485208090395e-06	7.253303010656964e-06	6.820591806899756e-05	2.251418300147634e-05	5.620036631626135e-07	6.926389232830843e-06	1.4474695717581199e-06	3.449496944085695e-06	1.4449979971686844e-05	1.6297442925861105e-05	6.310383326990632e-08	3.5157185607204156e-07	8.010237797861919e-05	0.00020851424778811634	1.1390502550057136e-05	0.00010203808778896928	6.108378329372499e-06	5.8931914281856734e-06	1.5275832993211225e-05	0.005060636438429356
TIMP2	0.0002645522472448647	5.316494025464635e-06	0.0010514919413253665	7.290212670341134e-05	3.686269701574929e-05	0.00017276340804528445	0.00019570498261600733	8.201492164516822e-06	6.103195119067095e-06	1.9457056623650715e-05	0.0007115195621736348	0.0001123030306189321	0.0007859673351049423	3.4549289011920337e-06	2.347079680475872e-05	6.511354968097294e-06	0.002324397210031748	0.00010038276377599686	7.523486146965297e-06	6.281708920141682e-06	4.724185600935016e-06	0.00011517609527800232	8.239124872488901e-05	0.0001330622617388144	0.0003511750546749681	4.256018655723892e-05	1.2744821106025483e-05	0.00043285934953019023	3.042302341782488e-05	1.5068559150677174e-05
CERCAM	2.1279753127600998e-05	8.637693827040493e-05	0.0009584871004335582	4.080227517988533e-05	6.485175617854111e-06	5.200200394028798e-05	0.00010710211063269526	2.194953367506969e-06	8.403651008848101e-06	6.786822632420808e-05	0.0003808826731983572	2.9196078685345128e-05	0.00020216795383021235	1.6644099787299638e-06	1.0913667210843414e-05	3.146757535432698e-06	0.001986762275919318	2.5343792003695853e-05	1.954271283466369e-06	2.321478859812487e-06	1.3016961929679383e-05	8.188323408830911e-05	0.0002393529430264607	0.0002971201320178807	9.929547377396375e-05	0.00012018655252177268	1.0787822247948498e-05	8.396024350076914e-05	0.00010811093670781702	0.0002819232176989317
GRN	0.0021921186707913876	0.00034023195621557534	0.0006231441511772573	0.00028596329502761364	0.0010353907709941268	0.0004908338305540383	7.562755490653217e-05	6.298560765571892e-05	3.636176188592799e-05	0.00010502111399546266	0.0002280704356962815	9.812405187403783e-05	0.0002632823307067156	6.056565325707197e-05	0.0014565226156264544	4.732797606266104e-05	0.0005049975006841123	0.0002144581958418712	6.306124123511836e-05	0.00021681147336494178	0.00012063621397828683	0.00024831280461512506	0.0004570854362100363	0.00019290304044261575	0.00027855264488607645	0.0003105514624621719	8.970851922640577e-05	0.0001826903608161956	0.0008056347724050283	0.00040177040500566363
MMP9	0.00021071202354505658	1.815910088964756e-08	0.0004915104946121573	3.852862846542848e-06	1.101473480957793e-05	1.1287581003216474e-07	3.370848935446702e-05	1.3341422118173796e-06	1.0882840797421522e-06	2.2038469182916742e-07	4.319228423810273e-07	4.352314135758206e-06	5.737475021305727e-06	2.9331673090382537e-07	5.626458232654841e-07	1.1346033943482325e-06	2.4631910946482094e-06	1.808127672120463e-05	8.921644507609017e-07	2.580121929440793e-07	1.151601978222061e-07	5.944443728367332e-07	4.502277079154737e-05	1.1335554518154822e-05	9.591591151547618e-06	3.5559626212489093e-06	4.908098617306678e-06	6.912586741236737e-06	7.820831342542078e-06	1.4555040195318725e-07
ATG3	0.0007775194826535881	0.0004093133029527962	0.00010458099859533831	0.00012579670874401927	0.0011902243131771684	0.000300294574117288	0.0004624228458851576	0.00044703372986987233	0.00038690847577527165	9.014678653329611e-05	0.00025654921773821115	0.00042086205212399364	0.000338064186507836	0.0002682452031876892	0.0003298607771284878	0.0003782944695558399	0.00020484656852204353	0.00035109248710796237	0.000526042131241411	0.0002892000775318593	0.00019954421441070735	0.00032839959021657705	0.0002919527469202876	0.0003907385980710387	0.0002727518731262535	0.0004436890594661236	0.00048205474740825593	0.00018911529332399368	0.0006100634345784783	0.00038959080120548606
