Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28	Topic29	Topic30	Topic31	Topic32
PRIM2	0.00018251145957037807	0.00014807716070208699	7.219423423521221e-05	0.00011832322343252599	0.0004716157855000347	2.6653184249880724e-05	9.229372517438605e-05	8.246298966696486e-05	3.5059129004366696e-05	0.00013576686615124345	0.00020935545035172254	0.0001904894452309236	5.963011062704027e-05	0.00016463702195324004	5.4015094065107405e-05	6.314233178272843e-05	0.00019194492779206485	0.0006997997406870127	1.9178873117198236e-05	3.569767432054505e-05	0.0003187335969414562	4.8894533392740414e-05	0.0001405494549544528	0.00018846824241336435	0.00013187387958168983	0.00012352924386505038	4.435870505403727e-05	5.150464130565524e-05	5.350778155843727e-05	0.00027661374770104885	0.00011345011444063857	7.385890785371885e-05
TYROBP	3.3076939871534705e-06	5.020870048610959e-06	7.139041554182768e-05	6.584676839338499e-07	4.903579792880919e-06	1.8974193153553642e-05	2.3309248717851005e-05	1.4913514405634487e-06	1.5285779227269813e-05	1.3479274230121518e-06	6.558644599863328e-06	0.0009814397199079394	0.0028239719104021788	1.080680931409006e-07	1.2244247500348138e-06	1.661571218392055e-06	2.6579730274534086e-06	0.0005827531567774713	7.288457709364593e-06	2.850808868970489e-06	1.77809431534115e-06	3.616323169808311e-07	3.681865109683713e-06	7.753556928946637e-06	3.2377722618548432e-06	3.0508181225741282e-05	1.724769754218869e-05	6.738619049428962e-06	6.079227750888094e-05	8.068799616012257e-06	0.0009832250652834773	8.644731678941753e-06
KIF26A	6.788379636191166e-08	1.5845597545194323e-07	2.4257403765659546e-06	1.92658831110748e-08	1.416644863638794e-07	4.344597982708365e-06	7.05621505403542e-06	2.803041752486024e-06	3.5449693314149044e-06	1.867662649601698e-05	5.13059774220892e-07	1.6477086717259226e-07	4.97439600621874e-08	2.584733556432184e-05	6.900735752424225e-05	1.5486482880078256e-05	1.737312516070233e-07	4.973442742084444e-07	2.4417388431174913e-06	0.0012711702147498727	6.069266191843781e-07	1.1094245564891025e-05	0.00022479065228253603	1.2006375982309692e-07	7.607489038718995e-08	4.214520231471397e-06	8.353684279427398e-06	3.052800821023993e-06	5.907623744860757e-06	9.735123057907913e-06	1.994021232576415e-07	1.8532782064539788e-07
PKIG	0.0012388713657855988	5.170504095985962e-07	3.678580105770379e-05	0.00061414809897542	8.49186926643597e-06	0.00014240182645153254	0.00017119001131504774	0.0009890916990116239	0.0003140441549476236	0.00032268668292090297	2.286127710249275e-06	2.91144738184812e-06	1.4299390386440791e-05	0.000188424251973629	0.0005335111636668444	0.0005658708396367729	5.08258835907327e-06	0.0005830228328704834	2.9494211048586294e-05	0.0005618042778223753	2.2710928533342667e-06	0.0002584865433163941	0.00022587885905522853	4.960770183970453e-06	4.9948544074140955e-06	7.165579154388979e-05	0.0002020945685217157	4.162974073551595e-05	5.612718814518303e-05	8.147375410771929e-06	3.1572508305544034e-05	4.787681973539293e-05
IGHG4	1.6358395441784523e-05	2.7120868253405206e-05	1.4801100860495353e-06	3.4437716749380343e-06	2.1069670765427873e-05	0.0001724445028230548	3.87574800697621e-06	1.37890719997813e-06	4.8792730922286864e-06	2.6938076302940317e-07	5.444069302029675e-06	6.409290563169634e-06	2.011939614021685e-06	4.343200430412253e-07	1.0199782707331906e-07	2.1642908905050717e-06	1.2983066881133709e-05	5.412364956214333e-08	0.0005367581034079194	3.5430111893219873e-06	3.88004191336222e-05	1.8458175077284977e-07	1.003598981696996e-06	1.1631013876467478e-05	1.3981596111989347e-06	0.00010372387623647228	0.0002763457887340337	2.740875061135739e-06	0.0002769404381979257	3.611131432990078e-06	1.384997005970945e-07	0.005131102632731199
TIMP2	6.074637894926127e-06	1.0678679245756939e-05	5.325978418113664e-05	2.9842635740351398e-06	1.6812058674986474e-05	9.782822598936036e-05	0.00021988597291056067	0.00014131116040516645	0.00023284034978132695	6.840938294772059e-05	4.943761723552598e-06	1.9320166757097468e-05	0.0002455158974044025	2.918114114436321e-05	0.0005423440597951412	0.0024066814221441746	3.0651751785626402e-06	5.642355517920805e-06	2.5671723051345907e-05	0.00020240619778633118	6.018647582095582e-06	8.820436960377265e-06	0.0009758691303431988	1.0446548913023435e-05	4.975601314072264e-06	8.091540803434327e-05	0.00010509941057534888	0.00012962950859218836	6.119789759395644e-05	1.4446324712480418e-05	1.7265660062548704e-05	1.5110726053535473e-05
CERCAM	1.4080865184951108e-06	4.436602011992363e-06	6.383961590472609e-05	8.988253102870658e-05	5.461507498694118e-06	0.0004651336057577282	5.932985368417576e-05	9.779149695532396e-05	4.402637205203064e-05	6.916664278833196e-05	5.017334842705168e-06	2.2909556719241664e-05	2.0737188606290147e-05	0.00023958379460964352	0.0002478781098034233	0.001915782573632896	2.9533948691096157e-06	1.3156674867786933e-05	0.00013943121302872896	5.522588253370486e-05	4.505686774791684e-06	4.360748062026687e-05	0.0010710698552429676	3.847243078780593e-06	8.308232395393134e-07	0.00011494773934828117	0.00023544429859612137	0.00014166605251375586	0.0001782860781531781	1.297369999520015e-05	7.1833283072919585e-06	0.0002765286772046238
GRN	0.00023178107221610844	9.768030577106401e-05	0.0001666491007199511	0.0003656699846033007	8.398160571232438e-05	0.00030391133623197675	0.00012533798872027546	0.00028325527091510594	3.2078147341962904e-05	0.0003069986414629966	9.096936992136762e-05	4.585214628605172e-05	0.002081003738567233	0.00041407806565985084	0.00019087718101218343	0.0005155358230695128	3.644539901870303e-05	0.00011019683734048158	0.0004230509512126446	0.0005095911910757422	7.108579302439466e-05	0.0002503233845345676	0.0005577003466896713	4.70141094410792e-05	4.203758726362139e-05	0.00019644093117676675	0.0002301586646353826	0.00019095958850812167	0.00019983061065431684	7.383406773442402e-05	0.0013995622284710407	0.0004044012457598001
MMP9	3.997046462700382e-07	2.9011221158725675e-06	4.304697358747944e-05	1.0289288532305818e-08	1.7987382250339579e-07	7.044402536848793e-06	8.893774065654725e-06	8.203970764952828e-07	2.8611971174541395e-06	9.277274557462079e-07	8.263608606284834e-07	2.2429735224704928e-07	0.00018800854741130024	3.7018669019062145e-08	1.9296506081900588e-07	1.150385514847585e-06	1.3952871995570604e-06	6.839271549097248e-08	1.9647570752567844e-06	5.256204644865647e-07	3.874748983889731e-07	9.223165164939928e-08	0.000682544894516468	1.7245696426471113e-07	7.44151805065485e-07	8.28354950499488e-06	1.040841107169399e-05	3.730236585397506e-06	8.427634384133853e-06	2.261605231979047e-06	1.1524514320626622e-06	1.2574987806601712e-07
ATG3	0.00029571057530120015	0.0004452984721865505	0.0002648534718900919	0.00036792882019653916	0.00020832961308769882	0.0002520190901122987	0.0004775017441716045	0.00031936023151502013	0.0004890492418780923	0.0005867467843927443	0.00040163015364669263	0.0003270157612860203	0.0008394130854867399	0.00010623614070937037	0.00027466422761790454	0.00019783293828368187	0.00043650553561747074	0.0002096580428769812	0.0002743458317127079	0.0002610519004520029	0.0002639124577399343	0.0005332004511728883	0.00011816278129117563	0.00037797330878674984	0.000428756553446874	0.00031043830676935613	0.0002384282270213589	0.0001070048674591817	0.00024363593547604978	0.0004943530075252056	0.0005721588968299329	0.0004074375901836902
