Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28	Topic29	Topic30	Topic31	Topic32	Topic33	Topic34
PRIM2	0.00016632956976536661	0.000695392896886915	0.00012423917360138148	0.0006119501776993275	0.00017365484382025898	0.0004643200372811407	0.00010439271136419848	3.364290387253277e-05	0.00024085515178740025	0.00014780992933083326	0.00016773169045336545	5.812929884996265e-05	0.0002053627831628546	0.00014955330698285252	5.833688555867411e-05	0.0001721036824164912	5.9611749748000875e-05	0.00017994138761423528	0.00024045469763223082	7.876955351093784e-05	3.428342824918218e-05	0.00016344057803507894	2.0251252863090485e-05	8.340226486325264e-05	0.00017494216444902122	0.00020261446479707956	0.00010986826237058267	1.4892605577188078e-05	4.763612741953693e-05	0.00016375719860661775	3.73116708942689e-05	5.6346736528212205e-05	5.331853390089236e-05	0.00011349417036399245
TYROBP	1.6945768948062323e-05	0.0006042147288098931	6.833974566688994e-06	4.849401648243656e-06	6.799177936045453e-05	9.755502105690539e-06	2.5983972591347992e-06	3.136212035315111e-05	0.00015146117948461324	4.3876798372366466e-06	2.7806463549495675e-06	8.26700033940142e-06	2.949400368379429e-06	5.190755700823502e-07	1.0042793974207598e-06	2.095088120768196e-06	3.846851086564129e-07	0.000998445088043809	4.395852010929957e-05	2.3660575152462116e-06	1.1586291748244548e-06	0.0008318607578985393	1.9490837075863965e-05	1.1957102969972766e-06	2.2747437924408587e-06	4.986695785191841e-06	4.7251683099602815e-06	1.7368134649586864e-05	3.6768406062037684e-06	3.8437414332292974e-05	2.978026714117732e-06	1.0059458190880832e-06	0.0028325377497822046	2.5752325427674805e-07
KIF26A	2.894129522701405e-07	8.291662823012302e-08	3.7395736853795825e-06	1.3493658457264246e-07	5.55322076252196e-05	1.1407853151013114e-07	2.8826005291193724e-05	9.690842489362694e-06	0.00015276315389201045	3.160449324468573e-08	8.16044760654222e-08	1.6001281721855776e-07	9.695926195263382e-08	4.4286409206506505e-08	0.0003225879045203328	7.073904839671741e-08	0.0010641630506142974	1.7770037175068865e-07	4.72600368084386e-06	6.21100261923857e-05	5.933587203799107e-07	1.5495116656438768e-07	7.423749138979474e-06	4.098803856322775e-06	1.034091354767952e-07	1.1580268619582057e-05	2.731740642047953e-05	4.581954726745607e-06	2.6922125471173786e-06	1.6423882698290981e-06	0.0012080855667591095	2.2518859623232856e-05	2.33864412280127e-08	2.459205106219997e-08
PKIG	4.420464392751455e-06	0.0005775743047706783	0.00011598190030781552	1.3246944945422001e-05	0.00017588700575288385	2.9023615297774086e-06	0.00013934835442341864	0.000387090549338609	0.00031190048321150243	6.720578312524594e-06	5.547437922359677e-07	4.890218406217173e-05	2.956267735498841e-06	1.2091684311599238e-06	0.00031963540823198855	3.459647587078507e-06	0.0003205868706572801	2.5232452571799513e-06	7.759695290587842e-05	0.0005434957565739751	0.001012539374642074	7.320082659134641e-05	4.394509960548021e-05	0.0008657376747578382	0.0012529029045253992	1.3718989976041485e-05	9.0971720055677e-05	4.294685277272947e-05	0.0012978824088349938	2.7174366550752893e-05	0.0007357368594966829	0.000244497146923095	1.0975661098200362e-05	0.0004295733233448118
IGHG4	6.736005389029742e-07	5.787828882830581e-08	2.663605300767813e-06	3.236751217627898e-05	3.9729482523398474e-05	1.1479460226837546e-05	1.923983973028953e-06	6.882662546559004e-06	8.071133197518066e-05	7.988743163878098e-06	2.5016293875523843e-05	0.004714675713330507	1.1494355931063183e-05	1.2839297596656252e-05	9.068362771813554e-08	2.8366710466798395e-05	1.831884219427593e-06	4.6624531933048274e-06	5.74535124542308e-06	1.5327029814216075e-06	6.361805731103232e-07	4.129730314161861e-06	5.048858838563319e-06	3.968251803598832e-06	1.370302834402537e-05	7.696289685554802e-06	3.143538833683124e-07	3.3521296245453414e-06	1.0023084939803084e-07	1.1457983646323555e-06	3.033105031136074e-06	4.233612344251014e-06	1.7192789982800605e-06	7.800300849680752e-09
TIMP2	8.045736649364699e-06	6.119681074778782e-06	3.78805270884186e-05	2.1111824025865644e-05	0.0002800890651997179	6.5824824559967965e-06	0.002290211385115981	0.00033698667539283633	0.00046415760880336165	2.7073419914813712e-06	8.765332495386247e-06	1.594460991327651e-05	2.290236807311885e-06	8.555778549634852e-06	0.0005472074844874442	9.093472726817708e-06	0.00010586826101643965	1.774044540070463e-05	8.953320502769202e-05	0.002200250281020999	0.0012924493057653308	1.1049963177356403e-05	5.6917022448033094e-05	0.00015483886818401515	6.593455509573687e-06	1.4411215488507878e-05	0.0001753183314576745	0.000124375379527919	0.0002004807465709746	6.64371982566081e-05	0.0002930666378233582	6.813643722125562e-06	0.00024350942112505436	5.989467354083899e-06
CERCAM	3.7569395772152347e-06	1.4117261343926657e-05	3.3364623959641904e-05	9.184496775560547e-06	0.00032149048638530076	4.26641054218635e-06	0.0015079641016200185	8.13220685813576e-05	0.0002749015111476183	7.459532298526028e-07	3.4227680316689657e-06	0.0002739371848292649	3.6819592423853464e-06	1.9272079043730628e-06	0.00020345304801594466	3.4384540867904434e-06	4.391661786939949e-05	1.85979952220805e-05	0.00011881070531671867	0.0020452605094760656	0.0011558386031538248	9.714841326058377e-06	0.00011594870738917962	0.00013211624172981828	1.4579537719328073e-06	2.035038596659433e-05	0.00021682106307707727	3.5827357351081446e-05	0.00015824941510800272	8.163100574165583e-05	9.789800242288038e-05	3.154013029416092e-05	1.8142976841772906e-05	0.00011174703831784427
GRN	2.8509559342637658e-05	0.00012392424105200917	9.888338536256924e-05	9.309208689955994e-05	0.0001743803732097149	4.206709854770452e-05	0.0006763821002095938	0.00018839442054741085	0.00029666017508134246	3.906256097252481e-05	8.562173752579838e-05	0.0003983927599620074	4.34203575423453e-05	7.935328176245093e-05	0.0001840289478423074	5.775748650194146e-05	0.00040961019112728536	4.7396140871569514e-05	0.000109050415630918	0.0004490916326176375	0.0004031980934087187	0.0012563507771119475	0.0001760252780513838	0.00033426974550820887	0.00021000266133341938	7.458317850250751e-05	0.0005846866988576949	0.00014154083328321576	7.853841816540807e-05	0.00014375470345839858	0.0005676830769516528	0.0002046124282060191	0.0021016879472881556	0.0003765869187191129
MMP9	2.389239455169445e-07	2.5361242705912446e-07	2.5858839762804564e-06	6.712755293847295e-07	3.3411419281037524e-05	1.0151098877031473e-06	1.0822233889484778e-05	8.027508556551766e-06	5.468634844874032e-05	3.64132461072586e-07	2.133336693077581e-06	4.143992669014551e-07	7.667485988349654e-07	9.141830901171488e-07	2.892042800795025e-07	1.5452092156920116e-06	1.92558985645519e-07	9.421772233508818e-07	5.1674796850420535e-06	0.00020152890647295862	2.2976703917265695e-07	7.59179386022879e-07	5.993638751533581e-06	0.00018807355081662536	4.6651018692500656e-07	9.037128734235012e-07	5.918134888815985e-07	4.261006324668415e-06	5.919800059928093e-06	1.913612686621491e-05	3.977798314735992e-06	1.747521451989087e-07	0.00020298951130826026	5.045622142318962e-09
ATG3	0.0004194054927211255	0.000214419822441414	0.0003582598001230508	0.0001517857745056972	0.00024603615747764707	0.0006859339773654938	9.826168388826773e-05	0.00010277549154125154	0.000433469598647207	0.0003857601259369403	0.00041241527651436627	0.0003974462451878935	0.0003503863117657602	0.0004405533254612237	0.0002618008875288069	0.0004504042735788971	0.0003482369356788695	0.00040991822606883943	0.00015194482693914324	0.0001916974870255217	0.00031372791272588074	0.0005173060344532132	0.00025044361245818436	0.00027701022918336093	0.0003028691280633211	0.00037107596290297806	0.00013718452828470618	0.0001656057866057381	0.000501150730997324	0.0003694157931022346	0.0002415657800156623	0.0006103788618929684	0.0008455131901428103	0.00032288074726238847
