B	CD4Tconv	CD8Tex	Endothelial	Fibroblasts	Malignant	Mast	Mono.Macro	Myofibroblasts	Plasma	Tprolif
spot_1	0.00324417744886024	8.35355762179415e-05	0.277746435929556	8.35355762179447e-05	0.00842709675782392	0.704402125582516	8.35355762137262e-05	0.00446151856172093	0.00130096781987343	8.35355947824225e-05	8.3535576217945e-05
spot_2	0.00390660526956746	4.61390707259078e-05	0.233689700649586	4.61390707259049e-05	4.61390710651348e-05	0.761505813474266	4.61390707199536e-05	4.61390707520995e-05	4.61390707467258e-05	0.00057490711111935	4.6139070725904e-05
spot_3	2.89931323773484e-05	0.0380926355084821	0.109053827035102	2.89931323773589e-05	2.89931324435313e-05	0.596704685012008	2.89931325511506e-05	0.255945900517479	2.89931323825231e-05	2.89931325441389e-05	2.8993132253979e-05
spot_4	9.36010974110823e-05	9.3601097408452e-05	0.261933369971314	0.00422479460680702	0.0059502476579049	0.72723638008249	9.36010973830439e-05	9.36010974358863e-05	9.36010974084801e-05	9.36010969750487e-05	9.36010974619553e-05
spot_5	5.59201164835276e-05	0.00964363217342649	0.0831455306500277	0.00472183448132314	5.59201165272307e-05	0.79714209846366	0.084288357152883	0.0177967249345676	0.00303814164758766	5.59201470295287e-05	5.5920116484206e-05
spot_6	6.47629694210641e-05	0.000124502222005882	0.256250516060766	6.4762969421737e-05	6.47629695649551e-05	0.743106877960374	6.47629691260601e-05	6.47629693779857e-05	6.47629692706761e-05	6.47629711854783e-05	6.47629694856433e-05
spot_7	6.67228104506501e-05	6.672281044847e-05	0.186751373654237	0.00111486561440394	6.67228104352569e-05	0.79495102839039	6.67228104947925e-05	6.67228104859264e-05	0.0167156726395625	6.67228386435442e-05	6.67228104485768e-05
spot_8	6.30365747305414e-05	6.30365747313427e-05	0.160941022556596	6.30365747306632e-05	0.000292910973581048	0.837383325592997	6.30365746324045e-05	6.30365747316477e-05	0.000941484870546295	6.3036557992087e-05	6.30365747313463e-05
spot_9	0.00957630719704659	0.000103746415066836	0.17775620811391	6.62055873084023e-05	6.62055872201679e-05	0.810315432515885	6.62055874246281e-05	0.00185107223344182	6.62055872982807e-05	6.62055880895e-05	6.62055873084031e-05
spot_10	2.06642969537383e-05	0.0171900096249297	0.294351640121416	2.06642969506005e-05	0.000133035266747975	0.687417318398464	2.06642969394409e-05	2.0664296975276e-05	2.06642969110082e-05	2.06642968338877e-05	0.000784010806878003
