	0	1	2	3	4	5	6	7	8	9	10	11
B	0.0015261152866657593	0.017184704292086534	0.025230415279478193	0.46776221153135533	0.1443635217756031	0.0006360470293629812	0.0009724970471747207	0.0048926373132457054	0.0006092558287238232	0.0023634304325909155	0.001259683878602886	0.004455797128672863
CD4Tconv	0.025239380503655796	1.0020579224703703	0.020513451955174337	0.030840606618078525	0.012057740721665596	0.01892081785402537	0.011843327050452983	0.038878377566316624	0.011570885734639703	0.06521990189531854	0.027374876871017195	0.0123844003656599
CD8Tex	0.007091812494805672	0.6378241342178128	0.015480092505977329	0.00967155844016538	0.0041123074622531645	0.003402011413322871	0.0037149220926512745	0.04871319033519136	0.00314112840377105	0.16811070057553545	0.005389786350620805	0.006817510229474898
Endothelial	0.03924480007413426	0.011752550281480437	0.004268943048944967	0.002615733098576057	0.0007092506832025942	0.004178361638501641	0.5340925611767043	0.008107623158583361	0.007177317796503474	0.0014768858594158725	0.006602942841146463	0.002802828267809331
Fibroblasts	0.5026066051852062	0.008485003726408659	0.008176993231991796	0.0024176725679885473	0.0009805895186527976	1.202770646837894	0.008385218873316324	0.00608491739764055	0.03332063782708439	0.0029170689953801703	0.00977161079506494	0.007338652130943725
Malignant	0.3711207982719836	0.025972637920389934	0.04164270069765804	0.018551007962158115	0.003212081758644885	0.06505251941364833	0.035960477524336835	0.24210292528847033	0.05658437972539514	0.015171408217187838	2.220295613777	0.014424961640688773
Mast	0.0011469634705930324	0.0023826306722447813	0.003362848439318232	0.009603162441857233	2.6897599702241483e-05	0.00023320558170606537	0.00015249091998283392	0.0008810067657063855	7.95680561010888e-05	0.08793118626135439	0.00038480172216922144	0.03237699848243183
Mono/Macro	0.008214558392526782	0.011916311352143688	0.7046577031171567	0.023099898934393685	0.0014155007776377006	0.002633332074915402	0.002639776802006557	0.021235145633068393	0.0015011164893581016	0.0008259580917286985	0.005335609109499049	0.5482277758634853
Myofibroblasts	0.11661562615525624	0.0018495671412474984	0.0006501413090426047	0.00043978013335213654	0.0010237407279673316	0.025813276778894167	0.0010942475323250853	0.0028397183797327762	0.2911490968483337	0.0003082209127923387	0.0010024088881697057	0.0006299531773036397
Plasma	0.001581643297596859	0.0031215556413466267	0.0012430651041926576	5.4405615981649e-06	0.22859229829181393	0.001663213168601515	0.0008857618637625851	0.006708715691924933	0.0005094878570698117	0.005169666761956261	0.002311257404191417	0.0006844231304784548
Tprolif	0.0008162704763570405	0.021541224250689606	0.004025806670430331	0.00303751617403382	0.007828014118025861	0.0014684584760560684	0.0004575133025882846	0.1352049944834258	0.0013516187539654796	0.005034795331151613	0.00040181420991175303	0.0005809222594422347
