	0	1	2	3	4	5	6	7	8	9	10	11	12
B	0.010873510582311372	0.0050952430570618615	0.15059917778151982	0.001298140125891249	0.002152765122764205	0.0012560763964810067	0.02680397996723066	0.008498957824091826	0.0007093698919045798	0.00044222924666590356	0.002908972818157835	0.2009588266054688	0.022247379989829508
CD4Tconv	0.13192317114746008	0.030792723821541388	0.7659942301215186	0.02481909037715351	0.016679471243231086	0.011192398187781593	0.013971143903575485	0.06175098916728412	0.007801686432863821	0.016633279002998363	0.03811106587210384	0.009786767607389073	0.815131732423459
CD8Tex	0.023729726443504354	0.03139537029296689	0.256303915738663	0.007104127498198585	0.004967284349035303	0.003883066415853555	0.008852131536514492	0.07583550316593696	0.003203530539696252	0.004737479168450602	0.004387914436257085	0.002686152798872404	0.6810968320166484
Endothelial	0.021472485815156744	0.008525427412899484	0.033190496770937994	0.006748796592708259	0.010463329033136348	0.5345184201747959	0.003837480256903515	0.0013994196745750333	0.007473542695442954	0.003985711110809505	0.014296895456424227	0.0008356235533117336	0.006572999533216514
Fibroblasts	0.01862311165234115	0.005535780244624758	0.049127170220239456	0.010572669330638254	1.1301797718235411	0.005561272023260932	0.00716188649162137	0.002333765144698414	0.026853160431518187	1.1928847788725365	0.8690740161915957	0.000908156706813817	0.007611635484331316
Malignant	1.9005793238475686	0.22214516862283223	0.14139224527308472	2.187416508607934	0.1108071736019111	0.03335405726983809	0.020388716018428045	0.012616560165661247	0.05952790794039838	0.10404733830565878	0.17587940989448622	0.0029968874915830656	0.020641296222402065
Mast	0.0007048917124960339	0.0010765215653556494	0.003347178688389275	0.0004657113154064631	0.0007367397342806352	0.0002125726011649759	0.005304247356681128	0.09608863471795052	0.00013185843974841886	0.0004774586434109263	0.00034159505353734094	7.460709042286356e-05	0.0015968602081362154
Mono/Macro	0.010910525042697801	0.02156807912329838	0.030286850006571154	0.006190656238358709	0.003690687571513221	0.002605979025440247	0.7097078240017386	0.0022784473507475264	0.0013780625629734647	0.003817720723663468	0.007245117901717225	0.0014059640259134914	0.01107292369389613
Myofibroblasts	0.006048462951047867	0.003068098396112204	0.01129339631664411	0.0024865967018887227	0.031064651185953966	0.0014235339786098271	0.0008162453847503564	0.0003730927138428669	0.2924115092171272	0.021473736985418913	0.07317834587224888	0.0009068013668346303	0.001997552042390013
Plasma	0.004626055251108751	0.003025874242998646	0.0049937075370272005	0.004131750772988039	0.0015633856387180219	0.0008849581810354179	0.001326580563146524	0.0006807241090665016	0.00039531838391501363	0.001789610979963294	0.002367117802619908	0.19764467820462775	0.005996617911400869
Tprolif	0.0007090774675098238	0.14027801336608356	0.0024560037420657908	0.0005405162528535265	0.0006740795661323776	0.0004718215537213383	0.002055807071416784	0.0016796980417355452	0.0012997150403017104	0.0015653398368519972	0.001649539903710422	0.006578365273341458	0.030255568222157195
