	0	1	2	3	4	5	6	7	8	9	10	11	12	13
B	0.004106484781325874	0.0168430721639891	0.001196356405240078	0.0012488383521330592	0.005583068392840256	0.5134832718838819	0.011020032321113815	0.0008133820349533164	0.0035271865623773143	0.0006256530934286545	0.022064971212599455	0.002141999062199991	0.012904447971883623	0.0095937389563183
CD4Tconv	0.03282635082396002	1.129977726306286	0.009256428721010923	0.021990235162303272	0.0057983405924645695	0.022843112542596106	0.07235868161926033	0.01538251236135422	0.02373833233765186	0.007014037410653726	1.2795688266035137	0.00873048167896357	0.012771368971041737	0.576043148578088
CD8Tex	0.026547382798597256	0.5739906428421221	0.002761992318633985	0.005223694767259268	0.0014756699811224185	0.0084223254268651	0.0535640853080544	0.0025757996056531064	0.00846614077381437	0.0020619952813762136	0.44335932611596834	0.005201791558152791	0.006093134586085137	0.7124414788063583
Endothelial	0.008868691592139493	0.014762658201047532	0.5371716524903505	0.006109380798480463	0.0003554696142282345	0.0019106069004766791	0.058528217078238666	0.004175918456106213	0.01572358516155312	0.007190230408284584	0.022413525027224757	0.0009700220875715597	0.0036825825853513757	0.004631294438009511
Fibroblasts	0.0057157392709450625	0.027441492968868192	0.00649745641728671	0.0081090867114837	0.0008803322611938597	0.0013788453256282926	0.17913263238433727	1.2113842106339694	1.0786614486211996	0.034502060090797024	0.014242570503038416	0.0025172310078700397	0.00757513746543789	0.006441859366802697
Malignant	0.1918354094023966	0.07910972638232909	0.031356693428154274	2.233510320366085	0.0020018698967106466	0.005930713868037826	0.9877301969740548	0.05799323559930397	0.09705137435539037	0.043716290693106334	0.05755746792613426	0.011259494521174652	0.01973890876089278	0.016210966495052066
Mast	0.000989382769698001	0.0036046318048304432	8.746322079065731e-05	0.00029713804161673834	2.7714555048462672e-05	0.0006189392386792208	0.004417460094437106	0.0003448800150321799	0.0005937646597497233	7.52073510937535e-05	0.00437969061073854	0.10500970328081234	0.0034344770587548673	0.0016359838733386474
Mono/Macro	0.022191053267182362	0.018417924154431813	0.002597997002517741	0.004474076468060443	0.000575770844514485	0.019484263671095202	0.04784533437797023	0.003057467496300291	0.004188625695955602	0.0012636476538520358	0.025424654632433367	0.001532317314279418	0.7488268115153961	0.011314865884564713
Myofibroblasts	0.0027893531733370475	0.0034599124482859716	0.0011402523702088965	0.001926013953057877	0.001269532642336089	0.0003814058975325565	0.03795456191369809	0.025187436674270588	0.03999743460926068	0.2935689435342768	0.005862392623193649	0.00029675370797705423	0.0008006142327288204	0.0017932947741942898
Plasma	0.002131185530237583	0.008636113336570378	0.0007301997406555859	0.0011254977970760098	0.31182894812563416	0.00297285024618524	0.005439659971471556	0.0011415297818382852	0.0012891107134576773	0.0002592786910040958	0.00633149796779878	0.00028782229558928365	0.0011065771222552243	0.0044627726700573805
Tprolif	0.1437132803377661	0.004816041890887329	0.00035341290416003444	0.0005134207192260359	0.008391825178565654	0.004510675506592098	0.00610026038826794	0.0014531467053163262	0.0004926307131728526	0.0013325045648371124	0.004319086912526727	0.0005219275599881737	0.0016940135916628802	0.0492811501044176
