	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
B	0.0009724915423345881	0.0008478252404471465	0.012750237498904885	0.001381216044887716	0.006500660271337923	0.017256386862960105	0.062175339642764144	0.004127521266181901	0.02175781757178176	0.0031595858858623127	0.5012837969530011	0.007066407341343009	0.001599672829419631	0.0012688909634323692	0.002080900101906385
CD4Tconv	0.012511831909044266	0.018894609573224485	0.40172711141787015	0.01193114356538518	0.8399360770007503	0.098430529593838	0.007504271436828257	0.012039471614450353	1.399223435350924	0.02606528104148205	0.021012055492374955	0.025123712065163048	0.024139397357020212	0.010724361675385475	0.005962496081159834
CD8Tex	0.0021102036369868354	0.0032298257669901723	0.6426471250072748	0.0049318348513572715	0.8359912517394379	0.07245992346666687	0.004077685347949604	0.005709962975267991	0.46163674680338024	0.02073992980432601	0.0075465139617422105	0.010483023215297586	0.0045731767750963855	0.0029841361843233514	0.0016354061029146467
Endothelial	0.006864738782787082	0.004145089746320358	0.005193104083866455	0.014404685604778701	0.006438852016756468	0.062685390843078	0.0009318829587676233	0.003614815327719275	0.014634322350328426	0.007082513285253522	0.001625990729877115	0.006187987706081029	0.0060517704679589725	0.5348331544234319	0.00038292813808524684
Fibroblasts	0.46444371122022116	1.2602702024148624	0.01002078046072181	0.057518599864889816	0.006826419880181414	0.16195632207380062	0.002566970443773297	0.009196588499516063	0.01687401275846755	0.005301791804140037	0.0014571204041828275	0.008619724550136333	0.01010001698302092	0.007218503535665678	0.0008817395104356292
Malignant	0.04315764679868624	0.09296014886068704	0.022359837365363434	0.13088222826976684	0.01324285814133955	1.131943240148609	0.0028153121528601854	0.01758080517270821	0.03811678009322162	0.234769999510113	0.005375141672728831	0.026074635813875487	2.234861882332034	0.032760101881449524	0.0035276941071483037
Mast	0.00016049153501799607	0.0004661948373868135	0.0017579365546197111	0.000260584635044453	0.004395561755077021	0.003535846001597722	0.08891783758723461	0.0033735592657633505	0.00321203052867744	0.02345531829454261	0.0002676631589329065	0.05634219546525092	0.00018909373067059945	0.00020363274902590887	3.422180355443394e-05
Mono/Macro	0.0016856087799784008	0.003718115526085494	0.015267141943247438	0.0017237516832646854	0.005989853239460136	0.05103012875392975	0.00312632807665614	0.7661797206485367	0.011856258841298758	0.01680513730489893	0.007440375747436791	0.3300869735537769	0.0037460057292266367	0.0023936773386591973	0.0006077820439452697
Myofibroblasts	0.19491425870033677	0.008488772705390819	0.0027086197483159867	0.27099537755630465	0.000938509817876245	0.010530820444737212	0.0001802021271569101	0.0008204098606369585	0.0016715362260468953	0.002211441659595199	0.0003410363954928247	0.0005155640192243228	0.001789786382322684	0.0014732696087296272	0.0012530918522503053
Plasma	0.0007796847840394701	0.0011797487461448531	0.006126755716022199	0.0006069305703713616	0.004986672234690685	0.010143812903268119	0.014957004785727732	0.0012232340849816145	0.007211443659353325	0.0024710638690875852	0.01699371887668826	0.0013987030696061675	0.0011549216373844665	0.0008029424667049248	0.3142249231270516
Tprolif	0.0016142986109928586	0.0013361372728518017	0.06386031399220515	0.0007554487228870738	0.01586055483785862	0.004015704086863355	0.0008233482813095967	0.0008454458649014059	0.0046101706461337015	0.10682202552105588	0.004420580110527754	0.0030478524870132203	0.0003647468378170906	0.0003634037182715605	0.00805092932809805
