	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
B	0.014189345177846575	0.014794424122692893	0.010593330405928556	0.003230053515489145	0.0027467419395715057	0.00460128930318554	0.0016886064448235765	0.005054291013164051	0.011812326145147786	0.003931365912479946	0.0007072308016692913	0.018630879656521663	0.002149666542056818	0.0009496910071904913	0.0017873913758181808	0.0011322856245073872	0.5045796547060467	0.004218531659712777	0.0029796184142715392
CD4Tconv	0.8314997711695494	0.6067898281067425	0.2874822405359746	0.03364805787751199	0.016761443127430352	0.04285567776236842	0.026579994746227513	0.005793539593164902	0.012291428987654734	0.03449121756817605	0.006837349289471602	1.3088205761034166	0.018260749362953764	0.016493405009069876	0.006803845868354622	0.009006734586248705	0.020019547048916824	0.042118999042710555	0.03587612072364259
CD8Tex	0.8012989039405545	0.5575198998072235	0.76815365237953	0.019674888253061705	0.005266020851876801	0.017332652268428925	0.008860821348751649	0.001501507688038568	0.005180067306862385	0.01290459281177325	0.0019595005725914975	0.4520536476621519	0.003682303709595421	0.0017914966323537478	0.003696683610110714	0.0026353019986088163	0.0067661683000707325	0.013462588922398848	0.006549848487672118
Endothelial	0.006583002892781209	0.007513087989238789	0.004510415722093705	0.00870869457781977	0.011683810476356454	0.019347419125843177	0.01573878576069221	0.0003165786462584946	0.0035768751185914216	0.026572603247996186	0.006564268891445326	0.023856576979120987	0.010764218345333258	0.004963451577580876	0.0009755830707317949	0.5398358201820547	0.00212322226444929	0.03998370716707922	0.00928799466305034
Fibroblasts	0.007841949719816128	0.011886669316444328	0.0027095562295084744	0.00677686610632396	0.0029079735321402814	0.31686922434285814	0.9774485106802999	0.0008263110528799412	0.006709362568055784	0.016554652281966516	0.01835405393490243	0.013889563023558779	1.1403130135766657	1.2176139787632674	0.002512149421117519	0.0048449412117499025	0.0015481779391244691	0.037327182598687746	0.014621899709256645
Malignant	0.013573916174732765	0.02747313051338794	0.00914336288066823	0.5159814167956156	0.009211353619704094	0.25512428008035276	0.28323471338441014	0.003296424969942994	0.015915508938815985	1.977380803872422	0.014642534580234356	0.031361129133256505	0.058509107135890026	0.04492613065736723	0.009781730038821422	0.01904463183902504	0.006593021800541557	1.188259178644819	2.1746801997895964
Mast	0.0057462181499313624	0.003734708848448563	0.0026266473628352356	0.000993306895832667	0.00034423162286136174	0.0018463587835827666	0.0009942098006048888	0.0006470380530989205	0.004443766688667495	0.0017100331857866668	4.447282640916815e-05	0.004971425792508336	0.0001520569622061755	0.00020090842627061095	0.10537295582177858	8.451046765249449e-05	0.0016112066095169627	0.00025440480428013805	0.000249549675809495
Mono/Macro	0.010753434337294665	0.020803907561178444	0.009527374400267402	0.020983912798079814	0.0010908397775279632	0.028315722742191712	0.009737563383991486	0.0006033418689845745	0.7449466659681924	0.015583475125566175	0.0010790762710127793	0.02136431923502637	0.0027723081896662977	0.002935650696668481	0.0010835430667001796	0.002523785469723746	0.02277962824009538	0.005304579078057278	0.0051462506497684125
Myofibroblasts	0.0013376640336733453	0.0026894159756756975	0.002329324844831523	0.002817646864550405	0.0002674266581009174	0.16653476334055653	0.03265850270458743	0.001317520142589852	0.0007628494027779066	0.007894599197408755	0.30131269595817495	0.005211904464121516	0.038177613864651	0.024774431930451077	0.00030580810755340994	0.0014027699846355813	0.0004164804117385573	0.10867869238353259	0.003546115813638892
Plasma	0.006291385532568151	0.008079789543286144	0.003443601486206579	0.003323033775137789	0.3108272107716352	0.0016871277164225737	0.00203756743944208	0.3102015573191685	0.0012384209721472937	0.00379766334171189	0.00022045889905693584	0.0076982434459088025	0.0011277750865442727	0.001181975527269067	0.0002316562438841016	0.0007874242145965375	0.004015036163468996	0.003456786833618564	0.0013701552124679107
Tprolif	0.01310383299253342	0.050985926800006263	0.06288423072395259	0.11963547275388238	0.004065247655431235	0.0023182232249622644	0.0012827535418378016	0.008139127818911285	0.0015643869302818868	0.00013607002910885247	0.0013712731389515724	0.003443683777880611	0.0004938784629694615	0.0016865057211138898	0.00040402514787335546	0.0003857677294156138	0.004489512050229165	0.0002874317919584863	0.0002257100417904401
