	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
B	0.011347409173263592	0.0007915106811657577	0.0011390070356144509	0.0149463237884178	0.0013577245818457775	0.006722420828029917	0.004280347412782636	0.03667160306738209	0.0036993823619888835	0.019265052824136382	0.0007316352690744204	0.00690689383178445	0.005397679046376314	0.039766050251585465	0.5162999920225347	0.0018377059456703181	0.0015246715817247582	0.013156641092231374	0.0010507130483362024	0.03201089364520984
CD4Tconv	0.6145446337956008	0.01474348047314478	0.009966610750550206	0.28058212836392604	0.009237596544049445	0.8171052502229489	0.032378126415914386	1.3006882771818535	0.04188732847499606	0.021460077149192708	0.006921741414931629	0.011358894851725915	0.006089342815011218	0.23829527247317117	0.01959131530911264	0.017388334840699682	0.009002028042291832	0.20427822648013091	0.003349316940213418	1.2482257092118465
CD8Tex	0.575792363554202	0.0023765969313596096	0.0032221197071188434	0.6581363295012784	0.0030911670688236028	0.8905188417746165	0.03053135537259495	0.27705091999685294	0.011885102133199724	0.012909590999701829	0.002052514956961349	0.00468602626918249	0.0015914694556056635	0.3412815908843554	0.007504141324775965	0.004122950283380361	0.0028556116247713567	0.08781645175095251	0.0003994386605110575	0.42765730238979627
Endothelial	0.009711124614480794	0.003999333886857113	0.5245728813813434	0.004581512405208947	0.5326205751605693	0.00520354934816687	0.008199389458152219	0.01750830886292289	0.013499728714626376	0.002177220057793578	0.00628750562125223	0.003308963258630841	0.00027465000329139703	0.04101197185606098	0.0016774413692412131	0.0075963235480059075	0.003082512397028547	0.15271556763204328	0.002006267822787007	0.01677196099400063
Fibroblasts	0.016737399645356105	1.1852539228989047	0.010751461614104169	0.014009261052564344	0.005414748124660817	0.004269240926016674	0.005770698436145373	0.040370124408942804	0.04757579195329704	0.0032725238172079006	0.030868130422692226	0.007799096719776473	0.0009758571146739443	0.05536597244878595	0.0014374623260789826	1.0913881945214494	0.0055564431330426154	0.3272269973991681	0.0006471898022779025	0.03792268279343965
Malignant	0.042280652435471994	0.06469265290466303	0.04020887369816465	0.02947412833909421	0.035642478646304564	0.006885033356186506	0.18606917625436473	0.08291792644741217	1.9998718040917913	0.009649661609177976	0.05596659918828563	0.020783790605785744	0.004585217316787506	0.14556191331737917	0.005705540047613111	0.14160601057811734	0.9230276425114438	0.27599378574671835	0.004176623675439679	0.05439736926748311
Mast	0.01035737178605177	0.0004207220842090696	0.0005450466983791884	0.005409127234867346	0.0007089194062015425	0.0029259867172670793	0.000934997743620949	0.004944982941164868	0.0007607532343510795	0.06516954305548572	0.00024340831426970398	0.0068644909516974075	6.345827178361154e-05	0.035206493788356434	0.0017973672250395283	0.002137320060600108	0.06245792117667196	0.0018994601077629723	0.008966052341470314	0.004277129637053018
Mono/Macro	0.014736558456218275	0.003085908823926573	0.0032828434323086417	0.01432292911502553	0.001995963303092191	0.004018217473123686	0.018985810842621395	0.02288568130385756	0.012262198668574949	0.2545523718262782	0.001237467853003055	0.7357001212089109	0.0005711461259667887	0.020076513803421108	0.0065466605574300675	0.003874089058591134	0.00198597625633745	0.021460598452074126	0.0009682857588657164	0.010020884255354006
Myofibroblasts	0.0035216598386704346	0.02939854939429292	0.0028942256293104335	0.003918296026339194	0.0017051562670866672	0.001063437819084148	0.002944777612319858	0.005919759577812363	0.007211232140696974	0.000358208494591164	0.29229853174745696	0.0008526609123236479	0.0013543959688388355	0.021551110750781834	0.00037561243811169037	0.03298557081266422	0.0011704008127900337	0.04809316006982435	5.8510353081876786e-05	0.008835811468996776
Plasma	0.006244202502114305	0.001095997820535539	0.0013859659183836199	0.006222453158349092	0.00034577298082641563	0.004538024399424563	0.002496723657249366	0.01460643937033609	0.0037548598984031216	0.0009119915585914805	0.00026324127470566907	0.0011952961917533794	0.3109641464516054	0.0075434778023024795	0.003799356083523304	0.001266309676224556	0.00028233847329829734	0.00556560023240264	0.294232586150442	0.008572485886612097
Tprolif	0.03808020374836439	0.0016721976175401885	0.0006189268853403115	0.06229519668042724	0.0002953278242178859	0.01573133772702707	0.14418305899558037	0.0067063341981148245	0.0009575756909013756	0.004098875086090565	0.0013399533818838334	0.0006940481802422076	0.008363345591628605	0.0037065314730844573	0.004180814841755223	0.0007752130548768119	0.0004273661364097202	0.001668119942033536	0.004434659421227022	0.004365906644250914
