	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
B	0.015804279615379772	0.005295658630063004	0.019641178163338303	0.512246467359599	0.0011890988860646682	0.0009207106772992784	0.0015858840236402582	0.01677559304183807	0.0041858626604675065	0.010106768689795334	0.02150541090342836	0.019515439302622686	0.020745940354749616	0.0012232003734432022	0.01691560436810408	0.011364246884501415	0.007023009053570527	0.002304259081937385	0.013756352331307214	0.004450719207403578	0.0007648976695663832	0.00364834425179392	0.008059772340536559
CD4Tconv	0.0740135538578295	0.005458145227978106	0.1814162015736875	0.019364281748126932	0.010234264746529654	0.009093272379396179	0.019410367396670763	1.1842940051319635	0.0673903260400936	0.005830275862536995	0.3221077631075931	0.050454822676153414	1.406322690089522	0.009021842334126898	0.08479068768991987	0.011550247322668851	0.8904320518449149	0.018302642554451572	0.36047880509635866	0.032960493257781574	0.016178742547567158	0.024398633733607303	0.515008733038097
CD8Tex	0.019206104643097473	0.0013881096155483944	0.7004115882931066	0.006332607846743611	0.003415474712926923	0.001963209319300257	0.004020648633868668	0.4658882646592717	0.02008297900925294	0.002699041417634586	0.14040238137785335	0.02240350037808961	0.4630811551617003	0.0020295743976844753	0.049201874097447	0.00456668862606313	0.8496647767107279	0.0033670601761161905	0.6991897565137107	0.03347520329798858	0.0022360178911659226	0.011647760436733748	0.6940095268397253
Endothelial	0.03789198610596812	0.0003923738776289527	0.005887239928419644	0.0016909875048291838	0.0055956687315702955	0.0071019656483531516	0.006332743091750644	0.008087997307646847	0.007538310674281149	0.0007202721124168415	0.02090849622492003	0.015167143030942905	0.006933220035691756	0.5359134328984941	0.02024704763177335	0.0033579170205489837	0.005527853134891642	0.006481609442846884	0.0035984602251794367	0.007917658001666883	0.003876183366078797	0.48633484994406445	0.005497121599153563
Fibroblasts	0.004767282727815394	0.0009977822826941264	0.017575858317894832	0.0014909632684380397	0.032622222831743444	0.06898500692658695	0.009050706544376773	0.01248990649249177	0.019415616470911272	0.0019417933769945858	0.20803352080152931	0.005075872077607918	0.009873502346595453	0.006683904975453323	0.18834654360953634	0.007300488614459329	0.004328153042383497	1.1783699887277643	0.006434796808437944	0.005324455732381846	1.2475296241333456	0.03508526679870817	0.01007465098055148
Malignant	0.04429979963004916	0.003845553246135624	0.03212168465560848	0.009308328155428635	0.14664772011158542	0.02861383519489066	2.23016580381843	0.043216079037607394	2.0279129756508696	0.009706084582402385	0.07674449238011985	0.012126877525997035	0.024967754991669977	0.032687121974791296	1.0912484713996935	0.016661832260587917	0.006322157443581804	0.08159755895522718	0.012510526776724646	0.15837522947320154	0.07733737679035148	0.055482811210480945	0.016391307130595636
Mast	0.0003365909952733438	3.751763810514009e-05	0.0014939827976601801	0.0004065608629846886	0.0002008360489991507	8.63124102913524e-05	0.00012673450264157085	0.0021342261391660406	0.0010638565365381385	0.10381946694025444	0.028988833796903292	0.021859514333600717	0.003984597328641168	0.00012074037711105004	0.005299522709242396	0.0030386231491528848	0.0020574069470129606	0.0002915012966004411	0.0032044010720938343	0.0007830306392016214	0.0003708053820417582	0.0005584304067402118	0.0018654550655905178
Mono/Macro	0.006429093306731252	0.0006097853405273773	0.024741170508340116	0.020768595616669633	0.0019483376492879605	0.001593484620681472	0.004253408995158799	0.019574275222293113	0.017812309881427207	0.001752843905907527	0.025021269793622423	0.0033827499177621935	0.023005391777910843	0.0027057561447298237	0.053119168055948546	0.7554049669259251	0.007760894572614029	0.003223091565138709	0.009938401662476545	0.02181269228105967	0.0032820231323032615	0.006135266559911254	0.021903969916890875
Myofibroblasts	0.0010856637159666006	0.0012970528221256112	0.005284706824764671	0.00038937027108322775	0.27969482529293666	0.2855987801232332	0.0018984279515535493	0.0015458900692920522	0.003596081211069442	0.00017694988514390598	0.013200769691588277	0.0006386930166485666	0.002679393323850522	0.0011001274566035965	0.024437193981457238	0.0007201384002138163	0.0006741488977603876	0.02786224362333308	0.001442122039264871	0.002649251807286877	0.0136339103718461	0.010853601346236289	0.0012666082288778368
Plasma	0.2692812285417378	0.3112116664651537	0.005220039089367241	0.004050398488318308	0.0007362187689760796	0.00038696733509354785	0.0016030210021615952	0.01186014094249363	0.004984567926303649	0.000141598917419775	0.06203651552471073	0.21831618531892882	0.007371395385652514	0.0008088507343726368	0.010838029013193648	0.0012081357582053856	0.004916902557031022	0.0012146811051388933	0.10216952133279014	0.002773930623772895	0.0012181046804923038	0.0009647273285025933	0.00543141478917599
Tprolif	0.0036764148207534585	0.008352617737445188	0.06612089812421483	0.004371150998501704	0.0006734594677076633	0.0019545016203263315	0.0005745794474295784	0.020180458567802782	0.0011737014569147867	0.0005038575245036119	0.0016715620172382145	0.005890018429901204	0.004047339218735336	0.0003303502400944627	0.008893827865926168	0.001745275392022556	0.015336617575917779	0.0005787909270773203	0.010621641998339579	0.14562332642386366	0.001594609715906152	0.0009768704366099619	0.05196116051383128
