	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
B	0.0014876486183054013	0.0031862937070712568	0.0005832310621766732	0.01625587820497201	0.03871682263870343	0.006802796121531397	0.04073442828838063	0.02146135522065841	0.0013068798282506002	0.0004581916066386258	0.0029051113563336936	0.0	0.0020511574567006973	0.008905190417435017	0.0067762895721784466	0.0029482256843300003	0.5177645822440087	0.04953301435452273	0.0014680544089059116	0.0041065796262166965	0.003340353322117258	0.01045537320436357	0.0011104192695421834	0.003661035328350644
CD4Tconv	0.015020110759016991	0.009911658248987102	0.005903760789168359	0.25290786887318845	1.256262696440933	0.07800911874442264	0.8859728000435834	0.4399962511206993	0.013171171875466198	0.011560580096983573	0.03590006827265412	0.1965638574988404	0.008349705415566074	0.33534118772674915	1.0865237028305388	0.00574203573792023	0.02172482967334531	0.006620334504769134	0.012608933661243094	0.029929030558551405	0.04177431824399322	0.012010283009460313	0.00789463797538722	0.021777191029475246
CD8Tex	0.0035928808969276746	0.003543822902229618	0.0017523420468146794	0.4892806250123021	0.30023098805148024	0.027128051291097233	0.30384041413162766	1.0321429313583934	0.002064921768602578	0.0015928405838856643	0.0104590043557263	0.284030909282107	0.005204448040848789	0.8614366747423031	0.7590759174278409	0.0005404242821863875	0.007815706656612178	0.0016250616322220847	0.003144567290368908	0.018028330928951775	0.011517423522952685	0.005368824949394256	0.00258689548080874	0.004268289220881561
Endothelial	0.00617823864303411	0.00039761569176267116	0.0072359528491572275	0.005969090158511967	0.019768556547756968	0.024389546397420636	0.04185560418419324	0.005488879901266183	0.0081257460161217	0.0023116692760230505	0.03714969612858929	0.0	0.000979813632200507	0.0035022354264876814	0.0053821867448805485	0.00040540698446397077	0.00179500048484318	0.0005563837555919757	0.05048040718702068	0.009229841609797493	0.014707082100814145	0.0035067532143578553	0.5403219154634264	0.008239404080749784
Fibroblasts	0.00787115544347996	0.0014314700414114702	0.013841790595337076	0.007895887132879224	0.033485424603287794	0.023005836227393543	0.05035336210598404	0.0167962198934098	1.2036979868311048	1.3139845883793422	0.5883784449207983	0.12944170047328332	0.001995859308165587	0.011106673631528388	0.004050599766738232	0.002434602253561604	0.0014283036004340186	0.0007906098949440468	0.24487051075250313	0.005438489661940215	0.9535853514786212	0.006426700309907497	0.0044889356998900655	0.004594729111341005
Malignant	2.2456023932025135	0.002775918786383781	0.03539307800193087	0.024861440967048187	0.09941654869790413	1.7972770858381042	0.20547373610756814	0.04241126463800631	0.06933424175334314	0.024941239589774653	0.5443010933257533	0.19248161227276056	0.009270458970490303	0.012754843504258831	0.008311707997326065	0.0029910863340583925	0.005271763220648514	0.001896970078750395	0.13574640426034956	0.19096566118565933	0.12460604886083018	0.014373829850509482	0.020998389252193325	0.003547700705962271
Mast	0.00019877044247436362	0.00017522157186418175	8.069470821531395e-05	0.00162387998178286	0.0037814358362091727	0.002493443245949732	0.00574250012067711	0.003524990499294157	0.00017797456254021543	0.0002812119245513004	0.0023074436630735958	0.04295395660698441	0.10509798243919108	0.002321462106691566	0.002192251731009708	0.0	0.0005932223862567265	3.909814221468075e-05	0.00022609894851522683	0.0008086665799401455	0.000918548176721518	0.0034531336422955294	8.464042903764519e-05	0.00025665506781759865
Mono/Macro	0.0034964485646035003	0.0009270565424809532	0.0010521491018286725	0.0202800673523792	0.027630766822032825	0.028166113648959195	0.046712570995393575	0.014010819559629163	0.002159287779856192	0.001995374957072904	0.02468689419963192	0.04510169911681505	0.0013821400345344665	0.019359633127164825	0.007870581088394437	0.0012880115884322542	0.019403391515371977	0.0015343422660959944	0.004195318782046499	0.023488097265942014	0.010444586238091448	0.7550965642566649	0.0022510041350034646	0.0013077920936159252
Myofibroblasts	0.001953069424716805	0.003730405568765126	0.299563584723274	0.0034300222704561774	0.004070107601406983	0.0051899455305663275	0.012484397674118344	0.0035256861373829398	0.02529888153280021	0.008526391183743	0.06046108265341846	0.017688341321496378	0.00022432781734429798	0.0010033660619202995	0.0009039824817565871	0.0	0.00039988856331580616	0.00028954801726694036	0.2041260073967256	0.002862921712647511	0.05554168263620203	0.0007041134742616981	0.0010233541192290814	0.0016741939390993471
Plasma	0.0006304626796951218	0.31754285401465454	0.00021621583263782941	0.003892017556318622	0.012611883105439889	0.008898594026373025	0.007332697659914183	0.0048146790876988635	0.0011572329348810044	0.0007833909097211852	0.0019087678084952736	0.016469788718621325	0.00020043257518289194	0.03693829913230507	0.005458523160753249	0.3234241693298951	0.0014603487564223395	0.2803911428286477	0.0011645458079121629	0.0024273146601369654	0.002195341184137513	0.0009051499647549832	0.000692320512546341	0.3120400291053862
Tprolif	0.0005212953077075416	0.003516062956115488	0.0010894920930979918	0.08822426169477149	0.008570940244984318	0.0029332028169065942	0.006621408200550065	0.013328046776884738	0.000479593412619293	0.0016703834014583172	0.001639674209862528	0.004485310651507988	0.00048478501450898044	0.030834064637658518	0.010576963387236566	0.003227272123011091	0.0039523247382184405	0.011107676801951691	0.0018959960853214164	0.14431893142643493	0.0016595228800213241	0.0017140025125252784	0.0004104474984785421	0.0033835625496510422
