	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
B	0.02051027074246416	0.024194218416142242	0.0018807680066340112	0.006766618799769536	0.0007698523411713176	0.0029194126048985684	0.008602777922376301	0.008941321939891115	0.049758363016546125	0.004145617502613691	0.5230483249393248	0.002749602898121894	0.05063254244149293	0.06595807896553782	0.0018898277364715525	0.0016348824482264061	0.0007297415335602006	0.005239556219551636	0.0005504794368362519	0.006499578521303512	0.004266989649669637	0.0008317915683553274	0.01605338667498356	0.020521226155156926	0.005652185648772066	0.004568195097861964
CD4Tconv	0.9988406697749846	0.4780382792987524	0.0066809278898687	0.06581111740481588	0.01458504959156055	0.0017105503553273803	0.011559595324439974	0.55683498086248	0.033618944481033884	0.032034338957662806	0.019231327709366006	0.026431152674198488	1.0043995556400322	0.5043167264554075	0.015728709914263013	0.021146502611042683	0.00590582323453787	0.033657743239618954	0.005814296701099197	0.023996895413745334	0.03959537323170425	0.021632256477552816	0.3655424748040047	1.4398379918383066	0.006115399766825175	0.11652287204466331
CD8Tex	0.5734720821197573	0.7226279560082396	0.0034787093663835532	0.013801970902471945	0.0016189448823766771	6.461728168718766e-05	0.0042467521224222775	0.9372765916299597	0.019510876403929407	0.03117584651785081	0.006817509427431944	0.010863215762021552	0.23504777015396686	0.2606964761224954	0.003141150949151308	0.00540098888896132	0.001671501263477839	0.015548791029503451	0.0015099523301505633	0.011750192239056843	0.011451052102356564	0.006195220967823789	0.620899769828139	0.4674959623583867	0.0016303189257604112	0.06688075849088801
Endothelial	0.008558605150045681	0.01842434351390696	0.0008477722209763779	0.010533899951899493	0.003439557684871029	0.0	0.0032462747338832284	0.003932402410785095	0.004955811032476919	0.0076547734495313515	0.0016376091893138913	0.5123721696160783	0.023642187954524864	0.04543171791601997	0.0080381811503452	0.005471956139766276	0.5456226245014549	0.01978922006116849	0.006293206774472755	0.004466604137116775	0.31542677064438057	0.003773653544917941	0.006610576977187394	0.006547007773564116	0.0003955076477335926	0.006248101163705076
Fibroblasts	0.01217791874585631	0.07880350465214453	0.0021732201034275252	0.04510682819241294	1.2138801227348857	0.0005171229521446387	0.00766892373019156	0.0031687081972702072	0.007137068158629916	0.00506152313439019	0.001364849927293797	0.010715844248553846	0.03810677720062871	0.07065903938472698	1.2039464143982292	0.007788433084681428	0.004040786534179274	0.10338376214179804	0.029655273552974266	0.005112222478748398	0.07920478805756064	1.1261270290102652	0.016013497386786275	0.011046553333569227	0.0009412256400428655	0.008644611182903076
Malignant	0.037981892601841684	0.05709273902757751	0.00685328353855391	1.8509581761543115	0.01424942999362381	8.669239766417583e-05	0.016875686769851097	0.005182681313880506	0.017117598937467417	0.17999750270533446	0.008281066376275046	0.04755596590531236	0.21523737942839863	0.28685871585197903	0.02118240451170819	2.22336952564978	0.0038132632833546795	0.9799762540703418	0.010441732464204967	0.020083513138251442	0.5643448914825135	0.15828364904223124	0.040555536247261784	0.0360036733128416	0.0037195892419780077	0.020605001769588526
Mast	0.004348749256744928	0.005465359544586823	0.10542483323400495	0.0005704924131132676	0.00026526317780310667	0.0	0.0028308674510261365	0.0021086243967430207	0.014227093164218786	0.0011717514860387372	0.0005156617358903588	0.0005207930918401393	0.004299691337685275	0.006188249708408752	0.00029105428542543666	0.0003705349443133065	5.4438204162373113e-05	0.0025206972893737994	4.584871906173698e-05	0.015351925100049887	0.0012886245525658476	0.0007795711031611075	0.0026497240462322485	0.004494792978425601	4.355577887503329e-05	0.017760134256371983
Mono/Macro	0.01862840606657094	0.042154322357052396	0.0011460044475992634	0.007811909227565267	0.0024139922043265477	0.0007538018499601767	0.7655935946888045	0.0056469229684265225	0.5532588080115552	0.021510242364486256	0.007058900393179756	0.003042781357741726	0.03865402975795101	0.01653610003485633	0.002241827943539047	0.00425019962723608	0.0020749065338745744	0.015669381470111713	0.0009393592988565765	0.0008807191648258316	0.01524424786541373	0.006251193552126191	0.023008175590590523	0.010045022835945982	0.0005398623277358526	0.017224734861158136
Myofibroblasts	0.0026539414716957436	0.01597408475978931	0.0002439354448042473	0.02022711967850496	0.030614277620644673	0.006984098157060853	0.0007479871331731871	0.0013112444179639755	0.000978100288383567	0.00253798853775594	0.0003556813488127776	0.004682550320802253	0.008326220723588474	0.016213899376576753	0.030551520174867872	0.0018714990704285677	0.0010624385139495962	0.11876188551604809	0.2993746426154787	0.012688502396065433	0.019212860953466023	0.025870591938747318	0.00447567509108407	0.002871887167180719	0.0005773848637793009	0.0012427380318350103
Plasma	0.008920748139054671	0.004660195796799352	0.00017598345649026768	0.010493177354674723	0.0010375322881658676	0.3165355652529749	0.0011461850991510935	0.003509645510574504	0.0017742804639455103	0.002588574150579429	0.003442488808026927	0.0009156839819740712	0.018615705362016594	0.01044352373049329	0.000925393265351026	0.0017420833260437464	0.0006409932071735268	0.003875897267999813	0.00017861118490221283	0.25286886626077915	0.00367288206965253	0.0016650903810891985	0.005841886509793795	0.006492178331625577	0.31083167115202065	0.20057655511784717
Tprolif	0.018343006577076014	0.012525613412249469	0.00045736854454268773	0.0008732733840338276	0.0017475881735593754	0.003910274448382441	0.0007283660395305591	0.029982965370270342	0.010204492269888192	0.14401405229882833	0.004033866017791395	0.0007197758909383194	0.009401445353968446	0.021309547118718446	0.0005172812035596182	0.0007009249951586778	0.0004305856235694362	0.0020800912337832077	0.0014350374385989199	0.0018049471616041403	0.0008397381326136439	0.0015346846750582297	0.060660738519690734	0.0027105156637400154	0.008712922416054434	0.016003168119187866
