	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
B	0.0005547708989355521	0.028421133068379754	0.0024321486306993043	0.03580655119577355	0.003815612278398739	0.005742340751810676	0.0775454045776835	0.0007751871180016405	0.005987082006401122	0.0009407791319769038	0.005639078527601929	0.0075031647462229095	0.001962672400269858	0.0014910185576583748	0.002061136428915023	0.011952067635502037	0.0007011390186595651	0.011060614597912154	0.03486613339237352	0.004496370466581961	0.5193511381359321	0.08839261408756155	0.003980638955152644	0.05429499146900013	0.00968053475336646	0.02123559990568658	0.017086958758947893	0.003742942085420632
CD4Tconv	0.005779754607736159	0.19322844061766267	0.018733647345296	1.145545400929719	0.036022099734591216	0.011542424993719522	0.29597262353313714	0.006393270494076671	0.005901507723448895	0.01294772606787201	0.04842655953325188	0.00557095230635754	0.015940921006743488	0.01863685992287384	0.007792675803643255	0.9687045875510952	0.01645878359791681	0.4562469154683935	0.029968840248850985	0.037306739992403457	0.017132226950115074	0.277260557440352	0.03321690153617801	1.0820845731791824	0.0585393650061803	0.3089240038571984	1.5401137584109041	0.047369607340486716
CD8Tex	0.0017623407839097941	0.15323098223488427	0.022328239896830592	0.6008746536441931	0.015235121897369646	0.005980305466607246	0.16833305930384634	0.002207720798913903	0.0016336291293072881	0.001879518378011086	0.013374532342854562	0.0004816373922314857	0.0036451114668605163	0.003906883491799005	0.004888757556954671	0.6133350386867273	0.0035357735150669794	0.8253336502503803	0.016160337769724274	0.008500955347434834	0.006474009613038965	0.13120943660177364	0.027549864750273715	0.2234600596260598	0.06811985861347408	0.113117766946091	0.44532295520875853	0.01391296595445958
Endothelial	0.006196723856063105	0.037301743411400044	0.0003181682948198267	0.009868116758955763	0.4253445726014088	0.003424511098393435	0.0604582691828507	0.5437357483539844	0.00041321250888639807	0.005842084876434137	0.011583769602851873	0.00011480404163819645	0.013588263297593871	0.0061999915190521435	0.0008481108461223757	0.006781433453174104	0.0029875048593288197	0.0043051085447488365	0.009530301262135677	0.006288229887116813	0.0016975954476663429	0.06064850840028071	0.00842066336151488	0.02814942878689858	0.007885485180182636	0.2249057630033233	0.0062181658534798834	0.013199612153983424
Fibroblasts	0.024687858811590472	0.04732713558740822	0.013708042938736151	0.008723972122746223	0.07782655881659113	0.007556689845244281	0.08121456866208612	0.004034654385382593	0.0008429243268265956	1.1121942031258785	0.01645631718591807	0.0017929926290037594	1.1065213256964788	0.008181342579178252	0.002237265618806005	0.00751047608545042	1.2600378975177464	0.005714826883544365	0.006477262323575772	0.06993515561915883	0.0013609948682546588	0.10070286677800082	0.004017439527193678	0.041981409926464326	0.00821971482940943	0.09793718356693304	0.005273597743054844	0.0639481154146719
Malignant	0.014685791256412136	0.7770203336082578	0.005666267621717711	0.03811060741447565	0.173037809919924	0.014731123345717747	0.2643193423254749	0.010623895190579111	0.00228037402665152	0.046025021342023076	2.043023112171416	0.0020909370592600753	0.03384854357761629	2.236659856722505	0.006450765769120796	0.039658516252600744	0.013800887421698093	0.011078776112437565	0.010942939244885125	0.04030775108715179	0.004556954704661719	0.40971855822685715	0.1608649330990463	0.13054334221376263	0.16204394058342544	0.166458274934586	0.015854381514255802	1.858428518082636
Mast	4.10700575173476e-05	0.010979279240843022	0.0	0.005472477291013917	0.0012724887574182885	0.0030291928586244996	0.014928041669152781	0.0001001604469938936	3.754180299962801e-05	0.00020460002394548534	0.0006992891702067218	0.0	0.0003336926536682004	0.00024944758486543703	0.1051252685426636	0.0030899251116423923	0.00038166904753100876	0.002062355744273611	0.00941623445286529	0.013520110851829316	0.0005708438581159854	0.00838557706635061	0.0007593455793361969	0.0046618994217734865	0.002309464096732659	0.007101848938647837	0.0031231947266567423	0.0005733942254852623
Mono/Macro	0.0008759531703679553	0.06348050666518266	0.0006746089696088892	0.013976366738402015	0.00921113338732094	0.7679675867193088	0.025240700137435047	0.002039851974078653	0.0005817507585741834	0.002794597692951919	0.008128700376977093	0.0009371163809540359	0.0025599000951234034	0.0031759829093733908	0.0011590034971342947	0.012609531138582996	0.0029329270720618045	0.01071945839792167	0.6192101799065504	0.06692897144084967	0.014545634221258763	0.030261247409397483	0.02220953803921418	0.044311262353517566	0.02037188648963099	0.032479667913620995	0.007437265494766492	0.010244145722916948
Myofibroblasts	0.2998455824537264	0.01992675651035297	0.00595676285785629	0.0030853174186203686	0.012168657123977035	0.0008413642344824703	0.048571352485971254	0.0008447208169464215	0.0011835558214798652	0.04851991382687619	0.0038738381106310123	0.001918101465722612	0.04673003477549002	0.001939050475107566	0.0002904233027386261	0.0016209454048661275	0.019043089447716467	0.0021565275070107737	0.0004962945164472685	0.14122801536223908	0.0003267216363706796	0.037473804278079274	0.001627972292728956	0.009061801926582324	0.004940391505712329	0.021145821452098208	0.001670282715087125	0.02193347227677916
Plasma	0.00019498211968973692	0.01295542922006826	0.3106312454833767	0.004060530853625149	0.003567694341767441	0.001135822676799611	0.01177328824807996	0.0005407023277939146	0.3097884778695295	0.0009346737075859612	0.006660986130926275	0.3206263365333413	0.00103531360243018	0.0007991622405435661	0.0002940448996871737	0.006147451943060602	0.0012446813850274174	0.004636428660136002	0.0014536308753693328	0.07674615444458914	0.002984867501709995	0.010869832592995659	0.0023947268552834875	0.019014328183351636	0.013303058248177685	0.007911607794473387	0.006679456474541975	0.004591412488758191
