	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
B	0.027695087531193954	0.04510024667543209	0.0009899815590998905	0.004738217863600906	0.0006359201861317633	0.03474119877021406	0.0005255307195027324	0.013504702484612153	0.007145529782368523	0.0018446763809922613	0.5260326260028967	0.004713660773081178	0.062711370585001	0.0028999714853518163	0.010751035811735426	0.010229845620997784	0.004323974159995751	0.0012254648922916686	0.011568550428980515	0.0020721832395971048	0.007828059342038996	0.0011949328309353345	0.01569667454366808	0.00786137714758905	0.012427449627469188	0.032298218625849466	0.01716483257749877	0.0008404878639415247	0.001902376244617883
CD4Tconv	0.2412066785879683	0.513905645997881	0.00813322302422851	0.037772716468956774	0.013398973530578144	0.22821685754477067	0.006514555953379969	0.290212608386866	0.07650345711932437	0.01566129830587894	0.01774618060744413	0.033745980211860815	0.028760142409754597	0.05690308558779537	0.10941138037488438	1.062378584800432	0.03528641429963128	0.016176028705403644	1.4620359529108522	0.004013241876955705	0.01084502751140722	0.008962484921483082	1.5873027346873811	0.5361762544423088	0.00567998096281824	0.7609052869307434	0.8298162298456068	0.021337303098012045	0.006801174328793647
CD8Tex	0.07894124704906987	0.2850840428754257	0.002300303488702116	0.013962942357542904	0.0020401034424111864	0.052756288712726966	0.001558458702504664	0.6806690846716363	0.02952685670645216	0.0048054948773437	0.005941140314124513	0.018525341805221883	0.01626698078594229	0.02035594006255355	0.05843923951114328	0.5441039189877334	0.03277798713031226	0.003126776963407568	0.49515986755411334	0.0	0.004635539671735994	0.0028940398224901478	0.416591891606104	1.0636385356116365	0.0016708474751370498	0.43874135693610516	0.7702228549015425	0.004445544116584646	0.003424517395389729
Endothelial	0.018698580525141922	0.026992742320321207	0.5343200144799386	0.012361276338344294	0.003795977927633038	0.04857760177461175	0.006335033175528265	0.004665104311152303	0.3117889662955091	0.011235855251489695	0.0016055054082722727	0.03533222142228277	0.0054181276868355685	0.008610929900415032	0.02894955196002024	0.00681763797453276	0.008522702677093496	0.00634482062467258	0.010883972562954671	0.0015204729326317155	0.003216750542598875	0.5411011819109126	0.006832502112667947	0.0030684876748987696	0.0003491352119982157	0.01470390668678449	0.004668772261598906	0.005828233588372847	0.0007477264296394222
Fibroblasts	0.06862167522988155	0.11627102885031862	0.008373151797604662	1.0916637943119512	1.226027576094052	0.24901332392089345	0.03711542750396838	0.013978107108019009	0.23392933355499432	0.0875463295646098	0.001214769458078565	0.005717982882581282	0.00704173685998193	0.0868804054802792	0.06460065175011681	0.008441252935610016	0.0060201524379483815	1.2196910651114687	0.01149788094328706	0.0002667985931510656	0.007038291093197907	0.003931585316608581	0.006846346540287073	0.0037495624097368813	0.0008835397354410262	0.020911458156603127	0.003951716511224051	0.007584278133022022	0.002167385024587503
Malignant	0.05812455944504456	0.4066141957011477	0.02381882041148036	0.06874626424432603	0.025193113198687653	0.5826502777724595	0.00943801139967158	0.02162261553038004	0.10746153303584405	0.33124307646708023	0.006132456357730909	0.26176471133278206	0.012971905523969589	1.8852786558849426	1.523488597741845	0.05979100565691001	0.233847055208425	0.02920901971547073	0.02678371869070316	0.00021683480940001457	0.013740417198448622	0.015557312690045228	0.029773501583747097	0.006075323711890263	0.001616789335768538	0.06317401768698558	0.009761075519030677	2.236600643394759	0.008175275059647345
Mast	0.008974247362120897	0.007102634844715914	0.00014230823099462602	0.000645751256719101	0.0003698799686890967	0.004475533813550192	7.626849383583305e-05	0.001828258879598964	0.00015137769304658687	0.00024326714628819496	0.0005168126327213774	0.002338047606780367	0.012351359327703985	0.0015018052337720832	0.0032770358272799813	0.0021738054132630228	0.0012225116250330068	0.0005076942289488761	0.0026959380784292186	0.0	0.0033008861898336603	0.00016463473919083434	0.004012319975983802	0.0031182290976699504	4.5345722292718875e-05	0.005027732954997851	0.0020968303140624007	0.0003028852080070466	0.10431360507755143
Mono/Macro	0.007591311030392948	0.03838504485109881	0.002865190012155873	0.0060190193430772095	0.002741399217828514	0.05082207805143088	0.0010057171767953676	0.017171937564594866	0.011586051268656092	0.0029445780955538875	0.005312512118591254	0.0004037497094347894	0.5590476452622127	0.022356937316912105	0.045344099623131545	0.00790629665661077	0.023048863457152863	0.0031695906553804542	0.006360635646577359	0.00011959625925484138	0.7643528644119771	0.0018581057378820646	0.009071427394732141	0.005551337458905387	0.0006607085984326229	0.030175743388762742	0.011446794740291899	0.0038481440066450118	0.001206342316985749
Myofibroblasts	0.012236944760943516	0.01696470056834727	0.0020178926272768024	0.037121595551786984	0.025769677778794263	0.0421394943945088	0.2971488128348847	0.0037332474839176046	0.03995217375515264	0.2369982315114175	0.00034673017987379393	0.004405370003596917	0.0005890078602854	0.00797047263345862	0.009354627821688853	0.0013886437929738723	0.0029508327664820723	0.02546686636985046	0.0018268297909026512	0.0	0.0007805463563886617	0.001375190929586165	0.0024219694148643746	0.0013154849354518362	0.001330654385869983	0.003051647804505745	0.0010528900193629385	0.0017263448409069436	0.00024431835123418197
Plasma	0.17990588534654364	0.014192043316413749	0.0012017855679499546	0.00193867822980374	0.0010972537335298452	0.02027925973938904	0.00019542416092367538	0.00556677833513127	0.00196858478089709	0.0013204089427344523	0.0034989388158287635	0.24914751032891097	0.001459673239803893	0.0037274742322684446	0.011708189831013282	0.006907328515578747	0.0027476099186797558	0.001137101289927325	0.007212972978773709	0.32286660754714663	0.001088859445950375	0.00037656980618146213	0.005779889475351451	0.0028378478329126097	0.3069018256182101	0.012548562078803236	0.005283846876777089	0.0012888081996860151	0.0033037465036518513
Tprolif	0.005821865103211652	0.007201655155681564	0.0004558379855345924	0.0005003512964608009	0.0017343454851228676	0.0015005291304835194	0.0016186729925385776	0.06586030628853082	0.003471196495726924	0.0005316136857499409	0.0037525387117663136	0.000981462227121546	0.009130324021352767	0.000549944225045981	0.0013081979362004354	0.027196007613326002	0.1383304404916322	0.000763532170415237	0.004303469589101015	0.004191128112021754	0.0007418610171558463	0.0002758699727681163	0.001831885029137144	0.017525001168044313	0.008344266843375796	0.03405163453992084	0.023116169450961205	0.00040391244243364796	0.00047024888738363634
