	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
B	0.005195782803333553	0.013741039431384055	0.01959611492095761	0.004665767549681469	0.002629539127279069	0.0012743730799942958	0.0017570473215723086	0.0063772529135827	0.003500309959744728	0.0038129491639318893	0.0005707543536404985	0.0190297953997714	0.0012204824281723322	0.5247974633673591	0.0012896870801080108	0.005765728441380253	0.035966190700594466	0.01516007190352366	0.0009334710818079148	0.03123303219533159	0.008397063247295763	0.01839127815836496	0.4104762702550899	0.042422344154722055	0.005534333776372889	0.0004603641000752564	0.007657538975805663	0.002933169676637487	0.001400732805209532	0.004437816348573284
CD4Tconv	0.04459744108699258	0.5063318596231431	1.263236404720321	0.282774593685106	0.025596244827794983	0.01616220020989225	0.007485232389408912	0.7704337870345705	0.0052787989216017146	0.010602569110652278	0.01390426450740554	0.03132170343237597	0.020733403096574066	0.019362779932793155	0.012536416280326847	0.16583955607341447	0.27806679572368853	0.11754907656715977	0.00684164458214704	0.3336491454853609	0.24970107705308617	1.2540780848376525	0.052683948054233584	0.3047951611017883	0.06601905616829028	0.004892405410368527	0.081884776727024	0.04209872907106433	0.014805779047015064	0.032077095598705876
CD8Tex	0.008429699694662573	0.6045793307340059	0.47476717233474824	0.04606970311674825	0.010335642883195386	0.003133490469460181	0.003957335449592227	0.9712011282210112	0.001493930244259184	0.004472753869078019	0.002130605031943483	0.016081043171150274	0.004966479135836583	0.00744332428027704	0.0029819440285877284	0.04077742086015642	0.07982570004553148	0.04929173887892357	0.0019591764673887275	0.14850616776714573	0.7816945917738023	0.4544098082421083	0.022905629801584265	0.1728887667939889	0.017535963874313186	0.001265593250282147	0.020911203527566743	0.01725216091421923	0.00264139360796585	0.02848748714526697
Endothelial	0.012363966133179655	0.012251859409211415	0.024285663365154357	0.022342060509592164	0.025938516825831804	0.02095229118884055	0.0008576706993840042	0.005774770415241985	0.0003158408546758934	0.003192047415115857	0.0025601752113881666	0.014923136183400083	0.006261201115049584	0.0014589619194185148	0.0026219278230758818	0.28852502177174155	0.049859085554761	0.23117247041286762	0.5440599797274378	0.04348985718846341	0.004031044052690834	0.009356751392634135	0.006257846828545231	0.05694775026303529	0.011711781246126318	0.0065781710350429675	0.00890468908778091	0.05436416703241214	0.007998306869021749	0.00833389033404333
Fibroblasts	0.03584059068269401	0.014504124305914717	0.014468924955631565	0.46138154583999647	0.17377009952353137	0.46141235300186045	0.0022223330552944114	0.005401212936902421	0.0008236337593955332	0.006897441593487496	1.3217752301802632	0.007854651569961449	0.006775536604130298	0.0013094559480715292	0.005983876735165749	0.09693468941680469	0.05732082574220036	0.03277531922590568	0.00424417369789444	0.10524941035769345	0.006916763173486143	0.010427623423709995	0.008595908337428569	0.08075259018131951	0.02773851125769771	0.00949476105307885	0.0305020393644958	0.3751326804526549	1.1991633068286889	0.005374311552531215
Malignant	2.043288613876289	0.07975375288987363	0.05044926057257297	0.10001910300064207	0.07310255991605447	0.06392846849486535	0.006538695335379792	0.005715919610161874	0.0017983659022684706	0.010474662492118094	0.013246631870148125	0.019412838232300618	2.23021961981171	0.0023450062349200697	0.0025329949185234403	0.27264493580345145	0.8748968351676477	0.040453014485474593	0.0059271421869547996	0.2727532634394222	0.010431794530234921	0.02168623672954427	0.01727699002955354	0.07664498958498098	1.9981745630018586	0.005662486351940459	1.8240009309586902	0.9014935020902474	0.016923425924009517	0.19372705965168968
Mast	0.0006376031423483471	0.004792439241935735	0.0047150391260157255	0.0	0.0004323708102289666	0.00020238781076110755	0.10519286364965587	0.003549902180802282	4.624723615659089e-05	0.0031357632659987952	0.0003318903700020256	0.009447345517706976	0.00035025611576357913	0.0005403969363945317	0.0	0.0	0.007071774031783376	0.0004661013105359783	8.2652523494007e-05	0.0132726255967929	0.001831208731565994	0.003247357201657714	0.003706433571693237	0.036707893428008204	0.0008168633920668002	7.236391533012798e-05	0.0003772066597324997	0.0028680496558384956	0.00021648430098718453	0.0013239941153108008
Mono/Macro	0.010417371163600175	0.028818679652579213	0.017301064124528878	0.010460546912312414	0.004400487876462409	0.0042499728639578144	0.001509026510866902	0.008466537913915493	0.0005597132302212383	0.7726590153633806	0.0026903857733316743	0.46802001972641605	0.0043706309260775076	0.0063367223777845965	0.0006294732365781484	0.02401000740533854	0.0514337870281494	0.012815982823378445	0.0019973081526759333	0.016182877146933238	0.01135151801771368	0.017414122635203592	0.054353983879885055	0.016099126860289612	0.011280025672304314	0.0008215091058067312	0.007173443482581093	0.03127746767323365	0.00217410578835916	0.023539071982377202
Myofibroblasts	0.0052508811485451196	0.004330410381537854	0.0031983738837512844	0.12783960888502083	0.23883624027833342	0.18007693597830823	0.00027287743398484506	0.0011749437402347098	0.0010960385549815784	0.0007545339839982844	0.0069525386051150235	0.0007665209628048941	0.001496939063333175	0.0003597607781337763	0.009710017909534551	0.02873894023020907	0.027133963263456462	0.020658542435497463	0.0010745456386744578	0.05853063220891029	0.002717836357308342	0.0014083666487400334	0.0013072886691535123	0.03126338286596457	0.00436096576402481	0.3046704436227821	0.010580887929903627	0.04256273672145453	0.03282106457047656	0.002644541679158487
Plasma	0.0030922262508940113	0.007429527265513212	0.007834047079953653	0.0031377855076761287	0.001297621983071611	0.001518047029164808	0.0002899939956447499	0.0035384971529339644	0.31243507697225165	0.0010784951843560721	0.0010086541842584725	0.06266752665640389	0.0014911889190486623	0.003458201991842055	0.3149783144291013	0.010981771201367566	0.018160703204745974	0.11821151637723488	0.0006941208857861483	0.032230052215043964	0.0038775921490693268	0.011012021611623294	0.023554202543898502	0.01029796780759054	0.006346774042777292	5.803430090125356e-05	0.025434523051768975	0.003997664206575201	0.0008639213315088343	0.0027636913153848107
