	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
B	0.016403122986477003	0.00884508862220244	0.04551720694474896	0.005793847553192287	0.013892979357235378	0.011011603207698572	0.014378045250946794	0.0536806262847941	0.000981007621671418	0.0006238652007939179	0.01265028119330851	0.04661785260428836	0.0019153915068492306	0.0017723796294457175	0.0018525290166778658	0.0072527843696468626	0.03160935649848782	0.5129888796857551	0.0011311214431010798	0.055420756292133	0.004710678889483754	0.000602840708225054	0.03322079936353181	0.0029923466997787943	0.0009989213410741108	0.004196665456145953	0.0	0.006266362186698398	0.044321644773853516	0.003831363911425547	0.0014920030000863044	0.010958717061919082
CD4Tconv	1.242270666071223	0.5995094978455748	0.759819713086765	0.005408508720705625	0.03025288458440021	0.010486618150149254	0.10841015147853797	0.49237889679328267	0.006043435700476971	0.012047621413429355	0.44124279774108527	0.07391445359911247	0.01447825401995904	0.0041850348365805555	0.005930734904377762	0.07394946166909204	0.19244883031715496	0.0193079252934381	0.012773706776324252	0.2141183597526978	0.04441765334199812	0.0050933605520848396	0.21296222713846438	0.06444429445807837	0.009053861792466762	0.0327800960978508	0.030889755159744958	0.04621036220143098	0.07427130021299334	0.0618338871415105	0.014937921868519949	1.4161042776972061
CD8Tex	0.5994976535196181	0.6561185248083493	0.12068796034864997	0.0015754788523652148	0.00904837162893942	0.005313276703271167	0.04832695198472556	0.24709604412327243	0.0019210046814443118	0.0017138493117958814	0.8114457643811654	0.029040774290059575	0.0029521916132423556	0.00018788421527450824	0.0036961671038440104	0.030045566124030178	0.12924282345562893	0.0077419604341986	0.0074983135635394065	0.15785650367051607	0.008840304063119123	0.0013641955069617574	0.020278823319688628	0.020412192663296788	0.0027129810359127304	0.0347084452178458	0.0016822669544326154	0.02214254401904005	0.03204736270663684	0.02540696434889847	0.0032041037761433955	0.4995023536041569
Endothelial	0.011075747984011753	0.005528811487682099	0.04281503794752257	0.0003496022938880027	0.000937917518213766	0.0034175551610396396	0.012064593389322456	0.024705711656360138	0.5428234925785055	0.0036543276265787	0.004399877959830506	0.019684499482413808	0.011663314861805446	0.0	0.000802503719871475	0.0	0.06736502953626419	0.0018140785085546634	0.003144827115167169	0.047191877017367684	0.00974479312821165	0.005298569069650863	0.02774368641000149	0.006935482019159292	0.5286562037497274	0.007653067808090293	0.03711924315634628	0.06919447949079612	0.016846157554260263	0.009830668328723858	0.006015701187338746	0.008339520250009615
Fibroblasts	0.010270409612388499	0.01045972737546256	0.12713300288961452	0.0007585010264430466	0.004084847240692033	0.006144811767321163	0.0059543824778175184	0.0908585930111133	0.0037839480395779135	1.2253627052026619	0.0050248730173831305	0.03492842392299778	1.1238705948912089	0.0	0.0019174254538153433	0.018780660551680546	0.08007415906443525	0.0013127912366377328	0.030482793028365474	0.09506859556752638	0.05874344848890156	0.027240979647734986	0.09479322856985503	0.010428646842353107	0.010167114760578702	0.005021386633833133	0.02721709565484286	0.44949548246594806	0.01818884426136208	0.23631327938939728	0.008216218579978125	0.0051266847530428115
Malignant	0.015348122537867902	0.016539783039249377	0.21874335997252542	0.001298409214952161	0.011622387182799097	0.010823440715526891	0.044558928064387535	0.3046084124375915	0.011742362525466055	0.024342541389663404	0.012001663810388672	0.10366085514860299	0.016737086499518574	0.0	0.006985516911866364	0.01339540220071185	0.7263377512617714	0.007586989114800039	0.05124260047351798	0.25478670337683934	1.7585554725762993	0.01101177989786162	1.1717960649823036	2.0457515031209983	0.032727541392028915	0.15726070900037684	0.018385743822139092	0.2981959838210518	0.028386684935925485	1.285737190647276	2.241452898720225	0.017253846463781346
Mast	0.004312658482727161	0.002208688935367986	0.006324717023872664	4.8666061881742424e-05	0.00020646710379024176	0.0037980856440196923	0.0	0.006515807052589935	7.278539329082608e-05	0.00035279804865160865	0.0020199817294591993	0.010935768181896918	0.0003827775064792922	0.0	0.1052923516658924	0.0024355391929859055	0.008022972907321325	0.0007816195192517514	0.0009800133276579481	0.004890901389275694	0.0006237652510545752	4.893997928741869e-05	0.0034503596720084516	0.0012476624753761936	0.0001796409373937659	0.0013112793224486989	0.0	0.0024517829374353472	0.023241554759867333	0.0024759683297753484	0.00018488697423879092	0.003508577707171982
Mono/Macro	0.015203123564106623	0.008660675869490026	0.042444787270293396	0.000578432256644889	0.0014723546428415575	0.7527333638121515	0.00950062672198032	0.04870506333256869	0.0015058366659069517	0.002514374105687858	0.01155026896917792	0.4533319131251919	0.0028884557497064595	0.00040629698684867006	0.0010088515410995396	0.0013310013452255541	0.0529027731426986	0.016003061137144694	0.004174307309000752	0.00568628781618998	0.006255576742493492	0.0009153395314542798	0.03831408826670971	0.011941820640409153	0.004709070535503294	0.02170737818539157	0.012027939449426435	0.030325416304135478	0.0017808220570670026	0.08583317501567515	0.0033314051972562096	0.012392416216965305
Myofibroblasts	0.0020600140097543863	0.0015477979683974823	0.019975421107444644	0.000513248030607842	0.0017291483972453696	0.0007612217696660917	0.0024987567545222754	0.04949452224336192	0.001073570343699428	0.02638791181093555	0.002230614020851485	0.0041290834128967216	0.046210410412020814	0.01738245646479863	0.0002615185904795935	0.02159499293583317	0.02723339483230797	0.0003691347178840939	0.1636447324977102	0.10384182125373823	0.04150939756750827	0.30015038890527285	0.03239154361015203	0.0021474153542690153	0.0030896063318777635	0.0025241270025745423	0.004617230693811703	0.09425722712647404	0.0013372841325834427	0.021643056534991184	0.0020569312886250407	0.0018587500887626402
Plasma	0.005888430687704736	0.006454235191158223	0.02274658278075951	0.3101989004841819	0.3064905612861692	0.001164056652593914	0.2044091142881183	0.009633452718361149	0.0009323292545163701	0.001034502416556665	0.0050473244759742806	0.017049872900308925	0.0008955694742507983	0.31118259880614174	0.0002880822382868735	0.2616519334148965	0.012864870449286095	0.003971074107620107	0.12995056789271134	0.015696747095952236	0.004458646584204386	0.00016095017003075882	0.0065961497765500265	0.007776000997182811	0.0003777204952719479	0.002660031495251312	0.28332753179118003	0.0031509730168266933	0.19833031622470287	0.003632537200824453	0.0005825172879514901	0.007482766370139702
