Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11
A2M	0.0011186129413545132	9.63861748459749e-06	2.2755131794838235e-05	0.001726216054521501	1.2071337550878525e-05	1.4464708328887355e-05	4.787832949659787e-06	0.00028648460283875465	2.625841489134473e-06	0.00014078211097512394	1.538840660941787e-05
A4GALT	0.0006604715017601848	3.3663241083559114e-06	2.745079473243095e-05	0.0007558517972938716	9.63432921707863e-06	2.1145877326489426e-05	3.935399035981391e-06	9.259109901904594e-06	2.5760980861377902e-05	0.0003750285250134766	2.9196580726420507e-05
AADACL2-AS1	0.00021581364853773266	7.563664325971331e-07	1.06234101622249e-05	3.291994801202236e-07	3.428685317885538e-07	1.270629752525565e-07	4.318986768225841e-08	9.949204837766956e-08	4.569141083266004e-07	0.0005549690686166286	8.867366886988748e-06
AAK1	0.00013967487029731274	7.152334728743881e-05	0.00019317569967824966	0.00018052334780804813	0.00020868776482529938	0.0001287275372305885	0.0008808047277852893	0.0002343048545299098	7.756852937745862e-06	0.0002794079191517085	0.00018116409773938358
AARD	1.9525967331901484e-07	8.813516615191475e-06	4.0009144868236035e-06	1.7418498146071215e-06	3.299967647762969e-05	0.0006637551705352962	2.9738707780779805e-06	4.481739324546652e-06	3.933919003884512e-07	1.8440043731970945e-06	8.763361591945795e-08
ABCA1	0.00020338890317361802	4.924383028992452e-05	5.275804869597778e-05	0.00018374661158304662	5.667737696057884e-06	0.00010119492071680725	1.559593147248961e-05	0.0010518112685531378	0.00019456844893284142	0.0004724719619844109	0.0003158295585308224
ABCA6	0.00019557474297471344	6.787354777770815e-06	4.400682882987894e-05	3.459201707300963e-06	3.3827197398750286e-07	8.713516308489488e-07	2.9470874096659827e-07	2.1815436411998235e-05	7.910152817203198e-06	0.0006595251616090536	0.00020906531426589936
ABCA8	0.0005040204850956798	1.5694311059633037e-06	2.6270041416864842e-05	4.198486749373842e-07	9.115797183767427e-07	2.564199803600786e-07	1.256545090200234e-07	4.0448190929964767e-07	4.4304309199105774e-07	0.00040153885493054986	5.3107942221686244e-05
ABCB1	5.392148977989564e-06	7.505647317884723e-06	2.0997813408030197e-05	0.0005422055255621672	1.8584127246867865e-05	3.284091860678018e-07	0.00027847092133015394	2.0263103124307236e-06	0.00011774651648011059	1.7618888250581222e-06	4.05556165787857e-05
ABCC1	3.687000207719393e-05	0.00012821253039874136	0.00012824824079871178	0.00017613575619179755	0.00010270674829371274	4.923603410134092e-05	0.0004803040355909616	0.0001759090373525396	0.0005621006130240858	0.00016308388148900121	0.00014602302690036595
ABCC3	3.745868525584228e-05	3.056256173294969e-05	1.475352473789826e-05	5.913406130275689e-05	5.371912266127765e-06	4.8423480620840564e-05	1.8127916234789154e-07	0.0007675326778553426	5.691483693226473e-07	4.958458521286957e-05	5.437893378257286e-06
ABCC4	2.2226435248740017e-05	0.00023809623962733895	0.0004405810032039881	0.0002722421195358038	1.7731177649693564e-05	6.469584150181618e-06	0.0001378581509925425	0.00016542701632715762	0.0007037438917905092	0.00021677961922250688	0.00015048995555844158
