Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12
A2M	0.0002685149374883622	4.5701385715801734e-06	2.7862939532496966e-05	6.007438514643582e-06	2.677423253771849e-06	0.00013156799832358956	0.001726778456941247	1.1640517186606303e-05	0.001174104050733149	8.64457160787424e-06	1.558082840347197e-05	0.00039949160418473184
A4GALT	0.0004896349273622036	3.345041477587074e-06	5.646866156894248e-06	7.576640200568363e-05	4.682568487623939e-06	0.0003772294439841062	0.000756711233407259	1.3893825780542102e-05	0.0004988186410628259	8.55305370350834e-06	1.8720455045695417e-05	1.2601150046975818e-05
AADACL2-AS1	0.0003531343536451459	4.483605309246741e-08	2.2387283138414205e-07	1.2237225064382073e-06	3.9018374309307546e-07	0.0005211889510974288	4.995653739570116e-07	3.7488524640139076e-07	0.00014313431165646762	3.0952281804275117e-07	6.094708027148954e-08	1.5063179148455674e-07
AAK1	8.057019294938073e-05	0.0008911732002161443	0.00012061199959134683	1.1248340342717711e-05	4.640728730009869e-05	0.00028632537578232586	0.00017707263759803027	0.00016979793144855648	0.0002133047819370404	0.00017553915677126497	0.0001251140929525718	0.00027159275487065315
AARD	1.1500763008598369e-07	2.6032005280285375e-06	3.6223646020516753e-06	5.549969159801549e-07	2.9017960514465813e-06	2.407094825684908e-06	3.575578148229397e-06	0.00024440098786726594	1.8818342141457833e-05	1.3306339496921282e-07	0.0006545022479258478	6.1702953644271474e-06
ABCA1	0.00018628075486049056	2.4349837985937484e-05	0.00036779919173568487	0.00020444579422473907	5.005566345062107e-05	0.0004744514590129256	0.00017948559252545238	4.193957465759013e-06	0.00024338050570804626	0.00010528374696150422	0.0001067527336999774	0.001405486254952848
ABCA6	0.0007371582905761898	2.9500830578399473e-07	3.596607712097466e-05	8.834075561026111e-05	7.40979385227547e-06	0.0005727981333620846	4.092461949767312e-06	3.268865782501962e-07	0.00012027675984427333	2.2176031961862464e-06	3.1355000373878283e-07	3.0427438105107285e-05
ABCA8	0.0011476504150778055	1.2172570507118508e-07	5.989527949168405e-07	9.344120144305634e-07	4.1750189438971574e-07	0.000275458354735747	6.356299877552374e-07	4.564142841445573e-07	0.0001237223477801308	9.767777555680368e-07	8.496905223864815e-08	5.615880240839033e-07
ABCB1	1.120558772527147e-05	0.00023556887754239142	5.882440291316016e-06	9.186883107759058e-05	7.856980664655566e-05	4.990956767869648e-07	0.0005409650038927794	8.674258424434811e-06	4.10448046750389e-06	0.00043935704161413014	4.1341561995977827e-07	7.521234124396869e-07
ABCC1	2.8881751859444194e-05	0.0004774675762746483	0.00011213716788915917	0.0004751969245262444	0.00016715837409719825	0.00016741090803407133	0.00016935191524680704	7.357823778875172e-05	8.708539826329798e-05	0.0005647015059366822	4.6917371946619824e-05	0.00029504773556254804
ABCC3	2.6600353521644138e-05	4.6901982386771124e-07	0.00019882690685335547	2.2110648387752008e-06	8.514775231560634e-07	5.016529394197278e-05	5.531318674911745e-05	1.3789365766569972e-05	0.00017295670113526285	6.824014349149365e-07	3.876248229062185e-05	0.001010760897770524
ABCC4	3.131128323730081e-05	0.00013599627709481865	6.823945295764133e-05	0.00048254732973873615	0.00017340393969789147	0.0002246151416329667	0.00026788798277266324	1.512001017545117e-05	3.778381505981088e-05	0.0008114931988529861	5.198981853027362e-06	0.00031914832652546465
ABCC9	3.405179813853465e-05	4.1526510585754295e-07	6.567889272446337e-07	1.1125921446364373e-06	3.7701022392866435e-07	3.858017225866206e-05	1.3417838999885134e-06	4.3958257833764947e-07	0.0019347628112882376	1.5559998018943588e-06	7.779307509281352e-08	3.157952903620753e-07
ABCD4	0.00010106092668138444	0.00034018512815237045	9.066052734851837e-05	0.00026782770873978734	0.00020592317741829902	0.0002677514567039907	0.00060684559866786	7.216326775960624e-05	0.0002901600382756442	0.00016211725596804172	0.0001630807382753119	0.00019134825561195612
ABCG2	2.3041632175591076e-06	3.8296111597446725e-06	1.0635071703291032e-06	4.333755327934341e-07	3.227742581657367e-06	1.5205880117719062e-05	0.001836914918385446	2.472464257152751e-05	6.1773243942298e-05	1.4953187019273173e-05	3.5427490274742013e-07	5.7595170801505446e-05
ABHD12	0.00018865303718484938	0.0003229973663110286	0.00031659984961152077	0.00013893638970330358	0.0002859077649191022	0.0001406229566782713	0.00013744068564847112	0.0003464798501227051	0.00016850826796144247	0.0002293912839377299	0.00031566896359436214	0.000918476958759129
ABHD2	0.00011221054592169821	0.00017905959975905716	0.00015641964273527265	0.00010641234257491305	4.574676131596789e-05	0.00023631703516002744	9.768885502126068e-05	0.0001669879275141284	0.000330802402459085	0.00045061527634970844	0.0018050458747893572	0.0001998638763325289
ABI3	2.5764204565348336e-06	0.0005931249470449984	0.0006261492962948978	0.00014761791680939496	0.000331346585880965	6.35241349300486e-07	0.0004115285410080105	0.0001158451268565841	7.414637821057113e-06	0.00043494629790075123	1.3417427169315488e-07	0.0005019294912926853
ABI3BP	0.0007201496046036482	3.553231806563417e-07	8.955696557677584e-07	1.747052010614425e-06	7.099754384398693e-07	0.0005892200861126184	9.142167073150631e-06	1.1599811386986403e-06	1.962145142897498e-05	1.997572780965129e-06	6.333900159916084e-07	1.5078777551025269e-06
ABLIM1	0.00023981409322004765	0.0006822854629717767	4.476745289139217e-06	0.00036941334838047624	0.00023230447550304234	7.866333908168599e-05	0.000664501974824816	3.206224937457591e-05	3.827207547146827e-05	9.915448754327372e-05	3.608258339227177e-05	3.192176563970861e-06
ABLIM3	8.355692989425734e-05	1.08806364096381e-06	2.0494487671385286e-06	3.4051627153530717e-06	4.047954860197933e-07	3.05446119455155e-05	0.0006332813063636422	2.111121602865751e-06	5.238687663222663e-05	8.44789610709995e-06	2.2187388822203502e-05	6.537362060043961e-05
AC004791.2	2.6462848268238304e-07	1.674121996586564e-08	3.2729913073126227e-06	3.656888566183625e-06	3.7752752746200713e-07	3.531089376451746e-08	5.4043063357767096e-08	8.733927359116933e-08	3.992465735791484e-06	0.0013525786343961954	6.9786381118319696e-09	0.0008415533229708672
