Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13
A2M	2.3300064640352502e-05	1.0727078915806487e-05	9.813418728299439e-06	2.309728915861342e-05	0.00017700922035146505	0.0017624963074922562	0.0002720993652474135	4.902206455881242e-06	0.0012256010668352246	7.114733307389542e-05	0.0003911106614395976	2.929381480498705e-06	3.0940921078581596e-06
A4GALT	9.563334060658235e-06	1.222864830197068e-05	1.381696893076878e-05	2.332047552044969e-05	0.0004740606527775526	0.0007737634587101638	9.915676855598576e-06	8.799456736596767e-06	0.000682963349390775	0.0003950954705942422	0.0002695387229323387	2.4018816475290805e-05	3.522744918882381e-06
AADACL2-AS1	5.958312385700992e-07	3.1121740562412015e-07	1.0999236792486045e-06	3.758380273666262e-08	0.0011081488337367773	3.2922571335802786e-07	1.2908049029647373e-07	1.4297327766144008e-07	7.717544940533116e-05	1.1637823263299651e-05	0.0010644786525517702	2.890454595672054e-07	4.3006540551004946e-08
AAK1	0.0005478506209328771	0.00015060811711009592	0.0004342689935583621	5.3689109336119145e-05	9.650744323153049e-05	0.0001633486826904118	0.00021522148745134473	0.0006205767276696861	0.00011154971434734762	0.0002292850986123085	0.0005232766270637512	3.2123378332471475e-05	0.0008786695543676615
AARD	3.479011212448313e-08	8.682436600793153e-05	1.857782535807928e-06	0.0007923169177956879	9.672307896835264e-07	3.169968749716645e-06	4.53077518614009e-06	7.985205229488201e-06	9.862101535418333e-08	1.7999697092818678e-06	2.48607848334359e-05	2.106366309817531e-06	4.550102403300116e-06
ABCA1	0.0004943088279105723	2.815837206071592e-06	5.638193033519201e-05	4.200985131319612e-05	0.0005660107708536088	0.00017028373258654028	0.0009679386857897043	0.0003024279430974275	0.00011531323980307207	0.0002368419081903994	0.0009370172629132867	3.170014315401204e-05	9.149605830316432e-06
ABCA6	1.2789882021024823e-05	2.9470086815308605e-07	8.092411917459685e-06	8.017276798000239e-08	0.0017476577777415514	2.7555017823033268e-06	2.510568083380349e-05	1.1808904218924e-06	4.3925578211201355e-05	1.0488584848644678e-05	0.0010321924928575754	4.959381385560846e-06	1.3155744227333344e-07
ABCA8	6.397762035703636e-07	4.1907929926310317e-07	1.2844053571825498e-06	9.555565583241332e-08	0.0018529676599428058	3.1498660746365204e-07	2.4588470637354476e-07	3.521380165238952e-07	0.00014485864085145295	1.0014156259785523e-06	0.0001809586538001895	7.201704761428118e-07	9.655381916218175e-08
ABCB1	2.4690916688996367e-05	1.667385186010506e-05	5.549853085540235e-05	6.68732297981478e-07	1.189414092550578e-06	0.0005455345963127911	5.213292752159759e-06	0.0006928074290044606	4.027745490020607e-06	5.732072168029845e-07	2.3045679427013965e-06	1.7653495888225734e-05	0.0001967908610822633
ABCC1	0.00019158759096171707	5.93064323766157e-05	0.000185056880582124	2.7964977562078275e-05	7.455990271409974e-05	0.00015822294517420232	0.00015297635400202125	0.0009451885707676411	2.8331052817520685e-05	9.599173063179478e-05	0.0004125739214941859	0.00014614031533710659	0.000508477387484163
ABCC3	0.0001814677962101996	3.0237049486459e-06	1.3828466762788594e-06	2.4969454898382537e-05	3.90028981200885e-05	5.47967356396839e-05	0.0007235875818878412	1.4073382317292271e-06	2.405729901511222e-05	1.663879447733052e-05	0.00022916022862773389	5.588666454059421e-07	3.6457205965234607e-07
ABCC4	2.9659398933290504e-05	2.478273381711915e-05	0.00012679740029852837	3.595015414248337e-06	7.701942377025262e-05	0.0002588822680991143	0.00015160003385972232	0.0009701804956421256	1.5791545592946932e-05	0.00017108967585954815	0.0003877984418068081	0.0001945655094459653	9.024416795000434e-05
ABCC9	1.1285809705441352e-05	8.227227112911351e-07	7.879152690293267e-07	1.8856688654977916e-07	4.1284500184701756e-05	6.149592763904366e-07	2.463042108047375e-07	6.412190600713075e-07	0.002072248375043273	1.138474908657372e-05	0.00011276487930445	4.4937047505300143e-07	2.578603925940115e-07
ABCD4	0.0007129547302611172	6.818099791416898e-05	0.0002674938878044486	7.058714254526421e-05	0.00018928718054667115	0.0005851606256328523	0.00015387612802442163	0.0003669733414426446	0.0001504758547525853	0.000139049778226763	0.0006426694453693926	0.00017582256987225264	0.0002912409254349768
ABCG2	1.6282996284644469e-06	2.9389084374997765e-05	2.0110760488023516e-06	5.312774646881735e-07	7.935190296848305e-06	0.0019129462307319045	3.210307113477029e-05	1.0510877473279834e-05	5.992271690047346e-05	9.178810614685062e-06	3.974041828769259e-05	5.58162491870462e-06	3.321512622278533e-06
ABHD12	0.0003621141368057579	0.0003419854328967631	0.0001731881347950548	0.0003153499565087259	0.00021129127708263695	0.0001335885317530483	0.0006986937369219959	0.0004017094324808568	0.00013102816592436284	0.00011929540778510273	0.00018408098549116403	0.00026721516042016447	0.0003405249153729528
ABHD2	0.004806211218237877	0.00012722902465611696	0.00011204875772818923	0.0012799003161489964	0.00019331136718392372	8.979679114418104e-05	0.00016792745736893266	0.0003507679793983698	9.602728096069768e-05	0.0002153082168661058	0.0002552922233007848	3.686755007947795e-05	0.00016128730203490704
ABI3	4.739163159683812e-06	9.816490637604147e-05	6.809429760323837e-05	4.776399578076962e-07	5.868167818334769e-07	0.0004310431831981987	0.0006365336594171822	0.000322774110827595	8.68412826093845e-06	1.523037212791678e-06	1.2139890941398335e-06	0.00017023934924509376	0.0008662007749080658
