Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14
A2M	8.391358278458938e-05	2.0382218281156383e-05	0.0017491098260506988	1.0342349014536012e-05	5.402938768384047e-06	3.3609167076065205e-06	0.0002273762656841427	0.00011886995343957096	0.0001771945389918983	0.001304362085647881	5.195746780373156e-06	8.460698154522106e-06	0.0002948734036181122	2.374547193539911e-06
A4GALT	4.155002170591615e-05	4.950029506289866e-06	0.0007652899366803467	1.962930582521949e-05	2.8634142381633865e-06	3.881960947182961e-05	0.00011871539027197286	0.00039145603659562767	0.0003278894000686705	0.000649136258289218	2.3802606392564485e-06	1.051915023708716e-05	9.58059899858199e-06	6.972281880734954e-06
AADACL2-AS1	1.1565085742404335e-06	7.265704766723502e-07	5.968415166535124e-07	6.756731352197676e-08	5.464999048854224e-07	7.046937184895796e-07	8.895948440112988e-07	0.0004846830852329731	0.000813522026874125	0.00017334651784040034	1.651750238806926e-07	4.005250389127468e-07	1.0181239673556775e-07	5.969731375898846e-08
AAK1	9.979779861168936e-05	0.001817226060666144	0.00017548295727465302	0.00010315013059880584	0.00010017715248977765	2.3301308829104528e-05	6.539804599015042e-05	0.00026403414085507393	0.00011952534259762615	0.0001424095971742645	0.0007988260476849973	6.45105101284571e-05	0.00022449632524512708	0.000709424028173089
AARD	7.888560503488407e-05	1.318182512477506e-06	8.033383380734449e-08	0.0006942055188119411	1.5474328392883763e-05	1.1885210369655397e-05	1.2303373296163045e-05	2.5313479454780463e-06	1.0408484740764834e-06	8.684111207912792e-08	3.716515493579209e-06	2.6252278985339217e-05	4.4132798393548e-06	2.7173382477485575e-06
ABCA1	1.6263651559711434e-05	0.00014593865489587188	0.0001792027906049043	0.00010849739192053676	2.6592166250338778e-05	0.00011383111996110529	4.9346806918038055e-05	0.0004567787400446832	0.0004635808290913701	0.00020432277233339846	3.8439065974671394e-05	0.0007242246065288782	0.0009710953454487026	1.1093466127931606e-05
ABCA6	3.3977396469708765e-06	4.7489038479398005e-06	4.526798875303939e-06	9.745651396997346e-08	6.753391062375158e-06	1.765898196026683e-05	4.861478373641148e-06	0.00046668434515595436	0.002060249447822571	0.00012877152767032385	1.3932865385868354e-06	2.0213451534800697e-06	2.898977618315257e-05	3.0938792860979447e-07
ABCA8	6.406806278391741e-06	1.9708199943124782e-06	6.203565021678514e-07	9.897783570522733e-08	1.3662298670169548e-06	3.9685616570750426e-07	1.6612447097941185e-06	0.00018298346549272537	0.002478190930560231	0.0001573650079080835	4.87664578940894e-07	3.873767582263099e-06	2.669770253760362e-07	1.4719911689553555e-07
ABCB1	4.304539288568776e-06	0.001048817066475749	0.0005499466205947101	2.7136664471072436e-07	1.964184775715694e-05	0.0001629902544664219	3.0887210868968396e-06	3.623005966346682e-07	3.823077804554487e-06	9.347640116175171e-06	8.070703188423067e-05	0.00010458654287504032	1.3745242313234485e-06	0.00022892204287927598
ABCC1	4.072727097081952e-05	0.0005218451260589063	0.00016879850591067225	4.827087468584068e-05	0.00011453461047494784	0.0002270421973662451	1.425682148692431e-05	0.00016227820015046746	7.698799163335934e-05	3.944370473618619e-05	0.0003386013559065759	0.0009990136604756117	0.00015053633251227438	0.0005144515889696777
ABCC3	2.1079589714645408e-05	1.0209449101239443e-05	5.873538611922413e-05	4.869285839959048e-05	2.1796993678435683e-05	4.08756204706151e-06	1.923787385749165e-05	5.255168071016669e-05	2.628767106216401e-05	5.735408922191709e-05	4.1202983425137063e-07	4.084311058250023e-06	0.0008038189262151718	3.889506672294374e-07
ABCC4	1.3363620382733643e-05	0.00034400541335344315	0.0002637416764628142	4.251009613653878e-06	0.00025298050604760647	0.00013584505359176546	2.077949648082722e-05	0.0002117159601766616	5.899963798583485e-05	1.9868350136675872e-05	0.000123676480143331	0.001394943566992879	0.0001498840283602476	0.00010620759712764993
ABCC9	2.2830311081634136e-06	1.3649839274876285e-05	5.588461249317334e-07	1.3677449715032708e-06	8.352748750439787e-07	5.122789161760011e-07	1.6856096181072644e-06	3.888730498147197e-05	2.079472687910311e-05	0.0019734613597393036	5.071641453469056e-07	7.695596195844701e-07	2.3352055222858326e-07	5.74947932818759e-07
ABCD4	9.237791527993977e-05	0.0008833955507725477	0.0006072623073123395	0.00015857777907513082	0.0001321402087341994	0.0002587589551694691	3.643137097242288e-05	0.00026363754295744	0.0001738984719850123	0.00022657534282188863	0.0002701155608519912	0.00010894665319938213	0.0001580634998390451	0.0003049910010304302
ABCG2	3.7233334296615794e-05	1.6829571904963814e-05	0.0018815335351973772	3.855515728901082e-07	1.402549423801247e-05	3.258927790739108e-06	9.135234222412691e-07	1.3216367733548395e-05	4.766453912452562e-06	6.397429388016462e-05	2.8295851279835915e-06	3.66500671589165e-07	3.85176062991377e-05	3.81804193239077e-06
ABHD12	0.00032917014323174953	0.0005550386849790812	0.00013493004371412098	0.0003198239137418568	0.0004498434136621654	0.00016285150195471942	0.0002905747969634831	0.00013778425636701286	0.0002415351482341066	0.00012831788626499474	0.00023284315830096602	0.0003117375890724361	0.0007284412276931107	0.0003540227480698377
ABHD2	0.00015314682968892157	0.000642336264718324	9.810602205106989e-05	0.0018839550903066993	5.512556526809931e-05	4.7426510718651116e-05	4.053435623063706e-05	0.00022460782201960683	0.0001907586702145636	0.0001068403507815674	0.00017218702123500407	0.0003326395235490054	0.00017601458239369094	0.00016965143731795251
ABI3	3.718513107742183e-05	0.0006316392100416124	0.0004289834469091147	1.1242108399756034e-07	6.122654303908348e-05	0.00040018028812482953	1.5836350939935073e-05	6.115292876529566e-07	1.4693830507894745e-06	9.943063560058363e-06	0.00014487147564068437	2.0635964119719574e-06	0.0006442592130042613	0.0009954734705388546
ABI3BP	5.118304670759244e-06	3.4988797779078595e-06	9.22189065022394e-06	1.3477280447204976e-07	1.9227391021559015e-06	5.732119348067499e-07	6.393380317604169e-06	0.0005192229873500764	0.001617082511074841	6.76109702908434e-05	7.363195209109108e-07	2.6821014671440935e-06	9.134069500760233e-07	3.1938412803356186e-07
ABLIM1	3.2852040021680295e-05	0.00109759159386158	0.0006631793803535402	3.4242653782712296e-05	3.9385358832078055e-05	0.000400216958951205	1.608528327778913e-05	6.478079012595117e-05	0.0004365211061667651	2.6177822292083874e-05	0.0007491976721212268	8.355485078936908e-06	2.5852116323221708e-06	0.0003178651095367968
ABLIM3	8.116836397675797e-06	6.697716344206128e-06	0.0006380909471772611	2.401949132035952e-05	2.301471795362886e-06	1.4229789258024539e-06	6.315518021438038e-06	2.605560985102784e-05	0.00019907471141777933	3.3501397410873324e-05	1.762869374033471e-06	1.2542623153422028e-06	4.837330197915435e-05	1.5781782849444426e-06
