Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15
A2M	0.0008192741079255939	5.991398938931525e-05	3.2223879316006787e-06	0.000759936694521457	6.8523927438945975e-06	4.075801916769706e-05	4.207896381558385e-06	0.0003217930207028985	4.111340786039364e-06	3.55020965798758e-05	3.5689547530637356e-06	7.483620720449835e-05	1.5113277186173946e-05	0.0017813969170674682	6.352334366965806e-06
A4GALT	0.0006254530744627118	0.0003240233345422894	1.3148795005690772e-05	0.0005583115271292627	2.7939513529418036e-06	3.559485048754141e-05	1.2295180567889474e-05	8.332007382705342e-06	1.7034731172316242e-06	3.8002726796548814e-05	3.524229396134615e-05	1.1379666830180213e-05	1.7498430679552257e-05	0.0007718284032307565	2.7024216251447797e-06
AADACL2-AS1	0.0011098770191892982	0.0001742313033901155	1.1302244473654355e-07	5.267645246931352e-05	1.506940918716282e-07	2.503424241240282e-07	1.0839027027031989e-06	1.1958201184825157e-07	4.567626277207637e-08	3.809868474036193e-07	6.08835421189724e-07	6.128631753199443e-07	9.963178371208414e-08	2.8133311502642755e-07	6.393514127012168e-07
AAK1	0.00024317177303601056	0.00026079631061293185	0.000494461040943861	7.640937838004902e-05	0.0010884434450417757	4.8892368795350194e-05	1.7028905858751386e-05	0.0002576051338110119	0.0009015033720061183	6.123236380517483e-05	1.2844730008509941e-05	0.00010583574476186186	0.0001478873600717634	0.00018121373432222754	7.823677879059687e-05
AARD	9.643415523896692e-07	8.742629802327428e-07	3.223642352168099e-06	1.627488330768756e-07	9.580606956660631e-07	0.00022997515043243766	3.489851110316522e-07	3.176221071043983e-06	4.600130523613188e-06	0.000550340220797807	1.2479190445446875e-06	1.229668669111561e-06	0.0007084924727678299	3.7104948091837286e-07	4.801995601155795e-06
ABCA1	0.0005660179886035621	0.000395434646634385	1.038698337652022e-05	4.572064790409058e-05	3.213963645976037e-05	2.596174817881547e-05	0.00022632291074842215	0.0011552375508472323	3.7495596188819036e-05	3.325857323943637e-05	0.00013303216837812215	0.0005956985405646265	0.00013325981853995472	0.00018286376143805683	2.6259373044013046e-05
ABCA6	0.0015493468381464481	0.00011752908176276833	1.432060656725298e-07	3.243572427891195e-05	7.438007401106006e-07	1.101679913517728e-06	9.298396616941318e-05	1.085484018403804e-05	8.249611482824548e-07	4.276628544630512e-07	8.72983491717605e-06	0.00011996013199677691	2.802856442940538e-06	3.647072162493714e-06	3.830879450106295e-06
ABCA8	0.0013176791835576296	1.7960417608264834e-05	2.0308489467879554e-07	0.00012097557919332758	3.4833536233236373e-07	2.906537872604531e-07	1.0068101801152807e-06	4.3732043764066475e-07	3.258648462178826e-07	2.5182526997014065e-07	6.188802217366174e-07	1.0120093065779656e-06	1.8583727978693787e-07	4.6824311539239716e-07	1.5810709328434314e-06
ABCB1	3.9301514220824174e-07	4.329098146627075e-07	0.00010045029921457171	1.3822809705743566e-05	0.0009966864017769694	8.964224207375082e-07	3.918287802662235e-06	4.2123469938815106e-06	8.083233842626214e-05	1.5260148984452826e-06	0.00014838734932709485	1.9779881768045016e-05	8.828920954329078e-07	0.0005588011117652059	5.174963916942943e-06
ABCC1	0.00012037070700898767	0.0001528316061012447	0.00046118421596474946	1.1746373274945654e-05	0.0005943435826338828	1.1533015822351445e-05	0.000707122148014605	0.00015634376904927194	0.0004441947676241398	0.0001118562140618451	0.00022196430654730648	0.0006186565733514726	6.057148493709974e-05	0.00017243652837350965	9.815128578338772e-05
ABCC3	3.9486629248131067e-05	4.474555316846818e-05	6.205856379892793e-07	3.697744250530377e-05	7.144587357288401e-07	4.362181243777741e-06	5.194780214878847e-07	0.0008370751747861505	2.0326974947693088e-07	1.5995647117961198e-05	8.336231758221402e-07	0.00031672485056333244	6.076457793824375e-05	5.6836790463421494e-05	3.565734459698433e-06
ABCC4	0.000123952777357772	0.00021668546833097935	0.00012504574260674417	1.7507418306195177e-05	0.00016438181046396494	4.670966973208124e-06	0.00044890394201502204	0.00010663983266567811	0.00015427827020175755	0.00014206454216036946	0.00015457853442057967	0.001633279724046588	7.545093922090018e-06	0.00027064140886068344	0.00026078178780153394
ABCC9	0.0014482437400147319	1.4494943343379418e-06	8.083398483904602e-07	0.00030995928682386875	1.5812935316716903e-06	1.0528353868721751e-06	1.370523932564538e-06	4.295646363061678e-07	5.494309220921423e-07	4.5443317731042043e-07	3.728047772710852e-07	1.83839506462391e-06	2.6170719138463028e-06	4.5019694994152815e-07	1.3572420130003593e-06
ABCD4	0.000358959921868518	0.00021539586305152625	0.000261680077528581	9.431923535885289e-05	0.0004943391541019082	3.963194103562273e-05	0.00017156176909338683	0.00016057517495937645	0.00029601246933452785	2.9670187359442934e-05	0.0002565243630670011	0.00018110063683707267	0.0002029135503107682	0.0006086821085773408	0.00012332876212894917
ABCG2	5.33386119059287e-05	9.995683285524137e-06	1.766468926689413e-06	1.9420691387495026e-05	1.8829214241122827e-05	5.606406148217502e-07	4.977607090950187e-07	4.246057869750075e-05	2.8259485134185525e-06	1.8083474060404114e-05	2.752869647792977e-07	1.1836548765131738e-05	6.530622727041191e-07	0.0018948721699416637	1.5220864952425472e-05
ABHD12	0.0001579400704940781	0.00013571212184615433	0.0003614250454120338	0.00016544411482755095	0.0003563898499123752	0.0002750240673776716	0.00020858534844592214	0.0008015605271793902	0.00028443115297704935	0.00039923618896864355	0.0001634228538023308	0.00020682011381722987	0.00032188615296036005	0.00013092721928842366	0.0004533357569016516
