Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16
A2M	6.178198873385554e-06	6.936110366950743e-06	0.0002966497850138694	5.88289913139306e-06	5.6006588238233235e-06	0.0020400159992277622	3.3911642276507337e-06	6.467731054726755e-06	0.0013825548812747002	4.777892172569409e-05	9.052062523551285e-06	0.001151297357864678	0.0008628354989923537	2.901527523135883e-06	0.00011860136146424338	0.00030230480479076505
A4GALT	1.3710196071770042e-05	3.1237630082614487e-06	0.000556041079107672	2.0167049115116242e-06	3.852798272419022e-06	0.0007426360971294343	2.999573371198494e-05	2.844963273673784e-05	0.0002451120817568153	3.2271032978314906e-05	1.035757395584369e-05	0.000624207139480859	0.0008295603329315782	1.180412891699234e-05	0.0003692992322612554	1.1235042620683089e-05
AADACL2-AS1	2.528577169869095e-07	6.424118055292638e-06	0.0014003247488290071	5.9096159077398625e-08	5.363838795346965e-07	3.387235096852237e-07	4.4734861148754135e-07	6.324701473658934e-08	1.3760923138761427e-06	1.6892819985514507e-05	8.14691077266616e-07	0.00015066418563947082	4.165597431438073e-07	1.0405454275996817e-07	0.00030113154207356274	7.232680587776485e-08
AAK1	0.00015173686551861465	0.0003438962157815695	9.827152825891972e-05	0.000980065087787807	7.780590385664254e-05	0.00017717764421831816	7.81050548539497e-05	3.6418270610738546e-05	0.00015769268793519586	0.00019417407747823745	5.410215453593992e-05	0.00013153901090845466	0.00015411847562063485	0.0005822014645673335	0.00027355842757970095	0.00021668006957042962
AARD	0.00010300084977643564	7.602661753480788e-06	1.935009947828803e-07	1.2047271411574911e-06	7.442397418344626e-06	6.296670562733198e-08	2.3306636194320163e-06	0.000986757455393672	4.634097422240302e-05	1.2052287274855189e-05	2.556385879870504e-05	1.6100239008665085e-07	8.516390721524658e-07	4.4408507164916955e-06	2.3881807464931626e-06	5.71165264773299e-06
ABCA1	1.6422195585619193e-06	0.0002965650346595794	0.0005154436221346259	3.4729542676359415e-05	2.7305099138175137e-05	0.00022019199968781322	0.00010574013867881149	1.8804439605446532e-05	0.00023841661459300667	4.766900747199543e-05	0.0007114268955774605	0.00018261332297697663	5.7649725931696594e-05	7.645719051652122e-06	0.0004190698091406375	0.0009825932793319225
ABCA6	2.8187577072458225e-07	1.4981443200667854e-05	0.002254962921142578	4.961357262800448e-07	7.60610464567435e-06	3.4529928143456345e-06	1.590984538779594e-05	1.5127631058931001e-07	3.1868905807641568e-06	2.214247069787234e-05	3.966097665397683e-06	8.591568621341139e-05	2.584028834462515e-06	2.3637512924779003e-07	0.0002744057564996183	2.6231457013636827e-05
ABCA8	4.438471989942627e-07	1.0706681905503501e-06	0.0023517636582255363	3.298894455383561e-07	1.4390728892976767e-06	3.949646156797826e-07	2.7194974450139853e-07	6.693997534057416e-08	2.9450411602738313e-06	2.6072892069350928e-05	2.6101827188540483e-06	0.0001187551679322496	3.840757756279345e-07	1.8282530334090552e-07	4.6809218474663794e-05	2.1856345711057656e-07
ABCB1	6.092582225392107e-06	1.58044827003323e-06	4.7058024392754305e-06	0.00013243513240013272	1.1053474736399949e-05	0.0005336265894584358	0.0001444628433091566	2.519046802262892e-07	4.839608300244436e-05	2.551788929849863e-05	7.658207323402166e-05	6.533438181577367e-07	0.0005907408194616437	0.000489416066557169	2.512641401608562e-07	1.1401732535887277e-06
ABCC1	5.760183194070123e-05	0.00013751174265053123	7.193919736891985e-05	0.0004587207513395697	8.667488145874813e-05	0.00019029159739147872	0.00024266984837595373	1.75668337760726e-05	0.00011804264067905024	0.00015529336815234274	0.0009976074798032641	3.004462087119464e-05	6.99204538250342e-05	0.0004472642031032592	0.0001517050404800102	0.00014612353697884828
ABCC3	3.5814343846141128e-06	0.00011431262828409672	4.8121648433152586e-05	3.1321889082391863e-07	3.165093175994116e-06	5.6159069572458975e-06	1.4375665386978653e-06	1.2181591046100948e-05	0.0004989170120097697	4.3783136788988486e-05	3.439925649217912e-06	1.8622436982695945e-05	0.00019419605087023228	3.828642718417541e-07	3.286209175712429e-05	0.0007871391717344522
ABCC4	1.4602086594095454e-05	2.3728467567707412e-05	6.521531759062782e-05	0.00015587735106237233	0.0002528442710172385	0.00027233234141021967	0.00014412721793632954	3.1107858831092017e-06	4.7313944378402084e-05	0.00019213234190829098	0.0014255039859563112	1.8257207557326183e-05	0.00020826583204325289	9.875985415419564e-05	0.00022636876383330673	0.0001576708600623533
ABCC9	2.470621325301181e-07	8.35385435493663e-06	6.575549923582003e-05	3.3009862931976386e-07	8.079684903350426e-07	8.977207244242891e-07	2.636982969761448e-07	8.719676714008529e-08	2.1840628505742643e-06	2.197817047999706e-05	5.084312419967318e-07	0.0021284501999616623	9.215488603331323e-07	4.3280667227918457e-07	4.036174141219817e-05	2.0721104476706387e-07
ABCD4	4.5758850319543853e-05	0.0004639534745365381	0.00020722323097288609	0.00032316186116077006	0.00012572760169859976	0.0004271153884474188	0.00025322887813672423	3.125685179838911e-05	0.00028902015765197575	0.00031218334333971143	9.243653039447963e-05	0.00019746176258195192	0.001029042643494904	0.00031515254522673786	0.00023778803006280214	0.00015497113054152578
ABCG2	2.9496590286726132e-05	1.1721949704224244e-06	6.613381174247479e-06	3.1768840926815756e-06	1.3355588635022286e-05	0.001606381731107831	7.149121188376739e-07	4.515182467912382e-07	5.3198100431472994e-06	1.6500140191055834e-05	3.731055073785683e-07	6.645698158536106e-05	0.002631622599437833	3.7495717606361723e-06	1.5729470760561526e-05	3.735231075552292e-05
ABHD12	0.00035668842610903084	0.00027723333914764225	0.00023909799347165972	0.0002986352483276278	0.00043955366709269583	0.00012536490976344794	0.00017649130313657224	0.0003395414096303284	0.00015813775826245546	0.0003109397948719561	0.0003064937482122332	0.00012094444537069649	0.00015797850210219622	0.00035142555134370923	0.00012705450353678316	0.0007364043849520385
ABHD2	0.00011092807835666463	0.004360176622867584	0.00012517468712758273	0.00013657924137078226	4.9790876801125705e-05	9.797737584449351e-05	5.5608205002499744e-05	0.0004974818439222872	6.376663804985583e-05	0.0001434105506632477	0.000301444815704599	9.122893970925361e-05	5.585686449194327e-05	0.0001963261020136997	0.00021373927302192897	0.00017336723976768553
ABI3	9.931656677508727e-05	3.751480335267843e-07	1.3752389804722043e-06	0.00026204128516837955	5.1361046644160524e-05	0.0004279734566807747	0.0003952070255763829	1.6984887452053954e-07	4.974055627826601e-06	7.01864919392392e-05	2.285390110046137e-06	4.1953967411245685e-06	0.00040905599598772824	0.0012338235974311829	6.404665100490092e-07	0.0006234356551431119
ABI3BP	5.304412411533121e-07	1.1557774996617809e-05	0.001806251471862197	3.8921211853448767e-07	1.634758518775925e-06	4.707121661340352e-06	6.686263986921404e-07	1.5842311995584168e-07	4.289309435989708e-05	3.948164521716535e-05	1.9625476852525026e-06	4.006170274806209e-05	1.8792799892253242e-05	3.967883230870939e-07	0.00036410457687452435	9.568009318172699e-07
ABLIM1	2.731791937549133e-05	7.483563967980444e-05	0.0003891112864948809	0.0008428096189163625	2.5733685106388293e-05	0.0005222479812800884	0.0003772205382119864	2.2732392608304508e-05	0.00020841862715315074	8.139285637298599e-05	9.170871635433286e-06	1.43231463880511e-05	0.0010225159348919988	0.0003070991951972246	3.3569507650099695e-05	2.0555655737553025e-06
ABLIM3	6.902027962496504e-07	6.767395825590938e-05	0.00016237156523857266	6.941775723134924e-07	1.5637551769032143e-06	0.0005471730255521834	4.352230007498292e-07	6.715654308209196e-06	8.18374155642232e-06	1.7744099750416353e-05	7.349532324951724e-07	1.3452287021209486e-05	0.0008302736678160727	8.442323178314837e-07	1.4364783055498265e-05	4.6751327317906544e-05
AC004791.2	8.05661883873654e-08	1.2648210478971578e-08	1.3760094930148625e-07	2.2222188533760345e-08	2.135934380476101e-07	6.13731216958513e-08	6.504510707827649e-08	6.368387150956778e-09	2.67091252226237e-07	5.564536422753008e-06	0.0033099609427154064	8.122956529632575e-08	1.5231987049446616e-07	3.075746590752715e-08	3.342231380543126e-08	6.219011083885562e-06
AC013461.1	0.00017553305951878428	8.632342360215262e-05	0.000561925582587719	2.818334905896336e-05	2.957660581159871e-05	0.00016177151701413095	0.0001105463452404365	5.354037421057001e-05	0.00032216362887993455	4.562537287711166e-05	2.979653982038144e-05	0.0018689180724322796	0.00010829830716829747	4.5934262743685395e-05	0.00027836428489536047	0.0002175297267967835
AC017002.1	6.740666867699474e-05	2.951290234420867e-08	8.769904525252059e-06	1.032454747473821e-05	8.648170478409156e-06	3.7532547139562666e-05	0.00013317257980816066	4.9556184933408076e-08	4.393443191474944e-07	9.742096153786406e-06	3.2644337011333846e-07	1.0084605492011178e-05	8.449502502116957e-07	0.0006465043406933546	2.2150710719870403e-05	9.938160474121105e-06
AC020571.3	1.6804420738480985e-05	0.0009284897823818028	9.553467634759727e-07	0.0005222087493166327	4.0578379412181675e-06	4.020891424261208e-07	1.2872849765699357e-05	3.109742465312593e-05	1.6112750245156349e-06	2.6403249648865312e-05	0.0024846831802278757	2.254022319903015e-06	3.2895479762373725e-07	0.000187729048775509	2.2902842829353176e-05	1.91946537597687e-06
AC079767.4	1.396729913949457e-07	1.9606929413384933e-08	7.364997713921184e-07	2.627153605772037e-07	5.520676040760009e-07	1.2209537203489162e-07	0.0017265003407374024	8.613947954927426e-08	3.1942309419719095e-07	8.471547516819555e-06	3.7510741890400823e-07	1.850937678682385e-07	3.748611732135032e-07	6.439259436774591e-08	5.0366221415742984e-08	0.0001182258638436906
AC092580.4	5.940254413872026e-05	1.158823366154138e-07	3.673873436582653e-07	8.670805982546881e-05	7.566718068119371e-06	1.8666331413896842e-07	2.3519298338214867e-05	7.692352710364503e-08	8.554010832995118e-07	2.0643814423237927e-05	5.275702505969093e-07	2.7947478997703e-07	6.114264579082374e-07	0.0013978619826957583	1.268322620262552e-07	2.0715009441119037e-07
AC093642.3	0.00011154999810969457	1.0826198604263482e-08	2.3056472855387256e-06	1.616727551834174e-08	2.837067256677983e-07	4.9234415655519115e-08	7.792042015353218e-05	0.0013878790196031332	0.0004517624038271606	5.417769898485858e-06	1.1088879148246633e-07	1.16366088320774e-07	1.450400475278002e-07	3.135314941005163e-08	7.718736014794558e-06	4.04581987822894e-06
AC093818.1	8.664371307531837e-06	3.519967890497355e-07	1.1693807664414635e-06	0.0002219813031842932	0.002888137474656105	0.0001764473709044978	0.00012121056352043524	9.607489118934609e-06	5.972490271233255e-06	0.0009078127914108336	6.730101449647918e-05	1.6255884247584618e-06	6.754339847248048e-05	0.00031692604534327984	1.3922502148489002e-05	6.933460826985538e-05
AC104699.1	1.9226101244385063e-07	1.8209835417337672e-08	1.7373089633565542e-07	6.711237432455164e-08	0.004074924159795046	7.147688307895805e-08	0.0007530019502155483	4.9109011968084815e-08	4.392089465454774e-07	0.0005080241826362908	2.3596233234002284e-07	1.8395287781913794e-07	3.4633433187991614e-07	1.0970452990477497e-07	6.158536081102284e-08	1.5204788041955908e-06
AC133644.2	8.294825966004282e-05	1.3086281569485436e-06	4.469551186048193e-06	6.73396498314105e-05	3.746030051843263e-05	5.089194746688008e-05	0.000107697254861705	3.8475187125186494e-07	1.9487606550683267e-06	3.2409621780971065e-05	7.206196642073337e-06	5.638204311253503e-05	5.489236173161771e-06	0.0012277105124667287	2.7975413104286417e-05	3.5824643418891355e-05
AC233755.1	1.5521280829489115e-06	1.1958409373846735e-08	1.063335233197904e-07	4.950435368300532e-07	0.002120282268151641	5.472160680142224e-08	9.439284440304618e-06	8.798522088682148e-08	3.241898127726017e-07	7.160976565501187e-06	1.1364397778379498e-07	9.905293296696982e-08	2.1302723496319231e-07	1.271133669433766e-06	6.624791382137118e-08	2.4017333544179564e-07
AC245100.1	4.7223729779943824e-05	8.457913281745277e-06	4.529471698333509e-05	0.0006941600586287677	2.0711066099465825e-05	6.070835070204339e-07	0.00046246961574070156	2.2290756533038802e-05	0.00010836887668119743	7.30754982214421e-05	0.00012455609976314008	3.648966958280653e-05	1.5025983657324105e-06	0.0005204255576245487	3.875025868183002e-05	3.444976391620003e-05
ACACB	6.2855242504156195e-06	0.00020978369866497815	0.00016076794418040663	8.615784463472664e-05	3.9325241232290864e-05	0.00044427780085243285	3.7894558772677556e-05	1.7834389609561185e-06	4.820017420570366e-05	6.347797898342833e-05	3.1180825317278504e-05	0.00010064517118735239	0.000563102716114372	3.9647060475545004e-05	0.0001659349218243733	1.6325975593645126e-05
ACAT2	0.0006773258792236447	6.24941530986689e-05	0.00017033892800100148	0.0004660376289393753	7.235640077851713e-05	5.011201574234292e-05	0.0002630152157507837	0.00034284483990632	0.0002217530127381906	0.00013205032155383378	0.00019161890668328851	0.00022880999313201755	0.00011096189700765535	0.0003440703731030226	5.4670126701239496e-05	0.00012351626355666667
ACE	3.988783191744005e-06	3.444229150773026e-05	7.303796792257344e-06	4.5276388846104965e-05	1.1397380148991942e-05	0.0016566304257139564	1.1700814184223418e-06	7.578763870697003e-06	0.00028532728902064264	1.4451280549110379e-05	7.811714749550447e-05	4.516135504673002e-06	3.770856710616499e-05	1.3154068483345327e-06	0.0001213135474245064	0.00014952362107578665
ACER3	0.00012663195957429707	0.0001690943172434345	0.00019078222976531833	0.00013688017497770488	7.357227150350809e-05	0.00020709808450192213	0.00016174075426533818	6.824034790042788e-05	0.00010820696479640901	9.090727689908817e-05	0.000984935206361115	0.00024175959697458893	0.0003017977287527174	0.00022100652859080583	0.00014872367319185287	0.0005030169268138707
ACKR1	2.1553971407684003e-07	3.366011469552177e-07	2.6048451218230184e-06	1.9143928966514068e-06	1.7547044990351424e-06	1.7010037481668405e-05	1.980769866349874e-06	3.612190013768668e-08	6.240406491997419e-06	1.5653788068448193e-05	1.8785007114274777e-06	7.732916174063575e-07	0.0033857037778943777	2.727840069383092e-07	3.613878902797296e-07	1.3409335224423558e-06
ACOT7	0.0007824956555850804	7.1761505751055665e-06	3.833244045381434e-05	9.111574763664976e-05	4.2023319110739976e-05	0.0002279548643855378	4.876607999904081e-05	6.424338789656758e-05	0.00039217970333993435	2.864606722141616e-05	0.0013388351071625948	5.615022746496834e-05	3.8600119296461344e-05	0.00047538132639601827	7.490756252082065e-05	0.0001227500179084018
ACP5	6.525494973175228e-05	0.0003265178529545665	0.00028629586449824274	0.00013249690528027713	9.00760933291167e-05	1.7836263168646838e-06	0.0006098098820075393	8.927447925088927e-05	2.496942579455208e-05	9.319187665823847e-05	0.00023720267927274108	4.3166830437257886e-05	4.108790108148241e-06	0.0007655154331587255	2.4091270461212844e-05	0.0009157421882264316
ACSL1	0.00012846816389355808	0.00037113550934009254	9.071233944268897e-05	7.840670150471851e-05	2.6548186724539846e-05	7.429607649100944e-05	0.00015284831169992685	0.00024101443705148995	9.34310446609743e-05	6.0378726630005985e-05	1.013885503198253e-05	0.00010266237222822383	9.374693036079407e-06	0.00020753104763571173	0.0002062800049316138	0.0005579636199399829
ACSL3	0.00011728115350706503	0.002430431777611375	0.00023198488634079695	0.0002488032914698124	0.00011753278522519395	0.0002390470472164452	0.00020524929277598858	0.0006668759160675108	0.00017464593111071736	0.00019227767188567668	0.00021180127805564553	0.00015072416863404214	0.0001262129080714658	0.00018880989227909595	0.0002389080182183534	0.00023635680554434657
ACSL4	0.00013210545876063406	2.076066039080615e-06	0.0001749099901644513	0.0001492224691901356	0.00015214213635772467	0.00023999543918762356	0.00017553986981511116	9.856519682216458e-06	0.00030074146343395114	0.0001877543836599216	0.002020645420998335	0.00014962648856453598	0.00014723138883709908	0.0004646608140319586	0.00022053104476071894	0.00041190756019204855
ACTA2	1.5046904991322663e-05	1.63958441135037e-06	0.000157355418195948	1.4853309949103277e-05	7.322923465835629e-06	1.5651912690373138e-06	6.857032076368341e-06	1.3921523986937245e-06	0.0022486557718366385	3.410723002161831e-05	5.6423582464049105e-06	0.002144233323633671	2.9572618132078787e-06	3.8599006074946374e-05	0.00043877624557353556	4.318729679653188e-06
ACTB	0.0012253528693690896	6.435677642002702e-05	0.000358328630682081	0.0016724001616239548	0.0001970994344446808	0.00037988516851328313	0.0014352274592965841	0.00036378001095727086	0.0012033978709951043	0.000315511308144778	0.0005618128925561905	0.000780185975600034	0.00033856090158224106	0.0025588851422071457	0.0005988432676531374	0.0015142487827688456
