Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17
A2M	5.651064839184983e-06	2.228325502073858e-05	2.1749087864009198e-06	8.358586637768894e-05	3.734721758519299e-05	5.025645441492088e-05	0.0004960897495038807	3.4224437968077837e-06	0.0002527488686610013	0.001304198638536036	0.00039229055983014405	4.383108262118185e-06	1.0278227819071617e-05	5.066375706519466e-06	0.00026696373242884874	0.0017779566114768386	5.111370228405576e-06
A4GALT	1.5156551853579003e-06	2.8113995540479664e-06	1.972764039237518e-05	0.0004181510303169489	2.154799221898429e-05	7.816861034370959e-05	0.0008497742237523198	2.022036369453417e-06	0.00029290918610058725	0.0006510860985144973	1.7034033589879982e-05	2.0470047275011893e-06	1.6769938156357966e-05	3.322864358779043e-06	0.00012499516014941037	0.000772972940467298	2.6443314709467813e-05
AADACL2-AS1	4.99256486818922e-07	2.211681362496165e-07	2.1859999321804935e-07	0.0002402567770332098	4.771738986164564e-07	6.40094981463335e-07	0.0010838862508535385	1.5069963410496712e-07	0.000973246234934777	9.266794950235635e-05	2.8942156404809793e-07	6.59822561033252e-08	3.694011141419651e-08	8.039427257244824e-08	0.00022377575805876404	1.947037162608467e-07	1.7944996955066017e-07
AAK1	8.943539432948455e-05	0.00011836049088742584	7.597175226692343e-06	0.00016960436187218875	0.0001341855968348682	4.275273022358306e-05	7.126921263989061e-05	0.0013965279795229435	0.0005126283504068851	0.0001320754672633484	0.0002504384610801935	0.0007052606670185924	9.942659380612895e-05	0.0008469786262139678	0.00012219756899867207	0.00017998201656155288	0.0003843288868665695
AARD	7.971248123794794e-06	2.3618611066922313e-06	3.3868545870063826e-06	2.9876948701712536e-06	1.2069150216120761e-05	0.00014706481306347996	4.0184642102758517e-07	1.6677612393323216e-06	7.987163996858726e-08	7.364568688217332e-08	6.946544544916833e-06	5.018696356273722e-06	0.0007363718468695879	6.230011990737694e-07	2.2419789047489758e-07	3.6057105745612716e-08	7.2907951107481495e-06
ABCA1	2.6179115593549795e-05	0.00015615852316841483	0.0002120891003869474	0.0002615815319586545	3.614890601966181e-06	1.636482193134725e-05	0.0010586054995656013	2.0484776541707106e-05	0.0008434574119746685	0.00013985087571199983	0.0014058835804462433	1.5939025615807623e-05	0.0001119026928790845	5.684979623765685e-05	0.00022820495360065252	0.0001747465576045215	1.5090520719240885e-05
ABCA6	6.3333955040434375e-06	1.8225022358819842e-05	1.3832017430104315e-05	0.00022167233692016453	4.363986931821273e-07	2.690576366148889e-06	0.003835496725514531	5.133299509907374e-07	0.0009883599122986197	4.069409260409884e-05	3.284220292698592e-05	4.6597901359746174e-07	3.2982771358547325e-07	1.931835186042008e-06	0.0003175645833835006	2.4647179088788107e-06	3.259544882894261e-07
ABCA8	1.8780377786242752e-06	2.576413464794314e-07	3.0335198175635014e-07	0.00014871417079120874	5.910143840992532e-07	2.5972676098717784e-07	0.005144492257386446	3.039003786398098e-07	0.00031655566999688745	0.00011793952580774203	1.4190991350915283e-06	1.3559439082655445e-07	7.474437779819709e-08	7.398634238597879e-07	0.0003303060948383063	3.3955618050640624e-07	2.95391060944894e-07
ABCB1	9.204417438013479e-06	2.484292781446129e-05	6.573520659003407e-05	2.824013449753693e-07	3.3372987218172057e-06	1.1293648185528582e-06	6.272054633882362e-06	5.643858094117604e-05	2.059422968159197e-06	9.936992455550353e-07	7.5926965337203e-07	0.0007224514265544713	1.7426420129140752e-07	8.16481770016253e-05	8.8653621787671e-05	0.0005647779325954616	4.39345276390668e-05
ABCC1	9.013863018481061e-05	0.0001067606863216497	0.0006551731494255364	5.7839573855744675e-05	4.6404700697166845e-05	1.6068337572505698e-05	0.00019132117449771613	0.0013020015321671963	0.00036106896004639566	2.92559816443827e-05	0.00018904446915257722	0.00023061958199832588	4.818724482902326e-05	0.0002654743439052254	6.10740389674902e-05	0.00016889510152395815	0.000470013968879357
ABCC3	1.3971579164717696e-06	3.6095127143198624e-05	9.045094770954165e-07	3.495486089377664e-05	5.198754479351919e-06	2.9106493002473144e-06	2.6455812985659577e-05	1.3922376638220157e-06	8.381620864383876e-05	2.509971454855986e-05	0.0010404738131910563	4.4207371274751495e-07	5.061229603597894e-05	8.672001285958686e-07	0.00015671133587602526	5.6102035159710795e-05	6.773862537556852e-07
ABCC4	0.0002479595714248717	0.00019530333520378917	0.000938198936637491	0.00010609628225211054	1.2522321412689053e-05	7.775399353704415e-06	0.0001312195381615311	0.00012420002894941717	0.00042030910844914615	1.436581715097418e-05	0.00014891994942445308	0.00012433734082151204	5.648056230711518e-06	0.0001442821667296812	3.7793925002915785e-05	0.00027274168678559363	8.924381108954549e-05
ABCC9	1.200275391965988e-06	3.1790031584932876e-07	2.3643825386443496e-07	2.9568374884547666e-05	1.1008493174813339e-06	2.3600573229032307e-07	7.15312926331535e-05	5.951305865892209e-07	4.665797314373776e-05	0.002148117171600461	2.3477232389268465e-06	3.6280172821534507e-07	1.4811163282502093e-06	4.694408914929227e-07	1.322090520261554e-05	3.086587980760669e-07	4.314329373755754e-07
ABCD4	0.00012342471745796502	0.00010929782729363069	0.0001998357765842229	0.00011766076931962743	4.836510561290197e-05	4.696194446296431e-05	0.00030841006082482636	0.00035798820317722857	0.0005565254832617939	0.00016989640425890684	0.00018265216203872114	0.00032700516749173403	0.00016254064394161105	0.0003387359029147774	0.0003260214871261269	0.0006148042157292366	0.0003185422392562032
ABCG2	1.3548461538448464e-05	3.975971594627481e-06	4.144747549617023e-07	8.309597433253657e-06	3.4502478229114786e-05	1.4848986893412075e-06	4.9664768084767275e-06	5.2160239647491835e-06	3.0041079298825935e-05	6.262050737859681e-05	5.2337509259814397e-05	1.0838743946806062e-05	4.547911771624058e-07	1.6407641396654071e-06	7.87408339419926e-07	0.0019132220186293125	1.1693100532284006e-06
ABHD12	0.00045233903801999986	0.0003676256164908409	0.00013826900976710021	0.0001337549911113456	0.0002959140401799232	0.00017312330601271242	0.0002862276742234826	0.00042010843753814697	0.00017821048095356673	0.0001245655439561233	0.0008778523770160973	0.0003214327443856746	0.000337973702698946	0.0002238718152511865	0.00016407638031523675	0.0001326464262092486	0.00042504980228841305
ABHD2	5.3555337217403576e-05	0.0001164943678304553	0.00012889440404251218	0.0001882932847365737	0.00011504563735798001	0.00011966138845309615	0.0003257310891058296	0.00021063355961814523	0.00027686802786774933	0.00010074057354358956	0.00021430684137158096	0.00019507569959387183	0.002019881270825863	0.00020569769549183547	0.00020562320423778147	9.85376100288704e-05	0.00018458499107509851
ABI3	4.846923184231855e-05	0.0014067050069570541	7.92215287219733e-05	5.309494213179278e-07	4.595113205141388e-05	1.2400390005495865e-05	8.850900485413149e-06	0.0002178047434426844	9.550929007673403e-07	5.9933363445452414e-06	0.0003153235011268407	0.001512646209448576	1.1339000138832489e-07	9.255007171304896e-05	7.4507552199065685e-06	0.00043837144039571285	0.00044756170245818794
ABI3BP	1.888189444798627e-06	5.724863854084106e-07	7.445049163834483e-07	0.0004928383277729154	2.86537556348776e-06	1.5974658253981033e-06	0.002890345873311162	1.814601091609802e-06	0.0005672803963534534	5.143143062014133e-05	2.4645203211548505e-06	3.2491888646291045e-07	2.9734064810327254e-07	1.6412433296864037e-06	0.0002762934018392116	5.715806764783338e-06	8.86275870470854e-07
ABLIM1	2.470422441547271e-05	3.7852765672141686e-05	8.562209404772148e-05	3.974153514718637e-05	2.3291273464565165e-05	3.4982698707608506e-05	0.0005690562538802624	0.00045451102778315544	0.00014783315418753773	1.7054519048542716e-05	2.152720981030143e-06	0.0005189635558053851	3.1589832360623404e-05	0.0008772019064053893	0.00036972295492887497	0.0006742962868884206	6.699005461996421e-05
ABLIM3	9.773232250154251e-07	2.0535117073450238e-06	5.186134899304307e-07	1.3195089195505716e-05	2.022606167884078e-06	2.692224597922177e-06	0.00040840377914719284	2.0508307443378726e-06	6.739165110047907e-05	1.878866351034958e-05	6.760058749932796e-05	1.148972955888894e-06	2.5183817342622206e-05	2.6338768748246366e-06	7.289658969966695e-05	0.0006417726981453598	4.687242835643701e-06
AC004791.2	2.072602427460879e-07	8.365748982441801e-08	0.002191233215853572	3.889406485768632e-08	7.196991447244727e-08	2.409860826446675e-07	3.9245136917998025e-07	7.046119065989842e-08	7.883370045647098e-08	7.959548042890674e-08	6.052521683841405e-08	5.499527446772845e-07	1.2241949320923595e-07	1.9817399277144432e-08	2.346177581102893e-07	3.937153536526239e-08	1.3444564217479638e-07
