Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18
A2M	8.53569945320487e-05	0.00030343810794875026	3.7960662666591816e-06	3.1376832794194343e-06	6.0855170886497945e-05	0.00012031392543576658	0.0017652560491114855	2.5331517008453375e-06	0.001797401113435626	1.6759451682446525e-05	3.6675683077191934e-06	4.531052582024131e-06	4.054276985243632e-07	5.7234614359913394e-05	4.677337528846692e-06	0.0012804858852177858	5.3406918596010655e-05	0.00027285999385640025
A4GALT	9.351300832349807e-05	7.2659258876228705e-06	1.582534309818584e-06	1.4787287909712177e-06	4.972795068169944e-05	0.00038522412069141865	0.0007155718049034476	4.294142399885459e-06	0.001276759896427393	2.6205902031506412e-05	3.444868707447313e-05	1.4238222547646728e-06	2.577819032012485e-06	4.60928322354448e-06	2.2399566660169512e-05	0.0006262549431994557	0.00030450118356384337	0.00044621009146794677
AADACL2-AS1	2.0901129005324037e-07	6.364748372789109e-08	3.0374593507076497e-07	8.510468774147739e-08	1.0722028065401901e-07	0.00041890484862960875	1.486708072206966e-07	2.0965514124782203e-07	3.828015906037763e-05	5.850756679137703e-07	6.115782866800146e-07	5.1991758454050796e-08	2.6764425342662435e-08	9.371166242999607e-07	1.6009808234684897e-07	0.00016086461255326867	2.373362804064527e-06	0.0014674726407974958
AAK1	5.0487440603319556e-05	0.00020780263002961874	2.6887215426540934e-05	0.0007135769119486213	3.3610987884458154e-05	0.00027836058870889246	0.0001698582200333476	0.00011087192251579836	0.00011469516903162003	0.0005321523058228195	8.219069968617987e-06	0.0008861522073857486	0.00014473705959971994	0.0025070603005588055	0.0004726897459477186	0.00013281198334880173	0.00015510653611272573	0.00011085545702371746
AARD	0.0033237833995372057	4.514543434197549e-06	7.485421974706696e-06	1.379779860144481e-06	0.0002466529840603471	1.4025730479261256e-06	5.341404829550811e-08	0.00014237544382922351	7.623394253641891e-07	3.472058267561806e-07	1.300444409935153e-06	1.8258190266351448e-06	0.0001323498145211488	2.8949862098670565e-05	9.066822713066358e-06	2.4910730644478463e-05	1.2712320085483952e-07	1.1771434316187879e-07
ABCA1	7.860707410145551e-05	0.0009856895776465535	0.000654936651699245	1.910971377583337e-06	2.5908950192388147e-05	0.0004970279987901449	0.00014795146125834435	5.226965640758863e-06	0.0004813060804735869	0.00015988221275620162	0.00011291915143374354	2.7117375793750398e-05	0.00013046561798546463	0.0005262463819235563	2.2928277758182958e-05	0.00018519295554142445	6.10096612945199e-05	0.0005358612397685647
ABCA6	2.8042308031217544e-07	2.2788532078266144e-05	5.818060913043155e-07	2.445873121814657e-07	3.878830625581031e-07	0.0003916934656444937	1.3073203035673941e-06	9.181268296742928e-07	9.96580783976242e-05	5.119695288158255e-06	2.6386009267298505e-05	8.243748652603244e-07	1.303000090047135e-06	2.1661575374309905e-05	2.684608375602693e-07	8.6935207946226e-05	3.349884082126664e-06	0.0026053437031805515
ABCA8	1.7628268267344538e-07	1.940306475489706e-07	1.048157059813093e-06	1.6032412020194897e-07	2.8631708914872434e-07	0.00011208165233256295	1.9991767885585432e-07	5.828835583088221e-07	8.371900912607089e-05	2.224855734311859e-06	1.993651039811084e-07	4.112575595627277e-07	1.2991998232791957e-07	1.6813309002827737e-06	2.681600221876579e-07	0.00012816958769690245	1.5515219047301798e-06	0.0027000540867447853
ABCB1	1.2746219226755784e-06	9.024151950143278e-07	6.461743032559752e-05	0.0007036684546619654	3.265384691530926e-07	2.6612269721226767e-07	0.0005616819253191352	1.6969671605693293e-06	0.0005085397278890014	0.0007460725610144436	0.00012939082807861269	9.625184611650184e-05	7.355814659604221e-07	0.0004172108310740441	9.959364433598239e-06	2.27241548600432e-06	1.2304014944675146e-06	3.956142336392077e-06
ABCC1	6.431995279854164e-05	0.00014667093637399375	0.0010174476774409413	0.0004287401679903269	1.1912655281776097e-05	0.00016979649080894887	0.00016144290566444397	5.835813863086514e-05	0.00012747310393024236	5.9459955082274973e-05	0.00021243482478894293	0.00038460642099380493	4.8897720262175426e-05	0.0013989267172291875	0.0004923298256471753	3.945481876144186e-05	8.019717643037438e-05	7.490682764910161e-05
ABCC3	2.8296897653490305e-05	0.0008112330688163638	5.015547230868833e-07	2.9731270956290246e-07	2.191735984524712e-05	4.998141230316833e-05	5.900807082070969e-05	5.3328712965594605e-06	2.9599168556160294e-05	1.077074898603314e-06	1.8428697501349234e-07	1.51590668906465e-07	5.693154889740981e-05	5.3744563047075644e-05	8.892338314581139e-07	7.36282963771373e-05	5.143794624018483e-05	3.452005694271065e-05
ABCC4	1.1771991012210492e-05	0.00014221278252080083	0.0014308118261396885	0.00010985746484948322	6.864335773570929e-06	0.00024956424022093415	0.00028815027326345444	9.348789899377152e-05	3.295564965810627e-05	7.72497005527839e-05	0.00013333627430256456	0.00014215949340723455	5.414673069026321e-06	0.0005154596292413771	0.00010544827091507614	1.957439599209465e-05	3.278737131040543e-05	8.159640128724277e-05
ABCC9	1.0684104836400365e-06	4.775487809638435e-07	3.53938446551183e-07	3.8737522345400066e-07	2.1589351035800064e-06	4.2543346353340894e-05	1.674991096933809e-07	2.1131378957761626e-07	3.9686812669970095e-05	1.9716590031748638e-06	2.1531367622174002e-07	5.205986894907255e-07	2.348197540413821e-06	2.0205894543323666e-05	1.1071094832004746e-06	0.002043128712102771	4.769345650856849e-06	3.3765496482374147e-05
ABCD4	7.460622873622924e-05	0.00015380809782072902	6.904375914018601e-05	0.0003290388558525592	1.403124952048529e-05	0.0002820209483616054	0.000622422609012574	9.148207755060866e-05	0.0003778777609113604	0.00030640375916846097	0.0002464632270857692	0.00029368940158747137	0.00020960348774679005	0.0011804380919784307	0.00026116237859241664	0.00020353613945189863	7.196650403784588e-05	0.00022541078214999288
ABCG2	2.9804705263813958e-06	3.9163074688985944e-05	2.1842876662958588e-07	1.073485691449605e-05	2.2831210344520514e-07	1.7226288036908954e-05	0.0020983454305678606	3.050809209526051e-05	9.093333210330456e-05	1.435376179870218e-05	1.2930436810165702e-07	2.9720861220994266e-06	7.891152620231878e-08	2.6420550511829788e-06	2.37809399550315e-06	6.68423090246506e-05	7.453715511474002e-07	7.419590474455617e-06
ABHD12	0.0004373618576209992	0.0007378580048680305	0.0002773440210148692	0.00029947623261250556	0.00029549948521889746	0.00014763986109755933	0.00013563614629674703	0.00040913335396908224	0.00015878854901529849	0.0004615194338839501	0.00014745934458915144	0.00024949232465587556	0.0002940854465123266	0.0005990577628836036	0.0004438511678017676	0.00013497215695679188	7.078659837134182e-05	0.00023553353094030172
ABHD2	0.00029295345302671194	0.00017268583178520203	0.00029364516376517713	0.0001720599684631452	8.54899117257446e-05	0.0002202764298999682	9.359954128740355e-05	8.055466605583206e-05	9.054374822881073e-05	0.0003306182043161243	4.486854959395714e-05	0.00014622027811128646	0.0024952604435384274	0.00023140596749726683	0.0001752912503434345	9.495337872067466e-05	0.00017289324023295194	0.0001308009377680719
ABI3	4.930830641569628e-07	0.0006420938880182803	3.5869395560439443e-06	0.0019127718405798078	6.606184683732863e-07	7.561403663203237e-07	0.0004612412885762751	4.710283610620536e-05	0.0001770029921317473	0.0004527574928943068	0.00038864975795149803	0.00020560894336085767	7.713641991813347e-08	7.13087065378204e-05	0.0002825245610438287	6.305031092779245e-06	1.0830773135239724e-05	2.5604510938137537e-06
ABI3BP	6.054664254406816e-07	7.413701155201124e-07	1.155205609393306e-06	4.774737476509472e-07	1.9734825400519185e-06	0.00045510209747590125	4.438047653820831e-06	5.554380209105148e-07	9.392415813636035e-05	3.202105062882765e-06	5.484232588059967e-07	3.037797000615683e-07	1.0176810292250593e-06	1.969026925507933e-05	9.236871960638382e-07	5.876415889360942e-05	0.00014199376164469868	0.001990778837352991
ABLIM1	9.502989269094542e-05	1.5372540929092793e-06	5.134289949637605e-06	0.00039376693894155324	4.37293829236296e-06	5.1453072956064716e-05	0.0006410240894183517	1.8443710359861143e-05	0.000832250458188355	0.0007684959564357996	0.0003631555591709912	0.0008133879164233804	3.112990452791564e-05	0.0006790951592847705	0.00013564214168582112	2.1225263481028378e-05	1.6107065675896592e-05	0.00046542633208446205
ABLIM3	6.416815722332103e-06	4.703236118075438e-05	3.0468595468846615e-07	5.638306674882188e-07	5.193048195906158e-07	1.4609549907618202e-05	0.00035706430207937956	1.423083858753671e-06	0.003373614279553294	6.6835486904892605e-06	6.56505392271356e-07	2.394165790065017e-07	3.0125873308861628e-05	3.3065136904042447e-06	8.898825853975723e-07	1.4739671314600855e-05	1.2295762644498609e-05	0.00016939207853283733
AC004791.2	2.281800348669094e-08	4.822618748789864e-08	0.0034824064932763577	5.1575835158246264e-08	5.3977281311290426e-08	3.3406749366804434e-08	1.2852359759563114e-05	5.5329685721972055e-08	3.3211631489393767e-07	2.4586526592429436e-07	3.757373576718237e-07	2.118502706593972e-08	5.809003056356232e-09	1.5332008160839905e-06	5.182774032164161e-08	7.089074927080219e-08	1.1235237451501234e-07	1.4975945816786407e-07
AC013461.1	7.761121378280222e-05	0.00021674200252164155	2.667355329322163e-05	5.8994555729441345e-05	0.00019623377011157572	0.0002889038296416402	0.0001142202818300575	8.779319614404812e-05	0.0004318790161050856	4.044701927341521e-05	0.00011275336873950437	2.499606489436701e-05	4.5813601900590584e-05	0.00011293764691799879	4.86426979477983e-05	0.0018143396591767669	0.00023914477787911892	0.0005759632913395762
AC017002.1	4.0532025735728894e-08	6.3436009440920316e-06	5.475487228068232e-07	5.47708295925986e-05	1.557882143288225e-07	1.460346993553685e-05	2.7230453270021826e-05	4.8813321882335e-06	6.764777822354517e-07	9.583213795849588e-07	1.9773376607190585e-06	2.0507013687165454e-06	1.0673605110866902e-08	2.120267254213104e-06	0.0012650771532207727	3.551393774614553e-06	6.251864397199824e-05	3.6994372294429922e-06
AC020571.3	6.02745217292977e-07	5.163739729141525e-07	0.002576894126832485	0.00019225630967412144	3.880783879139926e-06	1.5577777958242223e-05	1.431121177120076e-06	1.9876774786098395e-06	1.5228025631586206e-06	6.640722131123766e-05	1.4804732018092182e-06	0.0008255678112618625	0.00037130925920791924	0.0008063413552008569	0.0001473374431952834	3.037504939129576e-06	0.00011868263391079381	6.825397576903924e-06
AC079767.4	2.3269987536878034e-07	0.00011687799269566312	2.2057186299662135e-07	1.3546817001497402e-07	1.2192481335659977e-07	1.7679315078567015e-07	9.564064384903759e-08	4.921275831293315e-07	6.515843438137381e-07	4.825903374694462e-07	0.0019337785197421908	7.23336199826008e-08	7.472023000332229e-09	5.695088702850626e-07	5.9340120373008176e-08	1.0368128045001868e-07	2.0049495219609526e-07	4.4544049160322174e-07
AC092580.4	2.2829101453680778e-07	2.7947061198574374e-07	1.7077253460229258e-06	0.002153885317966342	2.3501853263496741e-07	2.377643966156029e-07	1.344646420875506e-07	1.2482231795729604e-05	7.542005846516986e-07	4.070459908689372e-05	6.806226338085253e-07	8.833118045004085e-05	1.0979938025457159e-07	9.789597243070602e-06	0.000221022724872455	2.1244125036901096e-07	7.763907206026488e-07	4.822819619221264e-07
AC093642.3	0.005304675083607435	2.667738385753182e-07	8.469673673516809e-08	4.1541529327560056e-08	2.841400359443469e-08	4.1719176806509495e-06	3.4583248265107613e-08	6.476553971879184e-05	3.31134106090758e-06	2.075825733527381e-07	1.5258159692166373e-05	9.447738557355478e-05	5.337622788204044e-09	0.0035385077353566885	1.758809230523184e-05	3.323855537473719e-07	9.83962209488709e-08	1.1971069113769772e-07
AC093818.1	4.336401161708636e-06	6.144858343759552e-05	0.0001275904505746439	0.0002777125046122819	2.1120709789101966e-05	3.645179731393e-06	0.00016328391211573035	0.0008832545718178153	5.2747695008292794e-05	7.913104491308331e-05	0.00013863366621080786	0.00018781710241455585	1.1702813935698941e-06	0.00016735741519369185	0.0003843087761197239	1.5244287396853906e-06	0.00012720921949949116	3.417666448513046e-06
AC104699.1	3.033190054679835e-08	1.0106641639140435e-06	1.3711020301343524e-06	1.7269215391024773e-07	4.0787330846114855e-08	1.1493116147676119e-07	1.0537772965335535e-07	0.0011150126811116934	4.0425260294796317e-07	3.7935592445137445e-07	0.0011088709579780698	5.0823317110371136e-08	9.516432974976397e-09	4.672928355375916e-07	1.2339269517269713e-07	9.295860081692808e-08	2.4682509547346854e-07	3.163376334214263e-07
AC133644.2	1.0373420167297809e-07	3.26802946801763e-05	9.478290849074256e-06	0.00021550011297222227	3.739892804333067e-07	1.057863119058311e-05	3.26395602314733e-05	1.4102095519774593e-05	1.5901313190624933e-06	3.234230007365113e-06	2.1196872239670483e-06	1.4204651961335912e-05	5.6807401449532335e-08	1.1825029105239082e-05	0.0022318849805742502	3.7452555261552334e-05	0.00015022329171188176	2.0055260847584577e-06
