Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19
A2M	6.012389803800033e-06	3.3263863770116586e-06	4.705567334895022e-06	5.8902073760691565e-06	0.00016229010361712426	0.0005686279037036002	0.000113383233838249	3.439955889916746e-06	0.0002992548979818821	2.0645438780775294e-05	0.0012113098055124283	5.9050667005067226e-06	0.0003304384008515626	8.130612695822492e-05	1.530454210296739e-05	0.0017871545860543847	3.5825064514938276e-06	0.001471076742745936	3.449948508205125e-06
A4GALT	5.8142986745224334e-06	1.3265324014355429e-05	5.070481165603269e-06	1.1438470210123342e-05	6.577755266334862e-05	0.0006157188327051699	0.00034289711038582027	2.1732614641223336e-06	8.581093425164e-06	3.0576000426663086e-05	0.000607237801887095	1.2934381175000453e-06	0.0004951833398081362	0.00036060845013707876	1.0522697266424075e-05	0.0007720476132817566	3.321882468299009e-05	0.0006981823244132102	2.363258772675181e-06
AADACL2-AS1	2.215001728700372e-07	1.1284451773008186e-07	1.2153383011082042e-07	7.285797209988232e-08	7.417445885948837e-06	1.0087503142131027e-05	4.396237272885628e-05	3.4019524264294887e-07	4.452098067986299e-08	1.544591015090191e-07	0.00015927855565678328	4.8035495581189025e-08	0.0018552850233390927	0.0002678118762560189	1.7041076034729485e-06	2.9418168878692086e-07	6.399279186553031e-07	1.2252236274434836e-06	1.5276144438303163e-07
AAK1	0.0009284833213314414	0.0006256103515625	0.000479813723359257	9.942789620254189e-05	0.00010549109720159322	0.00019165156118106097	0.00010165866842726246	7.342276512645185e-05	0.00022489910770673305	2.6924719350063242e-05	0.00012791648623533547	0.0009858818957582116	0.00012178767792647704	0.00037188755231909454	3.7750993215013295e-05	0.0001695709943305701	4.315987553127343e-06	0.00012532112305052578	0.00031588764977641404
AARD	7.648311111552175e-06	6.180743639561115e-06	2.7060607408202486e-06	0.0014960719272494316	4.503027867031051e-06	3.297913053756929e-07	1.6225930039581726e-06	4.411017016536789e-06	3.3183723644469865e-06	0.0007623335113748908	1.0562303742744916e-07	5.053619815953425e-07	1.6472580455229036e-07	4.377003733679885e-06	2.5838724468485452e-05	3.065741438490477e-08	6.738861202393309e-07	2.8807622243220976e-07	8.367909920536931e-09
ABCA1	3.8903937820577994e-05	1.6559471987420693e-05	4.973489012627397e-06	1.1979691407759674e-05	9.395233064424247e-05	0.00022756183170713484	0.00014825670223217458	2.371013215451967e-05	0.0009780899854376912	3.076462962781079e-05	0.00019834673730656505	3.539409226505086e-05	0.0006932694232091308	0.0004765051999129355	0.0007650496554560959	0.00017784390365704894	0.00011641201126622036	0.00012003396113868803	0.0002537716063670814
ABCA6	5.79183677018591e-07	2.1484267165305937e-07	3.41165304007518e-07	4.0983942994898825e-07	5.651323590427637e-05	1.0636755177984014e-05	2.8873349947389215e-05	3.562951405911008e-06	2.0576322640408762e-05	1.425038504976328e-07	7.870857371017337e-05	6.934421321602713e-07	0.002713193651288748	0.000248141324846074	3.7958934626658447e-06	3.887469119945308e-06	2.5979868951253593e-05	2.5214756078639766e-06	9.239837709174026e-06
ABCA8	6.699644359287049e-07	1.656654973203331e-07	2.5889639232445916e-07	1.0029587116378025e-07	1.1406919838918839e-05	3.2014245334721636e-06	8.45513932290487e-06	1.2817018841815297e-06	1.8776853494273382e-07	1.0195127941869941e-07	0.00013365349150262773	4.0917237242865667e-07	0.002509864280000329	2.6103189156856388e-05	4.532018010650063e-06	4.127966235500935e-07	1.8122563005817938e-07	3.365274778843741e-06	4.686234547079948e-07
ABCB1	0.0017556153470650315	2.8998538255109452e-05	0.00020534633949864656	8.005011409295548e-07	7.724696479272097e-05	1.2971747764822794e-06	6.072777978261001e-07	5.665104708896251e-06	1.3497228792402893e-06	2.474414486641763e-07	4.524824248619552e-07	0.00010081539949169382	1.191849719361926e-06	3.994218786829151e-07	4.358252772362903e-05	0.0005564579623751342	0.00012325980060268193	8.866672578733414e-05	2.6831190780285397e-07
ABCC1	0.0004515605396591127	0.0005231127724982798	0.00044129849993623793	5.4740754421800375e-05	0.00010138256038771942	0.00020445798872970045	3.5266904887976125e-05	8.079192775767297e-05	0.00014948647003620863	1.0160819329030346e-05	2.363458952459041e-05	0.0004355063138063997	9.723922266857699e-05	0.0002055127697531134	0.0010430108522996306	0.0001600513787707314	0.00021770199236925691	3.323484634165652e-05	0.00012389109178911895
ABCC3	5.847980446560541e-07	4.0612042084831046e-07	4.4539413579514076e-07	5.209239316172898e-05	2.2402542526833713e-05	6.0813341406174004e-05	2.0417257474036887e-05	4.941982183481741e-07	0.0007936606416478753	1.6564325051149353e-05	1.811408219509758e-05	1.305157582009997e-07	5.8840971178142354e-05	5.56865161343012e-05	4.811318649444729e-05	5.6288081395905465e-05	4.990488946532423e-07	0.0004306572081986815	7.467272371286526e-05
ABCC4	0.00012158581375842914	9.70608089119196e-05	0.0001220658014062792	1.4721248589921743e-05	0.00015199290646705776	0.0001379797322442755	4.614701174432412e-05	0.0002669969107955694	0.00015972473192960024	2.7615262752078706e-06	1.3306561413628515e-05	0.0001665888848947361	0.00010934400779660791	0.000294112745905295	0.0015454277163371444	0.00026336131850257516	0.0001347577926935628	2.805870826705359e-05	1.1639086551440414e-05
ABCC9	1.0799942629091674e-06	3.2793752779980423e-07	5.664030027219269e-07	2.9478005103555915e-07	1.1602371159824543e-05	6.014549217070453e-05	1.4463924344454426e-05	6.284555524871394e-07	1.7759523984750558e-07	8.061550715865451e-08	0.0023007800336927176	4.775934030476492e-07	6.479972944362089e-05	4.046893081977032e-05	1.083931692846818e-06	2.6957977183883486e-07	2.029203329811935e-07	5.507004971150309e-06	6.769937044737162e-06
ABCD4	0.0006399292615242302	0.00029123647254891694	0.00020626599143724889	5.1100043492624536e-05	0.00041419477201998234	4.8297315515810624e-05	5.54245816601906e-05	0.00011126832396257669	0.00015614945732522756	5.250278627499938e-05	0.00021522454335354269	0.0003037488495465368	0.00026488181902095675	0.0003369092883076519	9.016656986204907e-05	0.0006042434251867235	0.0002481678675394505	0.00022900145268067718	0.00038326886715367436
ABCG2	3.4547174436738715e-05	8.723362157070369e-07	4.602796707331436e-06	8.687258741701953e-06	2.630373819556553e-05	1.0237484275421593e-05	3.645011474873172e-06	1.3151506209396757e-05	3.9454782381653786e-05	6.922372222106787e-07	6.677769852103665e-05	3.253323939134134e-06	8.308723408845253e-06	2.2596494090976194e-05	1.1103462611572468e-06	0.0019260741537436843	1.2976354923921463e-07	3.2721738989494042e-06	2.6612144665705273e-07
ABHD12	0.00035105348797515035	0.00039399490924552083	0.0003364155418239534	0.0004696266259998083	0.00015734527551103383	0.00016947522817645222	0.00014045636635273695	0.00044829308171756566	0.0007329872460104525	0.00025228323647752404	0.00012025732576148584	0.00027778843650594354	0.00023537129163742065	0.00012881221482530236	0.0002945036976598203	0.0001304593461100012	0.00014508656749967486	0.0002605531772132963	0.0003395437088329345
ABHD2	0.00029004106181673706	0.0001681269204709679	0.00013436003064271063	0.00027480776770971715	0.00022897047165315598	0.00013210628821980208	0.0001262276346096769	4.627646558219567e-05	0.00017206542543135583	0.00031247519655153155	9.512503311270848e-05	0.00011943065328523517	0.0001403727219440043	0.00024689966812729836	0.00029699792503379285	8.886837167665362e-05	4.2005471186712384e-05	4.506267578108236e-05	0.004333953373134136
ABI3	0.001499337493441999	0.00046638352796435356	0.0015835780650377274	1.0017046406574082e-05	0.0001360588357783854	1.7947320884559304e-05	1.8796839640344842e-06	3.191870200680569e-05	0.0006330829346552491	2.2570044677650003e-07	6.38234632788226e-06	0.00023599612177349627	5.829517704114551e-07	1.4022681398273562e-06	8.253190912910213e-07	0.00043600346543826163	0.0003864624595735222	1.902518852148205e-05	9.443136264053464e-07
ABI3BP	1.3275166566018015e-06	3.126863816760306e-07	6.985919753788039e-07	1.0877140255161066e-07	1.9201392206014134e-05	7.107105921022594e-05	0.00038265259354375303	1.4065934692553128e-06	9.514267844679125e-07	5.650803700518736e-07	5.165646143723279e-05	3.7022348919890646e-07	0.0020898974034935236	0.00024232003488577902	1.2384149158606306e-05	8.048909876379184e-06	3.39189540454754e-07	6.146266241557896e-05	6.557848791999277e-06
ABLIM1	0.0006348832393996418	0.00019122059165965766	0.0002866513386834413	4.7988629376050085e-05	0.00012938522559124976	2.0768709873664193e-05	1.4022148207004648e-05	2.004491580009926e-05	2.0112638594582677e-06	2.3708231310592964e-05	1.2582864655996673e-05	0.0009361456613987684	0.0004271974612493068	4.042592627229169e-05	1.3207291885919403e-05	0.0006677723722532392	0.00036934702075086534	0.0002515144878998399	6.0020433011231944e-05
ABLIM3	7.678488600504352e-07	1.0185764267589548e-06	1.590037527421373e-06	1.755241464707069e-05	5.788917769677937e-05	3.244485560571775e-05	5.55193309992319e-06	5.47181684851239e-07	4.717242336482741e-05	7.452071713487385e-06	1.9156725102220662e-05	1.4450524759013206e-06	0.00019164063269272447	1.4825281141384039e-05	3.6410733628144953e-06	0.0006424056482501328	5.409779078036081e-07	2.2707361495122313e-05	5.025635255151428e-05
AC004791.2	9.668529088457944e-08	6.087937265419896e-08	6.934266139069223e-08	2.319987579824101e-08	4.471905413083732e-06	3.872731610954361e-07	1.0675827866180043e-07	1.5745735026939656e-07	7.334549536608392e-06	8.19594880852037e-09	8.351456415311986e-08	1.9367339731957145e-08	1.0212081491545177e-07	3.570005446817959e-08	0.003632273990660906	3.039721008235574e-08	1.2774064828136034e-07	3.586650905162969e-07	9.75227365529463e-09
AC013461.1	4.5526245230576023e-05	4.0677627112017944e-05	6.351985939545557e-05	0.000124487210996449	5.7989658671431243e-05	0.0005406979471445084	0.0002768310660030693	2.4301163648488e-05	0.00021164964709896594	7.182581612141803e-05	0.0019209195161238313	2.9329290555324405e-05	0.0005569792701862752	0.00027052752557210624	4.63465039501898e-05	0.00014179754361975938	0.00011750189878512174	0.0003507078217808157	4.476959293242544e-05
AC017002.1	1.493861145718256e-05	0.0011486229486763477	0.00010253979417029768	2.2780279778089607e-06	6.917481641721679e-06	0.00013476001913659275	1.4790134628128726e-05	1.1487927622511052e-06	8.747237188799772e-06	1.1856610804272805e-08	4.93755578645505e-06	1.3960022897663293e-06	6.395490800059633e-06	1.9111230358248577e-05	1.8388183775641664e-07	1.5852747310418636e-05	1.1515968481035088e-06	7.655961553609814e-07	6.354186155022035e-08
AC020571.3	2.8981277864659205e-05	9.425854659639299e-05	0.00038557269726879895	9.046350896824151e-06	1.0187277439399622e-05	0.00036436240770854056	8.136747965181712e-06	4.90383172291331e-07	2.971689809783129e-06	1.0080867468786892e-05	3.281566705481964e-06	0.00052570243133232	1.56061730649526e-06	2.6303992854082026e-05	0.0025337960105389357	2.654573449945019e-07	7.671555977140088e-07	1.7957117961486802e-06	0.0009356348891742527
AC079767.4	1.9408733464842953e-07	1.0054451848873214e-07	1.4427619987600337e-07	5.183657947327447e-08	5.927135589445243e-06	4.7280997250709333e-07	1.4710425944031158e-07	2.2797728149726026e-07	0.00011354958405718207	4.5433996120891607e-08	1.1817799361324433e-07	3.9562316089813976e-08	2.387777442436345e-07	2.1618063783535035e-07	1.1269379029954507e-07	1.5589640156576934e-07	0.0020041239913553	4.403090656524e-07	1.2556930606422156e-08
AC092580.4	0.0007856363081373274	0.0003027030033990741	0.0024414171930402517	4.7949365580279846e-06	1.5464505850104615e-05	1.2541034948299057e-06	3.0872814704707707e-07	3.4532195059000514e-06	6.069546998332953e-07	7.975980054197862e-08	5.833992418047274e-07	9.572709677740932e-05	2.502551410543674e-07	2.843667061824817e-07	2.7998467544421146e-07	8.018846386903533e-08	4.50808755658727e-07	1.3651489325638977e-06	1.5360107852302463e-07
AC093642.3	3.260677112848498e-05	5.0469414418330416e-05	5.973078742727012e-08	0.005095486994832754	3.059249593206914e-06	3.166578323998692e-07	1.1285098935331916e-06	1.5264778596701944e-07	5.501806754182326e-06	7.425381198800096e-09	9.028118341802838e-08	1.6216780807098985e-08	2.6835482458409388e-06	5.993025297357235e-06	0.00010091179137816653	1.6419691917235468e-07	2.483919342921581e-05	2.975886843614717e-07	8.858133782041477e-09
AC093818.1	0.00010207860759692267	0.0003008581406902522	0.00037677708314731717	2.0143374968029093e-06	6.520663009723648e-05	0.0001528508437331766	3.630286664701998e-05	0.003321174532175064	6.916704296600074e-05	6.541421043948503e-06	1.2414853927111835e-06	0.00020943618437740952	8.53377457588067e-07	1.2094939847884234e-05	4.327577698859386e-05	0.00014692188415210694	0.00010889606346609071	3.319404277135618e-05	2.160857548005879e-06
AC104699.1	2.2324464055145654e-07	1.6591633311691112e-07	2.542990671372536e-07	1.0066275279996262e-07	8.096250530797988e-05	5.378984155868238e-07	1.1660570464755438e-07	0.004033663310110569	1.435853505427076e-06	1.1661451360112096e-08	1.3253225006337743e-07	1.924912282902369e-07	2.7935453772443e-07	2.1777729841687687e-07	1.493958450282662e-07	4.729123403990343e-08	0.0009474348626099527	6.950293709451216e-07	1.4363000566675055e-08
AC133644.2	2.124634920619428e-05	0.001922181691043079	0.0004685247258748859	3.986413503298536e-06	2.1279976863297634e-05	0.00035450176801532507	2.2119300410849974e-05	1.7936898075276986e-05	3.715948696481064e-05	3.758696465183675e-08	3.334570283186622e-05	2.0545299776131287e-05	2.1919322534813546e-06	2.2106398319010623e-05	1.1420046348575852e-06	2.922816202044487e-05	1.2909943052363815e-06	2.217471092080814e-06	1.079974822459917e-06
AC233755.1	5.485694600793067e-07	1.3375640151025436e-07	7.653169973309559e-07	8.2321196259727e-07	7.669148544664495e-06	4.777163553626451e-07	7.237294141759776e-08	0.0021716593764722347	8.937095685723762e-08	9.980420045963001e-09	7.960130687933997e-08	1.5970061895131948e-06	5.115363137520035e-07	8.735997880648938e-07	1.1753600404063036e-07	4.46311823054657e-08	1.9673840142786503e-05	5.585083613368624e-07	1.2282098893479088e-08
AC245100.1	0.0007670058403164148	0.00043018287396989763	0.0004647305468097329	2.8986731194891036e-05	2.8281170671107247e-05	4.872270073974505e-05	7.93754225014709e-05	1.3554546058003325e-05	3.896547423209995e-05	2.382620732532814e-05	3.74138580809813e-05	0.00071912189014256	2.4558727091061883e-05	3.917081994586624e-05	9.451738878851756e-05	4.3793835402539116e-07	0.0004682551953010261	0.00018142812768928707	1.1933071618841495e-05
ACACB	7.264868327183649e-05	4.532540333457291e-05	3.44013751600869e-05	5.46640740139992e-06	0.00012598650937434286	9.370244697493035e-06	6.631604264839552e-06	3.633390588220209e-05	1.5989464372978546e-05	4.329445346229477e-06	0.00011719661415554583	9.100525494432077e-05	0.0002302565990248695	0.00027625414077192545	3.1325253075920045e-05	0.0004955342737957835	3.505976565065794e-05	3.5937311622546986e-05	0.00016738915292080492
ACAT2	0.00030636845622211695	0.0005059316754341125	0.0003590667329262942	0.0005399025394581258	7.210904004750773e-05	0.00010182730329688638	0.00010932720033451915	6.330465839710087e-05	0.00013225759903434664	0.0003100599569734186	0.0002073468640446663	0.000440957403043285	0.00014189806825015694	4.647386958822608e-05	0.0001961380912689492	5.714565122616477e-05	0.0002290497359354049	0.0006310496246442199	7.9092918895185e-05
ACE	3.4820438941096654e-06	3.952180577471154e-06	1.8265504877490457e-06	1.439908464817563e-05	8.911436452763155e-05	2.8164531613583677e-05	2.9064540285617113e-05	5.673643045156496e-06	0.00015061466547194868	1.6636076907161623e-05	7.914256457297597e-06	5.2953328122384846e-05	1.472304302296834e-05	0.0001785729400580749	9.07868889044039e-05	0.0012761496473103762	2.1365106306348025e-07	1.5138361050048843e-05	2.0136767489020713e-05
ACER3	0.0003691364254336804	0.0001788352819858119	0.00016283873992506415	0.00014035105414222926	9.594888979336247e-05	0.00011795656610047445	0.00012069530203007162	7.298195123439655e-05	0.0005070105544291437	6.931987445568666e-05	0.00025928078684955835	0.0001320515148108825	0.00020799602498300374	0.000159790477482602	0.0010136524215340614	0.0002374634495936334	0.00015832961071282625	7.01190292602405e-05	0.000131910084746778
ACKR1	4.213383704154694e-07	6.845442044323136e-07	2.7216981379751815e-07	5.814812809035175e-08	6.922438478795812e-05	1.2256108448127634e-06	3.860022275148367e-07	6.497783715531114e-07	1.7710921440539096e-07	1.4709816298363876e-07	7.419742473757651e-07	2.3000145574769704e-06	2.5812585136009147e-06	1.9078554203133535e-07	5.896363859392295e-07	0.0009196982136927545	2.671598167580669e-06	4.8069938202388585e-05	2.983791773658595e-07
ACOT7	0.00026834657182917	0.0004473053850233555	0.0005931201158091426	0.00040388377965427935	0.00014438263315241784	0.00012090416566934437	0.00017828871204983443	1.935187538038008e-05	0.00013096824113745242	2.3243761461344548e-05	4.923987580696121e-05	7.067961269058287e-05	2.3493781554861926e-05	4.8553021770203486e-05	0.0014266610378399491	0.00018105666094925255	3.0726823752047494e-05	0.0004439556796569377	3.813061312030186e-06
ACP5	0.00026988695026375353	0.0007650577463209629	0.0007391077815555036	0.0001398759486619383	8.454979979433119e-05	0.00039738902705721557	6.555113486683695e-06	8.47060073283501e-05	0.0009151235572062433	4.845079456572421e-05	4.359146623755805e-05	0.0001114813785534352	0.0003030349616892636	1.562713623570744e-05	0.00018300006922800094	2.0778909401997225e-06	0.0006153685972094536	3.707257565110922e-05	0.0003331629850436002
ACSL1	8.187031926354393e-05	0.00027339113876223564	0.000175528708496131	0.0005963647272437811	0.00012525319471023977	0.0001383752969559282	0.0001586681028129533	1.790109308785759e-05	0.0005518546095117927	0.00010823760385392234	0.00011374583118595183	6.563274655491114e-05	0.0001162474654847756	0.000235534185776487	1.5570771211059764e-05	5.5893786338856444e-05	0.00013012619456276298	2.4763210603850894e-05	0.0003422811278142035
ACSL3	0.00024561735335737467	0.0002133124362444505	0.00011662588076433167	0.0004787470097653568	0.00013465230586007237	0.00026669088401831686	0.0001294285902986303	0.00010981089144479483	0.00023117763339541852	0.0004095905751455575	0.00015345688734669238	0.0002441594551783055	0.00028956038295291364	0.00026821246137842536	0.00023071350005920976	0.00020681682508438826	0.00020222965395078063	7.094664761098102e-05	0.002638955367729068
ACSL4	0.0001634477957850322	0.0005183876492083073	0.0005151577643118799	3.520930840750225e-05	7.369567174464464e-05	0.0001260984718101099	0.0001444224762963131	0.00015625223750248551	0.00041689255158416927	1.1360836651874706e-05	0.00015168898971751332	0.00013072194997221231	0.00019509090634528548	0.0002475920191500336	0.0021601305343210697	0.00022110687859822065	0.00014036994252819568	0.0003760818799491972	1.0437170203658752e-06
ACTA2	2.3452761524822563e-05	4.527608325588517e-05	3.423483940423466e-05	2.887219352487591e-06	1.5163490388658829e-05	3.663993993541226e-05	0.0004590913886204362	7.058603841869626e-06	4.4176081246405374e-06	3.344897777424194e-06	0.0021846620365977287	1.2428594345692545e-05	6.892769306432456e-05	0.000458010210422799	1.8380607798462734e-05	9.855349389908952e-07	2.9162174541852437e-06	0.0037758119869977236	1.385333462167182e-06
ACTB	0.0017026499845087528	0.002429413143545389	0.0030837187077850103	0.0006245113909244537	0.00034535530721768737	0.000426086422521621	0.0009385617449879646	0.00015466306649614125	0.0015469647478312254	0.0003692003956530243	0.0007766595226712525	0.001627769903279841	0.0002920796978287399	0.0005247218068689108	0.0004350827948655933	0.00035892543382942677	0.001309865154325962	0.0015619003679603338	6.844371819170192e-05
