Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20
A2M	4.724577138404129e-06	0.00017937282973434776	0.002101073507219553	2.747560756688472e-06	0.001329271006397903	5.8470541262067854e-06	2.97198275802657e-05	2.189596307289321e-05	1.8795546566252597e-05	2.1283556634443812e-05	0.0012457775883376598	0.0003241684171371162	4.408218046592083e-06	0.0001599824317963794	4.314455964049557e-06	0.0001344358315691352	4.944473857904086e-06	0.00015946071653161198	3.880581061821431e-05	3.907849077222636e-06
A4GALT	5.371280713006854e-05	0.0003885553451254964	0.0007177569204941392	4.596121925715124e-06	0.000863781722728163	1.801356916075747e-06	1.2948894436703995e-05	4.965032530890312e-06	3.1696046789875254e-05	2.2559502212970983e-06	0.0006461577722802758	1.0901037967414595e-05	3.1162348932411987e-06	4.1103659896180034e-05	3.6552406527334824e-05	0.0004286400508135557	7.2798484325176105e-06	8.33513549878262e-05	4.7041023208294064e-05	1.1741833532141754e-06
AADACL2-AS1	2.9575551252492005e-07	0.0003804660227615386	6.848289899608062e-07	1.110542697801975e-07	5.513571181836596e-07	1.2392973758323933e-07	2.1208057887633913e-07	6.149988962533826e-07	1.0353088697456769e-07	2.407404338100605e-07	0.00017110430053435266	7.965142856392049e-08	5.515546490642009e-07	9.353740097139962e-06	5.776853981842578e-07	0.000898025231435895	6.281615583247913e-08	4.672778595704585e-05	6.068826678529149e-06	6.88186290176418e-08
AAK1	0.0003096696746069938	0.00029998880927450955	0.00015444155724253505	0.0005941588897258043	0.00018893409287557006	0.0007134799961932003	0.00014543713768944144	0.0025635689962655306	5.19146014994476e-05	8.895964856492355e-05	0.00012462104496080428	0.00024185661459341645	6.912919343449175e-05	0.00020821542420890182	5.094035259389784e-06	0.00010562974057393149	0.00019476802845019847	0.0001727037160890177	0.000142779215821065	0.000814070284832269
AARD	6.242432846192969e-06	2.7356849230386615e-08	2.8245763132872526e-06	6.059498446120415e-06	2.151896865143499e-07	2.5675342385511613e-06	2.6739582608570345e-05	1.1794043786039765e-07	0.0009821915300562978	2.0580298496497562e-06	5.85533221908463e-08	4.763256129081128e-06	9.959076123777777e-06	1.0626940820657182e-06	7.45427144011046e-07	6.681671607111639e-07	0.00026634629466570914	4.0509343079975224e-07	2.462748625475797e-06	2.5782144348340807e-06
ABCA1	3.428108902880922e-05	0.00045637396397069097	0.0002488046884536743	6.626470167248044e-06	9.195321035804227e-05	1.0898402251768857e-05	3.5787809338216903e-06	0.00014759332407265902	1.2484735634643584e-05	2.5215857021976262e-05	0.00019588571740314364	0.0011079426622018218	2.2287209503701888e-05	0.00016419279563706368	0.0001298125134781003	0.00046241743257269263	0.0002733927685767412	0.0001787538203643635	0.0001438592153135687	2.6272053219145164e-05
ABCA6	5.12893564064143e-07	0.000346951448591426	7.839478712412529e-06	2.4302028123202035e-07	2.7723410767066525e-06	3.4275871030331473e-07	2.3571328711113892e-07	1.0202252269664314e-05	1.9807718842912436e-07	0.00010100674262503162	0.00010676521196728572	1.2558638445625547e-05	6.366174147842685e-06	1.1746567906811833e-05	2.3951826733537018e-05	0.001443563844077289	3.322841394037823e-06	0.00030835295910947025	8.363752385776024e-06	5.570694838752388e-07
ABCA8	4.130779984734545e-07	6.404121086234227e-05	7.736056772955635e-07	2.1690881624181202e-07	4.7606133080080326e-07	2.409461785646272e-07	3.290711561021453e-07	3.3776036616472993e-06	7.635942722572509e-08	6.480462957370037e-07	0.000164178796694614	2.3134356297305203e-07	2.130141183442902e-06	8.034122402023058e-06	1.8865982553961658e-07	0.0015173309948295355	5.469195798468718e-07	2.4118793589877896e-05	9.211587894242257e-06	4.266845223810378e-07
ABCB1	1.9079541289102053e-06	1.8301565205547377e-06	0.0004022056527901441	0.0003237630589865148	0.0007454773876816034	0.0005943570868112147	4.958731551596429e-06	0.0005108180339448154	2.4247975716207293e-07	6.0193542594788596e-05	2.1576245217147516e-06	1.6232996813414502e-06	6.042491349944612e-06	0.00013421071344055235	0.00012491016241256148	8.257082981799613e-07	4.973291652277112e-06	8.018317021196708e-05	2.8612186724785715e-05	9.497481369180605e-05
ABCC1	0.0004005232476629317	0.00018122185429092497	0.0001765348279150203	0.000526999298017472	0.0001294921530643478	0.00030773438629694283	3.4678807423915714e-05	0.0016670945333316922	1.1584446838242002e-05	0.00022720391280017793	2.9190059649408795e-05	0.00014503560669254512	8.035430073505268e-05	0.0002553194935899228	0.00020864384714514017	6.364051660057157e-05	0.0001732032687868923	8.956417150329798e-05	9.557979501551017e-05	0.00029653043020516634
ABCC3	5.787803161183547e-07	4.157473085797392e-05	2.0732240955112502e-05	6.223176569619682e-07	0.00011213384277652949	4.2341778794252605e-07	5.930005954724038e-06	1.0762267947939108e-06	1.2000862625427544e-05	7.365217243204825e-06	2.646454049681779e-05	0.0008792664739303291	1.3918781405664049e-05	2.0913465050398372e-05	2.3992531623662217e-06	5.0173188355984166e-05	9.845419117482379e-05	3.982755515608005e-05	1.0015880434366409e-05	1.5188609836513933e-07
ABCC4	6.435737304855138e-05	0.0002603944158181548	0.00024970146478153765	0.00015012978110462427	0.000250230630626902	8.313153375638649e-05	6.243299594643759e-06	0.00031577874324284494	1.136516857513925e-06	0.0006089320522733033	1.4550800187862478e-05	0.0001179073442472145	0.0002660109312273562	6.39790523564443e-05	0.00012931656965520233	6.61199665046297e-05	0.00011433006875449792	0.00014516818919219077	0.0003540650359354913	0.00015689837164245546
ABCC9	7.094926104400656e-07	4.083658859599382e-05	6.653970558545552e-06	3.178797669534106e-07	5.306691264195251e-07	6.748192049599311e-07	2.876527958051156e-07	5.4458291742776055e-06	3.0707164455634484e-07	6.672871677437797e-07	0.0020352948922663927	2.864621535536571e-07	1.33997127704788e-06	4.536059350357391e-06	1.7721811218507355e-07	3.299174568383023e-05	3.1482813938055187e-06	8.350137250090484e-06	9.33078263187781e-06	6.085852533033176e-07
ABCD4	0.00024480564752593637	0.0003019672294612974	0.0003309122403152287	0.00024228265101555735	0.0009837663965299726	0.000372964859707281	6.497938738903031e-05	0.0010924674570560455	4.6145865780999884e-05	0.00018734720651991665	0.00019416915893089026	0.0001483397209085524	0.00011189284850843251	0.0003923307522200048	0.0002518440887797624	0.00016304253949783742	0.00030313461320474744	0.00018557647126726806	0.00027601904002949595	0.0002229188830824569
ABCG2	1.5141657740969094e-06	1.865887679741718e-05	0.0015039150603115559	4.493468168220716e-06	0.0024322846438735723	1.0229451618215535e-05	2.4703664166736417e-05	3.5554810892790556e-05	5.681112611455319e-07	1.3954332871435327e-06	6.053116521798074e-05	4.197884845780209e-05	1.4472992006631102e-05	1.8571965938463109e-06	1.2085621392543544e-07	6.101577582739992e-06	2.472488915827853e-07	1.5102567658686894e-06	1.0908880540227983e-05	2.310326408405672e-06
ABHD12	0.0005444188136607409	0.00012772467744071037	0.00011985524906776845	0.0002874016936402768	0.000147917220601812	0.0003203200176358223	0.0003217739867977798	0.0005988393677398562	0.00032025735708884895	0.0001790406822692603	0.0001291393709834665	0.0007898617768660188	0.00045839836820960045	0.00023337261518463492	0.00015712383901700377	0.00018147840455640107	0.00031676588696427643	0.00029986389563418925	0.00011591386282816529	0.0002204575575888157
