Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21
A2M	3.472521029834752e-06	3.808308065345045e-06	0.00033149763476103544	7.230517439893447e-06	7.659800758119673e-06	0.0010117257479578257	3.276504003224545e-06	0.0012113518314436078	2.5065597583306953e-05	0.0019329955102875829	7.382752664852887e-05	5.767242328147404e-06	0.00030076547409407794	4.920948049402796e-05	0.0014334500301629305	9.607610991224647e-06	1.278356558032101e-05	3.0223975045373663e-05	3.969380850321613e-05	4.2349133764219005e-06	0.0006728674052283168
A4GALT	3.169718183926307e-05	1.5074765542522073e-06	0.0005065319128334522	8.345433343492914e-06	3.0253036129579414e-06	0.0005108693731017411	1.6368219803553075e-05	0.0006400365964509547	5.958655310678296e-05	0.0005950999911874533	0.0001278565323445946	2.633374833749258e-06	5.4475472097692546e-06	0.0003546205989550799	0.0010246544843539596	2.5603438189136796e-05	2.7523312382982112e-05	7.14884572516894e-06	9.056439739651978e-05	3.7224674542812863e-06	0.00033686208189465106
AADACL2-AS1	2.0188406324450625e-07	5.935876501439452e-08	0.001961518544703722	1.5677339888497954e-06	7.146817182501763e-08	3.9160777305369265e-06	9.706356962624341e-08	0.00017194700194522738	8.662200343678705e-06	1.2077423150458344e-07	3.8357917219400406e-05	4.958077397532179e-07	6.513822370379785e-08	0.00015769766469020396	3.403468156193412e-07	1.661385198303833e-07	1.3443124657896988e-07	1.0484413905942347e-06	2.7957636120845564e-05	8.789592698121851e-08	9.032650268636644e-06
AAK1	5.317730028764345e-05	0.0007733179372735322	0.00011658041330520064	4.0265917050419375e-05	0.001030622748658061	9.870342182694003e-05	0.0006054060067981482	0.00014293214189819992	0.000186213364941068	0.00018641732458490878	0.00010377805301686749	6.738673255313188e-05	0.0002215266285929829	0.0002901021216530353	0.0001555396884214133	2.5660963729023933e-05	6.988344102865085e-05	0.0008515723748132586	0.00010893705621128902	0.0002868436276912689	0.00014109371113590896
AARD	1.064788762050739e-06	2.573802930783131e-06	8.005419260825875e-08	2.2353995518642478e-05	2.354741646115599e-08	5.510718438017648e-06	3.690059656946687e-06	1.17439569180533e-07	3.4642907849047333e-06	4.9274967750534415e-06	6.3862912611512e-06	8.74086435942445e-06	2.594418901935569e-06	3.683929890030413e-06	6.381866910487588e-07	0.001049123820848763	0.0011133461957797408	2.709858506477758e-07	3.093696250289213e-06	1.6272742868750356e-05	1.3291884215504979e-06
ABCA1	0.00010284576273988932	4.2238502828695346e-06	0.0007246265886351466	0.000748907623346895	5.92399483139161e-05	0.00013453143765218556	1.6248573956545442e-05	0.00020710041280835867	5.107402830617502e-05	0.00021422553982120007	7.822393672540784e-05	3.191503128618933e-05	0.000986448721960187	0.00037519496981985867	0.00011474449274828658	2.3087466615834273e-05	4.125396571907913e-06	0.0001389069511787966	5.0603222916834056e-05	0.00022560430807061493	0.0001696669787634164
ABCA6	2.091349961119704e-05	2.488160077973589e-07	0.002764254342764616	1.8781254311761586e-06	1.8949718878502608e-06	5.936390152783133e-06	2.3214931843540398e-07	0.00010588941950118169	2.160450276278425e-05	2.5530234779580496e-06	0.00013229300384409726	3.2291450224875007e-06	2.226003743999172e-05	0.00015368670574389398	3.136152827210026e-06	1.400397422912647e-06	5.187299620956765e-07	1.9197211713617435e-06	8.026068098843098e-05	2.6583952603687067e-06	5.153015081305057e-06
ABCA8	1.9010715845979576e-07	1.765412775966979e-07	0.002414779271930456	1.96382370631909e-06	9.587856766302139e-07	2.6349243853474036e-05	2.1517273296467465e-07	0.00014484154235105962	1.4857831956760492e-05	2.5027040351233154e-07	0.0001969792356248945	9.964185210264986e-07	1.8025815506916842e-07	1.4325269148685038e-05	4.6917398321966175e-07	1.6191775387142116e-07	2.132132408405596e-07	1.0665651188901393e-06	4.788554724655114e-05	1.3629397699332912e-07	4.589986474456964e-06
ABCB1	0.00014456766075454652	0.0003461047599557787	1.8946346926895785e-06	3.2950625609373674e-05	7.832859409973025e-05	3.6219789762981236e-05	0.00013539355131797493	3.861431991936115e-07	5.559434066526592e-05	0.00044884730596095324	2.1420928533189e-05	4.823290055355756e-06	4.181850101758755e-07	3.9591856193510466e-07	0.0006925620255060494	1.8716380623118312e-07	1.0185128758166684e-06	0.0022166718263179064	9.028112799569499e-06	2.2140889086585958e-06	1.679447677815915e-06
ABCC1	0.00022406299831345677	0.0002871138567570597	0.00011036400974262506	0.001021703239530325	0.0005315715679898858	5.640650124405511e-05	0.0007599141099490225	3.690044104587287e-05	0.00014753456343896687	0.00019784939649980515	0.00013954174937680364	0.00010395962453912944	0.00014637666754424572	0.00015286938287317753	9.648226841818541e-05	9.040695658768527e-06	4.127491047256626e-05	0.0001489037531428039	9.196681639878079e-05	0.00011105700832558796	8.965547749539837e-05
ABCC3	9.412103736394783e-07	2.1835177221873892e-07	5.336584581527859e-05	2.837674628608511e-06	1.6714973583020765e-07	0.00047304912004619837	1.1479245358714252e-06	9.106512152357027e-06	1.3086617400404066e-05	4.286934927222319e-05	2.5066927264560945e-05	3.462508539087139e-05	0.0007986515993252397	2.724067962844856e-05	7.486703543690965e-05	5.2872424021188635e-06	1.6764479369157925e-05	1.004840441964916e-06	4.3810396164190024e-05	9.350444452138618e-05	9.546399087412283e-05
ABCC4	0.00014025013661012053	0.00010681888670660555	0.00011163509043399245	0.0015022092266008258	0.00020862730161752552	1.2062072528351564e-05	0.00010234028741251677	2.125260107277427e-05	0.000136529459268786	0.0002958116529043764	0.00015202455688267946	0.0002582469314802438	0.00015903626626823097	0.00022887904196977615	0.00020518945530056953	1.479035745433066e-06	1.0867433047678787e-05	3.394142186152749e-05	0.00019214798521716148	1.5887415429460816e-05	3.545723666320555e-05
ABCC9	1.7716381250920676e-07	6.706350745844247e-07	4.977109711035155e-05	3.385919740139798e-07	4.5753560584671504e-07	2.9357408493524417e-05	3.6522865798360726e-07	0.0022309350315481424	1.5474386600544676e-05	3.999996636139258e-07	5.3950454457663e-05	6.585673872905318e-07	1.3164174106350401e-07	2.334400051040575e-05	6.958692324587901e-07	4.413379031120712e-07	2.720358338592632e-07	4.431384695635643e-06	3.117469896096736e-05	3.5992898119729944e-06	5.8516161516308784e-06
