Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22
A2M	0.001464804750867188	1.6889700418687426e-05	4.366373104858212e-06	4.347146841610083e-06	2.7227472401136765e-06	1.1615370567596983e-06	1.4382058907358442e-05	2.6951777272188338e-06	0.0009334839996881783	0.00031554076122120023	1.915170741995098e-06	0.00042425605352036655	2.6415520551381633e-05	0.00022392852406483144	7.46622754377313e-05	0.00205805036239326	0.00015766877913847566	7.942147021822166e-06	0.0006233716267161071	3.5983505313197384e-06	0.00021452410146594048	0.00017026324348989874
A4GALT	0.0005186478956602514	2.1252296846796526e-06	6.111099992267555e-06	2.6073023491335334e-06	2.5793460736167617e-06	9.062549906957429e-06	1.5735073247924447e-05	3.1583795134793036e-06	0.0008664055494591594	0.00012297269131522626	3.422447480261326e-05	5.451582637761021e-06	2.4247565306723118e-05	0.00040727172745391726	0.0003746995353139937	0.0007454424048773944	1.8486816770746373e-05	2.5244160497095436e-05	0.0008228211663663387	2.4254115942312637e-06	0.0004108146531507373	0.00013417900481726974
AADACL2-AS1	0.00028366997139528394	2.0681979151504493e-07	1.333850434548367e-07	6.399660890110681e-08	7.22366877425884e-08	2.412532396078859e-08	1.5440613765349553e-07	1.2967292661869578e-07	1.1410340448492207e-05	2.102253120028763e-06	4.507938626829855e-07	1.4824111360667303e-07	1.2221320503158495e-05	0.0017510943580418825	0.0003111776022706181	1.8828063730325084e-07	1.698564915386669e-07	3.693794781156612e-07	2.975703807805985e-07	4.5033837636765384e-07	1.5379713659058325e-05	3.752820987301675e-07
AAK1	0.0001769697410054505	0.0021769956219941378	0.00020814054005313665	0.0007011562120169401	0.0005251081311143935	4.679472476709634e-05	0.000237594562349841	1.604761928319931e-05	6.036612103343941e-05	0.0005341278738342226	0.00045366803533397615	0.0002431173634249717	0.0002194093685830012	0.0001213055948028341	0.00030701045761816204	0.0001809526002034545	0.00021435247617773712	1.3590532034868374e-05	0.00013887630484532565	7.092779560480267e-05	0.00011237409489694983	4.784469638252631e-05
AARD	7.855487638153136e-08	1.2848558128553123e-07	2.7970414521405473e-05	1.6200644950004062e-06	3.846099843940465e-06	0.0006353456410579383	0.000577894039452076	2.304692770849215e-06	1.3092886774757062e-07	0.00017830106662586331	1.7407995756002492e-07	1.0855612799787195e-06	3.4304762266401667e-06	1.0002155192978535e-07	1.5565026387776015e-06	3.9520440253681954e-08	8.119477570289746e-06	3.5976420349470573e-06	1.516274181767585e-07	4.275784704077523e-06	7.5542889135249425e-06	0.001934106694534421
ABCA1	0.00027098399004898965	8.725986845092848e-05	3.4843715184251778e-06	6.835881777078612e-06	2.0651157683460042e-05	1.9313092707307078e-05	0.00026536331279203296	0.0002285403315909207	4.026660826639272e-05	0.0021344132255762815	2.7230877094552852e-05	0.0006665189284831285	0.00037756646634079516	0.0007164273993112147	0.00042711180867627263	0.00022312252258416265	0.0015836975071579218	0.0002722242788877338	1.3710719940718263e-05	2.051538285741117e-05	0.00012009421334369108	4.232717037666589e-05
ABCA6	0.000207771168788895	1.5325556432799203e-06	1.3057677961114678e-07	1.1791816234563157e-07	8.245346521107422e-07	1.9337244339112658e-07	4.340977284300607e-06	1.193480784422718e-05	2.771946856228169e-05	1.9726827304111794e-05	2.434306907161954e-06	4.8399237130070105e-05	2.643877814989537e-05	0.002648609457537532	0.00030799469095654786	3.347392066643806e-06	2.616780193420709e-06	2.3999420591280796e-05	1.0353942343499511e-06	5.536940989259165e-06	1.0395151548436843e-05	2.8560106102304417e-07
ABCA8	0.00021448481129482388	1.5618321640431532e-06	3.0082654234320216e-07	1.3179887048409e-07	2.0415920687355538e-07	5.3813050016060515e-08	5.665991125169967e-07	3.82771816020977e-07	0.00011951581109315157	5.5051400522643235e-06	2.553055651333125e-07	5.54473331249028e-07	1.9742279619094916e-05	0.002600157866254449	6.297550862655044e-05	2.7376535172152217e-07	5.878501951883663e-07	2.0282017487716075e-07	7.791339271534525e-07	9.726601319925976e-07	4.88354817207437e-06	4.1200433997801156e-07
ABCB1	5.250381036603358e-07	0.00011721299233613536	1.6627742297714576e-05	0.0004491744621191174	0.00020359053451102227	7.190796225131635e-08	2.713252115427167e-06	8.592280937591568e-05	7.5664011092158034e-06	6.696736090816557e-05	2.5975448807002977e-05	1.583930952619994e-06	0.00013521331129595637	1.4857751011732034e-06	1.8121617983979377e-07	0.0006020041764713824	1.3353027270568418e-06	3.338550595799461e-05	0.0003676222695503384	4.0575378079665825e-06	5.22620780429861e-07	2.1330943127395585e-06
ABCC1	5.150150536792353e-05	0.0006333785131573677	7.091995212249458e-05	0.00040248766890726984	0.0002295645681442693	1.0504343663342297e-05	0.00010579990339465439	0.000804331386461854	7.172539426392177e-06	0.0016433198470622301	0.0010421491460874677	0.00012562109623104334	0.0001533542963443324	9.36023352551274e-05	0.00017473344632890075	0.00019236613297834992	0.0001732718519633636	0.00015245407121255994	5.1666742365341634e-05	8.750946290092543e-05	5.1052975322818384e-05	4.411617192090489e-05
