Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23
A2M	8.380710642086342e-05	7.56525014367071e-06	6.2055905800662e-06	2.64785512626986e-06	0.0011712446575984359	0.001245082006789744	9.16373301151907e-06	5.084503300167853e-06	1.0931802535196766e-05	7.817531695764046e-06	3.488226138870232e-05	4.59019975096453e-05	4.732652996608522e-06	0.0019392891554161906	6.748490704922006e-05	0.00031415882403962314	5.8746827562572435e-06	0.00023595291713718325	9.740871064423118e-06	1.4167211702442728e-05	8.197365241358057e-05	0.00040519022149965167	4.212388375890441e-06
A4GALT	3.0296583645395003e-05	3.921751613233937e-06	4.808824087376706e-06	3.161302811349742e-05	0.0005441654939204454	0.000626992026809603	1.709177922748495e-05	1.333511931989051e-06	9.142665476247203e-06	2.620790155560826e-06	5.090928607387468e-05	3.4195232728961855e-05	1.0935691534541547e-06	0.0006763679557479918	5.2389987104106694e-05	6.077656507841311e-06	5.435422281152569e-07	0.0004241971473675221	1.800422978703864e-05	1.0336578270653263e-05	0.0003507749061100185	0.0016796184936538339	4.318352875998244e-05
AADACL2-AS1	3.4291622341697803e-06	3.526228908867779e-07	1.8657031830571214e-07	5.150207016413333e-07	5.684875759470742e-06	0.0002686214866116643	5.10699749156629e-08	1.322584211038702e-07	6.25809377652331e-08	3.0286159358183795e-07	1.4260267562349327e-05	9.36880587687483e-06	3.924404623489863e-08	3.436583142502059e-07	4.617340323420649e-07	7.099032472979161e-08	8.129023143510494e-08	0.0015164675423875451	7.74354020904866e-07	1.3924261565989582e-07	0.00024127827782649547	1.9404342310735956e-06	2.831891379173612e-07
AAK1	0.0002487388555891812	6.948466034373268e-05	0.00033534722751937807	9.115100510825869e-06	6.428542837966233e-05	0.00021669146372005343	0.0001603473792783916	0.0013186921132728457	3.676645064842887e-05	5.245337888482027e-05	0.00036107320920564234	0.00025569790159352124	0.0009154570288956165	0.00019531430734787136	3.756408113986254e-05	0.00022940413327887654	0.0008269399404525757	0.0001307871425524354	0.0005522958235815167	0.00018399697728455067	0.0003020546864718199	6.22500738245435e-05	0.00034831539960578084
AARD	1.470455686103378e-06	6.21868184680352e-06	2.289504209329607e-06	6.330162705125986e-07	1.3091907646867185e-07	6.854542107248562e-07	0.0008135941461659968	2.1068004230073711e-07	0.000251084245974198	2.20657057070639e-05	1.1475547125883168e-06	3.883944373228587e-06	1.9269798201548838e-08	2.770304519117417e-08	0.0005170357180759311	1.8662325373952626e-06	6.299138931353809e-06	8.103884283627849e-07	3.295482713383535e-07	6.9763691499247216e-06	2.2490093343208173e-08	1.5974320888290094e-07	2.287637016706867e-06
ABCA1	0.00045893844799138606	1.6440901163150556e-05	5.9781677919090725e-06	0.00011824006651295349	4.35753318015486e-05	0.0003102390910498798	0.00014584754535462707	2.1166883016121574e-05	3.2805932278279215e-05	0.0006195985479280353	0.00020221687736921012	6.785646110074595e-05	4.478173650568351e-05	0.00019843451445922256	1.6109323041746393e-05	0.001010061358101666	8.429827175859828e-06	0.0006591915735043585	0.00025454716524109244	1.1089991858170833e-06	0.0004172486951574683	4.346318019088358e-05	4.007148163509555e-05
ABCA6	1.3100104297336657e-05	4.102539151062956e-06	3.172903859649523e-07	1.502142367826309e-05	3.6490141610556748e-06	0.0002078747347695753	6.460333565883047e-07	6.073630061109725e-07	6.389753366420337e-07	2.7837166271638125e-05	1.5101845747267362e-05	1.7494119674665853e-05	1.3423336895357352e-06	3.409004193599685e-06	5.560173690355441e-07	2.3097893063095398e-05	3.5824831456920947e-07	0.0024089005310088396	1.2658415471378248e-06	2.0573233427967352e-07	0.0001912701118271798	6.377971203619381e-06	8.395011832362798e-07
ABCA8	8.535826964362059e-06	1.2211580724397209e-06	2.3525696235537907e-07	2.1332120070383098e-07	2.0360723283374682e-05	0.00018903329328168184	9.135322187603379e-08	2.9721101668656047e-07	2.039836743961132e-07	3.36277793167028e-07	1.0603664122754708e-05	2.5851744794636033e-05	5.297189886732667e-07	6.298590733422316e-07	2.284139668518037e-07	2.3344985322637513e-07	2.53614047096562e-07	0.002207978395745158	1.2724285625154153e-06	2.4097661821542715e-07	2.55072554864455e-05	2.970445848404779e-06	3.23732933793508e-07
ABCB1	3.3291758882114664e-05	2.7338069230609108e-06	0.0002883081033360213	0.00013788693468086421	4.314279794925824e-05	5.277287300486933e-07	1.821522346290294e-07	0.0002589947544038296	2.0411471268744208e-07	9.257036435883492e-05	2.743068034760654e-05	0.00011592624650802463	5.4009451559977606e-05	0.0005968555924482644	5.452604341371625e-07	2.696173169169924e-07	0.0005803438252769411	1.1313464938211837e-06	0.0015992161352187395	7.1585996010981034e-06	9.488118735134776e-08	0.00020048585429321975	6.745493010384962e-06
ABCC1	0.0001627401652513072	8.783220982877538e-05	0.0004531294107437134	0.0002102498838212341	1.0904955161095131e-05	7.489777635782957e-05	6.477970600826666e-05	0.0008466512081213295	2.254839455417823e-05	0.0009514869889244437	0.00014724937500432134	5.7896784710465e-05	0.00042362479143776	0.0001836340088630095	1.1866412933159154e-05	0.00014391104923561215	0.00030003866413608193	0.0001098934662877582	0.00014814971655141562	6.1024991737212986e-05	0.00016416196012869477	5.6863846111809835e-05	0.000498555600643158
