Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24
A2M	5.403133854997577e-06	7.925214049464557e-06	0.0010426510125398636	3.376974518687348e-06	1.930282451212406e-05	5.135414903634228e-05	9.030656656250358e-06	8.544730371795595e-05	0.00018250566790811718	3.8913593016332015e-05	0.0003960915491916239	0.000139916010084562	5.919079740124289e-06	4.666584572987631e-06	2.851035105777555e-06	6.689630390610546e-05	3.645535116447718e-06	2.1901284981140634e-06	0.0017910406459122896	3.065172859351151e-05	4.415702642290853e-05	0.0003094877756666392	0.0017590520437806845	3.2146344892680645e-05
A4GALT	1.3670411135535687e-05	2.821901261995663e-06	0.0007263240986503661	1.932234772539232e-05	6.224715889402432e-06	5.214492557570338e-05	7.423705483233789e-06	2.5873367121675983e-05	0.0004707924381364137	0.0003734409110620618	0.0005701772170141339	0.0015140732284635305	3.139406317131943e-06	2.779037822620012e-05	1.146112253991305e-06	0.00010539365757722408	4.1388924728380516e-05	2.598411583676352e-06	0.00027962803142145276	2.23566239583306e-05	0.00019822502508759499	9.520273124508094e-06	0.0007981991511769593	3.174488301738165e-05
AADACL2-AS1	5.177662387723103e-08	1.0941868140434963e-06	5.248452362138778e-05	1.0303285336021872e-07	3.6279095638747094e-07	8.2733528472545e-08	7.10644087575929e-07	1.0548512364039198e-05	0.0019448456587269902	5.363623131415807e-05	4.4369637180352584e-05	2.3738248273730278e-05	1.6959553761353163e-07	9.760992725205142e-07	2.5810232173739678e-08	2.1288426069077104e-05	6.790167503822886e-07	3.2959763984763413e-07	0.0005170321674086154	4.509982431954995e-07	9.21097889658995e-05	5.473365405350705e-08	1.2247069491877483e-07	1.3125952136761043e-05
AAK1	0.00013523887901101261	6.668265996268019e-05	9.097278962144628e-05	0.00034454301930963993	0.0025181996170431376	4.8290723498212174e-05	0.00036593276308849454	0.00035249441862106323	0.00013748049968853593	0.0002939065161626786	8.671676187077537e-05	0.0002602182503324002	6.483421748271212e-05	0.00014448066940531135	0.0009442925220355392	0.00018362326954957098	4.664582775149029e-06	5.609831350739114e-05	0.0003693891630973667	7.901604112703353e-05	0.00022472023556474596	0.00021961373568046838	0.00015886548499111086	0.0003124629729427397
AARD	0.0006305002607405186	4.748937953991117e-07	7.370147159235785e-08	7.507069312850945e-06	1.0701692332304447e-07	0.0010337767889723182	1.8586927552632915e-08	6.077719376662571e-07	1.9904814507754054e-06	2.6474348047145213e-08	1.4685501525946165e-07	4.575672392093111e-06	2.2808817448094487e-05	3.963678409490967e-06	4.72940473628114e-06	4.602828539645998e-06	5.4348664235703836e-08	2.329378958165762e-06	2.596860758785624e-05	1.915334905788768e-06	1.1576715053251974e-07	4.932710908178706e-06	2.5390274771552868e-08	7.243299478432164e-06
ABCA1	0.0001344610209343955	2.766632314887829e-05	8.688465459272265e-05	1.0523970559006557e-05	0.00012031294318148866	1.4926814401405863e-05	6.096971264923923e-05	0.0005220580496825278	0.0008108061156235635	0.0003451378725003451	0.00018438762344885617	5.8688823628472164e-05	0.000705622776877135	2.2154903490445577e-05	8.039210115384776e-06	6.339627725537866e-05	0.0001214637013617903	3.1919895263854414e-05	0.0006759375683031976	4.958885256201029e-06	9.226348629454151e-05	0.0009914758848026395	0.0001692396472208202	2.721249984460883e-05
ABCA6	1.1957813512708526e-06	2.326977210032055e-06	1.960710869752802e-05	1.324401495139682e-07	3.6583187466021627e-06	1.9749313651118428e-07	9.354943358630408e-06	1.6582116586505435e-05	0.0026561387348920107	4.9219539505429566e-05	2.8026173822581768e-05	4.6782886784058064e-05	7.053972694848198e-07	1.858373934737756e-06	2.657608888512186e-07	7.191968325059861e-05	1.0299235327693168e-05	4.706189065473154e-05	0.0005333716399036348	5.424768119155488e-07	5.2096926083322614e-05	2.5477333110757172e-05	5.749942033617117e-07	1.2949422853125725e-05
ABCA8	1.8530050738263526e-07	3.6624851418309845e-06	0.00017027028661686927	1.5195050195870863e-07	8.064245662353642e-07	6.225908322221585e-08	1.5051768968987744e-06	1.1652569810394198e-05	0.002264920622110367	2.7233591026742943e-06	1.0932176337519195e-05	0.00030911192880012095	8.064246799222019e-07	1.3655831025971565e-06	9.977900816693364e-08	4.396487929625437e-05	2.822406486302498e-07	5.926366952735407e-07	7.369618106167763e-05	7.349433985837095e-07	1.515508301963564e-05	2.5019684812832566e-07	1.7177082156649703e-07	1.6772928574937396e-05
ABCB1	4.917341698273958e-07	1.2098637853341643e-05	1.049472871272883e-06	7.001962512731552e-05	0.0009492211393080652	4.84477141071693e-07	1.875092311820481e-05	0.0018810665933415294	6.970541903683625e-07	1.7300364163475024e-07	2.433682766422862e-06	8.708146924618632e-05	0.00010599219967843965	3.0157580113154836e-05	0.0002837657812051475	3.338022361276671e-05	0.00013769241923000664	6.682878847641405e-06	6.804006716265576e-06	1.679319893810316e-06	2.373104734942899e-06	8.31602562811895e-07	0.0005811110022477806	4.4107207941124216e-05
ABCC1	5.711784615414217e-05	3.052786996704526e-05	9.05614797375165e-06	0.00035946525167673826	0.0013237904058769345	2.2482563508674502e-05	0.00013763605966232717	0.00017215698608197272	0.00010425124492030591	0.00015112213441170752	4.451113272807561e-05	0.00015257355698850006	0.001004145946353674	0.00046202412340790033	0.00045412397594191134	7.498257036786526e-05	0.000224209317821078	0.0001313601533183828	0.00035037228371948004	3.220730650355108e-05	9.958146256394684e-05	0.0001475352910347283	0.00014733127318322659	8.626170892966911e-05
