Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25
A2M	2.071144263027236e-05	9.13471812964417e-05	3.3542448818479897e-06	0.00013165931159164757	3.1161866900220048e-06	4.63685637441813e-06	0.00014758647012058645	3.882836608681828e-05	0.00016571137530263513	5.8538707889965735e-06	3.810035195783712e-06	7.713819650234655e-05	0.0001221471029566601	2.756302637862973e-05	3.1320332709583454e-06	0.0012170822592452168	3.3483911465737037e-06	0.0008892214973457158	0.00012660431093536317	0.0018031751969829202	2.4991526515805162e-05	0.0016481555067002773	0.00043103512143716216	6.85807799527538e-06	5.16313821208314e-06
A4GALT	1.8697302948567085e-05	0.0002530985220801085	2.36170908465283e-05	0.0005030673346482217	2.165216983485152e-06	3.278665826655924e-05	0.0001626468583708629	4.542540409602225e-06	0.00010201405530096963	7.913720764918253e-06	3.976657353632618e-06	0.00028287593158893287	0.00039194212877191603	6.6607344706426375e-06	1.2887044249509927e-06	0.0006710527231916785	3.597603063099086e-05	0.00035988519084639847	9.58525633905083e-05	0.0008581040310673416	1.25469177874038e-05	0.0006302332621999085	9.940804375219159e-06	5.404013450061029e-07	9.088322258321568e-06
AADACL2-AS1	5.574097485805396e-06	1.1038016054953914e-05	2.516668118346388e-08	0.00112066266592592	7.215641062430223e-08	9.149166402266928e-08	5.057265752839157e-06	1.046993133968499e-06	1.6364900147891603e-05	2.1195036481458374e-07	5.168448424797134e-08	7.613095931446878e-06	0.00046915170969441533	3.372572621174186e-07	3.1843484293858637e-07	0.0001562210964038968	5.849677222613536e-07	1.270022494281875e-06	6.978662713663653e-05	2.0561253677442437e-07	9.169771146844141e-06	1.6679476175340824e-05	8.500265380462224e-08	5.9193130397261484e-08	1.438561127997673e-07
AAK1	7.198312960099429e-05	0.0004009525873698294	6.507773650810122e-05	9.752646292326972e-05	0.0006862339214421809	0.0006022937595844269	0.00025254333741031587	0.0018812008202075958	0.00020082449191249907	4.312035162001848e-05	0.0002366810804232955	0.00025901090702973306	0.00025684028514660895	0.00010839239985216409	6.337320519378409e-05	0.00011978774273302406	1.4991141142672859e-05	6.304030830506235e-05	0.00015574466669932008	0.00014927785377949476	0.0002131693036062643	0.0002248954988317564	0.00026283535407856107	0.0013375476701185107	0.00017739924078341573
AARD	3.035434929188341e-06	2.9953789635328576e-06	0.0012072935933247209	1.0374589010098134e-07	4.534356776275672e-06	1.5812039464435657e-06	1.0239840548820212e-06	1.754625031935575e-07	4.758125214721076e-06	2.3909375158837065e-05	7.066308171488345e-06	2.006034492296749e-06	2.196114337493782e-06	1.482100628891203e-06	4.543865088635357e-06	5.188443097381423e-08	1.1344393442414002e-06	5.4127849580254406e-05	2.53920120485418e-06	3.734093567686614e-08	6.954626769584138e-06	7.591651410621125e-06	7.161950634326786e-06	2.2130050680857494e-08	8.244134369306266e-05
ABCA1	7.775831909384578e-05	0.0001445348170818761	2.4484699679305777e-05	0.0005601972225122154	5.039485131419497e-06	2.2554546376341023e-05	6.254951586015522e-05	0.00027259704074822366	7.056622416712344e-05	0.0007916796603240073	1.125279231928289e-05	1.2647222320083529e-05	0.0004410763212945312	0.0001684853486949578	2.5101815481320955e-05	0.00016401139146182686	0.00012428860645741224	8.568492194171995e-05	0.0010150679154321551	0.00013711786596104503	0.0002574282407294959	0.0003013201057910919	0.0013374785194173455	4.3348376493668184e-05	2.852421175703057e-06
ABCA6	1.0282776202075183e-05	2.3649587092222646e-05	6.823172782333131e-08	0.0022616880014538765	1.8365750520388247e-07	3.7372981864791655e-07	2.4312483219546266e-05	8.087060996331275e-05	1.8166902009397745e-05	8.891769311958342e-07	1.200955807689752e-06	1.222344144480303e-05	0.00041766997310332954	6.015279723214917e-05	3.958075467380695e-06	6.641367508564144e-05	1.2446568689483684e-05	1.984177060876391e-06	8.790809806669131e-05	1.0854928405024111e-06	3.180202475050464e-05	3.4924243664136156e-05	1.169346160168061e-05	3.3918234976226813e-07	2.1861413301849097e-07
ABCA8	1.1557754078239668e-05	8.467056613881141e-05	2.6538238273587922e-08	0.002644776366651058	1.3278352639645163e-07	2.4289082034556486e-07	1.052924562827684e-05	1.0084812629429507e-06	2.6659417926566675e-05	4.40787488287242e-07	2.0256986488220718e-07	9.425510143046267e-06	0.0001356417778879404	2.696697265491821e-07	1.4248822708395892e-06	0.00013495347229763865	2.752170473740989e-07	4.31675061918213e-06	2.9307288059499115e-05	3.1241290798789123e-07	2.290196243848186e-05	8.296573469124269e-06	2.983905744713411e-07	3.337833049954497e-07	2.1671843342119246e-07
ABCB1	1.609695391380228e-05	2.3200171199277975e-05	6.020690079822089e-08	1.4191023183229845e-06	0.0007542655221186578	1.0023713002738077e-05	9.548291018290911e-06	0.00023293428239412606	1.9026012523681857e-05	4.654408257920295e-05	3.4618577046785504e-05	9.706574928713962e-06	9.871883577261542e-08	8.176966730388813e-06	6.407307864719769e-06	6.451306262533762e-07	0.0001456782774766907	1.998246443690732e-05	6.869304343126714e-05	0.0007443025824613869	2.9513767003663816e-06	0.00021021733118686825	3.2079577749755117e-07	0.00016508596308995038	8.396169505431317e-06
ABCC1	0.00022696588712278754	8.705044456291944e-05	2.9153592549846508e-05	5.057566158939153e-05	0.00038916326593607664	0.0005385963013395667	0.000171982916072011	0.001713063451461494	8.524802251486108e-05	0.0010288968915119767	9.727531869430095e-05	6.321468390524387e-05	0.00014205485058482736	0.0001490191789343953	5.9420413890620694e-05	2.2051372070563957e-05	0.00022265889856498688	2.4632880013086833e-05	0.0018447334878146648	0.00011739916226360947	8.055266516748816e-05	0.00026174713275395334	0.00013680550910066813	0.0005781192448921502	5.8895060647046193e-05
