Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26
A2M	7.465069757017773e-06	6.816976383561268e-05	8.459758646495175e-06	0.0014116226229816675	9.556444274494424e-05	1.1116288987977896e-05	0.0003103200579062104	3.5286500406073174e-06	0.00016542358207516372	7.321701559703797e-06	3.844234015559778e-06	0.00019221364345867187	7.521670340793207e-06	5.443688860395923e-05	0.0002819443470798433	5.1834126679750625e-06	0.0021999937016516924	0.0004783342301379889	0.0012012043735012412	9.073696128325537e-05	0.0005905095604248345	7.292182272067294e-05	3.150653583361418e-06	4.046021331305383e-06	3.6894027743983315e-06	1.7204363757628016e-05
A4GALT	3.04691252495104e-06	4.673990770243108e-05	6.451804438256659e-06	0.0001255401293747127	0.0003327045124024153	1.154321216745302e-05	7.565678060927894e-06	2.702168785617687e-06	5.388643785408931e-06	1.0961287443933543e-05	3.935405766242184e-05	0.0008759903139434755	2.514846528356429e-06	3.828810804407112e-05	0.00043104946962557733	1.737529419187922e-05	0.0007987528224475682	0.0001353132538497448	0.0006753304041922092	6.302075780695304e-05	0.0003058472939301282	0.0004023021028842777	1.6440717445220798e-05	8.053333431234933e-07	2.5891308723657858e-06	2.1400535842985846e-05
AADACL2-AS1	5.691430260412744e-08	3.043050810447312e-06	1.781132255018747e-07	1.370231075270567e-06	0.0003078205627389252	6.387021130649373e-06	5.500810829062175e-08	1.2077255462372705e-07	4.08395095519154e-07	2.5453564944655227e-07	6.586674885511457e-07	4.190839035800309e-07	1.8291734704689588e-07	2.6514323963056086e-06	0.0017186703626066446	1.907152480384866e-08	2.6361789196016616e-07	1.0597653954391717e-06	0.000182589705218561	7.137716238503344e-06	6.813774689362617e-06	4.2627954826457426e-05	1.35089095465446e-07	4.7521293566887834e-08	3.8997302453935845e-07	4.7421190174645744e-06
AAK1	0.0005952850333414972	0.0009179741609841585	4.772610918735154e-05	0.00014942546840757132	0.00038958710501901805	6.10576753388159e-05	0.0002352315786993131	0.0006347264279611409	3.699664739542641e-05	0.00017648817447479814	3.037065880562295e-06	0.00010423192725284025	0.0018401577835902572	0.00022228561283554882	0.00011526056186994538	7.52051782910712e-05	0.00017526962619740516	6.058081635273993e-05	0.0001271520450245589	9.670445433584973e-05	0.0002705249353311956	0.00011242635082453489	0.00042952035437338054	0.0010433155111968517	8.384727698285133e-05	0.0003569115069694817
AARD	1.2077852261427324e-05	7.423016086249845e-07	2.660717291291803e-05	3.1528475119557697e-07	6.350850071612513e-06	2.5576268853910733e-06	7.721689144091215e-06	3.5849845971824834e-06	1.3968166001632198e-07	5.14851763000479e-07	2.3613833377567062e-07	1.9438148228800856e-06	5.426909055472606e-08	9.636908089305507e-07	6.887335501915004e-08	0.000708586594555527	2.8847527033804e-08	1.6225253318680188e-07	5.392252688807275e-08	6.315225618891418e-06	4.396196891320869e-05	3.921951119423284e-08	7.398743491648929e-06	3.8225465459618135e-07	6.157908046589e-06	1.7847000890469644e-06
ABCA1	1.0790487976919394e-05	0.0012376517988741398	0.0007475729798898101	0.00019143157987855375	0.0004878372128587216	2.29005472647259e-05	0.0010798668954521418	6.087619567551883e-06	3.5459338505461346e-06	2.246386429760605e-06	0.0001211164053529501	7.534860287705669e-06	9.39731762628071e-05	3.0180235626176e-05	0.0007587371510453522	9.733498154673725e-05	0.00020455576304811984	2.6090183382621035e-05	0.0001875558664323762	2.6586290914565325e-05	0.0005223993211984634	0.0001850707340054214	1.5254800928232726e-05	4.8481146222911775e-05	2.8109492632211186e-05	0.00017304015636909753
ABCA6	2.757010975074081e-07	7.533274128945777e-06	4.928838848172745e-07	2.3121883714338765e-06	0.00027503803721629083	1.3723290976486169e-05	3.966556505474728e-06	1.609484030495878e-07	0.00021890203061047941	2.075861118555622e-07	1.8615086446516216e-05	1.3383832992985845e-06	1.966505578820943e-06	2.2540329155162908e-05	0.0025678379461169243	2.1007235773140565e-07	4.27038139605429e-06	1.2186600315544638e-06	0.00013263674918562174	1.242341568286065e-05	3.335170913487673e-05	3.645072865765542e-05	1.9623364266863064e-07	6.068436846362602e-07	4.511670340434648e-06	1.0085125722980592e-05
ABCA8	2.818623556777311e-07	1.8180726328864694e-05	8.019503070499923e-07	5.144355327502126e-06	1.7741125702741556e-05	1.3595828022516798e-05	1.942400587040538e-07	1.6592368012879888e-07	1.29213754007651e-06	5.873220629837306e-07	1.214292950635354e-07	7.968977797645493e-07	3.290329857463803e-07	1.0337880667066202e-05	0.0023936701472848654	5.972331251768992e-08	4.494941379107331e-07	9.037231052388961e-07	0.0001707817573333159	1.7322026906185783e-05	7.924246347101871e-06	1.0084640962304547e-05	2.286277549501392e-07	3.632601703884575e-07	9.398216889167088e-07	6.641098934778711e-06
ABCB1	4.631732008419931e-05	7.808362715877593e-05	4.969157453160733e-05	0.00010341038432670757	2.2173085767462908e-07	6.844507879577577e-06	8.463893550469948e-07	0.0011860574595630169	3.1474686693400145e-05	7.684548108954914e-06	0.00013672771456185728	0.0002807192213367671	6.150788976810873e-05	9.640283678891137e-05	2.0146007955190726e-06	9.539749612486048e-08	0.0006773545756004751	1.3989952094561886e-06	2.9337240903259953e-07	3.2489027944393456e-05	1.4777597243664786e-05	2.0612237960904167e-07	2.7144424166181125e-05	0.00012463158054742962	1.342774794466095e-05	0.0003107003285549581
ABCC1	0.00019242172129452229	9.660970681579784e-05	0.001032790052704513	0.0001273253874387592	0.00021312350872904062	2.1922958694631234e-05	0.00014210880908649415	0.000257293286267668	0.00016972947923932225	5.9016059822170064e-05	0.00020003900863230228	3.736181679414585e-05	0.0010304847965016961	6.673569441772997e-05	9.361707634525374e-05	2.7214302463107742e-05	0.00014375823957379907	7.240148988785222e-06	3.221154838684015e-05	6.916231359355152e-05	0.0005173765821382403	3.7707475712522864e-05	0.0005482799606397748	0.0005041100666858256	9.514362318441272e-05	9.525095811113715e-05
