Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27
A2M	3.9018243114696816e-05	3.470197771093808e-05	3.756538490051753e-06	1.9124347090837546e-05	0.00010879746696446091	9.802325621421915e-06	2.660337031556992e-06	7.49768951209262e-05	4.200507828500122e-05	0.0007746879709884524	5.044115096097812e-05	1.8190211221735808e-06	0.0012535917339846492	0.0003366867604199797	5.7892252698366065e-06	6.501770712930011e-07	1.2112364856875502e-05	0.0018597771413624287	0.0007028712425380945	4.080269354744814e-05	6.35138203506358e-05	0.0009016090189106762	7.105924851202872e-06	1.6418662198702805e-05	4.096685188414995e-06	0.00032978062517941	5.7520817790646106e-05
A4GALT	4.839623943553306e-05	9.751348443387542e-06	2.687043888727203e-06	2.286102608195506e-05	0.00010336155537515879	3.0307823180919513e-05	4.090990842087194e-05	8.03161965450272e-05	1.696342951618135e-05	0.0008152125519700348	0.0003420240245759487	1.4628060853283387e-05	0.0005904012941755354	0.00025479181203991175	2.2319045456242748e-06	6.157896677905228e-06	3.1934916478348896e-05	0.0008264959906227887	0.0002248385571874678	1.1446850294305477e-05	0.00023005023831501603	6.779817340429872e-05	3.4964209589816164e-06	2.5978080884669907e-05	1.491093598815496e-06	9.58072723733494e-06	2.1611963347822893e-06
AADACL2-AS1	7.499832008761587e-06	5.160406431059528e-07	4.50855310418774e-07	7.034686404949753e-06	4.919199909636518e-07	6.560553629242349e-07	6.976470103836618e-07	3.361588096595369e-05	3.405413735890761e-06	0.0007526121335104108	0.00012411615171004087	1.5044182077872392e-07	4.625890142051503e-05	0.002452504588291049	6.243827499474719e-08	9.485450647161997e-09	1.490369982093398e-06	1.1123795502498979e-06	3.7426095786941005e-06	1.4320863783723325e-06	0.00026354260626249015	1.8039723954643705e-06	1.800181763655928e-07	3.378213619953385e-08	3.1102917574798994e-08	8.892823899486757e-08	4.245570721650438e-07
AAK1	0.000129516061861068	0.0021024683956056833	6.89477237756364e-05	0.00012186099047539756	3.1063238566275686e-05	1.0670309166016523e-05	3.871127319143852e-06	0.00019203124975319952	0.0006207713740877807	0.0001507544657215476	0.000285961024928838	0.0003522596089169383	0.00012101589527446777	0.0002649986126925796	0.000714343914296478	0.00018614402506500483	1.9367345885257237e-05	0.00016593043983448297	0.00022630066087003797	4.430067929206416e-05	8.913635974749923e-05	0.0002289717667736113	3.8810281694168225e-05	3.471970558166504e-05	0.0009262777748517692	0.00023284131020773202	6.6604174207896e-05
AARD	2.849487827916164e-06	2.6223989380014245e-07	2.577201883013913e-07	2.4141427275026217e-06	0.0004426645173225552	2.1737328381732368e-07	1.7853535894118977e-07	1.1629811524471734e-05	1.107747607420606e-06	5.387729743233649e-06	9.945264309862978e-07	6.770424988644663e-06	5.967160632280866e-08	2.3440568838850595e-05	4.5148408389650285e-06	0.00046643943642266095	2.5152050397991843e-07	2.4940591814015534e-08	8.956583883446001e-07	6.771415428374894e-06	1.2126331228046183e-07	3.1538436928713054e-07	8.143996410581167e-08	0.0013362556928768754	1.961449015652761e-06	2.3410095764120342e-06	1.647310767793897e-07
ABCA1	0.00036286210524849594	0.0001116115236072801	1.185311975859804e-05	3.2288284273818135e-05	4.402043123263866e-05	5.8893234381685033e-05	0.000141439595608972	0.00014001686940900981	0.00015967470244504511	0.00035722338361665606	0.00036352474126033485	9.497541213931981e-06	0.00013761152513325214	0.0012357045197859406	4.659249952965183e-06	0.000125746097182855	3.3862517739180475e-05	0.0001584610581630841	0.0010026277741417289	3.069064041483216e-05	0.0005249150563031435	0.00024147919612005353	0.0007722940063104033	4.2065388697665185e-05	3.810727866948582e-05	0.0010816873982548714	6.5224789977946784e-06
ABCA6	1.2258085007488262e-05	1.512424205429852e-06	4.242697286827024e-06	2.301819586136844e-05	4.3950907979706244e-07	1.5139321476453915e-05	7.76603428676026e-06	4.139207158004865e-05	7.1641870817984454e-06	0.0007602170226164162	0.0001108941578422673	8.816520846721687e-08	1.972612335521262e-05	0.0031710201874375343	1.6100997868306877e-07	3.2779516345726734e-07	0.00018518517026677728	6.344791927404003e-06	6.94608679623343e-05	1.1691206964314915e-05	0.0008940852712839842	8.313167199958116e-06	8.048908739510807e-07	2.645291772296332e-07	6.091822228881938e-07	5.312477696861606e-06	0.00013683692668564618
ABCA8	1.4904831914464012e-05	6.351659180836577e-07	1.1011765082002967e-06	2.520481575629674e-05	3.8392889223359816e-07	1.0764127864604234e-06	4.047491017900029e-07	3.3388550946256146e-05	8.300701665575616e-06	0.0004236418171785772	6.574473445652984e-06	1.352231464579745e-07	0.00012081406748620793	0.0025321238208562136	1.0389898363882821e-07	1.8164032056233737e-08	9.021054552249552e-07	2.3692789454798913e-06	4.904194611299317e-06	5.041176791564794e-06	0.0011379829375073314	2.0521608803392155e-06	6.949384214749443e-07	6.23968787749618e-08	1.1045482750660085e-07	2.3226390055697266e-07	1.0014661029345007e-06
ABCB1	1.4024968550074846e-05	0.0004971387097612023	5.292561127134832e-06	1.2070130651409272e-05	2.3050931758916704e-06	6.061080421204679e-05	0.00016441757907159626	2.8801479857065715e-05	4.8874768253881484e-05	4.510126245804713e-07	8.648317617598877e-08	4.5342687371885404e-05	1.2626835541595938e-06	1.9669461835292168e-05	0.0006983245257288218	1.772835162228148e-06	2.4474275051034056e-06	0.000589243951253593	0.000298050232231617	5.265055733616464e-06	3.91865978599526e-06	2.485978438926395e-05	2.983699960168451e-05	1.8712333371695422e-07	0.00010090863361256197	3.7998074731149245e-07	5.2806550229433924e-05
ABCC1	0.0001192137278849259	0.0014713600976392627	8.051807526499033e-05	7.313702371902764e-05	1.0892033969867043e-05	9.457946725888178e-05	0.00023696494463365525	9.398580732522532e-05	8.08506811154075e-05	9.456311090616509e-05	0.00015057156269904226	0.00044750241795554757	2.01344009838067e-05	0.00026591180358082056	0.00019565683032851666	6.421587750082836e-05	0.00016152234456967562	0.00015844749577809125	0.00022200410603545606	5.993576269247569e-05	2.253769889648538e-05	0.00016759724530857056	0.0010485377861186862	3.0014003641554154e-05	0.0004936312907375395	0.0001422621717210859	0.00015860646090004593
