Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28
A2M	0.0012878163252025843	4.093186362297274e-06	5.127959229866974e-05	1.0204183126916178e-05	0.0003137612948194146	0.0003370482299942523	0.00017481822578702122	0.0019615578930824995	2.682381818885915e-06	0.0002514870138838887	1.5553561752312817e-05	2.0590790882124566e-05	0.00025543352239765227	2.5860260848276084e-06	6.179373940540245e-06	4.8844476623344235e-06	2.6981235350831412e-05	2.61473132923129e-06	7.265663589350879e-05	0.0003108526871073991	9.491664059169125e-06	8.907633855415042e-06	5.098157998872921e-06	4.901155989500694e-05	9.151551239483524e-06	0.00015702219388913363	2.969716433653957e-06	0.0012914660619571805
A4GALT	0.0006687289569526911	2.5549008569214493e-05	6.793417560402304e-05	5.6459189181623515e-06	0.0003426426264923066	1.293728837481467e-05	8.180594159057364e-05	0.0008295748848468065	1.457811777072493e-06	0.0004159510717727244	5.561884245253168e-05	2.864712405425962e-05	0.0005078281392343342	1.0385266250523273e-05	1.8063516336042085e-06	1.2232594599481672e-05	0.0003404639719519764	4.82157383885351e-06	3.983714577771025e-06	0.00024153805861715227	2.2780439394409768e-05	2.706322084122803e-05	1.1403639291529544e-05	1.414611870131921e-05	1.0743093298515305e-05	0.00019425425853114575	8.125550721160835e-07	0.00036119032301940024
AADACL2-AS1	0.00012297867215238512	5.2173380282738435e-08	1.811056245060172e-05	2.2137935218324856e-07	7.321747489186237e-06	6.456951240352282e-08	6.228673555597197e-06	1.330152201717283e-07	3.621621544880327e-07	0.0009533456759527326	2.3057469888954074e-07	6.048639534128597e-06	0.0014127935282886028	3.574989548837948e-08	1.830397309277032e-07	1.6403816971433116e-07	1.936721855599899e-05	4.072366266427707e-08	9.591251455276506e-07	1.8461947547621094e-05	1.9902758197076764e-07	3.271916000358033e-07	3.183990600064135e-07	3.2627156087983167e-06	2.204443063646977e-07	6.650832801824436e-06	5.859734031332664e-08	1.0965528645101585e-06
AAK1	0.00012970926763955504	9.711275924928486e-05	0.0001480616192566231	0.0008072624332271516	0.0002859631204046309	0.000234220118727535	0.00014689158706460148	0.00016160387895070016	7.060809730319306e-05	0.0004247303877491504	3.347281744936481e-05	9.877971024252474e-05	9.280618542106822e-05	0.00016415899153798819	4.478830305743031e-05	0.0005872456822544336	0.00021476838446687907	0.0006722736870869994	5.168060306459665e-05	0.00021236810425762087	1.274221813218901e-05	0.00011411605373723432	0.0001716408005449921	0.0025869403034448624	0.00015999114839360118	0.0005192134412936866	0.0011523455614224076	8.405937842326239e-05
AARD	1.0693089791402599e-07	5.9969468566123396e-05	6.1784539866494015e-06	2.6771081707011035e-07	1.3704288903682027e-07	2.1177789676585235e-05	3.3980704756686464e-06	2.2476531285064993e-06	6.051106083759805e-06	9.32358034333447e-06	0.0014780738856643438	1.710318088044005e-06	3.066912483973283e-07	0.0006875377730466425	1.9259925466030836e-05	1.086085285351146e-05	2.560657463845928e-08	3.720959512065747e-06	1.5255022844939958e-07	2.7449766548670596e-06	5.604480293186498e-07	1.350129874566619e-08	2.5985367756220512e-05	1.3224799033650925e-07	8.212571265175939e-05	2.8777062652807217e-06	2.2796759822085733e-06	0.0005154648679308593
ABCA1	0.00016919746121857315	9.573353963787667e-06	4.34896101069171e-05	0.00014897491200827062	0.00018461330910213292	0.0010935005266219378	2.0104778741369955e-05	0.00018249734421260655	1.8729297153186053e-05	0.0009755866485647857	2.645108907017857e-05	0.00014838714560028166	0.0004953416646458209	0.00015206570969894528	0.0007981638191267848	2.498214780644048e-05	0.00016883939679246396	7.256476692418801e-06	8.004351911949925e-06	0.0003951428225263953	0.0001564496342325583	1.8049713617074303e-05	2.4351829779334366e-06	0.0001791643153410405	1.1718692803697195e-05	0.0005056323716416955	1.2240049727552105e-05	0.00014508247841149569
ABCA6	8.742337377043441e-05	1.195213741311818e-07	0.00013434453285299242	1.4207097365215304e-06	1.775324926711619e-05	1.0143428880837746e-05	0.00016269987099803984	2.4175833459594287e-06	4.9722120820661075e-06	0.0009991781553253531	1.4665880598840886e-07	2.0722032786579803e-05	0.002169647254049778	9.066616257769056e-07	5.675410079675203e-07	1.2181071724626236e-06	1.6521351426490583e-05	2.8116625117036165e-07	0.00020090682664886117	1.9021965272258967e-05	2.182174830522854e-05	1.0030678822658956e-05	3.2304038199981733e-07	4.818621619051555e-06	4.006346898677293e-07	1.1123598596896045e-05	2.685142135305796e-07	1.1368549621693091e-06
ABCA8	0.00013709183258470148	1.2024391082832153e-07	2.765876160992775e-05	2.6202255867247004e-06	6.4421119532198645e-06	3.2597017707303166e-07	1.6901462004170753e-05	1.4835481465524936e-07	5.877534476894652e-07	0.00019597697246354073	1.832677156698992e-07	1.7242871763301082e-05	0.002569294534623623	1.013137733707481e-07	6.235140403987316e-07	2.711135493882466e-07	3.689227469294565e-06	9.475877504883101e-08	2.2929511942493264e-06	1.5516925486736e-05	1.5691836097175837e-07	2.807590817610617e-07	3.9060086010067607e-07	8.012388548195304e-07	3.023675105850998e-07	1.2712805983028375e-05	1.8088616116074263e-07	1.3536525784729747e-06
ABCB1	3.847203515761066e-06	2.20077640733507e-06	4.15967806475237e-05	0.0008364189998246729	2.6920966774923727e-05	2.8534142870739743e-07	9.627534018363804e-05	0.0006346929003484547	1.1443699804658536e-05	3.520990219385567e-07	1.724042988371366e-07	1.0538841706875246e-05	1.8637680341271334e-06	4.386436955883255e-07	2.6900319426204078e-05	2.0586734535754658e-05	3.124353327166318e-07	0.00047111453022807837	3.387564356671646e-05	1.153874836745672e-05	8.683532360009849e-05	1.2924325346830301e-05	5.894572041142965e-06	0.0004728321800939739	1.2213246009196155e-05	7.806004578014836e-05	5.727747338823974e-05	2.9576387532870285e-05
ABCC1	2.9518603696487844e-05	1.816330404835753e-05	6.805186421843246e-05	0.0001674905070103705	0.0003851726360153407	0.00013793764810543507	0.00016551779117435217	0.00014351199206430465	8.059902029344812e-05	0.00031327016768045723	1.2677991435339209e-05	7.927208935143426e-05	6.475086411228403e-05	6.55809126328677e-05	0.0010780944721773267	0.0005223820335231721	7.585722050862387e-05	0.00045314873568713665	0.00016258411051239818	0.0001379417080897838	0.00021601776825264096	6.222153024282306e-05	5.722869900637306e-05	0.0015552528202533722	9.858570410870016e-05	7.335872214753181e-05	0.0005378271453082561	9.191007120534778e-05
