Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28	Topic29
A2M	9.867220796877518e-05	2.4875000690371962e-06	0.0022872118279337883	0.0003689242003019899	0.00011082950368290767	0.0001368364319205284	0.0012714900076389313	2.491176019248087e-06	4.735076072392985e-05	0.001047326484695077	3.4613271964190062e-06	4.042951331939548e-05	0.00011623675527516752	0.0008296147570945323	0.00022116022591944784	5.801150109618902e-06	7.833524250600021e-06	6.635249883402139e-05	1.5542726032435894e-05	1.828093263611663e-05	0.00031407942879013717	0.001060894806869328	4.664954303734703e-06	6.9106022237974685e-06	3.986945557699073e-06	1.2528197657957207e-05	3.923653821402695e-06	3.6780627397092758e-06	5.49913647773792e-06
A4GALT	7.712649676250294e-05	2.6530933610047214e-06	0.0007366224890574813	0.00020515605865512043	0.00038119626697152853	3.695742634590715e-06	0.0006191757856868207	2.048205897153821e-05	0.0003504171036183834	0.0008113870280794799	4.2810213926713914e-05	2.4950535589596257e-05	5.204414719628403e-06	0.0002488237514626235	8.837376662995666e-05	1.326794063061243e-05	9.565771506458987e-06	0.0004907221882604063	1.989375277844374e-06	1.4725384971825406e-05	7.309226020879578e-06	0.0008526716846972704	1.3864632819604594e-06	9.19253670872422e-06	3.086488277403987e-06	5.499754934135126e-06	6.671459686913295e-07	1.7359061530441977e-05	1.8831850638889591e-06
AADACL2-AS1	1.1129656741104554e-05	4.5547086102715184e-08	4.1982534071394184e-07	0.0009483540779910982	0.0003034991677850485	0.00025143366656266153	0.00020974680955987424	1.281478176906603e-07	2.324341949133668e-06	1.543811958981678e-05	6.093876550039568e-07	3.4222748581669293e-06	6.624279080824635e-07	2.373041070313775e-06	4.3600124399745255e-07	1.7087968728901615e-07	4.683170828911898e-08	0.0011613667011260986	2.4439967205580615e-07	5.608026640402386e-06	5.7397674169124e-08	2.0611621209809527e-07	6.369364058400606e-08	1.8381955158019991e-07	4.078484323599696e-07	3.917216417903546e-07	1.2202286825413466e-07	9.718346660747557e-08	1.9292312458674132e-07
AAK1	0.0003060784947592765	0.0002111552603309974	0.00020944117568433285	0.0002085412706946954	0.0003136863524559885	0.0009007600601762533	0.00014052219921723008	0.00045979925198480487	7.395928696496412e-05	6.83554753777571e-05	6.219693659659242e-06	0.00017235720588359982	3.272070534876548e-05	0.00011268196976743639	3.803735307883471e-05	0.0010131129529327154	9.54104689299129e-05	0.00010464843217050657	0.0013491774443536997	0.00014699569146614522	0.0002490862098056823	0.00013455178122967482	0.0013249556068331003	0.0008183130994439125	6.367136666085571e-05	0.0014692271361127496	0.0007328064530156553	0.00010727487824624404	5.135724859428592e-05
AARD	4.438588348421035e-06	5.30388706465601e-06	6.839844104433723e-07	2.4779956220299937e-07	3.957202352466993e-06	1.0251001469896437e-07	1.388174155181332e-06	4.521390565059846e-06	3.8843239735797397e-07	1.7331107926565892e-07	2.7696494726114906e-05	5.705163061975327e-07	1.5365385763743689e-07	0.00014802177611272782	0.0001766748318914324	6.448662048796905e-08	0.0004237004613969475	6.673445795968291e-07	3.5519212815415813e-06	1.6734666132833809e-06	2.0652821604016935e-06	5.39893179052342e-08	3.225751186164416e-07	2.3170684926299145e-06	5.763385161117185e-06	7.538004865637049e-06	8.366065173959214e-08	0.0007849647663533688	1.9894630895578302e-05
ABCA1	5.219729064265266e-05	1.4916869076841976e-05	0.0002614155237097293	0.00035804061917588115	0.00038661842700093985	0.0025738924741744995	0.00013919558841735125	1.4240773452911526e-05	2.8277716410229914e-05	6.79429795127362e-05	0.0001204290019813925	0.00014836118498351425	5.092389983474277e-06	0.00016336322005372494	2.6412901206640527e-05	2.0682547983597033e-05	3.908645339834038e-06	0.000618920661509037	2.0187739210086875e-05	6.0182137531228364e-05	0.0010539682116359472	5.1779810746666044e-05	3.833189475699328e-05	1.3899524674343411e-05	2.670160938578192e-05	1.0474593182152603e-05	9.525150744593702e-06	9.379391121910885e-05	0.0007275745156221092
ABCA6	1.8672766600502655e-05	4.846795604862564e-07	2.597085995148518e-06	0.001818246440961957	0.0002574948302935809	0.0007205154979601502	8.505454024998471e-05	1.8044688943064102e-07	4.692614311352372e-06	1.8655395251698792e-05	1.3455701264319941e-05	1.3777399544778746e-05	0.0002123895683325827	1.1473641279735602e-05	9.857099030341487e-07	1.780125415962175e-07	1.6766787780397863e-07	0.0017103968420997262	1.4024643633092637e-06	1.0677876161935274e-05	5.769722520199139e-06	2.0006375507364282e-06	8.661735932946613e-07	6.045474947313778e-07	1.1447003998910077e-05	5.770306188424001e-07	3.60917283614981e-07	1.7540391183956672e-07	4.1254222082898195e-07
ABCA8	1.530134613858536e-05	8.32687447882563e-08	4.7172289896479924e-07	0.002529281424358487	3.749307506950572e-05	0.0002674292481970042	0.00018228235421702266	2.1226131252660707e-07	5.617846909444779e-06	6.902293534949422e-05	1.204818858013823e-07	6.715956260450184e-06	8.000814659681055e-07	2.2142678517411696e-06	1.1803506367868977e-06	3.29775531326959e-07	7.616200292659414e-08	0.001531532732769847	4.2088981899723876e-07	1.5675248505431227e-05	1.7214355807482207e-07	2.8517186478893564e-07	3.354720945480949e-07	3.245826007969299e-07	6.012436983837688e-07	1.0884333505600807e-06	1.829424149946135e-07	1.7204671109993797e-07	5.654908932228864e-07
ABCB1	2.392283931840211e-05	1.8118218577001244e-05	0.0005568022024817765	3.851420842693187e-06	5.071427722214139e-07	8.101344064925797e-06	2.4562788780713163e-07	4.859886030317284e-05	3.1650872642785544e-06	3.4936143492814153e-05	6.896532431710511e-05	6.8282565734989475e-06	3.0835624784231186e-05	4.109417659492465e-06	1.7026536625053268e-06	4.606807578966254e-06	2.1869761894777184e-06	3.2924515380727826e-07	7.004748476902023e-05	1.6191052054637112e-05	5.57173962079105e-07	0.0005647739162668586	5.3487299737753347e-05	0.0007502877851948142	2.028403514486854e-06	0.004865722730755806	0.00014947282033972442	6.946972774812821e-08	8.443656952294987e-06
ABCC1	0.0008923719287849963	3.939161615562625e-05	0.00023265994968824089	0.0001248100452357903	0.00017833839228842407	0.0005287365638650954	3.4708213206613436e-05	0.0005089233163744211	5.545352541957982e-05	1.2652825716941152e-05	0.0002243157068733126	7.317903509829193e-05	0.00017536415543872863	9.840657003223896e-05	5.773238171968842e-06	0.0008025105926208198	3.849514541798271e-05	6.36016993666999e-05	0.0010993927717208862	9.205103560816497e-05	0.00015044862811919302	6.998876051511616e-05	0.0005630256491713226	0.00019651054753921926	8.337220788234845e-05	0.0006101363687776029	0.0002714343718253076	4.7095887566683814e-05	0.0010466990061104298
ABCC3	1.0036466846941039e-05	1.128775082293032e-07	1.0570495760475751e-05	1.92699608305702e-05	4.95671083626803e-05	0.0003660025540739298	1.0823788215930108e-05	3.171224989273469e-07	7.623890724062221e-06	0.00012490800872910768	1.0218284842267167e-05	6.03701664658729e-05	4.334408913564403e-06	0.0005626669153571129	5.586491056419618e-07	8.743040211811604e-07	5.817797500640154e-06	2.0749377654283307e-05	4.613443991274835e-07	2.090343514282722e-05	0.0008847150020301342	0.00012885329488199204	1.9923230354379484e-07	3.1112506349018076e-07	1.9628653262770968e-06	3.0376288577826926e-06	3.3642294283708907e-07	4.706902109319344e-05	1.990465108292483e-07
ABCC4	2.5048211682587862e-05	2.2921723939361982e-05	0.00028337963158264756	7.536556222476065e-05	0.0002563635935075581	0.00017925156862474978	1.9355853510205634e-05	7.630932668689638e-05	2.3427790438290685e-05	1.3283368389238603e-05	0.0001239432458532974	4.010414613730973e-06	0.0007156135397963226	2.025765206781216e-05	1.728830648062285e-05	9.931698878062889e-05	1.2487292224250268e-05	9.147042146651074e-05	2.72997967840638e-05	0.00010111402662005275	0.00010376053978689015	0.00025350760552100837	0.0002585868933238089	9.57637676037848e-05	0.00026841682847589254	0.0002718549221754074	0.0002051785122603178	5.899349162064027e-06	0.0014711299445480108
ABCC9	4.934054231853224e-05	6.076756449147069e-07	5.773093789684935e-07	1.1331137102388311e-05	4.235705273458734e-05	1.888550855255744e-06	0.002504769479855895	5.469970005833602e-07	4.948715741193155e-06	4.8317055188817903e-05	1.1889471807080554e-07	3.859113348880783e-06	5.968966547698074e-07	2.0406926068972098e-06	9.9583314749907e-07	5.008072889722825e-07	2.0079623652691225e-07	2.6390529455966316e-05	1.1883653314725962e-06	7.358424227277283e-06	1.5621171201019024e-07	3.685589433644054e-07	5.243551299827232e-07	1.3048929758952e-06	4.1615092527536035e-07	7.154937975428766e-06	3.3757140727175283e-07	1.961159341590246e-06	1.7095672433242726e-07
