Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28	Topic29	Topic30
A2M	5.020533080823952e-06	5.115520252729766e-06	3.968769760831492e-06	0.00012577993038576096	0.00025812379317358136	0.0011882978724315763	6.4590708461764734e-06	1.6490968846483156e-05	2.800642050715396e-06	0.0003223000967409462	1.7501164620625786e-05	1.2545067875180393e-05	2.1528269371628994e-06	3.2112686767504783e-06	7.872184505686164e-05	0.00019328818598296493	1.8026761608780362e-05	0.0001163106644526124	0.0017819948261603713	9.906233754009008e-05	2.406339717708761e-06	6.970684808038641e-06	1.127107043430442e-05	6.907588976901025e-05	0.0002192350075347349	0.0010659265099093318	0.001978430664166808	0.00036558497231453657	0.00020099885296076536	1.756003257469274e-05
A4GALT	3.4040613172692247e-06	3.765810834011063e-05	6.14578084423556e-07	6.980052421567962e-05	0.00039192280382849276	0.0004889029078185558	3.695488203447894e-06	1.9486491510178894e-05	1.6526869330846239e-06	5.246263754088432e-06	0.00036114134127274156	4.1426706047786865e-06	1.1196479135833215e-05	3.863699748762883e-05	5.383092138799839e-05	0.00012470208457671106	5.612231234408682e-06	0.00016985171532724053	0.0007794764824211597	6.960368773434311e-05	3.2771258702268824e-06	9.488392151979497e-07	4.1674018575577065e-05	5.5005108151817694e-05	0.0005129422061145306	0.0006492745014838874	5.8397461543790996e-05	0.000502799462992698	0.0003706064308062196	9.966468496713787e-06
AADACL2-AS1	1.3584367763996852e-07	9.827754610114425e-08	2.207385030317255e-08	3.923457916243933e-05	1.1205313512618886e-06	0.0006912489188835025	1.5187424651230685e-07	1.7955316877760197e-07	2.751546617218992e-07	4.028264299904549e-08	0.00016578217037022114	6.793565034968196e-07	1.1709063052478541e-08	1.7858582168628345e-07	1.8122122128261253e-05	1.007021728582913e-05	6.300758741417667e-07	4.159462150710169e-06	5.093363597552525e-08	4.967347194906324e-06	7.18708008662361e-08	9.239323617293849e-08	2.393540626144386e-06	4.417612217366695e-06	2.0383738501550397e-06	6.284572009462863e-05	5.468548351927893e-07	9.881917321763467e-06	0.001907544443383813	1.480760971617201e-07
AAK1	0.0006291561294347048	0.00029348413227126	0.0007905237725935876	0.0003739764215424657	5.476435035234317e-05	0.0004716060357168317	4.5819189836038277e-05	0.0008090920746326447	7.010772242210805e-05	0.00023234197578858584	0.00026394176529720426	3.845100582111627e-05	4.468272891244851e-05	1.0362582543166354e-05	0.0002223556220997125	0.00026593432994559407	0.000426854589022696	7.595548231620342e-05	0.00016163518012035638	0.00016970792785286903	0.0005036526708863676	0.0017769315745681524	1.21395523819956e-05	0.00019182103278581053	9.064852929441258e-05	9.047467028722167e-05	0.00013778281572740525	6.069157097954303e-05	0.00010775375267257914	7.632532651768997e-05
AARD	8.19469933048822e-05	7.392055522359442e-06	3.5144223602401325e-06	7.48821958040935e-06	1.905109314748188e-07	3.537672228048905e-06	2.282010427734349e-05	8.41845277932407e-08	4.085488399141468e-06	2.950717316707596e-06	1.9198724388047594e-08	2.6989403068000684e-07	0.0007673894870094955	5.203303317102836e-07	5.420673005573917e-06	3.7256470477586845e-06	7.030348569969647e-08	1.3116041372995824e-06	5.127151680994757e-08	0.0002345310349483043	2.703068048504065e-06	6.390242106135702e-06	3.1002289802017913e-07	1.661628402871429e-06	0.0030906263273209333	1.58868743938001e-07	4.4736963900504634e-05	8.159089702530764e-06	6.456944134924925e-08	5.059940303908661e-05
ABCA1	0.00047514631296508014	2.00016911549028e-05	3.159401967423037e-05	4.858903048443608e-05	6.895836850162596e-05	0.0008697668672539294	0.0007456263992935419	4.588651063386351e-05	2.0827008484047838e-05	0.0010394578566774726	0.000341815291903913	9.375880836159922e-06	5.538178083952516e-05	0.00012477306881919503	8.299507317133248e-05	7.045583333820105e-05	0.00018594694847706705	0.000491557118948549	0.00017069118621293455	4.6546439989469945e-05	1.9338572201377247e-06	3.0504677852150053e-05	1.9355915355845354e-05	1.552127105242107e-05	9.711655002320185e-05	8.890966273611411e-05	0.0001434449659427628	0.00010805735655594617	0.0006879014545120299	1.9926172171835788e-05
ABCA6	3.7225106552796206e-06	3.3374939789609925e-07	4.955911094839394e-07	6.443526945076883e-05	1.948225190062658e-06	0.0007522497326135635	1.7664542610873468e-06	1.0228301334791468e-06	3.5492817005433608e-06	1.2193542715976946e-05	0.00014736609591636807	9.965102799469605e-05	3.279163536262786e-07	1.0938904779322911e-05	5.5647957196924835e-05	1.6339405192411505e-05	9.354758390145435e-07	2.348442103539128e-05	1.8849073057936039e-06	6.13379743299447e-05	1.1363014351672973e-07	5.54294047105941e-07	0.0002930448390543461	7.501098298234865e-05	1.571937218614039e-06	2.0929353922838345e-05	1.031880174195976e-06	1.500632606621366e-05	0.002816034248098731	4.5993130015631323e-07
ABCA8	1.4292882610789093e-07	1.0017903662173921e-07	1.9931540862216934e-07	7.945069228298962e-05	1.0805766805788153e-06	0.00014053443737793714	4.801427735401376e-07	8.771181114752835e-07	5.560646059166174e-07	1.5059306690545782e-07	2.109808337991126e-05	2.1006728729844326e-06	4.7789193047265144e-08	1.5785474261065247e-07	7.915542664704844e-05	1.8082519090967253e-05	2.7295263294035976e-07	7.427750006172573e-06	1.655181876003553e-07	1.8778069716063328e-05	1.0170194286729384e-07	1.890299330398193e-07	1.9746337329706876e-06	1.1802177141362336e-05	2.799635467454209e-06	0.00015136929869186133	1.1286915650998708e-06	1.7335451047983952e-05	0.002803925657644868	2.0456593574635917e-07
ABCB1	5.222372578828072e-07	1.2675507605308667e-05	7.62553172535263e-05	4.504206299316138e-05	2.3223333300848026e-06	2.525898707972374e-06	6.42425729893148e-05	0.0020532100461423397	7.866859959904104e-06	4.0267858025799796e-07	1.9062936473801528e-07	1.7199099602294154e-05	4.528011388060804e-08	0.00015821654233150184	2.369533831370063e-05	1.2050839359289967e-05	9.497246537648607e-06	8.747973879508208e-06	0.0005708977696485817	6.582854439329822e-06	0.0004827416269108653	0.00014452051254920661	3.625282943175989e-06	2.271574703627266e-05	3.424972419452388e-06	2.8071877977708937e-07	0.00011472103506093845	1.101680709325592e-06	8.968809197540395e-07	4.802479338650301e-07
ABCC1	0.00034295592922717333	0.00022264063591137528	0.00034725372097454965	0.00012768809392582625	2.2359422473527957e-06	0.0002529975608922541	0.0010131503222510219	0.00011154430831084028	6.748529995093122e-05	0.0001372688275296241	0.00013444735668599606	0.00018494109099265188	1.5394918591482565e-05	0.00022253936913330108	5.769014387624338e-05	0.00018638382607605308	0.00013297230179887265	0.00038863052031956613	0.00014762463979423046	7.627571176271886e-05	0.0004558104556053877	0.0010422372724860907	0.00016814618720673025	0.00012330566823948175	0.0001295737747568637	1.598855851625558e-05	0.00011852789612021297	3.4411539672873914e-05	9.057894203579053e-05	3.3520933357067406e-05
