Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28	Topic29	Topic30	Topic31
A2M	5.746345050283708e-05	9.030195360537618e-05	0.00010804689372889698	0.0001511973823653534	4.4165180952404626e-06	1.201983104692772e-05	6.341747211990878e-05	0.0001815977448131889	1.195569166156929e-05	3.883559656969737e-06	0.0019325040047988296	0.00035600035334937274	0.001101443893276155	0.00011540011473698542	5.399068413680652e-06	0.0013725680764764547	7.687479228479788e-05	2.33431037486298e-05	1.6297863112413324e-06	1.0063135050586425e-05	0.0003109414246864617	3.7335521483328193e-06	0.0001382338086841628	4.396617441670969e-05	2.4874869268387556e-05	6.3387269619852304e-06	9.92563582258299e-06	0.0010839992901310325	3.5329603633726947e-06	4.2649453462217934e-06	3.149101303279167e-06
A4GALT	0.00015441948198713362	0.0007889251573942602	0.00012586588854901493	0.0013058509211987257	2.230765858257655e-05	3.476706478977576e-05	3.4088684515154455e-06	6.423777085728943e-05	4.6809578634565696e-05	1.3731226999880164e-06	0.0007384674972854555	0.000507684366311878	0.00025385041953995824	4.0097482269629836e-05	3.4607010093168356e-06	0.0005656324792653322	0.0003606080135796219	1.913997948577162e-05	1.8329700424146722e-06	1.8923119569080882e-06	6.2684216572961304e-06	2.8272130293771625e-05	0.0017692690016701818	4.376384458737448e-05	7.702893344685435e-05	3.4111913009837735e-06	9.000580575957429e-06	0.0003228699788451195	8.216758942580782e-06	5.775261797680287e-07	1.6152918760781176e-05
AADACL2-AS1	3.0972874810686335e-05	2.9935665679658996e-06	5.149428761797026e-05	5.556787527893903e-07	1.4257145721785491e-06	6.089341297865758e-08	2.7286578188068233e-06	1.3137704627297353e-05	4.471958163776435e-06	2.2102871355400566e-07	6.497472071487209e-08	0.001994628692045808	1.0134276635653805e-06	7.84943131293403e-06	2.232758191667017e-07	6.646965630352497e-05	0.0002544726594351232	5.517330919246888e-06	7.238542565346506e-08	1.1333304428262636e-07	4.6414275090000956e-08	4.805212370229128e-07	3.0392153348657303e-05	7.634404028067365e-06	1.116137809731299e-05	1.6254142565230723e-07	9.566546310679769e-08	1.7302016203757375e-05	7.470340079862581e-08	2.711582602898943e-08	1.9078687785167858e-07
AAK1	0.00013744563329964876	6.156483141239733e-05	0.00025716680102050304	0.00012557381705846637	4.048327900818549e-05	3.406400355743244e-05	0.002480315277352929	0.00023246652563102543	7.595288479933515e-05	8.513892680639401e-05	0.00017207431665156037	0.00012979980965610594	8.89211951289326e-05	0.0004502105584833771	0.0008121199789457023	0.00012319824600126594	0.0002980476710945368	9.89798572845757e-05	0.0005562553997151554	0.0008403300889767706	0.000210004931432195	1.2246398910065182e-05	0.00010956138430628926	0.0002543470764067024	0.00017798220505937934	3.487539288471453e-05	0.00013125452096574008	0.0001429175608791411	0.00016903791402000934	0.0009225242538377643	0.00033350347075611353
AARD	1.3363231119001284e-05	1.6657261880936858e-07	2.268809657834936e-05	1.8586158034850087e-07	4.693367543495697e-07	0.0012099187588319182	1.3077286098450713e-07	1.116208864004875e-06	3.063628639665694e-08	7.645088771823794e-06	3.746708614471572e-07	5.7218777271828e-08	0.0001476960169384256	3.2023103813116904e-06	5.602668352366891e-06	5.835853755797871e-08	5.64146012038691e-06	1.4406875834538369e-06	2.101478003169177e-06	6.326193897621124e-07	7.523653039243072e-06	1.2221917131682858e-06	5.593120135927165e-07	2.6807820177054964e-06	2.896671048802091e-06	2.3812965082470328e-05	0.00011489808093756437	2.716174947181571e-07	0.00044205598533153534	7.580107421745197e-07	7.37755726731848e-06
ABCA1	3.2169511541724205e-05	8.16857282188721e-05	0.00014768046094104648	9.25391668715747e-06	2.0025887351948768e-05	2.3986771338968538e-05	0.0005967942997813225	0.00020034606859553605	3.097343505942263e-05	2.1093592295073904e-05	0.00019553914899006486	0.0007281535654328763	0.00010773648682516068	3.7398538552224636e-05	3.3766100386856124e-05	0.00018847364117391407	0.0004103462561033666	8.59635565575445e-06	2.229155143140815e-06	8.598441127105616e-06	0.0009956540307030082	0.00011831552546937019	0.0002551073848735541	6.955446588108316e-05	4.9255966587224975e-05	0.0007473373552784324	3.332540472911205e-06	0.0002763926167972386	0.00016098114429041743	2.8873171686427668e-05	5.468279414344579e-05
ABCA6	3.0115235858829692e-05	5.538986897590803e-06	0.0001567094586789608	1.1729825018846896e-05	0.00020485842833295465	1.761313512815832e-07	2.0105311705265194e-05	6.488880171673372e-05	1.6743217202019878e-05	1.2124704653615481e-06	2.692670250326046e-06	0.0028949552215635777	8.706567768967943e-07	1.2828825674660038e-05	9.726868483994622e-07	2.2453248675446957e-05	0.0002133905654773116	1.9178662114427425e-05	1.1168045688236816e-07	4.75988343850986e-07	2.4339393348782323e-05	1.8124426787835546e-05	0.00010619112435961142	5.8583296777214855e-05	1.5074581824592315e-05	4.064466168074432e-07	2.631174425005156e-07	1.811995571188163e-05	2.7359178602637257e-06	6.766649107703415e-07	4.5186686747911153e-07
ABCA8	4.110084773856215e-05	1.768396577972453e-05	0.00011502192501211539	1.1320885278109927e-06	9.682055406301515e-07	7.016501513135154e-08	4.708965661848197e-06	8.754115697229281e-06	1.7709792246023426e-06	6.05284128596395e-07	1.3974980106468138e-07	0.0027177727315574884	1.836018327594502e-06	4.253004226484336e-05	4.3229056245763786e-07	7.734537939541042e-05	2.5622110115364194e-05	1.3563883840106428e-05	1.3769010820396943e-07	4.7130484404078743e-07	2.0240192100118293e-07	1.6137562397489091e-07	0.00013828265946358442	3.002532866958063e-05	2.1428539184853435e-05	6.253489459595585e-07	1.2509929092630045e-07	2.1419224140117876e-05	2.138031902632065e-07	2.1404177630302001e-07	2.627661501719558e-07
ABCB1	0.00012440224236343056	1.406422711625055e-06	0.00013862978084944189	0.00024267846310976893	5.087350473331753e-06	4.588207858091664e-08	1.5931394955259748e-05	4.369889938971028e-05	1.8748822583347646e-07	5.511705239769071e-06	0.0005919300019741058	1.1706666782629327e-06	5.1074603106826544e-05	1.870934465841856e-05	0.0024852713104337454	2.3948385319272347e-07	2.1049770282388636e-07	4.953810730512487e-06	0.00013069795386400074	0.0002822577953338623	5.188712748349644e-07	0.0001500696671428159	2.6370203158876393e-06	1.6626710930722766e-05	3.533150811563246e-05	4.524964879237814e-06	2.4126923108269693e-06	2.439926220176858e-06	2.6411137810100627e-07	9.463325841352344e-05	1.9064527805312537e-05
ABCC1	9.815134399104863e-05	7.89942714618519e-06	0.00010020147601608187	3.937138899345882e-05	0.00016642751870676875	1.2608290489879437e-05	0.0016735143726691604	0.0011249918024986982	4.418245953274891e-05	8.569984493078664e-05	0.00016937381587922573	8.426708518527448e-05	3.8896254409337416e-05	2.605737427074928e-05	0.00019899403559975326	1.8457756596035324e-05	0.00016331991355400532	0.00010487601684872061	0.0005896923830732703	0.00023379107005894184	0.00014218590513337404	0.00021429415210150182	0.00019918767793569714	5.414428233052604e-05	6.946129724383354e-05	0.0010256810346618295	5.004196282243356e-05	8.338609040947631e-05	7.112986349966377e-05	0.00043161187204532325	0.0003758188395295292
ABCC3	2.112857146130409e-05	7.490325970138656e-06	0.00010380204912507907	1.2549912753456738e-05	1.6549824977118988e-06	1.8519527884564013e-06	1.939626417879481e-05	7.092085070325993e-06	2.0556831259455066e-07	1.153755329141859e-05	5.6752265663817525e-05	4.21974909841083e-05	0.0003055027045775205	9.10332801140612e-06	4.64114862097631e-07	8.973040166893043e-06	4.118728975299746e-05	5.288105512590846e-06	3.775054437937797e-07	2.750676344476233e-07	0.0008211844251491129	4.187983222436742e-07	0.0003573356370907277	1.662626164034009e-05	9.206747563439421e-06	1.1267372883594362e-06	6.5522585828148294e-06	0.00045988854253664613	7.250471389852464e-05	5.741968323036417e-08	8.848340939948685e-07
ABCC4	8.733894355827942e-05	1.0080906577059068e-05	0.000200894835870713	9.382839198224247e-05	8.305646042572334e-05	2.8809051855205325e-06	0.0006518703885376453	2.1744825062341988e-05	2.1087216737214476e-05	0.0002785001997835934	0.0002695117436815053	0.00010197736992267892	1.6964890164672397e-05	3.610429121181369e-05	9.281722304876894e-05	1.4753292816749308e-05	0.00023620335559826344	1.7553526049596258e-05	0.00011484036804176867	0.00010700761049520224	0.0001430721313226968	0.00014217520947568119	6.016012775944546e-05	0.0008448830922134221	2.8137445042375475e-05	0.0014910197351127863	1.3002488230995368e-05	7.008386455709115e-05	7.589070264657494e-06	0.00015462464943993837	5.175754631636664e-05
ABCC9	2.6641046133590862e-05	5.998771030135686e-06	7.193700730567798e-05	1.038515165419085e-06	9.960403986042365e-07	7.739902230241569e-08	1.1607614396780264e-05	5.965560922049917e-05	8.08302684163209e-06	3.850303187391546e-07	1.9872815926191834e-07	0.0001085970870917663	1.6785587604317698e-06	1.733100179990288e-05	4.036189693579217e-06	0.0025462452322244644	3.381946953595616e-05	5.90640956943389e-05	4.10860906185917e-07	4.619452909082611e-07	1.0787546500523604e-07	1.5744041093057604e-07	0.0001339656300842762	1.4168312191031873e-05	1.1966211786784697e-05	2.1417406514956383e-07	1.3385236741214612e-07	6.026573373674182e-06	3.128243633909733e-06	4.7226694732671604e-07	1.3743509725827607e-06
ABCD4	0.00016045999655034393	1.5012858057161793e-05	0.00029924255795776844	0.0007807668298482895	0.000260599103057757	2.5402467144886032e-05	0.0008763977675698698	0.0002711079432629049	6.12813382758759e-05	0.00011388061102479696	0.0005868501029908657	0.0002735226589720696	0.00019342396990396082	0.00013539729116018862	0.0004830571706406772	0.00020352749561425298	0.00026780401822179556	6.907159695401788e-05	0.00026032820460386574	0.000335738091962412	0.00015593587886542082	0.00025558998459018767	0.0002504259755369276	0.0002531929640099406	0.00011440697562647983	7.550304871983826e-05	4.1471859731245786e-05	7.526613626396284e-05	0.0002516141685191542	0.00030204770155251026	0.00030141769093461335
ABCG2	1.2525571037258487e-05	1.7743606122166966e-06	5.062229683971964e-05	0.0005290134577080607	2.0982627120247344e-06	2.1000022343287128e-07	6.377266004164994e-07	3.996755367552396e-06	1.094494948006286e-07	1.4619784451497253e-05	0.002043812070041895	7.057481980154989e-06	3.2646792533341795e-05	4.671454007620923e-06	7.059142080834135e-05	7.902677316451445e-05	1.803899613150861e-05	2.738216153375106e-06	1.6013420918170596e-06	2.348792577322456e-06	4.1595176298869774e-05	1.6367856403576297e-07	1.431173473065428e-06	5.12295537191676e-06	4.223466476105386e-06	1.9238393633713713e-07	2.737901195359882e-05	8.22573019831907e-06	2.0794453803318902e-07	2.1399550860223826e-06	8.836792630972923e-07
ABHD12	0.00020982489513698965	9.798139944905415e-05	0.0002451658365316689	0.00015179977344814688	0.00021693302551284432	0.0003510462702251971	0.00060425786068663	0.00019836080900859088	7.449687109328806e-05	0.00047776021528989077	0.0001301482116105035	0.0002304547087987885	0.00021003212896175683	8.058717503445223e-05	0.000459064933238551	0.00011567987530725077	0.00013081960787530988	8.99378937901929e-05	0.00032657713745720685	0.0002830450248438865	0.0007478727493435144	0.00015195543528534472	0.0004817041626665741	0.0004006718227174133	0.0004756222479045391	0.0003049541264772415	0.00036434890353120863	0.00028673867927864194	0.00032078445656225085	0.00027017388492822647	0.00045689078979194164
ABHD2	5.059512113803066e-05	5.367158883018419e-05	0.00010423312050988898	3.688959259307012e-05	9.408681216882542e-05	0.00018152728443965316	0.00020597294496838003	0.0002217484579887241	0.000240212248172611	4.9802973080659285e-05	9.719751687953249e-05	0.00015315214113797992	3.857532283291221e-05	2.8802034648833796e-05	0.0002939038095064461	9.34927593334578e-05	0.00022580385848414153	0.0003281212702859193	0.00018038463895209134	0.00019963762315455824	0.00017603182641323656	4.359599552117288e-05	0.0001386029034620151	0.00017482224211562425	0.0004910590942017734	0.00030279241036623716	0.00010446475789649412	9.058778960024938e-05	0.0028523989021778107	0.0001453095319448039	0.00014579038543161005
ABI3	4.902104410575703e-05	6.981010301387869e-06	0.0002019474486587569	0.0005103201256133616	2.0752146156155504e-05	9.340234186083762e-08	1.981344394152984e-05	1.2239588613738306e-05	6.673681582469726e-06	3.761791595024988e-05	0.00043177971383556724	2.3202193233373691e-07	2.7079627216153312e-06	3.602007564040832e-05	0.0006093531264923513	2.488154450475122e-06	6.453208243328845e-07	1.6697422324796207e-05	0.0007803870248608291	0.0020445052068680525	0.0006405951571650803	0.0004409183457028121	2.9456065021804534e-05	6.156345625640824e-05	8.368986163986847e-05	9.70994165072625e-07	7.731722871540114e-05	2.561282371971174e-06	5.576174189059202e-08	0.00014823956007603556	0.00036220578476786613
ABI3BP	7.789896335452795e-05	0.0001298095448873937	0.00020061478426214308	4.900807834928855e-05	1.550422894069925e-06	2.5291402039329114e-07	3.7761965359095484e-05	2.574908285168931e-05	5.6311433581868187e-05	5.052390861237654e-07	1.402999259880744e-06	0.0020142265129834414	3.8506637793034315e-05	5.063183925813064e-05	1.3642791145684896e-06	2.268677781103179e-05	0.000315723882522434	6.272372411331162e-05	3.08627505773984e-07	6.916188795003109e-07	7.273903293025796e-07	4.499592023421428e-07	0.001916656270623207	2.6522873668000102e-05	2.781840339594055e-05	1.657173356761632e-06	2.3432691875768796e-07	0.00019173402688466012	4.3957498974123155e-07	2.3683442407218536e-07	7.009682576608611e-07
ABLIM1	0.00015993286797311157	4.891090793535113e-05	0.000259084947174415	0.0008404658874496818	1.0150011803489178e-05	1.3384847989073023e-05	0.0004252103972248733	0.0002699726610444486	2.4025146558415145e-05	2.535546627768781e-05	0.0006585090304724872	0.0004307175404392183	0.0003015054971911013	9.266816050512716e-05	0.001013483270071447	6.609414867853047e-06	3.442637898842804e-05	3.564116559573449e-05	0.00026636754046194255	0.00031585630495101213	2.059806774923345e-06	0.00039728236151859164	0.00012535051791928709	4.8573940148344263e-05	5.655513814417645e-05	1.8292755612492329e-06	1.9204260752303526e-05	4.773605542141013e-05	4.842501584789716e-05	0.000871995638590306	8.24428498162888e-05
ABLIM3	1.9316497855470516e-05	1.4382780136656947e-05	7.043135701678693e-05	0.00023548763419967145	1.7290335563302506e-06	2.9807602004439104e-06	2.79855362350645e-06	0.0032307172659784555	4.498518592299661e-06	7.122863507902366e-07	0.0006729601882398129	0.00017872123862616718	1.0143334293388762e-05	8.716741831449326e-06	7.330956464102201e-07	5.8699042710941285e-06	7.019031727395486e-06	2.714396032388322e-06	1.0967704611175577e-06	6.529650136144483e-07	4.8398749640909955e-05	6.287891096690146e-07	3.498083970043808e-05	1.0207421837549191e-05	6.93903803039575e-06	4.5184182795310335e-07	1.1201871075172676e-06	6.281006062636152e-05	3.548308086465113e-05	3.053326054214267e-07	4.562196238566685e-07
AC004791.2	9.293356924899854e-06	1.9498942549489584e-07	2.8130913051427342e-05	2.0604529993306642e-07	3.2321298704118817e-07	8.418182595448798e-09	1.439857726381888e-07	1.2507891824498074e-06	3.9027142406666826e-08	1.5044210499581823e-07	2.434737389478414e-08	6.710995847925005e-08	1.146517618622056e-07	3.8028802009648643e-06	9.923302002334822e-08	5.503343558643792e-08	1.719902265051587e-08	1.663896568970813e-06	3.84106186857025e-08	3.717589791563114e-08	2.5456545316160373e-08	5.0721524758046144e-08	6.078964247535623e-07	5.107929609948769e-06	3.0042747312108986e-06	0.0035358492750674486	3.8036208849234754e-08	3.134778125968296e-07	3.5533609388238574e-09	1.1981579284281452e-08	6.763403348486463e-08
