Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28	Topic29	Topic30	Topic31	Topic32
A2M	2.423403384455014e-05	8.570108548155986e-06	2.9372289645834826e-05	2.2593037556362106e-06	1.5561221516691148e-05	0.00030565631459467113	3.203499727533199e-05	2.9753860872006044e-05	0.0013481329660862684	8.673669799463823e-05	3.4157076242991025e-06	2.4420574845862575e-05	0.0002479979593772441	3.0644037906313315e-05	5.25400400874787e-06	4.795277345692739e-05	1.9069342670263723e-05	2.27837381316931e-06	0.00039010681211948395	0.00019994514877907932	0.002084944164380431	0.0012784452410414815	5.2154232434986625e-06	9.060244337888435e-06	0.0032184000592678785	5.561317266256083e-06	0.00013082369696348906	5.6537384807597846e-05	1.543324106023647e-05	0.0018872066866606474	1.4826664482825436e-06	2.9510042622860055e-06
A4GALT	8.688722118677106e-06	3.325638681417331e-05	1.9252993297413923e-06	1.3076546565571334e-06	2.4349037630599923e-05	6.652540832874365e-06	1.4924322385923006e-05	7.65589084039675e-06	0.0007372968830168247	0.0003681047528516501	2.898485490732128e-06	4.149554297327995e-05	0.000463799195131287	1.4514233043882996e-05	3.3632616123213666e-06	6.199825293151662e-05	2.815240623021964e-05	2.9399827326415107e-05	0.00019552699814084917	0.00010590980673441663	0.0003688588330987841	0.0006528570083901286	6.3402485466212966e-06	2.6439836801728234e-05	0.0008747452520765364	8.231732863350771e-06	0.00042734513408504426	0.000442192074842751	2.73935202130815e-05	0.0005095560336485505	1.1711362276400905e-05	7.755022579658544e-07
AADACL2-AS1	2.798338130105549e-07	3.617420532009419e-07	1.0007256605604198e-06	3.464289761723194e-07	3.5494520034262678e-06	3.984763807807212e-08	4.816737146029482e-06	1.4680148296974949e-06	9.972478665076778e-08	0.0003603685472626239	5.87578092847707e-08	1.6038471812862554e-06	0.0015419487608596683	5.41022473043995e-06	1.1637505537009929e-07	1.1410589650040492e-05	2.087323736077451e-07	5.100412181491265e-07	5.777166006737389e-05	9.218731065629981e-06	8.725219959160313e-05	0.00017548332107253373	2.367017486903933e-06	3.620005983862029e-08	3.0531098218489205e-06	1.5646119777557033e-07	1.7268695955863222e-05	6.423727541005064e-07	1.0079383173433598e-05	1.8987572047990398e-06	3.7166199007288014e-08	2.2751240891238922e-08
AAK1	0.0016901070484891534	0.0006506519857794046	0.002064381493255496	6.342359120026231e-05	0.0001300632575294003	0.00022523551888298243	0.0009442284354008734	0.00043231601011939347	0.000150136009324342	0.000304606044664979	0.0006068047950975597	0.00010478303011041135	0.00010475219460204244	9.610724373487756e-05	4.438677569851279e-05	0.0004045071837026626	3.858592390315607e-05	7.5932443905912805e-06	0.0009589314577169716	0.00014011429448146373	0.00019060740305576473	0.00013974751345813274	0.00027846102602779865	4.249998528393917e-05	0.00024365879653487355	0.00015177050954662263	0.00013166098506189883	3.328137972857803e-05	7.85102674853988e-05	0.0001294124813284725	0.00018652308790478855	0.0008966796449385583
AARD	6.934732255103881e-08	7.249706612810769e-08	2.80600289670474e-07	2.9625562092405744e-06	1.1192737474630121e-06	4.306226401240565e-06	1.3917226624471368e-06	9.952925211109687e-06	3.2394424920312304e-08	1.7287317177760997e-06	2.156205709979986e-06	6.514682695524243e-07	7.364369025708584e-08	1.957938593477593e-06	8.403314666338701e-08	4.472974978853017e-06	8.205485937651247e-05	6.139916877145879e-07	7.2950324465637095e-06	2.78646234619373e-06	1.2133857126173098e-05	2.4510138700861717e-06	7.938689918773889e-07	0.0014027721481397748	3.968146302213427e-06	2.4702523660380393e-05	7.746288247290067e-06	7.864446871508335e-08	3.593989958972088e-06	6.089732664804615e-07	0.0005511839408427477	5.76729689782951e-06
ABCA1	0.00011397206981200725	3.4883840271504596e-05	0.0009977682493627071	1.904390774143394e-05	1.8113585610990413e-05	0.0010082763619720936	2.918920108641032e-05	0.000155744724906981	5.526721724891104e-05	0.0004576292703859508	6.26511791779194e-06	1.5511030142079107e-05	0.0005673309206031263	0.00010341402958147228	0.0007180637330748141	3.16693440254312e-05	3.4409473300911486e-05	0.0001169393872260116	0.00020446021517273039	5.9842102928087115e-05	0.00030958151910454035	0.00021336579811759293	2.965118937936495e-06	2.3104123101802543e-05	0.0005975068779662251	1.5740425851618056e-06	0.00011945553706027567	1.3853403288521804e-05	7.202103734016418e-05	0.00027464699815027416	0.0001540416560601443	2.1076033590361476e-05
ABCA6	1.7681355757304118e-06	3.186410140187945e-07	1.118872023653239e-05	1.8816771216734196e-06	1.7334179574390873e-05	1.4253465451474767e-05	8.839077054290101e-06	3.6060444017493865e-06	1.5156701920204796e-06	0.0003486543137114495	2.1088882817821286e-07	0.0003111504775006324	0.002532228361815214	9.02470219443785e-06	4.044765375965653e-07	9.218775812769309e-05	1.4042631164556951e-06	2.500012305972632e-05	6.436464900616556e-05	5.876423529116437e-05	0.0001907639962155372	0.00010653401841409504	7.635521797055844e-06	1.339978865644298e-07	2.912236232077703e-05	2.926663000835106e-07	2.749274244706612e-05	1.1188517419213895e-06	1.0014351573772728e-05	0.00010318541171727702	4.644812179321889e-07	1.4006565152158146e-07
ABCA8	2.9769123557343846e-06	3.4011793559329817e-07	2.4303151349158725e-06	8.960444688455027e-07	1.2263897588127293e-05	1.3177454150081758e-07	7.219381586764939e-06	3.5100122204312356e-06	1.7629351134473836e-07	7.322873716475442e-05	1.1765409624331369e-07	4.390124104247661e-06	0.002607263159006834	9.991281331167556e-06	4.0080149688037636e-07	2.0715779101010412e-05	1.1133766264492806e-07	1.6194850616102485e-07	4.2245406802976504e-05	1.7655527699389495e-05	0.00045913056237623096	0.00014212558744475245	3.917225058103213e-06	9.023483471537475e-08	3.2285031466017244e-06	1.0982239473378286e-07	2.8814562028856017e-05	7.051285706438648e-07	1.0251462299493141e-05	1.3319074241735507e-05	1.0203130784702807e-07	8.41642844306989e-08
ABCB1	0.0004727311315946281	1.7750381857695174e-06	0.00011113713844679296	1.667959963924659e-06	1.144847283285344e-05	3.826886256774742e-07	4.555623672786169e-05	0.0015396069502457976	0.0005277899326756597	8.368967741034794e-08	0.0005888944142498076	4.046257527079433e-05	4.063621759087255e-07	1.3166285498300567e-05	6.142793426988646e-05	1.5136832189455163e-05	9.548780326440465e-07	0.00013073062291368842	3.451948578003794e-05	1.999262531171553e-05	8.584036550018936e-05	3.507004748826148e-07	5.957685516477795e-06	1.55142259927743e-07	0.000664587423671037	4.3142545109731145e-06	3.080555688939057e-05	6.359886697282491e-07	2.116941504937131e-05	2.471215566401952e-06	4.970175737639693e-08	0.0001169380484498106
ABCC1	0.00048368648276664317	0.0008852137834765017	0.0006634083692915738	8.48400522954762e-05	0.00018718698993325233	0.0001471595896873623	0.0003491383686196059	7.850514521123841e-05	0.00010146896238438785	0.0001739120198180899	0.0004006676026619971	0.0005735158920288086	8.829484431771562e-05	4.724907557829283e-05	0.0010478416224941611	1.9847124349325895e-05	1.1199768778169528e-05	0.00022321951109915972	0.00030169746605679393	7.387739606201649e-05	0.00016343702736776322	3.052370448131114e-05	4.8527392209507525e-05	3.47518507624045e-05	0.000404185353545472	5.950412742095068e-05	3.148019459331408e-05	5.360386694519548e-06	1.2682317901635543e-05	0.0001566176360938698	6.736550130881369e-05	0.000452102831332013
