Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28	Topic29	Topic30	Topic31	Topic32	Topic33
A2M	9.914024121826515e-05	1.407891704729991e-05	0.0001013127839541994	3.245825428166427e-05	7.43743366911076e-05	4.688562057708623e-06	7.445057235599961e-06	3.5148805181961507e-05	0.00033304590033367276	2.4711337118787924e-06	0.00015793238708283752	2.6103494747076184e-05	0.001185871078632772	2.489712460373994e-05	0.00020222495368216187	6.040205562385381e-07	0.0020528268069028854	2.0160816802672343e-06	3.5129403840983286e-05	0.00020424769900273532	0.00045455974759534	0.00027305871481075883	3.667983037303202e-06	2.387011363680358e-06	7.971857485244982e-06	0.00025026805815286934	5.352120297175134e-06	0.002004446927458048	7.015400478849187e-05	5.389086709328694e-06	4.395647010824177e-06	0.002010804135352373	8.988691115519032e-05
A4GALT	7.474201993318275e-05	2.758314076345414e-05	0.0005245705833658576	0.0004043803201057017	7.0115438575157896e-06	1.060562499333173e-05	7.4009890340676066e-06	8.181798330042511e-05	5.257199518382549e-06	8.66143068378733e-07	0.00037473003612831235	5.786471319879638e-06	0.0006617367034777999	6.842772563686594e-05	3.1377367122331634e-05	2.999918024215731e-06	0.0008304325165227056	3.152482531731948e-05	3.2855328754521906e-05	8.500507101416588e-05	0.00028079538606107235	0.0009883255697786808	1.5687753602833254e-06	3.0127775971777737e-05	3.021341035491787e-05	4.920844003208913e-05	1.4043208693692577e-06	8.001764217624441e-05	7.63708958402276e-05	1.2248421626281925e-05	7.816123002157838e-07	0.0006993147544562817	0.00012170231639174744
AADACL2-AS1	7.401881134683208e-07	1.2385712579998653e-06	9.861220314633101e-05	7.78502580942586e-05	8.658691967866616e-07	1.733573355977569e-07	1.2742631838591478e-07	2.968318995044683e-06	3.660121805637573e-08	3.0188732580427313e-07	0.00036606728099286556	1.5744609527246212e-06	0.000100248638773337	1.4288235661297222e-07	5.012253723180038e-07	3.149794380874482e-08	2.5900294531311374e-07	1.0984682319303829e-07	1.1599309800658375e-05	1.027777307172073e-05	0.003321245778352022	6.49134506147675e-07	1.1369510133363292e-07	2.3478737887216994e-07	3.121968816799381e-08	5.598987172561465e-06	4.335365844099215e-08	7.071453751450463e-07	3.734854544745758e-06	1.368568632642564e-06	2.5657982405391522e-08	1.726924097056326e-07	4.539312158158282e-06
AAK1	0.0003063895564991981	1.3580862287199125e-05	0.0001181804618681781	0.0001414012222085148	0.0002461888361722231	0.0001353937404928729	0.00014510034816339612	0.00013264927838463336	0.00024396828666795045	7.426537194987759e-05	0.00037499258178286254	0.0005203804466873407	0.00011915989307453856	4.258692206349224e-05	2.6358460672781803e-05	0.00021795537031721324	0.00015176774468272924	0.0003211844014003873	0.0002337545738555491	0.0002411135792499408	0.00012121585314162076	0.00012274015170987695	0.0009226779220625758	2.7127565772389062e-05	4.45906916866079e-05	0.00018295765039511025	0.0006249549915082753	0.0002041754632955417	4.287737101549283e-05	7.171821926021948e-05	0.001083361217752099	0.00020908535225316882	0.0004275015671737492
AARD	2.481092633388471e-05	9.300562453518069e-08	1.00729621976825e-07	3.5235166251368355e-06	2.7889385023627256e-07	5.513253199751489e-05	1.052076640917221e-05	6.930530389581691e-07	4.9433938329457305e-06	1.504202060687021e-07	3.15967056963018e-08	6.859963264105318e-07	3.963188177635857e-08	0.0006174434092827141	8.77139640920177e-08	0.00010135726915905252	6.422303044928412e-08	5.519994061842226e-08	3.7707291085098404e-06	1.944249106600182e-06	1.0522384030764442e-07	1.09176532703259e-07	4.0816335058480036e-06	4.093997176823905e-06	0.0016031296690925956	2.2967808490648167e-06	7.72067051002523e-06	1.9619960767158773e-07	2.169243543903576e-06	1.5463239833479747e-05	1.1473408001450025e-08	2.9702150072807854e-08	1.1803869028881309e-06
ABCA1	0.00014410413859877735	1.9988689018646255e-05	0.00022087419347371906	0.00019756289839278907	3.489236769382842e-05	1.1303234259685269e-06	0.0007503055385313928	0.0004238095716573298	0.0010954034514725208	1.5015750250313431e-05	0.0005179349682293832	2.620098712213803e-05	0.00019064081425312907	6.421234866138548e-05	3.279298107372597e-05	0.0001723154855426401	0.00023297022562474012	1.8682663721847348e-05	5.3793348342878744e-05	6.51564696454443e-05	0.0010552462190389633	1.4396870938071515e-05	3.7267141124175396e-06	0.0001269055501325056	3.2597217796137556e-05	0.0001507111155660823	1.1677803740894888e-05	0.00025261862901970744	0.0002712451387196779	3.195992030669004e-05	4.105127300135791e-05	0.00020279877935536206	0.0003296250943094492
ABCA6	7.0053961280791555e-06	0.00015448433987330645	0.00015187817916739732	6.438736454583704e-05	6.784881406929344e-05	2.2624975315466145e-07	4.585382384902914e-07	4.96624716106453e-06	2.493066403985722e-06	3.172414153596037e-06	0.00033905028249137104	3.0108587907307083e-06	4.615340367308818e-05	8.847916177501247e-08	3.1608458357368363e-06	5.412052246356325e-07	2.557882680775947e-06	1.1162185842295003e-07	1.9823582988465205e-05	4.391264155856334e-05	0.005152068100869656	2.8776862563972827e-06	2.1985644593769393e-07	7.379074304481037e-06	5.52575556866941e-07	8.730336958251428e-06	2.2330971205519745e-07	1.0064718480862211e-06	7.798268597980496e-06	1.6459895050502382e-05	2.832987604506343e-07	1.941927166626556e-06	1.2700880688498728e-05
ABCA8	1.7413634623153484e-06	6.55381938940991e-07	0.00020373420557007194	1.5515215636696666e-05	2.75177922048897e-06	1.865088705699236e-07	3.5707768120119e-07	8.783345947449561e-06	1.249386372137451e-07	5.498581003848813e-07	5.27875563420821e-05	2.045436758635333e-06	0.00013053591828793287	7.638156773737137e-08	1.544430688227294e-06	1.2096681700768386e-07	3.780980932788225e-07	2.1080963108488504e-07	3.475846096989699e-05	2.1113100956426933e-05	0.00479963980615139	1.3433108279059525e-06	1.4869013398310926e-07	1.2825486805922992e-07	3.869436326908726e-08	9.912904715747572e-06	1.2338489341345849e-07	1.4289519185695099e-06	9.77693071035901e-06	2.878366558434209e-06	1.7823735731781198e-07	7.075474286466488e-07	1.2546391189971473e-05
ABCB1	1.1243580956943333e-05	3.3245396480197087e-06	5.11843609274365e-06	1.243071778844751e-07	0.00010872439452214167	2.5927349724952364e-06	0.00015153126150835305	1.1719385838659946e-05	5.911967377869587e-07	7.315786206163466e-06	2.6153730914302287e-07	4.2767533159349114e-05	2.9395459932857193e-07	1.2573184449138353e-07	2.1820058009325294e-06	1.1611098216235405e-07	0.0008769489359110594	3.634221684478689e-06	6.120219040894881e-05	1.0378818842582405e-05	8.185444357877714e-07	0.00023792264983057976	0.0009549956885166466	0.0001647427852731198	1.4434017714393121e-07	1.207955301651964e-05	0.00047766504576429725	0.00010318066779291257	1.0795104572025593e-05	5.570243956753984e-06	8.762054494582117e-05	0.00046704712440259755	0.00011140852438984439
ABCC1	0.0004220765258651227	0.00014614507381338626	3.1816383852856234e-05	6.478428258560598e-05	6.700531230308115e-05	3.920231029042043e-05	0.001136546372435987	6.530238169943914e-05	0.00015361970872618258	7.37404843675904e-05	0.00020900862000416964	0.00022430600074585527	2.9471220841514878e-05	1.3952899280411657e-05	7.436092801071936e-06	7.39606621209532e-05	8.946999878389761e-05	0.0004862395580857992	0.00010333460522815585	4.67217068944592e-05	0.000152553417137824	5.557961412705481e-05	0.0006724645500071347	0.00023241758754011244	3.357100285938941e-05	3.4084740036632866e-05	0.0001923295931192115	0.00015480817819479853	5.862967009306885e-05	0.00020259692973922938	0.0005378588102757931	0.0002486786397639662	0.0007331465021707118
ABCC3	3.4616946322785225e-06	2.7187418254470685e-06	2.380151636316441e-05	8.936440281104296e-06	1.0738123819464818e-05	9.885098961603944e-07	3.3270015364905703e-07	0.017120297998189926	0.0008155909017659724	9.953397466233582e-07	1.3247007700556424e-05	7.114301752153551e-06	9.326153303845786e-06	7.630949312442681e-07	3.4476935979910195e-05	1.9349652575328946e-05	2.0424244212335907e-05	2.6147333187509503e-07	8.22891070129117e-06	5.633291038975585e-06	1.922376759466715e-05	0.0001064708485500887	3.9116611105782795e-07	1.690748234750572e-07	1.860506563389208e-05	2.248366581625305e-05	1.6505748590134317e-07	0.0003187738184351474	7.656323759874795e-06	1.524442836853268e-06	8.141899598967939e-08	5.302104000293184e-06	7.947203812364023e-06
ABCC4	6.356944504659623e-05	0.0003265737905167043	5.4955697123659775e-05	9.793987555895001e-05	0.00021739007206633687	1.4229832231649198e-05	0.001609130878932774	4.4916178012499586e-05	0.00012817791139241308	0.0002928815665654838	0.00028291495982557535	5.079098264104687e-05	1.3351149391382933e-05	2.3876882551121525e-06	7.059589279378997e-06	8.738839824218303e-06	0.00018713399185799062	5.128320844960399e-05	8.466348663205281e-05	0.00026173092192038894	0.00010430757538415492	0.0002352172596147284	0.00014885097334627062	0.00011506990267662331	6.0477241277112626e-06	8.838413486955687e-05	8.511168562108651e-05	5.814501037093578e-06	0.0007541454979218543	9.687482088338584e-05	0.0001768288348102942	0.0002856340433936566	0.0009646957623772323
ABCC9	2.3738093659630977e-06	5.91923537740513e-07	2.592535201983992e-05	6.341096195683349e-06	3.5316229514137376e-06	2.2921730646885408e-07	1.0715388043536223e-06	1.1730451660696417e-05	2.865096462301153e-07	3.3601423865547986e-07	7.228915637824684e-05	1.4811359505984001e-05	0.002277628518640995	6.936596719242516e-08	2.0412110188772203e-06	3.649095788205159e-06	1.1962641792706563e-06	4.188984235042881e-07	1.6501377103850245e-05	2.0299617972341366e-05	2.1949275833321735e-05	5.354633003662457e-07	5.253933750282158e-07	1.5351086801729252e-07	9.70495435126395e-08	9.782766028365586e-06	2.8745176905431435e-07	9.21657601793413e-07	5.7012480283447076e-06	1.1891660278706695e-06	6.075431997487613e-07	6.594979140572832e-07	9.329256499768235e-06
ABCD4	0.0001090698060579598	0.00018094097322318703	0.00016312669322360307	7.544654363300651e-05	0.00019223974959459156	3.768198439502157e-05	0.00015072210226207972	0.00019746289763133973	0.00015756038192193955	0.00011241749598411843	0.0003567584790289402	0.0001813492417568341	0.0001883030345197767	4.4729054934578016e-05	2.117890471708961e-05	0.0002910642942879349	0.0007901203935034573	0.0002569687203504145	0.00022641175019089133	0.00026081083342432976	0.0003229508874937892	0.0009733893093653023	0.00042390316957607865	0.00025485060177743435	4.2459771066205576e-05	0.00015807364252395928	0.0003297392977401614	0.00042054636287502944	0.00020244749612174928	0.00017395960458088666	0.00031965889502316713	0.00040542788337916136	0.0006946985959075391
ABCG2	0.003938759211450815	5.58911608550261e-07	8.809267342257954e-07	1.6595124634477543e-06	1.1669333161989925e-06	1.7587986803846434e-05	1.4851603964416427e-06	1.0654470088411472e-06	8.84520159161184e-06	3.1637734991818434e-06	1.497747052781051e-05	9.540933206153568e-06	4.63580472569447e-05	2.6703012281359406e-06	3.668323529382178e-07	1.128529731886374e-07	0.00355351809412241	7.993347850288046e-08	0.00012070102820871398	2.8521310468931915e-06	2.4183421487578016e-07	0.0011913799680769444	1.6185729236894986e-06	4.5708475227002054e-07	2.962624137126113e-07	8.58543353388086e-06	8.233805601776112e-07	5.226543180469889e-07	1.0028755241364706e-05	1.1638393289103988e-06	1.6956916226718022e-07	0.0010589159792289138	2.4095804747048533e-06
