	B	CD4Tconv	CD8Tex	Endothelial	Fibroblasts	Malignant	Mast	Mono/Macro	Myofibroblasts	Plasma	Tprolif
spot_1	0.007135842487138062	0.17186608308146573	0.16548697209430388	0.006576523871004723	0.03268331049217571	0.5782983159897909	0.0013842816269523013	0.010274806635493806	0.015376247743501856	0.003282699647125294	0.007634916331047824
spot_2	0.00982641419553457	0.13001458592049747	0.15387791645416013	0.019199492695577598	0.02774288039055014	0.576758617106759	0.010897832589367593	0.011268526369447343	0.012096974026189495	0.0265915138461801	0.021725246405736476
spot_3	0.006605846666828633	0.13493425852034308	0.1146981116021581	0.006016074492219498	0.01886977654796613	0.4222658878618018	0.0018640185037187198	0.2559041540611249	0.019942712406375355	0.0026082630083448166	0.016290896329118974
spot_4	0.008385464333574026	0.15708439179014339	0.17049428753432344	0.008271080083935048	0.043812616465691276	0.5645921229080223	0.0016228834268237993	0.015136781405476194	0.005237218086923773	0.004188771805941211	0.021174382159145508
spot_5	0.006238524564385074	0.13036335554814818	0.07935069571697391	0.005946376129843217	0.022877965565068308	0.6096520215502697	0.08686972216042463	0.04191766244710823	0.002935259624971042	0.005240819285416678	0.008607597407391213
spot_6	0.006657467128525651	0.15048303589247844	0.13276251996623345	0.020045211795138382	0.023037748671495283	0.6211992447257312	0.0011998603737269301	0.010564698124136726	0.0042621384098773555	0.0033324360711831104	0.02645563884147351
spot_7	0.00789620609113423	0.15708139930528076	0.11680323072466259	0.008450218645983172	0.05855045148090872	0.572270145253773	0.0013050629322808207	0.008349773351793488	0.06124706337562127	0.0031379206692089675	0.0049085281693529775
spot_8	0.006231559399615195	0.13074732141645673	0.11697566731517371	0.010298487966998818	0.030573602195264272	0.6544595451738491	0.01999929050000049	0.0112843709131639	0.004006737168700241	0.003515225015875045	0.011908192934902485
spot_9	0.004384207139910421	0.20491196492499278	0.13875875962115	0.01838039102559377	0.009023227582854704	0.5953513269570793	0.0009021278836689087	0.006701706143562097	0.0016844891458437058	0.0021192476151859064	0.017782551960158502
spot_10	0.009423079123031856	0.1703681049092454	0.15460674939469404	0.00756936521682036	0.0246521034556737	0.5722563584975852	0.014755988290319608	0.011617550809221578	0.008182250669660697	0.0041057514343319	0.02246269819941554
spot_11	0.009350975310194314	0.11205900240421883	0.11689821090411227	0.0062835050518534556	0.017543423013396654	0.2839235638289727	0.002752212485575604	0.4171686739036671	0.009811219095391408	0.0026620185510736775	0.021547195451543932
spot_12	0.0062855481717863475	0.19432931620817817	0.17509118494542814	0.021418072061889882	0.02484406109141388	0.48228794201599323	0.0013275898961631106	0.015576101422282924	0.0257060439143453	0.0034515865556190486	0.04968255371689997
spot_13	0.008253301125675233	0.20598379923750262	0.17547314876050465	0.02417257520638009	0.02802103030606415	0.5068817599181185	0.0014055634139630466	0.011517721365198673	0.013259811878480444	0.0036853221888118893	0.021345966599300988
spot_14	0.007024914587193469	0.1983611617107447	0.1288445040284533	0.006688409683532858	0.02606955909704461	0.3876631775220902	0.0018607357319694467	0.20909520435960566	0.022875684932482782	0.0028470979055386387	0.00866955044134452
spot_15	0.013942200187336497	0.10872539644143467	0.06836877055939437	0.005293701844505465	0.013976551985985824	0.17362942065460177	0.003928360042406837	0.5711938425034877	0.02486535672747448	0.001840247607835337	0.01423615144553702
spot_16	0.01815887716419192	0.2853232318591901	0.17555843384452718	0.00706159945409593	0.018290853629731433	0.4254944602286368	0.001535638791256256	0.012580216659254033	0.011194639764819877	0.0034832158244015835	0.04131883277989499
spot_17	0.006469901230378482	0.15970000680797494	0.09540792378015561	0.015361336338110286	0.04298318532094957	0.6069185872609428	0.0015148828188667766	0.01585454043175823	0.01315784350874329	0.0035561323141552626	0.039075660187964836
spot_18	0.016301254878227516	0.19031813990839258	0.08756142592764189	0.006094388165634958	0.022562079855900512	0.6587965085021904	0.0011732846749839265	0.007574216709749429	0.0035315785147839087	0.0029291655570231443	0.003157957305471576
spot_19	0.0073339529680273435	0.08981322901129937	0.07775629902516804	0.00960170999293966	0.029927126535150738	0.6640256169239779	0.009953907400031669	0.02149483176901979	0.004939973764063684	0.004160348633307172	0.08099300397701452
spot_20	0.0073525562228041645	0.1375203041402434	0.12873199939660768	0.005384959760424281	0.02336544326259507	0.38681240755962737	0.0021017448677596424	0.28005614287781405	0.006777635390252914	0.0026965886538992062	0.019200217867972255
spot_21	0.009021631231896485	0.2054194939899798	0.16852259288317734	0.02155860881488608	0.03174675977919259	0.4710864523605372	0.02669074228819773	0.010779821218154835	0.02913648176595045	0.00408901398004907	0.02194840168797826
spot_22	0.007908010738498044	0.25000444437531466	0.12559450965453728	0.007025509013568971	0.03832417564812878	0.5470569183489327	0.0014512529745419104	0.008449611264479741	0.007818432463223387	0.003395223153735519	0.0029719123650391124
spot_23	0.00931737459345618	0.14507867482494757	0.1030827791694882	0.0046920937116899175	0.010200718133906274	0.19003766568573524	0.14534358936649186	0.3730785395268549	0.0015279117735012343	0.006329552428717856	0.011311100785210798
spot_24	0.007826541026015007	0.1908099329641442	0.16831899977524387	0.03876970095470862	0.022329078033407383	0.4462889125214892	0.0555564446826004	0.012972420427355195	0.017357518148452517	0.005084745900922471	0.034685705565660994
spot_25	0.008012976771897553	0.26099226634574657	0.1515126700011146	0.005890985916714872	0.017487346275222308	0.5371109118370715	0.0014114457898454177	0.007179742240649085	0.0027993874450829787	0.0031032391818788196	0.004499028194776416
spot_26	0.023773452014406466	0.1999031369706297	0.11453751519652705	0.03812669499793073	0.032282806218824865	0.546149244254267	0.0014703309178516273	0.01036030929205713	0.017758457547235425	0.0036738983278034594	0.011964154262466666
spot_27	0.00680455089147386	0.13695481926912587	0.09737328129187435	0.028438379540371695	0.035572956891265106	0.5917481898178534	0.001302005530749544	0.03857652103702336	0.0355383236728135	0.003474516243694601	0.024216455813754655
spot_28	0.006814524326437183	0.24535750318776575	0.26080399223619133	0.0055857825596301765	0.01327094488175823	0.40690527554220784	0.001356427727896978	0.00996718059025441	0.01291122768509724	0.002970965831329887	0.034056175431431114
spot_29	0.008451049560787953	0.10913403630826035	0.11427378605029459	0.0068435598143682455	0.019748624439325943	0.3471280802929563	0.0023850455906963635	0.35379377018097696	0.007820730692617312	0.003114539998413997	0.027306777071302017
